 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F350LP
 -0.0598 -0.0271  0.0002  0.0233  0.0431  0.0593
 -1.7417 -1.5930 -1.4534 -1.3270 -1.2171 -1.1238 -1.0477 -0.9879 -0.9359 -0.8830
 -0.8239 -0.7622 -0.7023 -0.6446 -0.5847 -0.4357 -0.3160 -0.2251 -0.1569 -0.1063
 -0.0688 -0.0396 -0.0156  0.0048  0.0225  0.0376  0.0498  0.0583  0.0617  0.0578
 -1.7424 -1.5931 -1.4476 -1.3111 -1.1880 -1.0809 -0.9900 -0.9137 -0.8500 -0.7989
 -0.7583 -0.7191 -0.6739 -0.6239 -0.5712 -0.4325 -0.3146 -0.2248 -0.1583 -0.1100
 -0.0756 -0.0504 -0.0303 -0.0133  0.0016  0.0146  0.0255  0.0338  0.0386  0.0370
  0.0274
 -1.7340 -1.5924 -1.4496 -1.3111 -1.1831 -1.0689 -0.9698 -0.8851 -0.8136 -0.7531
 -0.7020 -0.6597 -0.6240 -0.5883 -0.5484 -0.4281 -0.3129 -0.2238 -0.1582 -0.1114
 -0.0778 -0.0578 -0.0420 -0.0292 -0.0181 -0.0081  0.0005  0.0083  0.0133  0.0130
  0.0060
 -1.7003 -1.5756 -1.4419 -1.3096 -1.1833 -1.0682 -0.9661 -0.8769 -0.7998 -0.7337
 -0.6767 -0.6271 -0.5835 -0.5454 -0.5108 -0.4146 -0.3089 -0.2209 -0.1557 -0.1096
 -0.0792 -0.0605 -0.0489 -0.0409 -0.0344 -0.0285 -0.0234 -0.0189 -0.0158 -0.0149
 -0.0181
 -1.6418 -1.5350 -1.4183 -1.2978 -1.1795 -1.0689 -0.9687 -0.8791 -0.7998 -0.7298
 -0.6682 -0.6139 -0.5654 -0.5217 -0.4822 -0.3934 -0.3018 -0.2180 -0.1530 -0.1066
 -0.0763 -0.0590 -0.0506 -0.0471 -0.0456 -0.0447 -0.0441 -0.0435 -0.0432 -0.0440
 -0.0454
 -1.5644 -1.4739 -1.3743 -1.2681 -1.1620 -1.0602 -0.9658 -0.8798 -0.8020 -0.7315
 -0.6676 -0.6099 -0.5578 -0.5105 -0.4674 -0.3740 -0.2899 -0.2126 -0.1493 -0.1026
 -0.0716 -0.0542 -0.0474 -0.0473 -0.0504 -0.0547 -0.0593 -0.0635 -0.0675 -0.0714
 -0.0760
 -1.4728 -1.3966 -1.3125 -1.2221 -1.1294 -1.0386 -0.9526 -0.8729 -0.7993 -0.7313
 -0.6682 -0.6097 -0.5556 -0.5057 -0.4664 -0.3564 -0.2732 -0.2047 -0.1446
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =F350LP
 -2.7275 -2.6711 -2.6099 -2.5373 -2.4766 -2.3666 -2.1713 -1.9045 -1.6483 -1.3673
 -1.1692 -1.0154 -0.8942 -0.7928 -0.7049 -0.5248
 -2.4975 -2.4356 -2.3753 -2.3101 -2.2428 -2.1448 -1.9846 -1.7545 -1.5109 -1.2907
 -1.1084 -0.9623 -0.8451 -0.7476 -0.6632 -0.4903 -0.3537 -0.2427 -0.1519
 -2.3116 -2.2405 -2.1763 -2.1128 -2.0431 -1.9561 -1.8254 -1.6308 -1.4237 -1.2303
 -1.0630 -0.9244 -0.8107 -0.7158 -0.6337 -0.4658 -0.3349 -0.2311 -0.1479 -0.0812
 -0.0277
 -2.1698 -2.0858 -2.0129 -1.9454 -1.8775 -1.8005 -1.6937 -1.5334 -1.3566 -1.1861
 -1.0330 -0.9017 -0.7910 -0.6974 -0.6164 -0.4513 -0.3241 -0.2246 -0.1461 -0.0835
 -0.0335  0.0069  0.0396
 -2.0649 -1.9684 -1.8844 -1.8086 -1.7362 -1.6618 -1.5741 -1.4458 -1.2961 -1.1466
 -1.0080 -0.8853 -0.7789 -0.6871 -0.6070 -0.4436 -0.3185 -0.2216 -0.1464 -0.0871
 -0.0402 -0.0028  0.0277  0.0529  0.0734
 -1.9618 -1.8585 -1.7728 -1.6949 -1.6189 -1.5426 -1.4613 -1.3606 -1.2361 -1.1063
 -0.9822 -0.8693 -0.7689 -0.6804 -0.6018 -0.4400 -0.3160 -0.2209 -0.1479 -0.0913
 -0.0473 -0.0128  0.0149  0.0379  0.0571  0.0724
 -1.9089 -1.7740 -1.6593 -1.5648 -1.4871 -1.4194 -1.3502 -1.2701 -1.1716 -1.0622
 -0.9530 -0.8506 -0.7574 -0.6738 -0.5982 -0.4387 -0.3155 -0.2213 -0.1499 -0.0955
 -0.0541 -0.0226  0.0021  0.0223  0.0392  0.0532  0.0640  0.0714  0.0737  0.0699
 -1.8949 -1.7456 -1.6090 -1.4877 -1.3830 -1.2926 -1.2128 -1.1402 -1.0679 -0.9919
 -0.9103 -0.8256 -0.7423 -0.6649 -0.5935 -0.4383 -0.3156 -0.2220 -0.1515 -0.0987
 -0.0597 -0.0311 -0.0098  0.0071  0.0211  0.0329  0.0423  0.0490  0.0523  0.0500
  0.0413
 -1.8968 -1.7428 -1.5962 -1.4597 -1.3358 -1.2265 -1.1303 -1.0440 -0.9637 -0.8891
 -0.8231 -0.7648 -0.7076 -0.6473 -0.5849 -0.4379 -0.3161 -0.2225 -0.1524 -0.1006
 -0.0632 -0.0372 -0.0193 -0.0063  0.0040  0.0128  0.0197  0.0250  0.0275  0.0271
  0.0206
 -1.9001 -1.7478 -1.5998 -1.4566 -1.3218 -1.1992 -1.0903 -0.9941 -0.9081 -0.8302
 -0.7595 -0.6973 -0.6449 -0.5998 -0.5554 -0.4338 -0.3151 -0.2215 -0.1515 -0.1002
 -0.0641 -0.0400 -0.0252 -0.0162 -0.0101 -0.0054 -0.0019  0.0008  0.0020  0.0011
 -0.0036
