 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F098M
  1.2708  1.2576  1.2323  1.1988  1.1614  1.1236  1.0887  1.0601  1.0342  1.0095
  0.9886  0.9748  0.9701  0.9732  0.9803  0.9934  0.9911  0.9742  0.9439  0.9027
  0.8534  0.8000  0.7465  0.6926  0.6370
  1.3028  1.3040  1.2901  1.2636  1.2279  1.1871  1.1453  1.1068  1.0724  1.0407
  1.0127  0.9911  0.9782  0.9745  0.9773  0.9865  0.9819  0.9631  0.9316  0.8900
  0.8408  0.7870  0.7321  0.6773  0.6228  0.5677
  1.2863  1.3092  1.3162  1.3058  1.2797  1.2426  1.1988  1.1544  1.1137  1.0765
  1.0431  1.0148  0.9940  0.9824  0.9792  0.9828  0.9761  0.9556  0.9230  0.8808
  0.8313  0.7769  0.7207  0.6647  0.6094  0.5548  0.4992  0.4412  0.3808  0.3215
  1.2598  1.2841  1.2996  1.3045  1.2978  1.2792  1.2482  1.2059  1.1583  1.1137
  1.0751  1.0426  1.0164  0.9974  0.9869  0.9821  0.9731  0.9511  0.9176  0.8748
  0.8247  0.7695  0.7118  0.6539  0.5969  0.5410  0.4853  0.4296  0.3717  0.3107
  0.2505
  1.2461  1.2668  1.2800  1.2865  1.2859  1.2772  1.2600  1.2345  1.2007  1.1609
  1.1189  1.0787  1.0448  1.0191  1.0016  0.9848  0.9729  0.9493  0.9151  0.8718
  0.8211  0.7650  0.7056  0.6453  0.5860  0.5282  0.4715  0.4153  0.3590  0.3008
  0.2393
  1.2435  1.2604  1.2697  1.2733  1.2717  1.2653  1.2536  1.2361  1.2126  1.1843
  1.1531  1.1206  1.0879  1.0568  1.0301  0.9922  0.9755  0.9502  0.9148  0.8709
  0.8197  0.7626  0.7015  0.6386  0.5765  0.5159  0.4569  0.3993  0.3426  0.2854
  0.2266
  1.2507  1.2625  1.2685  1.2685  1.2642  1.2563  1.2454  1.2315  1.2140  1.1930
