 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F390M
 -7.5508 -7.6296 -7.7719 -7.7306 -7.4412 -7.1217 -7.0206 -7.0900 -7.0877 -6.8819
 -6.5780 -6.2318 -5.8874 -5.5465 -5.1842 -4.2143
 -7.1507 -7.0433 -7.0007 -6.9030 -6.7200 -6.5329 -6.4313 -6.3901 -6.3099 -6.1316
 -5.8840 -5.5835 -5.2543 -4.9202 -4.5835 -3.7283 -2.8797 -2.1788 -1.6061
 -6.8760 -6.6281 -6.4424 -6.2821 -6.1392 -6.0130 -5.8989 -5.7847 -5.6525 -5.4868
 -5.2755 -5.0130 -4.7069 -4.3872 -4.0750 -3.3196 -2.5936 -1.9790 -1.4999 -1.1428
 -0.8916
 -6.7267 -6.3840 -6.0970 -5.8679 -5.6988 -5.5620 -5.4234 -5.2738 -5.1155 -4.9475
 -4.7525 -4.5203 -4.2452 -3.9475 -3.6587 -2.9882 -2.3656 -1.8265 -1.4144 -1.1048
 -0.8619 -0.6634 -0.4948
 -6.7028 -6.3110 -5.9645 -5.6604 -5.3988 -5.1799 -5.0048 -4.8574 -4.6989 -4.5137
 -4.3150 -4.1054 -3.8692 -3.6011 -3.3346 -2.7341 -2.1957 -1.7213 -1.3495 -1.0704
 -0.8522 -0.6732 -0.5215 -0.3910 -0.2743
 -6.7630 -6.3334 -5.9478 -5.6003 -5.2880 -5.0100 -4.7655 -4.5526 -4.3688 -4.1985
 -4.0110 -3.8033 -3.5893 -3.3552 -3.1086 -2.5574 -2.0805 -1.6571 -1.3148 -1.0568
 -0.8569 -0.6936 -0.5549 -0.4342 -0.3274 -0.2314
 -6.8991 -6.4374 -6.0175 -5.6351 -5.2874 -4.9710 -4.6841 -4.4257 -4.1937 -3.9852
 -3.7944 -3.6061 -3.4089 -3.2005 -2.9736 -2.4503 -2.0133 -1.6270 -1.3046 -1.0589
 -0.8716 -0.7204 -0.5927 -0.4819 -0.3839 -0.2960 -0.2168 -0.1434 -0.0757 -0.0223
 -7.0963 -6.6117 -6.1635 -5.7498 -5.3697 -5.0220 -4.7039 -4.4122 -4.1464 -3.9046
 -3.6841 -3.4814 -3.2894 -3.1022 -2.9011 -2.4018 -1.9843 -1.6234 -1.3137 -1.0728
 -0.8919 -0.7498 -0.6317 -0.5299 -0.4403 -0.3601 -0.2883 -0.2229 -0.1651 -0.1164
 -0.0778
 -7.3393 -6.8374 -6.3693 -5.9312 -5.5229 -5.1460 -4.7990 -4.4798 -4.1860 -3.9165
 -3.6695 -3.4435 -3.2366 -3.0446 -2.8569 -2.3924 -1.9822 -1.6368 -1.3367 -1.0955
 -0.9152 -0.7783 -0.6681 -0.5750 -0.4938 -0.4216 -0.3570 -0.2989 -0.2471 -0.2031
 -0.1716
 -7.6069 -7.0933 -6.6099 -6.1558 -5.7266 -5.3244 -4.9510 -4.6057 -4.2873 -3.9933
 -3.7221 -3.4729 -3.2449 -3.0366 -2.8416 -2.3925 -1.9945 -1.6547 -1.3637 -1.1219
 -0.9385 -0.8024 -0.6979 -0.6129 -0.5405 -0.4767 -0.4201 -0.3694 -0.3241 -0.2847
 -0.2537
 -7.8939 -7.3839 -6.8861 -6.4178 -5.9739 -5.5534 -5.1583 -4.7893 -4.4468 -4.1297
 -3.8360 -3.5642 -3.3139 -3.0849 -2.8740 -2.4101 -2.0197 -1.6816 -1.3948 -1.1545
 -0.9661 -0.8264 -0.7230 -0.6437 -0.5793 -0.5243 -0.4762 -0.4335 -0.3956 -0.3625
 -0.3321
 -8.2001 -7.6785 -7.1773 -6.6977 -6.2416 -5.8103 -5.4007 -5.0134 -4.6498 -4.3105
 -3.9949 -3.7017 -3.4298 -3.1787 -2.9472 -2.4478 -2.0505 -1.7127 -1.4257 -1.1854
 -0.9937 -0.8490 -0.7426 -0.6648 -0.6064 -0.5598 -0.5208 -0.4868 -0.4570 -0.4312
 -0.4096
 -8.5256 -7.9771 -7.4568 -6.9764 -6.5150 -6.0765 -5.6596 -5.2620 -4.8838 -4.5268
 -4.1914 -3.8776 -3.5846 -3.3122 -3.0612 -2.5056 -2.0869 -1.7480 -1.4564
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F390M
 -7.0282 -7.0149 -7.0208 -7.0243 -7.0043 -6.9755 -6.9340 -6.8694 -6.7669 -6.6081
 -6.3870 -6.1087 -5.7984 -5.4822 -5.1748 -4.3377
 -6.5061 -6.4375 -6.3998 -6.3784 -6.3605 -6.3345 -6.2903 -6.2194 -6.1121 -5.9564
 -5.7446 -5.4755 -5.1670 -4.8531 -4.5509 -3.8016 -3.0477 -2.3440 -1.7842
 -6.1582 -6.0174 -5.9219 -5.8601 -5.8154 -5.7707 -5.7133 -5.6330 -5.5215 -5.3709
 -5.1734 -4.9242 -4.6319 -4.3286 -4.0374 -3.3618 -2.7166 -2.1179 -1.6289 -1.2532
 -0.9684
 -5.9845 -5.7546 -5.5871 -5.4694 -5.3689 -5.2841 -5.2030 -5.1102 -4.9951 -4.8516
 -4.6734 -4.4548 -4.1931 -3.9087 -3.6343 -3.0183 -2.4595 -1.9455 -1.5148 -1.1804
 -0.9156 -0.7076 -0.5200
 -5.9759 -5.6689 -5.4262 -5.2390 -5.0899 -4.9623 -4.8424 -4.7193 -4.5866 -4.4410
 -4.2747 -4.0832 -3.8584 -3.6002 -3.3416 -2.7711 -2.2764 -1.8268 -1.4419 -1.1382
 -0.9016 -0.7102 -0.5496 -0.4121 -0.2898
 -6.1112 -5.7569 -5.4490 -5.1947 -4.9837 -4.8027 -4.6409 -4.4889 -4.3391 -4.1826
 -4.0081 -3.8229 -3.6232 -3.3968 -3.1526 -2.6099 -2.1573 -1.7539 -1.4027 -1.1204
 -0.9010 -0.7251 -0.5782 -0.4514 -0.3397 -0.2409
 -6.3471 -5.9382 -5.5797 -5.2638 -4.9850 -4.7397 -4.5237 -4.3324 -4.1621 -4.0097
 -3.8546 -3.6763 -3.4834 -3.2772 -3.0512 -2.5203 -2.0906 -1.7175 -1.3901 -1.1216
 -0.9131 -0.7484 -0.6123 -0.4957 -0.3933 -0.3023 -0.2212 -0.1462 -0.0765 -0.0211
 -6.6982 -6.2245 -5.8080 -5.4398 -5.1122 -4.8198 -4.5581 -4.3232 -4.1110 -3.9167
 -3.7378 -3.5700 -3.3994 -3.2158 -3.0105 -2.4880 -2.0645 -1.7090 -1.3975 -1.1369
 -0.9337 -0.7765 -0.6492 -0.5414 -0.4475 -0.3645 -0.2907 -0.2246 -0.1658 -0.1151
 -0.0748
 -7.1466 -6.6157 -6.1376 -5.7096 -5.3271 -4.9853 -4.6786 -4.4023 -4.1520 -3.9236
 -3.7125 -3.5166 -3.3345 -3.1630 -2.9856 -2.4981 -2.0693 -1.7202 -1.4188 -1.1624
 -0.9601 -0.8062 -0.6854 -0.5855 -0.4998 -0.4245 -0.3582 -0.2992 -0.2470 -0.2024
 -0.1692
 -7.6576 -7.0694 -6.5421 -6.0596 -5.6214 -5.2255 -4.8698 -4.5503 -4.2615 -3.9991
 -3.7581 -3.5353 -3.3287 -3.1382 -2.9600 -2.5120 -2.0933 -1.7419 -1.4457 -1.1918
 -0.9875 -0.8335 -0.7168 -0.6238 -0.5461 -0.4790 -0.4204 -0.3688 -0.3233 -0.2836
 -0.2520
 -8.1832 -7.5710 -7.0030 -6.4765 -5.9898 -5.5428 -5.1362 -4.7693 -4.4393 -4.1412
 -3.8695 -3.6197 -3.3886 -3.1751 -2.9779 -2.5289 -2.1294 -1.7768 -1.4810 -1.2285
