 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  z   
  0.2403  0.3161  0.3759  0.4212  0.4532  0.4738  0.4845  0.4862  0.4801  0.4678
  0.4513  0.4320  0.4106  0.3880  0.3671  0.3393  0.3393  0.3313  0.3117  0.2818
  0.2428  0.1964  0.1448  0.0909  0.0366 -0.0176 -0.0720 -0.1265 -0.1816 -0.2379
 -0.2963
  0.2673  0.3332  0.3881  0.4293  0.4582  0.4764  0.4862  0.4895  0.4873  0.4803
  0.4695  0.4564  0.4422  0.4273  0.4112  0.3705  0.3477  0.3361  0.3153  0.2851
  0.2460  0.1993  0.1466  0.0905  0.0337 -0.0227 -0.0787 -0.1342 -0.1898 -0.2460
 -0.3032
  0.3201  0.3717  0.4145  0.4486  0.4724  0.4865  0.4932  0.4949  0.4930  0.4883
  0.4813  0.4721  0.4617  0.4507  0.4395  0.4073  0.3721  0.3452  0.3218  0.2910
  0.2521  0.2054  0.1521  0.0944  0.0352 -0.0238 -0.0821 -0.1394 -0.1961 -0.2528
 -0.3096
  0.4029  0.4358  0.4640  0.4860  0.5014  0.5092  0.5109  0.5087  0.5043  0.4988
  0.4924  0.4852  0.4770  0.4681  0.4520  0.4497  0.4125  0.3586  0.3312
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  z   
 -0.4387 -0.4207 -0.3999 -0.3687 -0.3045 -0.2117 -0.1006  0.0201  0.1313  0.1911
  0.2232  0.2477  0.2721  0.2970  0.3212  0.3704  0.4005  0.4115  0.4036
 -0.2585 -0.2365 -0.2181 -0.1961 -0.1630 -0.1110 -0.0315  0.0740  0.1568  0.2034
  0.2283  0.2471  0.2670  0.2888  0.3107  0.3550  0.3805  0.3878  0.3775  0.3518
 -0.1106 -0.0794 -0.0583 -0.0412 -0.0213  0.0086  0.0562  0.1260  0.1860  0.2218
  0.2402  0.2528  0.2672  0.2850  0.3042  0.3443  0.3662  0.3704  0.3583  0.3326
  0.2967
  0.0004  0.0448  0.0742  0.0930  0.1067  0.1213  0.1437  0.1827  0.2222  0.2472
  0.2588  0.2650  0.2729  0.2854  0.3011  0.3369  0.3559  0.3577  0.3441  0.3180
  0.2824  0.2405
  0.0840  0.1370  0.1759  0.2015  0.2166  0.2250  0.2318  0.2458  0.2660  0.2796
  0.2841  0.2838  0.2847  0.2906  0.3017  0.3322  0.3486  0.3485  0.3336  0.3070
  0.2714  0.2292  0.1834  0.1361
  0.1528  0.2212  0.2675  0.2953  0.3104  0.3167  0.3163  0.3139  0.3164  0.3185
  0.3157  0.3091  0.3032  0.3017  0.3066  0.3302  0.3440  0.3422  0.3262  0.2990
  0.2631  0.2206  0.1739  0.1251  0.0750  0.0236 -0.0297 -0.0855 -0.1435 -0.1999
  0.1715  0.2533  0.3179  0.3645  0.3938  0.4070  0.4055  0.3922  0.3762  0.3634
  0.3517  0.3395  0.3279  0.3194  0.3170  0.3308  0.3418  0.3383  0.3215  0.2937
  0.2573  0.2144  0.1668  0.1166  0.0652  0.0129 -0.0405 -0.0952 -0.1523 -0.2116
 -0.2697
  0.1793  0.2637  0.3328  0.3870  0.4261  0.4508  0.4622  0.4611  0.4483  0.4278
  0.4034  0.3790  0.3585  0.3434  0.3342  0.3347  0.3420  0.3368  0.3192  0.2909
