 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -1.8396 -1.7291 -1.6270 -1.5242 -1.4187 -1.2846 -1.0941 -0.8478 -0.6213 -0.4450
 -0.3129 -0.2102 -0.1275 -0.0588  0.0001  0.1158  0.1986  0.2502  0.2735
 -1.6085 -1.4900 -1.3870 -1.2910 -1.1929 -1.0802 -0.9300 -0.7345 -0.5529 -0.4052
 -0.2890 -0.1956 -0.1185 -0.0543  0.0006  0.1077  0.1822  0.2291  0.2508  0.2512
 -1.4383 -1.3075 -1.1978 -1.1016 -1.0113 -0.9172 -0.8009 -0.6479 -0.4994 -0.3734
 -0.2708 -0.1859 -0.1141 -0.0532 -0.0011  0.0996  0.1687  0.2120  0.2324  0.2339
  0.2208
 -1.3128 -1.1719 -1.0531 -0.9513 -0.8612 -0.7764 -0.6863 -0.5696 -0.4486 -0.3414
 -0.2513 -0.1753 -0.1096 -0.0524 -0.0029  0.0928  0.1579  0.1984  0.2176  0.2195
  0.2076  0.1867
 -1.1786 -1.0406 -0.9276 -0.8289 -0.7391 -0.6571 -0.5792 -0.4924 -0.3960 -0.3058
 -0.2275 -0.1605 -0.1017 -0.0494 -0.0029  0.0882  0.1499  0.1881  0.2061  0.2078
  0.1965  0.1762  0.1504  0.1202
 -1.1021 -0.9346 -0.7974 -0.6885 -0.6033 -0.5350 -0.4733 -0.4098 -0.3382 -0.2655
 -0.1988 -0.1402 -0.0885 -0.0421  0.0002  0.0863  0.1448  0.1809  0.1977  0.1988
  0.1875  0.1672  0.1415  0.1121  0.0795  0.0434  0.0033 -0.0420 -0.0922 -0.1418
 -1.0793 -0.8970 -0.7400 -0.6083 -0.5012 -0.4153 -0.3468 -0.2923 -0.2454 -0.2017
 -0.1576 -0.1131 -0.0696 -0.0292  0.0080  0.0874  0.1429  0.1769  0.1926  0.1930
  0.1812  0.1601  0.1335  0.1038  0.0718  0.0373  0.0001 -0.0407 -0.0861 -0.1365
 -0.1872
