 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F475W
 -2.0601 -1.9232 -1.7924 -1.6656 -1.5424 -1.2628 -1.0256 -0.8205 -0.6537
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F475W
 -5.4270 -5.0510 -4.6025 -4.1898 -3.8124 -3.4866 -3.2238 -2.9933 -2.7804 -2.5794
 -2.3924 -2.2193 -2.0605 -1.9158 -1.7836 -1.4924 -1.2317 -0.9861 -0.7583
 -4.9032 -4.7944 -4.4926 -4.1015 -3.7290 -3.3877 -3.1061 -2.8671 -2.6510 -2.4495
 -2.2618 -2.0879 -1.9287 -1.7843 -1.6534 -1.3730 -1.1318 -0.9121 -0.7123 -0.5377
 -4.5854 -4.3357 -4.2391 -4.0318 -3.6919 -3.3551 -3.0500 -2.7962 -2.5761 -2.3742
 -2.1864 -2.0117 -1.8509 -1.7047 -1.5727 -1.2946 -1.0638 -0.8610 -0.6806 -0.5228
 -0.3890
 -4.4742 -4.1362 -3.8852 -3.7454 -3.6194 -3.3484 -3.0462 -2.7717 -2.5409 -2.3370
 -2.1493 -1.9740 -1.8114 -1.6626 -1.5277 -1.2463 -1.0199 -0.8272 -0.6604 -0.5157
 -0.3922 -0.2871
 -4.4153 -4.0676 -3.7643 -3.5201 -3.3380 -3.2142 -3.0418 -2.7871 -2.5394 -2.3267
 -2.1383 -1.9627 -1.7985 -1.6469 -1.5086 -1.2200 -0.9930 -0.8059 -0.6481 -0.5135
 -0.3989 -0.3010 -0.2164 -0.1417
 -4.3804 -4.0380 -3.7248 -3.4499 -3.2181 -3.0223 -2.8635 -2.7302 -2.5547 -2.3408
 -2.1452 -1.9692 -1.8039 -1.6498 -1.5079 -1.2098 -0.9785 -0.7932 -0.6411 -0.5141
 -0.4072 -0.3162 -0.2376 -0.1682 -0.1059 -0.0492  0.0026  0.0480  0.0847  0.1082
 -4.3624 -4.0278 -3.7151 -3.4307 -3.1805 -2.9634 -2.7714 -2.5996 -2.4525 -2.3170
 -2.1578 -1.9873 -1.8219 -1.6661 -1.5209 -1.2121 -0.9733 -0.7866 -0.6373 -0.5156
 -0.4151 -0.3306 -0.2583 -0.1946 -0.1371 -0.0846 -0.0370  0.0063  0.0448  0.0745
  0.0880
 -4.3544 -4.0302 -3.7213 -3.4346 -3.1751 -2.9466 -2.7451 -2.5627 -2.3943 -2.2409
 -2.1047 -1.9756 -1.8366 -1.6891 -1.5438 -1.2248 -0.9765 -0.7850 -0.6359 -0.5171
 -0.4213 -0.3426 -0.2765 -0.2190 -0.1673 -0.1197 -0.0746 -0.0334  0.0023  0.0310
  0.0520
 -4.3580 -4.0368 -3.7339 -3.4483 -3.1847 -2.9477 -2.7379 -2.5511 -2.3799 -2.2195
 -2.0700 -1.9335 -1.8080 -1.6853 -1.5582 -1.2439 -0.9849 -0.7863 -0.6348 -0.5170
 -0.4241 -0.3499 -0.2895 -0.2386 -0.1934 -0.1519 -0.1134 -0.0774 -0.0444 -0.0158
  0.0083
 -4.3756 -4.0531 -3.7562 -3.4744 -3.2098 -2.9671 -2.7492 -2.5554 -2.3815 -2.2212
 -2.0701 -1.9277 -1.7945 -1.6698 -1.5520 -1.2674 -1.0047 -0.7961 -0.6389 -0.5192
 -0.4268 -0.3550 -0.2988 -0.2535 -0.2149 -0.1803 -0.1481 -0.1176 -0.0890 -0.0629
 -0.0400
 -4.4075 -4.0731 -3.7791 -3.5034 -3.2422 -2.9975 -2.7732 -2.5715 -2.3913 -2.2286
 -2.0783 -1.9364 -1.8014 -1.6729 -1.5511 -1.2778 -1.0289 -0.8130 -0.6471 -0.5230
 -0.4289 -0.3574 -0.3033 -0.2622 -0.2296 -0.2018 -0.1767 -0.1528 -0.1301 -0.1086
 -0.0883
 -4.4582 -4.0989 -3.7997 -3.5292 -3.2742 -3.0325 -2.8063 -2.5984 -2.4108 -2.2421
 -2.0893 -1.9480 -1.8146 -1.6867 -1.5636 -1.2852 -1.0466 -0.8351 -0.6608
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F475W
 -5.3730 -4.9036 -4.4474 -4.0513 -3.7042 -3.3923 -3.1327 -2.9017 -2.6939 -2.4999
 -2.3193 -2.1523 -1.9991 -1.8595 -1.7323 -1.4554 -1.2120 -0.9832 -0.7651
 -5.0293 -4.8035 -4.4024 -3.9947 -3.6325 -3.3084 -3.0351 -2.7993 -2.5861 -2.3912
 -2.2096 -2.0417 -1.8876 -1.7476 -1.6207 -1.3509 -1.1214 -0.9123 -0.7194 -0.5465
 -4.6046 -4.4662 -4.3237 -3.9846 -3.6170 -3.2839 -2.9914 -2.7446 -2.5277 -2.3312
 -2.1491 -1.9801 -1.8243 -1.6823 -1.5536 -1.2833 -1.0605 -0.8638 -0.6869 -0.5297
 -0.3938
 -4.4817 -4.1598 -3.9802 -3.8844 -3.6260 -3.2989 -2.9948 -2.7292 -2.5038 -2.3048
 -2.1222 -1.9522 -1.7946 -1.6499 -1.5181 -1.2424 -1.0212 -0.8318 -0.6658 -0.5204
 -0.3947 -0.2870
 -4.4478 -4.0835 -3.7866 -3.5779 -3.4577 -3.2996 -3.0266 -2.7510 -2.5086 -2.3021
 -2.1181 -1.9473 -1.7881 -1.6407 -1.5053 -1.2211 -0.9974 -0.8114 -0.6526 -0.5162
 -0.3991 -0.2986 -0.2118 -0.1358
 -4.4456 -4.0731 -3.7439 -3.4693 -3.2530 -3.0898 -2.9622 -2.7798 -2.5428 -2.3205
 -2.1298 -1.9582 -1.7977 -1.6478 -1.5091 -1.2147 -0.9850 -0.7993 -0.6449 -0.5151
 -0.4052 -0.3114 -0.2305 -0.1595 -0.0960 -0.0390  0.0119  0.0573  0.0950  0.1167
 -4.4663 -4.0908 -3.7505 -3.4515 -3.1974 -2.9865 -2.8067 -2.6562 -2.5199 -2.3506
 -2.1560 -1.9801 -1.8186 -1.6670 -1.5252 -1.2201 -0.9819 -0.7934 -0.6409 -0.5155
 -0.4113 -0.3237 -0.2488 -0.1835 -0.1252 -0.0726 -0.0248  0.0179  0.0551  0.0843
  0.0979
 -4.5001 -4.1273 -3.7818 -3.4699 -3.1963 -2.9622 -2.7620 -2.5838 -2.4236 -2.2820
 -2.1482 -2.0004 -1.8462 -1.6946 -1.5509 -1.2358 -0.9871 -0.7930 -0.6398 -0.5166
 -0.4166 -0.3342 -0.2651 -0.2057 -0.1531 -0.1055 -0.0624 -0.0233  0.0119  0.0420
  0.0629
 -4.5456 -4.1712 -3.8251 -3.5064 -3.2203 -2.9698 -2.7539 -2.5656 -2.3953 -2.2381
 -2.0941 -1.9634 -1.8397 -1.7110 -1.5769 -1.2576 -0.9980 -0.7960 -0.6396 -0.5168
 -0.4191 -0.3408 -0.2769 -0.2235 -0.1772 -0.1356 -0.0976 -0.0626 -0.0308 -0.0028
  0.0198
 -4.6019 -4.2276 -3.8830 -3.5614 -3.2669 -3.0036 -2.7731 -2.5726 -2.3960 -2.2351
 -2.0851 -1.9453 -1.8167 -1.6971 -1.5810 -1.2874 -1.0198 -0.8079 -0.6452 -0.5200
 -0.4224 -0.3461 -0.2859 -0.2377 -0.1975 -0.1623 -0.1304 -0.1009 -0.0734 -0.0487
 -0.0272
 -4.6669 -4.2846 -3.9432 -3.6242 -3.3264 -3.0545 -2.8115 -2.5978 -2.4107 -2.2445
 -2.0928 -1.9510 -1.8177 -1.6928 -1.5750 -1.3038 -1.0480 -0.8267 -0.6554 -0.5252
 -0.4256 -0.3493 -0.2910 -0.2465 -0.2116 -0.1828 -0.1576 -0.1344 -0.1127 -0.0926
 -0.0732
 -4.7466 -4.3427 -3.9994 -3.6853 -3.3907 -3.1162 -2.8648 -2.6395 -2.4404 -2.2648
 -2.1079 -1.9646 -1.8307 -1.7039 -1.5833 -1.3100 -1.0700 -0.8522 -0.6713
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F475W
 -5.2482 -4.7478 -4.3050 -3.9347 -3.6112 -3.3175 -3.0653 -2.8310 -2.6228 -2.4372
 -2.2622 -2.1001 -1.9515 -1.8160 -1.6926 -1.4261 -1.1957 -0.9805 -0.7739
 -4.9543 -4.7396 -4.2993 -3.8967 -3.5478 -3.2414 -2.9795 -2.7453 -2.5347 -2.3458
 -2.1695 -2.0066 -1.8570 -1.7208 -1.5971 -1.3349 -1.1146 -0.9143 -0.7275 -0.5565
 -4.6868 -4.6029 -4.3071 -3.9155 -3.5465 -3.2194 -2.9421 -2.7014 -2.4885 -2.2973
 -2.1203 -1.9562 -1.8051 -1.6667 -1.5411 -1.2767 -1.0604 -0.8691 -0.6951 -0.5382
 -0.4004
 -4.4845 -4.2208 -4.1352 -3.9258 -3.5824 -3.2461 -2.9476 -2.6926 -2.4728 -2.2781
 -2.1003 -1.9352 -1.7822 -1.6413 -1.5125 -1.2419 -1.0252 -0.8390 -0.6736 -0.5270
 -0.3990 -0.2887
 -4.4600 -4.0922 -3.8281 -3.6964 -3.5706 -3.2908 -2.9887 -2.7156 -2.4821 -2.2802
 -2.1004 -1.9343 -1.7795 -1.6361 -1.5040 -1.2245 -1.0038 -0.8196 -0.6600 -0.5211
 -0.4011 -0.2978 -0.2084 -0.1305
 -4.4864 -4.0880 -3.7539 -3.4968 -3.3211 -3.2050 -3.0246 -2.7655 -2.5169 -2.3013
 -2.1150 -1.9475 -1.7913 -1.6457 -1.5103 -1.2207 -0.9931 -0.8080 -0.6518 -0.5186
 -0.4052 -0.3082 -0.2245 -0.1514 -0.0872 -0.0301  0.0214  0.0677  0.1048  0.1261
 -4.5445 -4.1286 -3.7663 -3.4608 -3.2157 -3.0236 -2.8737 -2.7411 -2.5605 -2.3434
 -2.1438 -1.9712 -1.8137 -1.6662 -1.5283 -1.2284 -0.9915 -0.8026 -0.6476 -0.5182
 -0.4098 -0.3184 -0.2404 -0.1726 -0.1130 -0.0598 -0.0128  0.0294  0.0670  0.0955
  0.1089
 -4.6256 -4.1981 -3.8176 -3.4864 -3.2069 -2.9751 -2.7835 -2.6184 -2.4750 -2.3385
 -2.1791 -2.0042 -1.8443 -1.6955 -1.5553 -1.2462 -0.9985 -0.8033 -0.6467 -0.5191
 -0.4141 -0.3274 -0.2547 -0.1925 -0.1383 -0.0900 -0.0471 -0.0078  0.0268  0.0548
  0.0752
 -4.7160 -4.2830 -3.8908 -3.5415 -3.2376 -2.9797 -2.7639 -2.5797 -2.4153 -2.2660
 -2.1306 -2.0010 -1.8650 -1.7252 -1.5864 -1.2702 -1.0117 -0.8078 -0.6474 -0.5195
 -0.4166 -0.3333 -0.2652 -0.2086 -0.1602 -0.1176 -0.0798 -0.0453 -0.0146  0.0118
  0.0334
 -4.8173 -4.3818 -3.9848 -3.6241 -3.3022 -3.0225 -2.7840 -2.5818 -2.4069 -2.2489
 -2.1029 -1.9683 -1.8442 -1.7267 -1.6077 -1.3044 -1.0359 -0.8219 -0.6547 -0.5238
 -0.4206 -0.3389 -0.2740 -0.2219 -0.1791 -0.1425 -0.1105 -0.0815 -0.0552 -0.0310
 -0.0119
 -4.9229 -4.4824 -4.0852 -3.7204 -3.3876 -3.0910 -2.8325 -2.6106 -2.4206 -2.2546
 -2.1044 -1.9650 -1.8350 -1.7146 -1.6014 -1.3304 -1.0674 -0.8430 -0.6670 -0.5307
 -0.4251 -0.3431 -0.2798 -0.2309 -0.1928 -0.1620 -0.1361 -0.1132 -0.0924 -0.0736
 -0.0555
