 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F125W
  1.1251  1.0712  1.0200  0.9735  0.9326  0.8976  0.8681  0.8428  0.8199  0.7984
  0.7773  0.7562  0.7350  0.7134  0.6912  0.6330  0.5717  0.5022  0.4259  0.3447
  0.2593  0.1702  0.0790 -0.0122 -0.1015 -0.1882 -0.2724 -0.3543 -0.4342 -0.5126
 -0.5900
  1.1745  1.1221  1.0711  1.0226  0.9779  0.9375  0.9016  0.8701  0.8419  0.8161
  0.7915  0.7675  0.7437  0.7199  0.6961  0.6349  0.5725  0.5055  0.4305
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F125W
  0.6151  0.6590  0.6961  0.7233  0.7463  0.7676  0.7774  0.7813  0.7817  0.7848
  0.7855  0.7836  0.7780  0.7686  0.7557  0.7119  0.6539  0.5844  0.5053
  0.6324  0.6301  0.6724  0.7062  0.7286  0.7470  0.7572  0.7613  0.7634  0.7657
  0.7654  0.7621  0.7552  0.7443  0.7303  0.6843  0.6262  0.5584  0.4816  0.3963
  0.7266  0.6785  0.6543  0.6889  0.7171  0.7341  0.7447  0.7491  0.7507  0.7524
  0.7513  0.7472  0.7395  0.7279  0.7130  0.6653  0.6066  0.5392  0.4640  0.3810
  0.2926
  0.7542  0.7533  0.7285  0.6877  0.7038  0.7258  0.7373  0.7424  0.7431  0.7431
  0.7415  0.7369  0.7287  0.7167  0.7014  0.6523  0.5928  0.5253  0.4507  0.3693
  0.2826  0.1939
  0.7789  0.7752  0.7759  0.7655  0.7336  0.7186  0.7315  0.7390  0.7396  0.7374
  0.7350  0.7299  0.7215  0.7094  0.6939  0.6437  0.5833  0.5155  0.4410  0.3603
  0.2747  0.1871  0.0995  0.0122
  0.8137  0.7978  0.7935  0.7927  0.7870  0.7703  0.7446  0.7360  0.7382  0.7359
  0.7313  0.7256  0.7170  0.7049  0.6893  0.6384  0.5772  0.5088  0.4341  0.3538
  0.2689  0.1817  0.0947  0.0083 -0.0777 -0.1640 -0.2510 -0.3394 -0.4283 -0.5144
  0.8589  0.8304  0.8147  0.8080  0.8040  0.7977  0.7867  0.7689  0.7481  0.7368
  0.7309  0.7238  0.7147  0.7026  0.6871  0.6358  0.5737  0.5048  0.4300  0.3497
  0.2651  0.1779  0.0907  0.0045 -0.0808 -0.1655 -0.2501 -0.3353 -0.4216 -0.5086
 -0.5934
  0.9123  0.8730  0.8456  0.8286  0.8183  0.8106  0.8018  0.7907  0.7764  0.7584
  0.7399  0.7257  0.7145  0.7022  0.6867  0.6353  0.5725  0.5031  0.4281  0.3479
  0.2633  0.1759  0.0880  0.0012 -0.0841 -0.1682 -0.2518 -0.3348 -0.4180 -0.5023
 -0.5878
  0.9705  0.9229  0.8859  0.8585  0.8392  0.8251  0.8133  0.8014  0.7882  0.7734
  0.7568  0.7384  0.7205  0.7042  0.6878  0.6364  0.5728  0.5028  0.4274  0.3471
  0.2626  0.1748  0.0858 -0.0023 -0.0886 -0.1731 -0.2564 -0.3386 -0.4201 -0.5017
 -0.5842
  1.0302  0.9783  0.9336  0.8972  0.8688  0.8467  0.8290  0.8134  0.7980  0.7822
  0.7655  0.7478  0.7291  0.7099  0.6905  0.6387  0.5757  0.5052  0.4297  0.3496
  0.2653  0.1774  0.0877 -0.0019 -0.0897 -0.1753 -0.2590 -0.3410 -0.4218 -0.5018
 -0.5816
  1.0876  1.0341  0.9852  0.9424  0.9063  0.8763  0.8515  0.8304  0.8111  0.7925
  0.7738  0.7547  0.7349  0.7147  0.6939  0.6391  0.5787  0.5090  0.4335  0.3535
  0.2695  0.1819  0.0919  0.0011 -0.0885 -0.1758 -0.2608 -0.3436 -0.4245 -0.5040
 -0.5822
  1.1413  1.0882  1.0374  0.9909  0.9493  0.9130  0.8814  0.8540  0.8295  0.8070
  0.7853  0.7638  0.7420  0.7200  0.6977  0.6396  0.5791  0.5128  0.4383
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F125W
  0.6479  0.6898  0.7216  0.7433  0.7614  0.7785  0.7866  0.7920  0.7921  0.7919
  0.7907  0.7876  0.7816  0.7720  0.7592  0.7154  0.6578  0.5887  0.5106
  0.6616  0.6556  0.6973  0.7263  0.7454  0.7601  0.7678  0.7719  0.7730  0.7734
  0.7716  0.7675  0.7602  0.7496  0.7356  0.6896  0.6315  0.5638  0.4880  0.4047
  0.6987  0.6432  0.6724  0.7097  0.7337  0.7490  0.7563  0.7597  0.7600  0.7604
  0.7581  0.7532  0.7454  0.7341  0.7195  0.6720  0.6132  0.5457  0.4710  0.3898
  0.3026
  0.7461  0.7354  0.6850  0.6914  0.7218  0.7404  0.7496  0.7524  0.7521  0.7511
  0.7484  0.7430  0.7348  0.7233  0.7085  0.6599  0.6003  0.5327  0.4585  0.3785
  0.2931  0.2045
  0.7645  0.7677  0.7652  0.7348  0.7122  0.7313  0.7448  0.7492  0.7480  0.7449
  0.7417  0.7359  0.7275  0.7158  0.7009  0.6517  0.5914  0.5235  0.4493  0.3699
  0.2858  0.1985  0.1104  0.0225
  0.7909  0.7844  0.7864  0.7861  0.7726  0.7450  0.7387  0.7465  0.7473  0.7428
  0.7374  0.7312  0.7225  0.7108  0.6960  0.6464  0.5855  0.5172  0.4429  0.3637
  0.2803  0.1938  0.1065  0.0194 -0.0674 -0.1545 -0.2426 -0.3321 -0.4215 -0.5078
  0.8291  0.8093  0.8019  0.8009  0.7993  0.7914  0.7746  0.7542  0.7463  0.7436
  0.7367  0.7287  0.7196  0.7078  0.6931  0.6436  0.5820  0.5132  0.4388  0.3597
  0.2766  0.1906  0.1034  0.0166 -0.0694 -0.1551 -0.2408 -0.3270 -0.4143 -0.5018
 -0.5867
  0.8761  0.8449  0.8259  0.8160  0.8111  0.8064  0.7984  0.7862  0.7692  0.7514
  0.7390  0.7291  0.7187  0.7066  0.6920  0.6427  0.5806  0.5114  0.4369  0.3578
  0.2749  0.1889  0.1014  0.0143 -0.0717 -0.1567 -0.2412 -0.3255 -0.4099 -0.4950
 -0.5809
  0.9304  0.8896  0.8598  0.8398  0.8268  0.8176  0.8090  0.7988  0.7861  0.7710
  0.7538  0.7362  0.7209  0.7072  0.6923  0.6432  0.5807  0.5110  0.4361  0.3569
  0.2739  0.1877  0.0997  0.0116 -0.0752 -0.1605 -0.2447 -0.3278 -0.4105 -0.4934
 -0.5769
  0.9884  0.9410  0.9025  0.8729  0.8509  0.8343  0.8209  0.8085  0.7952  0.7806
  0.7647  0.7474  0.7291  0.7111  0.6940  0.6455  0.5832  0.5132  0.4383  0.3592
  0.2762  0.1900  0.1015  0.0125 -0.0756 -0.1618 -0.2463 -0.3294 -0.4113 -0.4934
 -0.5736
  1.0468  0.9957  0.9510  0.9138  0.8835  0.8592  0.8391  0.8218  0.8055  0.7892
  0.7721  0.7542  0.7355  0.7161  0.6967  0.6461  0.5867  0.5168  0.4418  0.3629
  0.2802  0.1940  0.1054  0.0156 -0.0738 -0.1615 -0.2472 -0.3309 -0.4129 -0.4936
 -0.5729
  1.1029  1.0502  1.0021  0.9596  0.9228  0.8915  0.8648  0.8416  0.8206  0.8009
  0.7815  0.7618  0.7416  0.7209  0.6999  0.6455  0.5874  0.5211  0.4466
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = F125W
  0.6855  0.7204  0.7456  0.7617  0.7785  0.7932  0.7986  0.8016  0.8028  0.8011
