 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F555W
 -3.2737 -2.9666 -2.6834 -2.4301 -2.2079 -2.0144 -1.8448 -1.6923 -1.5528 -1.4262
 -1.3149 -1.2187 -1.1264 -1.0291 -0.9290 -0.7094 -0.5415 -0.4138 -0.3186 -0.2494
 -0.1997 -0.1621 -0.1301 -0.1011 -0.0737 -0.0480 -0.0227 -0.0002  0.0167  0.0257
  0.0255
 -3.3157 -3.0028 -2.7168 -2.4546 -2.2208 -2.0170 -1.8398 -1.6838 -1.5432 -1.4139
 -1.2955 -1.1891 -1.0939 -1.0067 -0.9218 -0.7123 -0.5401 -0.4099 -0.3139 -0.2452
 -0.1977 -0.1648 -0.1392 -0.1166 -0.0951 -0.0744 -0.0547 -0.0374 -0.0226 -0.0102
  0.0002
 -3.3771 -3.0580 -2.7671 -2.5013 -2.2577 -2.0409 -1.8522 -1.6883 -1.5439 -1.4137
 -1.2943 -1.1847 -1.0846 -0.9932 -0.9093 -0.7174 -0.5443 -0.4094 -0.3107 -0.2405
 -0.1931 -0.1626 -0.1421 -0.1261 -0.1114 -0.0969 -0.0826 -0.0684 -0.0548 -0.0428
 -0.0339
 -3.4557 -3.1157 -2.8242 -2.5586 -2.3123 -2.0854 -1.8831 -1.7067 -1.5537 -1.4189
 -1.2978 -1.1873 -1.0856 -0.9920 -0.9055 -0.7167 -0.5514 -0.4120 -0.3087 -0.2358
 -0.1869 -0.1565 -0.1390 -0.1283 -0.1203 -0.1127 -0.1049 -0.0965 -0.0877 -0.0790
 -0.0714
 -3.5531 -3.1879 -2.8855 -2.6196 -2.3729 -2.1438 -1.9335 -1.7437 -1.5775 -1.4330
 -1.3061 -1.1929 -1.0900 -0.9953 -0.9076 -0.7163 -0.5553 -0.4176 -0.3092
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F555W
 -4.1202 -3.8050 -3.4151 -3.0653 -2.7481 -2.4746 -2.2565 -2.0678 -1.8949 -1.7319
 -1.5800 -1.4393 -1.3106 -1.1940 -1.0883 -0.8616 -0.6708 -0.5031 -0.3567
 -3.6901 -3.6032 -3.3368 -2.9984 -2.6852 -2.4022 -2.1708 -1.9764 -1.8023 -1.6405
 -1.4900 -1.3509 -1.2241 -1.1099 -1.0072 -0.7918 -0.6161 -0.4660 -0.3375 -0.2310
 -3.4223 -3.2082 -3.1314 -2.9518 -2.6586 -2.3776 -2.1282 -1.9232 -1.7469 -1.5863
 -1.4375 -1.2997 -1.1739 -1.0605 -0.9588 -0.7485 -0.5812 -0.4420 -0.3256 -0.2295
 -0.1511
 -3.3423 -3.0439 -2.8267 -2.7093 -2.6049 -2.3738 -2.1229 -1.9012 -1.7173 -1.5563
 -1.4091 -1.2727 -1.1475 -1.0341 -0.9323 -0.7232 -0.5601 -0.4275 -0.3192 -0.2311
 -0.1594 -0.0991
 -3.3173 -2.9983 -2.7304 -2.5178 -2.3616 -2.2599 -2.1183 -1.9086 -1.7098 -1.5425
 -1.3961 -1.2609 -1.1362 -1.0226 -0.9202 -0.7098 -0.5480 -0.4192 -0.3162 -0.2340
 -0.1682 -0.1131 -0.0650 -0.0220
 -3.3272 -2.9947 -2.7081 -2.4648 -2.2627 -2.0944 -1.9616 -1.8550 -1.7155 -1.5453
 -1.3931 -1.2586 -1.1344 -1.0206 -0.9174 -0.7043 -0.5415 -0.4142 -0.3146 -0.2369
 -0.1762 -0.1264 -0.0830 -0.0441 -0.0093  0.0212  0.0471  0.0665  0.0778  0.0796
 -3.3675 -3.0218 -2.7191 -2.4588 -2.2372 -2.0480 -1.8836 -1.7399 -1.6209 -1.5156
 -1.3933 -1.2633 -1.1390 -1.0248 -0.9207 -0.7040 -0.5387 -0.4112 -0.3131 -0.2385
 -0.1821 -0.1375 -0.0995 -0.0652 -0.0339 -0.0056  0.0193  0.0400  0.0549  0.0603
  0.0554
 -3.4273 -3.0762 -2.7579 -2.4805 -2.2428 -2.0402 -1.8650 -1.7096 -1.5697 -1.4458
 -1.3394 -1.2425 -1.1404 -1.0327 -0.9283 -0.7075 -0.5387 -0.4091 -0.3112 -0.2381
 -0.1847 -0.1449 -0.1126 -0.0839 -0.0573 -0.0326 -0.0087  0.0123  0.0279  0.0360
  0.0355
 -3.5037 -3.1452 -2.8185 -2.5249 -2.2697 -2.0520 -1.8658 -1.7036 -1.5587 -1.4267
 -1.3073 -1.2018 -1.1088 -1.0204 -0.9303 -0.7122 -0.5392 -0.4066 -0.3075 -0.2347
 -0.1831 -0.1471 -0.1204 -0.0980 -0.0772 -0.0575 -0.0390 -0.0218 -0.0067  0.0042
  0.0106
 -3.5955 -3.2296 -2.9003 -2.5975 -2.3254 -2.0894 -1.8881 -1.7153 -1.5645 -1.4294
 -1.3062 -1.1942 -1.0934 -1.0025 -0.9189 -0.7214 -0.5443 -0.4075 -0.3053 -0.2312
 -0.1795 -0.1453 -0.1229 -0.1065 -0.0923 -0.0787 -0.0655 -0.0526 -0.0404 -0.0300
 -0.0225
 -3.7020 -3.3202 -2.9888 -2.6845 -2.4044 -2.1520 -1.9322 -1.7441 -1.5825 -1.4411
 -1.3147 -1.2000 -1.0954 -1.0002 -0.9131 -0.7233 -0.5536 -0.4108 -0.3043 -0.2274
 -0.1743 -0.1401 -0.1200 -0.1084 -0.1004 -0.0935 -0.0867 -0.0794 -0.0719 -0.0648
 -0.0582
 -3.8276 -3.4175 -3.0785 -2.7753 -2.4948 -2.2352 -2.0004 -1.7944 -1.6172 -1.4643
 -1.3308 -1.2120 -1.1047 -1.0068 -0.9170 -0.7233 -0.5604 -0.4184 -0.3057
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F555W
 -4.1260 -3.7071 -3.3114 -2.9741 -2.6790 -2.4131 -2.1947 -2.0036 -1.8339 -1.6758
 -1.5284 -1.3916 -1.2661 -1.1520 -1.0488 -0.8290 -0.6475 -0.4890 -0.3487
 -3.8309 -3.6316 -3.2766 -2.9267 -2.6222 -2.3508 -2.1235 -1.9298 -1.7566 -1.5992
 -1.4526 -1.3169 -1.1927 -1.0802 -0.9790 -0.7681 -0.5985 -0.4544 -0.3299 -0.2241
 -3.4573 -3.3416 -3.2200 -2.9212 -2.6076 -2.3303 -2.0895 -1.8882 -1.7129 -1.5554
 -1.4100 -1.2753 -1.1516 -1.0396 -0.9389 -0.7312 -0.5678 -0.4322 -0.3176 -0.2213
 -0.1419
 -3.3612 -3.0756 -2.9213 -2.8427 -2.6171 -2.3389 -2.0879 -1.8725 -1.6914 -1.5329
 -1.3885 -1.2547 -1.1315 -1.0192 -0.9181 -0.7102 -0.5495 -0.4189 -0.3109 -0.2216
 -0.1485 -0.0877
 -3.3546 -3.0197 -2.7569 -2.5750 -2.4737 -2.3402 -2.1089 -1.8826 -1.6883 -1.5247
 -1.3804 -1.2474 -1.1245 -1.0120 -0.9100 -0.6998 -0.5392 -0.4113 -0.3075 -0.2235
 -0.1557 -0.0998 -0.0516 -0.0091
 -3.3912 -3.0301 -2.7296 -2.4865 -2.2972 -2.1568 -2.0511 -1.9006 -1.7068 -1.5298
 -1.3810 -1.2485 -1.1260 -1.0132 -0.9102 -0.6967 -0.5343 -0.4070 -0.3060 -0.2257
 -0.1623 -0.1112 -0.0675 -0.0288  0.0061  0.0363  0.0607  0.0784  0.0886  0.0901
 -3.4655 -3.0798 -2.7524 -2.4797 -2.2552 -2.0707 -1.9159 -1.7897 -1.6796 -1.5446
 -1.3908 -1.2552 -1.1329 -1.0199 -0.9161 -0.6987 -0.5330 -0.4048 -0.3048 -0.2271
 -0.1672 -0.1206 -0.0819 -0.0478 -0.0170  0.0104  0.0347  0.0543  0.0671  0.0717
  0.0671
 -3.5637 -3.1642 -2.8115 -2.5125 -2.2634 -2.0561 -1.8813 -1.7284 -1.5941 -1.4789
 -1.3737 -1.2599 -1.1432 -1.0303 -0.9259 -0.7046 -0.5347 -0.4040 -0.3036 -0.2271
 -0.1697 -0.1269 -0.0933 -0.0645 -0.0385 -0.0147  0.0065  0.0250  0.0396  0.0484
  0.0474
 -3.6792 -3.2666 -2.8992 -2.5754 -2.3013 -2.0727 -1.8812 -1.7171 -1.5716 -1.4406
 -1.3239 -1.2210 -1.1274 -1.0326 -0.9351 -0.7117 -0.5372 -0.4030 -0.3010 -0.2246
 -0.1687 -0.1289 -0.1000 -0.0770 -0.0566 -0.0377 -0.0204 -0.0047  0.0088  0.0189
  0.0231
 -3.8068 -3.3891 -3.0132 -2.6731 -2.3746 -2.1214 -1.9098 -1.7312 -1.5773 -1.4402
 -1.3161 -1.2040 -1.1040 -1.0146 -0.9303 -0.7236 -0.5442 -0.4055 -0.3003 -0.2223
 -0.1663 -0.1278 -0.1023 -0.0846 -0.0703 -0.0573 -0.0452 -0.0336 -0.0231 -0.0144
 -0.0085
 -3.9429 -3.5135 -3.1358 -2.7903 -2.4769 -2.2010 -1.9656 -1.7676 -1.5998 -1.4545
 -1.3255 -1.2089 -1.1032 -1.0079 -0.9214 -0.7298 -0.5549 -0.4103 -0.3008 -0.2198
 -0.1624 -0.1238 -0.1000 -0.0863 -0.0777 -0.0710 -0.0650 -0.0589 -0.0529 -0.0474
 -0.0421
 -4.0944 -3.6407 -3.2576 -2.9124 -2.5949 -2.3063 -2.0504 -1.8301 -1.6432 -1.4839
 -1.3460 -1.2240 -1.1143 -1.0149 -0.9245 -0.7304 -0.5652 -0.4191 -0.3034
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F555W
 -4.1095 -3.6466 -3.2461 -2.9158 -2.6286 -2.3698 -2.1524 -1.9547 -1.7832 -1.6311
 -1.4873 -1.3537 -1.2310 -1.1191 -1.0175 -0.8021 -0.6266 -0.4756 -0.3413
 -3.8200 -3.6210 -3.2249 -2.8729 -2.5726 -2.3100 -2.0881 -1.8927 -1.7200 -1.5663
 -1.4230 -1.2903 -1.1684 -1.0575 -0.9573 -0.7488 -0.5829 -0.4432 -0.3219 -0.2169
 -3.5655 -3.4944 -3.2255 -2.8795 -2.5640 -2.2888 -2.0575 -1.8586 -1.6849 -1.5304
 -1.3878 -1.2559 -1.1344 -1.0237 -0.9237 -0.7170 -0.5558 -0.4228 -0.3097 -0.2131
 -0.1324
 -3.3820 -3.1456 -3.0746 -2.8881 -2.5877 -2.3037 -2.0567 -1.8478 -1.6695 -1.5131
 -1.3712 -1.2399 -1.1187 -1.0077 -0.9071 -0.6993 -0.5397 -0.4106 -0.3028 -0.2123
 -0.1375 -0.0755
 -3.3745 -3.0357 -2.8008 -2.6875 -2.5795 -2.3359 -2.0819 -1.8585 -1.6700 -1.5086
 -1.3663 -1.2356 -1.1145 -1.0032 -0.9017 -0.6913 -0.5309 -0.4036 -0.2993 -0.2133
 -0.1432 -0.0858 -0.0371  0.0056
 -3.4317 -3.0467 -2.7423 -2.5144 -2.3608 -2.2620 -2.1080 -1.8902 -1.6879 -1.5161
 -1.3693 -1.2386 -1.1178 -1.0063 -0.9039 -0.6899 -0.5271 -0.3999 -0.2977 -0.2150
 -0.1487 -0.0954 -0.0509 -0.0121  0.0221  0.0513  0.0749  0.0922  0.1015  0.1022
 -3.5385 -3.1132 -2.7672 -2.4904 -2.2735 -2.1052 -1.9759 -1.8647 -1.7152 -1.5386
