 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F390M
-10.8670-10.1805 -9.4275 -8.6417 -7.8565 -7.1140 -6.4522 -5.8952 -5.4369 -5.0621
 -4.7507 -4.4809 -4.2353 -4.0012 -3.7730 -3.2507 -2.8201 -2.4290 -2.0451
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F390M
-10.8177-10.1905 -9.6179 -9.0383 -8.2845 -7.5460 -7.0615 -6.7185 -6.4235 -6.1451
 -5.8820 -5.6275 -5.3818 -5.1436 -4.9100 -4.3316 -3.7353 -3.0971 -2.4382
 -9.5755 -9.3323 -8.9741 -8.5875 -8.1125 -7.4487 -6.8693 -6.4592 -6.1267 -5.8265
 -5.5439 -5.2741 -5.0165 -4.7695 -4.5304 -3.9553 -3.3881 -2.8110 -2.2388 -1.7293
 -8.8865 -8.4172 -8.2598 -8.0703 -7.7894 -7.3818 -6.8113 -6.3111 -5.9316 -5.6048
 -5.3045 -5.0203 -4.7515 -4.4967 -4.2530 -3.6808 -3.1373 -2.6080 -2.0982 -1.6370
 -1.2724
 -8.6832 -7.9919 -7.5872 -7.4170 -7.3200 -7.1171 -6.7716 -6.2853 -5.8362 -5.4754
 -5.1584 -4.8608 -4.5807 -4.3170 -4.0674 -3.4933 -2.9655 -2.4698 -2.0045 -1.5802
 -1.2362 -0.9788
 -8.7223 -7.8935 -7.3161 -6.9501 -6.7406 -6.6347 -6.5041 -6.2369 -5.8411 -5.4322
 -5.0934 -4.7843 -4.4931 -4.2193 -3.9616 -3.3782 -2.8570 -2.3828 -1.9480 -1.5519
 -1.2227 -0.9759 -0.7873 -0.6336
 -8.9515 -8.0063 -7.2890 -6.7827 -6.4384 -6.2008 -6.0343 -5.9076 -5.7309 -5.4395
 -5.0916 -4.7740 -4.4739 -4.1903 -3.9228 -3.3223 -2.7990 -2.3365 -1.9216 -1.5465
 -1.2285 -0.9874 -0.8068 -0.6632 -0.5424 -0.4378 -0.3449 -0.2605 -0.1833 -0.1179
 -9.3222 -8.2948 -7.4514 -6.8123 -6.3510 -6.0190 -5.7670 -5.5587 -5.3855 -5.2305
 -5.0362 -4.7780 -4.4991 -4.2147 -3.9387 -3.3157 -2.7819 -2.3226 -1.9191 -1.5591
 -1.2502 -1.0111 -0.8344 -0.6977 -0.5857 -0.4900 -0.4068 -0.3335 -0.2681 -0.2100
 -0.1672
 -9.7691 -8.7075 -7.7703 -7.0102 -6.4282 -5.9967 -5.6729 -5.4145 -5.1888 -4.9849
 -4.8056 -4.6347 -4.4474 -4.2300 -3.9841 -3.3500 -2.7992 -2.3353 -1.9366 -1.5855
 -1.2833 -1.0444 -0.8680 -0.7353 -0.6299 -0.5419 -0.4656 -0.3996 -0.3433 -0.2961
 -0.2575
-10.2351 -9.1799 -8.1912 -7.3356 -6.6441 -6.1075 -5.6978 -5.3802 -5.1197 -4.8877
 -4.6726 -4.4745 -4.2919 -4.1198 -3.9399 -3.4054 -2.8409 -2.3665 -1.9662 -1.6190
