 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  B   
 -5.5036 -5.3252 -5.1518 -4.9781 -4.7961 -4.5933 -4.3465 -4.0368 -3.7251 -3.4427
 -3.1913 -2.9609 -2.7429 -2.5365 -2.3453 -1.9433 -1.6256 -1.3613 -1.1319 -0.9284
 -0.7506
 -5.2241 -5.0099 -4.8110 -4.6209 -4.4342 -4.2440 -4.0372 -3.7886 -3.5275 -3.2823
 -3.0586 -2.8508 -2.6501 -2.4539 -2.2666 -1.8680 -1.5584 -1.3074 -1.0942 -0.9079
 -0.7448 -0.6043
 -5.1032 -4.8210 -4.5808 -4.3649 -4.1632 -3.9714 -3.7828 -3.5802 -3.3615 -3.1484
 -2.9497 -2.7633 -2.5821 -2.4004 -2.2201 -1.8229 -1.5163 -1.2732 -1.0710 -0.8974
 -0.7463 -0.6159 -0.5030 -0.4034
 -5.1297 -4.7630 -4.4480 -4.1822 -3.9582 -3.7654 -3.5881 -3.4129 -3.2267 -3.0390
 -2.8597 -2.6906 -2.5272 -2.3628 -2.1939 -1.7997 -1.4920 -1.2530 -1.0581 -0.8936
 -0.7524 -0.6308 -0.5259 -0.4334 -0.3501 -0.2741 -0.2047 -0.1384 -0.0787 -0.0403
 -5.2373 -4.8142 -4.4410 -4.1187 -3.8457 -3.6155 -3.4208 -3.2560 -3.1071 -2.9573
 -2.7995 -2.6401 -2.4848 -2.3325 -2.1785 -1.7928 -1.4808 -1.2424 -1.0522 -0.8942
 -0.7607 -0.6469 -0.5493 -0.4640 -0.3871 -0.3169 -0.2528 -0.1935 -0.1380 -0.0894
 -0.0601
 -5.4195 -4.9418 -4.5203 -4.1542 -3.8403 -3.5755 -3.3530 -3.1650 -3.0030 -2.8599
 -2.7302 -2.6030 -2.4657 -2.3189 -2.1700 -1.7985 -1.4805 -1.2390 -1.0508 -0.8972
 -0.7694 -0.6621 -0.5712 -0.4929 -0.4229 -0.3589 -0.3002 -0.2460 -0.1964 -0.1512
 -0.1141
 -5.6932 -5.1443 -4.6706 -4.2600 -3.9085 -3.6107 -3.3599 -3.1485 -2.9688 -2.8128
 -2.6735 -2.5457 -2.4247 -2.3024 -2.1693 -1.8104 -1.4869 -1.2395 -1.0506 -0.8998
 -0.7760 -0.6736 -0.5886 -0.5169 -0.4542 -0.3973 -0.3449 -0.2963 -0.2515 -0.2109
 -0.1751
 -6.0215 -5.4308 -4.9016 -4.4423 -4.0489 -3.7154 -3.4340 -3.1960 -2.9934 -2.8190
 -2.6657 -2.5271 -2.3981 -2.2749 -2.1542 -1.8323 -1.5073 -1.2500 -1.0567 -0.9059
 -0.7841 -0.6846 -0.6036 -0.5373 -0.4813 -0.4317 -0.3865 -0.3444 -0.3053 -0.2694
 -0.2371
 -6.3438 -5.7348 -5.1810 -4.6816 -4.2475 -3.8768 -3.5623 -3.2952 -3.0666 -2.8693
 -2.6964 -2.5423 -2.4017 -2.2702 -2.1445 -1.8426 -1.5377 -1.2691 -1.0672 -0.9136
 -0.7918 -0.6937 -0.6149 -0.5523 -0.5017 -0.4590 -0.4213 -0.3865 -0.3541 -0.3240
 -0.2964
 -6.5815 -6.0022 -5.4484 -4.9389 -4.4800 -4.0797 -3.7351 -3.4386 -3.1830 -2.9606
 -2.7652 -2.5914 -2.4346 -2.2908 -2.1402 -1.8413 -1.5781 -1.2968 -1.0821
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  B   
 -6.6208 -6.5157 -6.4041 -6.2741 -6.0862 -5.8146 -5.4418 -4.9541 -4.3925 -3.9364
 -3.5854 -3.3009 -3.0566 -2.8401 -2.6444 -2.2279 -1.8807 -1.5740 -1.2936
 -6.0937 -5.9742 -5.8525 -5.7188 -5.5570 -5.3411 -5.0268 -4.5748 -4.1076 -3.7076
 -3.3842 -3.1149 -2.8796 -2.6677 -2.4752 -2.0683 -1.7388 -1.4579 -1.2094 -0.9865
 -5.6583 -5.5208 -5.3852 -5.2451 -5.0889 -4.8981 -4.6408 -4.2799 -3.8910 -3.5388
 -3.2411 -2.9871 -2.7614 -2.5548 -2.3649 -1.9624 -1.6434 -1.3790 -1.1508 -0.9490
 -0.7699
 -5.3294 -5.1652 -5.0088 -4.8551 -4.6968 -4.5224 -4.3125 -4.0299 -3.7087 -3.4020
 -3.1314 -2.8948 -2.6812 -2.4821 -2.2954 -1.8945 -1.5805 -1.3264 -1.1117 -0.9250
 -0.7603 -0.6163
 -5.1439 -4.9264 -4.7344 -4.5566 -4.3848 -4.2120 -4.0284 -3.8076 -3.5459 -3.2823
 -3.0399 -2.8225 -2.6234 -2.4349 -2.2538 -1.8537 -1.5406 -1.2926 -1.0871 -0.9112
 -0.7581 -0.6242 -0.5078 -0.4058
 -5.1235 -4.8172 -4.5627 -4.3476 -4.1548 -3.9725 -3.7940 -3.6089 -3.3967 -3.1726
 -2.9580 -2.7604 -2.5772 -2.4019 -2.2299 -1.8328 -1.5174 -1.2721 -1.0728 -0.9048
 -0.7608 -0.6358 -0.5273 -0.4322 -0.3474 -0.2711 -0.2005 -0.1335 -0.0744 -0.0364
 -5.2113 -4.8321 -4.5009 -4.2188 -3.9793 -3.7736 -3.5937 -3.4299 -3.2605 -3.0748
 -2.8860 -2.7059 -2.5370 -2.3756 -2.2156 -1.8270 -1.5071 -1.2612 -1.0657 -0.9035
 -0.7663 -0.6489 -0.5477 -0.4596 -0.3814 -0.3104 -0.2461 -0.1870 -0.1313 -0.0835
 -0.0546
 -5.3692 -4.9334 -4.5458 -4.2066 -3.9155 -3.6673 -3.4548 -3.2714 -3.1104 -2.9606
 -2.8141 -2.6637 -2.5090 -2.3558 -2.2058 -1.8330 -1.5078 -1.2580 -1.0636 -0.9052
 -0.7731 -0.6619 -0.5673 -0.4859 -0.4143 -0.3499 -0.2913 -0.2374 -0.1875 -0.1432
 -0.1059
 -5.6085 -5.1109 -4.6690 -4.2810 -3.9444 -3.6564 -3.4119 -3.2040 -3.0252 -2.8677
