 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  V   
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  V   
 -4.7815 -4.2745 -3.8389 -3.4678 -3.1525 -2.8767 -2.6248 -2.3871 -2.1692 -1.9757
 -1.7975 -1.6265 -1.4614 -1.3073 -1.1527 -0.8593 -0.6235 -0.4359 -0.2951
 -4.3844 -3.8714 -3.4300 -3.0601 -2.7536 -2.4986 -2.2814 -2.0854 -1.9102 -1.7538
 -1.6082 -1.4647 -1.3196 -1.1788 -1.0494 -0.7814 -0.5744 -0.4127 -0.2898 -0.1975
 -3.9802 -3.4694 -3.0526 -2.7605 -2.4814 -2.2459 -2.0474 -1.8760 -1.7258 -1.5928
 -1.4706 -1.3510 -1.2264 -1.0980 -0.9766 -0.7266 -0.5397 -0.3970 -0.2884 -0.2055
 -0.1394
 -3.6795 -3.1711 -2.7721 -2.4682 -2.2343 -2.0467 -1.8852 -1.7363 -1.5997 -1.4775
 -1.3679 -1.2654 -1.1612 -1.0481 -0.9343 -0.6949 -0.5194 -0.3888 -0.2909 -0.2158
 -0.1558 -0.1058
 -3.5593 -3.0479 -2.6364 -2.3185 -2.0754 -1.8880 -1.7400 -1.6180 -1.5106 -1.4075
 -1.3021 -1.2031 -1.1098 -1.0138 -0.9100 -0.6785 -0.5085 -0.3851 -0.2948 -0.2266
 -0.1718 -0.1255 -0.0855 -0.0502
 -3.5018 -2.9932 -2.5816 -2.2552 -1.9982 -1.7962 -1.6372 -1.5112 -1.4101 -1.3281
 -1.2501 -1.1636 -1.0743 -0.9857 -0.8935 -0.6712 -0.5031 -0.3830 -0.2977 -0.2355
 -0.1864 -0.1447 -0.1081 -0.0753 -0.0457 -0.0194  0.0030  0.0176  0.0221  0.0187
 -3.4491 -2.9614 -2.5587 -2.2359 -1.9789 -1.7738 -1.6088 -1.4748 -1.3643 -1.2705
 -1.1884 -1.1139 -1.0389 -0.9607 -0.8780 -0.6684 -0.5008 -0.3813 -0.2982 -0.2406
 -0.1974 -0.1613 -0.1293 -0.1001 -0.0732 -0.0483 -0.0264 -0.0076  0.0032  0.0026
 -0.0070
 -3.3832 -2.9236 -2.5398 -2.2272 -1.9746 -1.7702 -1.6027 -1.4635 -1.3465 -1.2463
 -1.1572 -1.0759 -1.0001 -0.9282 -0.8566 -0.6655 -0.5004 -0.3795 -0.2962 -0.2407
 -0.2026 -0.1727 -0.1465 -0.1223 -0.0995 -0.0776 -0.0573 -0.0393 -0.0249 -0.0173
 -0.0230
 -3.2942 -2.8666 -2.5084 -2.2114 -1.9682 -1.7681 -1.6015 -1.4605 -1.3394 -1.2341
 -1.1407 -1.0556 -0.9762 -0.9012 -0.8309 -0.6564 -0.4989 -0.3769 -0.2920 -0.2364
 -0.2011 -0.1768 -0.1572 -0.1393 -0.1218 -0.1045 -0.0877 -0.0717 -0.0575 -0.0467
 -0.0431
 -3.1945 -2.8111 -2.4783 -2.1969 -1.9625 -1.7674 -1.6027 -1.4614 -1.3384 -1.2300
 -1.1333 -1.0456 -0.9645 -0.8881 -0.8158 -0.6474 -0.4977 -0.3767 -0.2892 -0.2312
 -0.1956 -0.1744 -0.1605 -0.1493 -0.1384 -0.1271 -0.1154 -0.1035 -0.0918 -0.0815
 -0.0718
 -3.0988 -2.7554 -2.4487 -2.1825 -1.9562 -1.7648 -1.6017 -1.4605 -1.3366 -1.2264
 -1.1276 -1.0381 -0.9560 -0.8794 -0.8069 -0.6400 -0.4946 -0.3760 -0.2871 -0.2263
 -0.1886 -0.1676 -0.1567 -0.1511 -0.1471 -0.1426 -0.1374 -0.1310 -0.1238 -0.1165
 -0.1101
 -3.0101 -2.7021 -2.4247 -2.1757 -1.9553 -1.7642 -1.6009 -1.4587 -1.3333 -1.2216
 -1.1210 -1.0301 -0.9471 -0.8706 -0.8042 -0.6342 -0.4896 -0.3748 -0.2857
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  V   
 -5.6528 -5.1988 -4.7790 -4.3829 -4.0081 -3.6239 -3.1974 -2.7347 -2.3400 -2.0248
 -1.7725 -1.5644 -1.3866 -1.2319 -1.0954 -0.8162 -0.5987 -0.4246 -0.2884
 -5.3024 -4.7943 -4.3324 -3.9133 -3.5296 -3.1689 -2.8027 -2.4278 -2.1066 -1.8433
 -1.6268 -1.4426 -1.2805 -1.1359 -1.0072 -0.7463 -0.5504 -0.3983 -0.2792 -0.1872
 -5.0320 -4.5081 -4.0247 -3.5892 -3.2027 -2.8589 -2.5404 -2.2268 -1.9513 -1.7214
 -1.5299 -1.3653 -1.2174 -1.0814 -0.9580 -0.7071 -0.5228 -0.3837 -0.2766 -0.1935
 -0.1280
 -4.6556 -4.1354 -3.7196 -3.3300 -2.9674 -2.6394 -2.3487 -2.0803 -1.8388 -1.6328
 -1.4596 -1.3110 -1.1774 -1.0515 -0.9333 -0.6881 -0.5092 -0.3773 -0.2780 -0.2018
 -0.1416 -0.0918
 -4.3219 -3.7918 -3.3519 -2.9856 -2.6777 -2.4152 -2.1832 -1.9605 -1.7515 -1.5658
 -1.4059 -1.2685 -1.1471 -1.0331 -0.9220 -0.6816 -0.5042 -0.3759 -0.2816 -0.2107
 -0.1554 -0.1096 -0.0701 -0.0358
 -4.1999 -3.6299 -3.1515 -2.7580 -2.4375 -2.1756 -1.9627 -1.7895 -1.6408 -1.5022
 -1.3653 -1.2372 -1.1220 -1.0171 -0.9156 -0.6819 -0.5042 -0.3767 -0.2852 -0.2183
 -0.1679 -0.1266 -0.0908 -0.0590 -0.0306 -0.0056  0.0152  0.0285  0.0324  0.0295
 -4.1809 -3.5851 -3.0793 -2.6645 -2.3293 -2.0594 -1.8412 -1.6629 -1.5157 -1.3952
 -1.2946 -1.1995 -1.1014 -1.0034 -0.9088 -0.6854 -0.5070 -0.3783 -0.2877 -0.2236
 -0.1772 -0.1410 -0.1099 -0.0819 -0.0561 -0.0327 -0.0123  0.0041  0.0142  0.0135
  0.0045
 -4.1946 -3.5949 -3.0753 -2.6433 -2.2940 -2.0145 -1.7899 -1.6077 -1.4582 -1.3334
 -1.2275 -1.1373 -1.0576 -0.9791 -0.8974 -0.6892 -0.5112 -0.3801 -0.2884 -0.2255
 -0.1794 -0.1510 -0.1254 -0.1023 -0.0807 -0.0603 -0.0417 -0.0242 -0.0111 -0.0061
 -0.0117
 -4.1832 -3.6041 -3.0872 -2.6520 -2.2945 -2.0067 -1.7757 -1.5882 -1.4343 -1.3060
 -1.1968 -1.1014 -1.0166 -0.9403 -0.8689 -0.6862 -0.5141 -0.3808 -0.2869 -0.2235
 -0.1820 -0.1549 -0.1350 -0.1179 -0.1016 -0.0857 -0.0705 -0.0562 -0.0437 -0.0346
 -0.0319
 -4.1385 -3.5950 -3.1044 -2.6762 -2.3182 -2.0256 -1.7888 -1.5954 -1.4360 -1.3024
 -1.1884 -1.0892 -1.0006 -0.9199 -0.8458 -0.6766 -0.5171 -0.3839 -0.2865 -0.2206
 -0.1785 -0.1533 -0.1381 -0.1271 -0.1172 -0.1072 -0.0970 -0.0865 -0.0766 -0.0680
 -0.0600
 -4.0668 -3.5692 -3.1133 -2.7011 -2.3497 -2.0563 -1.8148 -1.6162 -1.4512 -1.3120
 -1.1926 -1.0886 -0.9963 -0.9128 -0.8358 -0.6655 -0.5156 -0.3866 -0.2869 -0.2175
 -0.1732 -0.1477 -0.1349 -0.1289 -0.1254 -0.1219 -0.1179 -0.1129 -0.1073 -0.1016
 -0.0969
 -3.9735 -3.5297 -3.1142 -2.7290 -2.3887 -2.0970 -1.8518 -1.6470 -1.4754 -1.3300
 -1.2049 -1.0959 -0.9994 -0.9126 -0.8389 -0.6529 -0.5096 -0.3889 -0.2881
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  V   
 -6.2737 -5.9118 -5.5857 -5.2833 -5.0095 -4.6612 -4.1259 -3.3938 -2.7208 -2.2005
 -1.8252 -1.5542 -1.3502 -1.1867 -1.0487 -0.7754 -0.5704 -0.4070 -0.2749
 -5.9385 -5.5258 -5.1573 -4.8235 -4.5039 -4.1535 -3.6848 -3.0773 -2.5197 -2.0691
 -1.7270 -1.4712 -1.2753 -1.1179 -0.9850 -0.7226 -0.5294 -0.3817 -0.2652 -0.1729
 -5.7223 -5.2615 -4.8461 -4.4719 -4.1268 -3.7833 -3.3794 -2.8743 -2.3964 -1.9948
 -1.6767 -1.4307 -1.2388 -1.0841 -0.9536 -0.6961 -0.5090 -0.3695 -0.2620 -0.1775
 -0.1107
 -5.5343 -5.0599 -4.6174 -4.2102 -3.8370 -3.4888 -3.1368 -2.7194 -2.3058 -1.9451
 -1.6487 -1.4122 -1.2238 -1.0707 -0.9415 -0.6863 -0.5008 -0.3652 -0.2631 -0.1841
 -0.1220 -0.0717
 -5.1455 -4.7349 -4.3525 -3.9788 -3.6099 -3.2577 -2.9249 -2.5812 -2.2259 -1.9029
 -1.6283 -1.4027 -1.2191 -1.0682 -0.9404 -0.6863 -0.5002 -0.3655 -0.2665 -0.1913
 -0.1332 -0.0867 -0.0478 -0.0145
 -4.8070 -4.3314 -3.9322 -3.5911 -3.2865 -3.0005 -2.7162 -2.4295 -2.1362 -1.8554
 -1.6061 -1.3941 -1.2173 -1.0699 -0.9442 -0.6920 -0.5043 -0.3684 -0.2705 -0.1981
 -0.1434 -0.1007 -0.0654 -0.0349 -0.0081  0.0149  0.0331  0.0446  0.0472  0.0439
 -4.6856 -4.1435 -3.6790 -3.2888 -2.9604 -2.6757 -2.4210 -2.1889 -1.9683 -1.7587
 -1.5599 -1.3762 -1.2126 -1.0714 -0.9489 -0.7002 -0.5112 -0.3729 -0.2743 -0.2034
 -0.1515 -0.1126 -0.0815 -0.0547 -0.0308 -0.0095  0.0088  0.0228  0.0305  0.0287
  0.0203
 -4.7021 -4.1131 -3.5955 -3.1552 -2.7871 -2.4801 -2.2191 -1.9910 -1.7858 -1.6020
 -1.4440 -1.3083 -1.1837 -1.0641 -0.9509 -0.7092 -0.5197 -0.3783 -0.2776 -0.2067
 -0.1567 -0.1210 -0.0944 -0.0724 -0.0526 -0.0343 -0.0181 -0.0042  0.0053  0.0103
  0.0055
 -4.7709 -4.1602 -3.6088 -3.1284 -2.7230 -2.3876 -2.1106 -1.8784 -1.6794 -1.5057
 -1.3538 -1.2238 -1.1149 -1.0207 -0.9314 -0.7145 -0.5268 -0.3831 -0.2794 -0.2073
 -0.1582 -0.1250 -0.1025 -0.0856 -0.0710 -0.0572 -0.0444 -0.0325 -0.0227 -0.0161
 -0.0154
 -4.8360 -4.2355 -3.6726 -3.1699 -2.7367 -2.3745 -2.0768 -1.8327 -1.6300 -1.4590
 -1.3121 -1.1849 -1.0748 -0.9796 -0.8967 -0.7116 -0.5357 -0.3904 -0.2830 -0.2079
 -0.1577 -0.1256 -0.1060 -0.0939 -0.0849 -0.0766 -0.0686 -0.0605 -0.0531 -0.0472
 -0.0440
 -4.8576 -4.2802 -3.7376 -3.2329 -2.7872 -2.4068 -2.0910 -1.8322 -1.6198 -1.4440
 -1.2957 -1.1688 -1.0586 -0.9619 -0.8760 -0.6972 -0.5389 -0.3978 -0.2873 -0.2084
 -0.1557 -0.1230 -0.1048 -0.0962 -0.0924 -0.0901 -0.0878 -0.0849 -0.0816 -0.0785
 -0.0764
 -4.8376 -4.3024 -3.7830 -3.2971 -2.8529 -2.4655 -2.1377 -1.8650 -1.6408 -1.4558
 -1.3012 -1.1700 -1.0570 -0.9580 -0.8693 -0.6713 -0.5364 -0.4053 -0.2923
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  V   
 -6.4452 -6.1262 -5.8473 -5.6013 -5.3274 -4.9640 -4.4618 -3.7809 -2.9751 -2.3382
 -1.8899 -1.5773 -1.3514 -1.1779 -1.0357 -0.7608 -0.5564 -0.3966 -0.2673
 -6.1170 -5.7503 -5.4334 -5.1588 -4.9037 -4.6112 -4.1617 -3.4785 -2.7971 -2.2330
 -1.8134 -1.5114 -1.2904 -1.1207 -0.9822 -0.7155 -0.5211 -0.3737 -0.2576 -0.1647
 -5.9080 -5.4915 -5.1262 -4.8089 -4.5253 -4.2349 -3.8481 -3.2806 -2.6960 -2.1871
 -1.7876 -1.4889 -1.2665 -1.0959 -0.9580 -0.6941 -0.5037 -0.3627 -0.2543 -0.1685
 -0.1004
 -5.7616 -5.3110 -4.9038 -4.5415 -4.2192 -3.9167 -3.5850 -3.1225 -2.6201 -2.1624
 -1.7845 -1.4898 -1.2646 -1.0909 -0.9515 -0.6875 -0.4976 -0.3591 -0.2551 -0.1743
 -0.1106 -0.0595
 -5.5206 -5.1069 -4.7088 -4.3328 -3.9824 -3.6562 -3.3418 -2.9723 -2.5462 -2.1388
 -1.7868 -1.5005 -1.2746 -1.0976 -0.9556 -0.6901 -0.4987 -0.3601 -0.2583 -0.1809
 -0.1207 -0.0730 -0.0338  0.0001
 -5.0804 -4.6829 -4.3476 -4.0435 -3.7437 -3.4363 -3.1245 -2.8117 -2.4598 -2.1046
 -1.7833 -1.5109 -1.2885 -1.1100 -0.9658 -0.6978 -0.5045 -0.3638 -0.2625 -0.1873
 -0.1299 -0.0854 -0.0497 -0.0195  0.0065  0.0284  0.0452  0.0552  0.0569  0.0530
 -4.8538 -4.3727 -3.9705 -3.6390 -3.3555 -3.0973 -2.8480 -2.5920 -2.3200 -2.0349
 -1.7591 -1.5115 -1.2996 -1.1235 -0.9785 -0.7082 -0.5130 -0.3696 -0.2668 -0.1926
 -0.1375 -0.0961 -0.0640 -0.0374 -0.0144  0.0057  0.0224  0.0350  0.0412  0.0385
  0.0296
 -4.8190 -4.2759 -3.8044 -3.4067 -3.0755 -2.7940 -2.5433 -2.3096 -2.0815 -1.8592
 -1.6543 -1.4652 -1.2895 -1.1301 -0.9902 -0.7199 -0.5234 -0.3768 -0.2713 -0.1965
 -0.1428 -0.1040 -0.0756 -0.0532 -0.0342 -0.0172 -0.0024  0.0099  0.0188  0.0211
  0.0142
 -4.8867 -4.3059 -3.7833 -3.3294 -2.9456 -2.6245 -2.3529 -2.1155 -1.8995 -1.6970
 -1.5116 -1.3510 -1.2153 -1.0951 -0.9819 -0.7293 -0.5325 -0.3835 -0.2748 -0.1982
 -0.1451 -0.1083 -0.0832 -0.0653 -0.0511 -0.0384 -0.0270 -0.0168 -0.0085 -0.0036
 -0.0045
 -4.9950 -4.4018 -3.8508 -3.3578 -2.9302 -2.5689 -2.2677 -2.0147 -1.7975 -1.6059
 -1.4340 -1.2813 -1.1495 -1.0384 -0.9433 -0.7333 -0.5439 -0.3929 -0.2806 -0.2006
 -0.1462 -0.1101 -0.0873 -0.0733 -0.0639 -0.0564 -0.0495 -0.0430 -0.0371 -0.0332
 -0.0315
 -5.0712 -4.4941 -3.9445 -3.4323 -2.9780 -2.5854 -2.2552 -1.9807 -1.7520 -1.5586
 -1.3919 -1.2463 -1.1188 -1.0080 -0.9121 -0.7196 -0.5512 -0.4026 -0.2871 -0.2033
 -0.1461 -0.1093 -0.0875 -0.0762 -0.0712 -0.0689 -0.0675 -0.0659 -0.0641 -0.0626
 -0.0668
 -5.1153 -4.5537 -4.0212 -3.5185 -3.0543 -2.6445 -2.2927 -1.9974 -1.7527 -1.5495
 -1.3787 -1.2330 -1.1070 -0.9970 -0.8883 -0.6882 -0.5544 -0.4126 -0.2943
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  V   
 -6.5382 -6.2594 -6.0321 -5.8412 -5.6293 -5.3173 -4.8358 -4.1287 -3.2436 -2.5048
 -1.9821 -1.6221 -1.3688 -1.1803 -1.0310 -0.7502 -0.5461 -0.3879 -0.2574
 -6.2166 -5.8957 -5.6298 -5.4135 -5.2206 -4.9878 -4.5810 -3.8659 -3.0949 -2.4236
 -1.9249 -1.5718 -1.3203 -1.1335 -0.9862 -0.7117 -0.5148 -0.3664 -0.2500 -0.1562
 -6.0099 -5.6375 -5.3223 -5.0623 -4.8419 -4.6135 -4.2709 -3.6840 -3.0179 -2.4061
 -1.9225 -1.5668 -1.3091 -1.1178 -0.9687 -0.6946 -0.4999 -0.3564 -0.2466 -0.1594
 -0.0897
 -5.8817 -5.4650 -5.0990 -4.7874 -4.5245 -4.2834 -3.9970 -3.5291 -2.9612 -2.4085
 -1.9453 -1.5875 -1.3209 -1.1218 -0.9681 -0.6910 -0.4956 -0.3533 -0.2472 -0.1645
 -0.0988 -0.0463
 -5.7422 -5.3191 -4.9301 -4.5811 -4.2734 -4.0001 -3.7319 -3.3702 -2.8960 -2.4076
 -1.9726 -1.6194 -1.3463 -1.1387 -0.9785 -0.6958 -0.4982 -0.3549 -0.2501 -0.1704
 -0.1079 -0.0584 -0.0184  0.0152
 -5.3685 -5.0230 -4.6964 -4.3783 -4.0689 -3.7722 -3.4892 -3.1921 -2.8089 -2.3877
 -1.9909 -1.6512 -1.3773 -1.1630 -0.9961 -0.7056 -0.5054 -0.3596 -0.2543 -0.1763
 -0.1163 -0.0695 -0.0325 -0.0022  0.0232  0.0440  0.0595  0.0678  0.0685  0.0638
 -5.0041 -4.5931 -4.2631 -3.9924 -3.7513 -3.5140 -3.2612 -2.9886 -2.6861 -2.3383
 -1.9889 -1.6734 -1.4066 -1.1904 -1.0179 -0.7185 -0.5156 -0.3666 -0.2593 -0.1816
 -0.1235 -0.0792 -0.0452 -0.0181  0.0044  0.0234  0.0387  0.0497  0.0541  0.0505
  0.0409
 -4.8863 -4.3985 -3.9852 -3.6476 -3.3720 -3.1362 -2.9173 -2.6981 -2.4592 -2.1982
 -1.9270 -1.6633 -1.4224 -1.2144 -1.0412 -0.7334 -0.5274 -0.3754 -0.2649 -0.1860
 -0.1290 -0.0868 -0.0558 -0.0323 -0.0134  0.0026  0.0160  0.0268  0.0335  0.0343
  0.0263
 -4.9202 -4.3801 -3.9025 -3.4948 -3.1551 -2.8731 -2.6306 -2.4091 -2.1925 -1.9698
 -1.7505 -1.5493 -1.3679 -1.2022 -1.0505 -0.7474 -0.5385 -0.3840 -0.2702 -0.1890
 -0.1318 -0.0914 -0.0630 -0.0431 -0.0284 -0.0164 -0.0063  0.0012  0.0060  0.0085
  0.0088
 -5.0428 -4.4715 -3.9503 -3.4882 -3.0914 -2.7566 -2.4756 -2.2340 -2.0171 -1.8125
 -1.6151 -1.4319 -1.2715 -1.1352 -1.0168 -0.7603 -0.5522 -0.3954 -0.2780 -0.1932
 -0.1343 -0.0943 -0.0677 -0.0508 -0.0402 -0.0327 -0.0269 -0.0219 -0.0179 -0.0160
 -0.0163
 -5.1631 -4.5960 -4.0553 -3.5619 -3.1226 -2.7434 -2.4218 -2.1511 -1.9197 -1.7167
 -1.5330 -1.3649 -1.2138 -1.0824 -0.9705 -0.7509 -0.5642 -0.4071 -0.2868 -0.1981
 -0.1361 -0.0951 -0.0693 -0.0545 -0.0473 -0.0443 -0.0434 -0.0430 -0.0429 -0.0433
 -0.0490
 -5.2438 -4.6965 -4.1668 -3.6649 -3.2026 -2.7942 -2.4400 -2.1397 -1.8870 -1.6731
 -1.4891 -1.3276 -1.1845 -1.0581 -0.9116 -0.7192 -0.5745 -0.4191 -0.2966
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  V   
 -6.5680 -6.3385 -6.2908 -6.2849 -6.1840 -5.8777 -5.2770 -4.3932 -3.4968 -2.6988
 -2.1032 -1.6919 -1.4051 -1.1963 -1.0357 -0.7453 -0.5383 -0.3802 -0.2507
 -6.2532 -5.9813 -5.7691 -5.6098 -5.4785 -5.2962 -4.9289 -4.1948 -3.3777 -2.6346
 -2.0620 -1.6551 -1.3680 -1.1591 -0.9988 -0.7121 -0.5108 -0.3604 -0.2430 -0.1479
 -6.0455 -5.7200 -5.4573 -5.2551 -5.0943 -4.9225 -4.6260 -4.0418 -3.3289 -2.6399
 -2.0801 -1.6665 -1.3691 -1.1524 -0.9880 -0.6987 -0.4982 -0.3512 -0.2393 -0.1504
 -0.0788
 -5.9214 -5.5445 -5.2249 -4.9670 -4.7635 -4.5823 -4.3457 -3.8979 -3.2938 -2.6686
 -2.1262 -1.7057 -1.3948 -1.1662 -0.9938 -0.6978 -0.4954 -0.3487 -0.2396 -0.1548
 -0.0870 -0.0326
 -5.8311 -5.4247 -5.0623 -4.7516 -4.4945 -4.2798 -4.0661 -3.7348 -3.2418 -2.6905
 -2.1782 -1.7583 -1.4359 -1.1940 -1.0115 -0.7048 -0.4993 -0.3507 -0.2423 -0.1600
 -0.0953 -0.0436 -0.0022  0.0321
 -5.5370 -5.2509 -4.9019 -4.5789 -4.2881 -4.0311 -3.7997 -3.5403 -3.1556 -2.6871
 -2.2194 -1.8117 -1.4842 -1.2311 -1.0378 -0.7170 -0.5078 -0.3562 -0.2466 -0.1655
 -0.1030 -0.0538 -0.0148  0.0164  0.0422  0.0623  0.0759  0.0824  0.0821  0.0763
 -5.1689 -4.8331 -4.5580 -4.3096 -4.0663 -3.8203 -3.5718 -3.3246 -3.0281 -2.6468
 -2.2368 -1.8553 -1.5322 -1.2729 -1.0701 -0.7332 -0.5195 -0.3645 -0.2521 -0.1708
 -0.1098 -0.0628 -0.0263  0.0022  0.0251  0.0435  0.0578  0.0668  0.0692  0.0644
  0.0539
 -4.9378 -4.5097 -4.1616 -3.8889 -3.6700 -3.4787 -3.2904 -3.0831 -2.8404 -2.5485
 -2.2135 -1.8762 -1.5713 -1.3139 -1.1053 -0.7523 -0.5330 -0.3748 -0.2590 -0.1757
 -0.1153 -0.0700 -0.0360 -0.0104  0.0093  0.0250  0.0372  0.0464  0.0512  0.0498
  0.0406
 -4.9078 -4.4151 -3.9904 -3.6376 -3.3536 -3.1236 -2.9258 -2.7405 -2.5433 -2.3166
 -2.0660 -1.8102 -1.5625 -1.3340 -1.1340 -0.7718 -0.5459 -0.3851 -0.2659 -0.1798
 -0.1187 -0.0747 -0.0429 -0.0201 -0.0039  0.0082  0.0174  0.0248  0.0294  0.0296
  0.0246
 -5.0075 -4.4696 -3.9926 -3.5742 -3.2215 -2.9298 -2.6873 -2.4767 -2.2795 -2.0791
 -1.8665 -1.6543 -1.4583 -1.2826 -1.1244 -0.7947 -0.5624 -0.3983 -0.2757 -0.1859
 -0.1225 -0.0784 -0.0480 -0.0277 -0.0146 -0.0064 -0.0010  0.0027  0.0048  0.0060
  0.0020
 -5.1535 -4.6045 -4.0903 -3.6259 -3.2190 -2.8711 -2.5781 -2.3302 -2.1142 -1.9161
 -1.7240 -1.5356 -1.3586 -1.2013 -1.0658 -0.7956 -0.5791 -0.4120 -0.2865 -0.1929
 -0.1262 -0.0807 -0.0508 -0.0321 -0.0217 -0.0171 -0.0159 -0.0163 -0.0178 -0.0202
 -0.0273
 -5.2767 -4.7404 -4.2225 -3.7341 -3.2928 -2.9029 -2.5661 -2.2793 -2.0353 -1.8241
 -1.6350 -1.4608 -1.2991 -1.1523 -0.9582 -0.7745 -0.5960 -0.4262 -0.2983
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  V   
 -6.5480 -6.3736 -6.3932 -6.4370 -6.3578 -6.0535 -5.4479 -4.5485 -3.7164 -2.9098
 -2.2524 -1.7862 -1.4614 -1.2278 -1.0522 -0.7460 -0.5346 -0.3749 -0.2448
 -6.2384 -6.0212 -5.8671 -5.7636 -5.6798 -5.5505 -5.2121 -4.4484 -3.6309 -2.8556
 -2.2221 -1.7610 -1.4345 -1.1992 -1.0225 -0.7178 -0.5102 -0.3565 -0.2371 -0.1404
 -6.0274 -5.7546 -5.5490 -5.4054 -5.3001 -5.1787 -4.9239 -4.3505 -3.6070 -2.8761
 -2.2560 -1.7872 -1.4476 -1.2018 -1.0183 -0.7078 -0.4996 -0.3481 -0.2333 -0.1422
 -0.0684
 -5.8993 -5.5692 -5.3021 -5.1016 -4.9563 -4.8293 -4.6375 -4.2172 -3.5959 -2.9249
