 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  J   
  1.7004  1.6581  1.6234  1.5966  1.5756  1.5273  1.4708  1.4054  1.3324  1.2538
  1.1712  1.0866  1.0016  0.9165  0.8312  0.7448
  2.1411  2.1244  2.1042  2.0761  2.0376  1.9890  1.9341  1.8777  1.8227  1.7699
  1.7203  1.6749  1.6350  1.6019  1.5759  1.5225  1.4642  1.3978  1.3244  1.2457
  1.1635  1.0793  0.9949  0.9109  0.8272  0.7434  0.6588  0.5729  0.4858  0.4013
  2.1154  2.0909  2.0667  2.0412  2.0118  1.9765  1.9345  1.8857  1.8321  1.7797
  1.7320  1.6886  1.6489  1.6129  1.5817  1.5211  1.4608  1.3932  1.3192  1.2403
  1.1580  1.0737  0.9891  0.9053  0.8224  0.7400  0.6578  0.5751  0.4913  0.4061
  0.3230
  2.1120  2.0808  2.0498  2.0192  1.9884  1.9556  1.9194  1.8790  1.8347  1.7878
  1.7407  1.6963  1.6570  1.6223  1.5907  1.5230  1.4600  1.3912  1.3166  1.2374
  1.1548  1.0700  0.9847  0.9002  0.8172  0.7355  0.6544  0.5738  0.4927  0.4111
  0.3270
  2.1201  2.0851  2.0487  2.0126  1.9770  1.9418  1.9061  1.8688  1.8292  1.7877
  1.7457  1.7047  1.6659  1.6302  1.5982  1.5281  1.4614  1.3909  1.3154  1.2357
  1.1527  1.0673  0.9809  0.8951  0.8111  0.7289  0.6481  0.5684  0.4892  0.4099
  0.3297
  2.1360  2.0973  2.0581  2.0179  1.9781  1.9391  1.9010  1.8636  1.8260  1.7877
  1.7491  1.7108  1.6740  1.6393  1.6069  1.5352  1.4663  1.3938  1.3174  1.2374
  1.1543  1.0686  0.9813  0.8941  0.8085  0.7251  0.6437  0.5641  0.4857  0.4080
  0.3304
  2.1571  2.1153  2.0731  2.0306  1.9881  1.9458  1.9047  1.8652  1.8271  1.7899
  1.7532  1.7168  1.6812  1.6471  1.6148  1.5414  1.4727  1.3989  1.3213  1.2408
  1.1576  1.0718  0.9841  0.8957  0.8084  0.7233  0.6405  0.5600  0.4813  0.4041
  0.3278
  2.1813  2.1381  2.0939  2.0494  2.0051  1.9608  1.9172  1.8752  1.8351  1.7969
  1.7602  1.7245  1.6897  1.6557  1.6219  1.5467  1.4806  1.4062  1.3271
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  J   
  2.1472  2.0921  2.0378  1.9847  1.9333  1.8848  1.8406  1.8015  1.7719  1.7396
  1.7189  1.7041  1.6922  1.6824  1.6723  1.6393
  2.1754  2.1184  2.0600  2.0018  1.9450  1.8908  1.8404  1.7946  1.7541  1.7205
  1.6946  1.6757  1.6617  1.6500  1.6384  1.6022  1.5518  1.4878  1.4114
  2.2001  2.1436  2.0839  2.0232  1.9631  1.9050  1.8499  1.7987  1.7528  1.7134
  1.6819  1.6581  1.6407  1.6266  1.6133  1.5741  1.5226  1.4593  1.3854  1.3027
  1.2151
  2.2213  2.1677  2.1095  2.0489  1.9877  1.9274  1.8691  1.8138  1.7631  1.7183
  1.6808  1.6513  1.6292  1.6122  1.5970  1.5550  1.5020  1.4385  1.3658  1.2857
  1.2003  1.1125  1.0230
  2.2356  2.1874  2.1330  2.0746  2.0142  1.9535  1.8936  1.8358  1.7813  1.7319
  1.6889  1.6534  1.6257  1.6046  1.5870  1.5421  1.4876  1.4234  1.3510  1.2723
  1.1889  1.1030  1.0163  0.9285  0.8394
  2.2198  2.1898  2.1473  2.0957  2.0388  1.9794  1.9198  1.8611  1.8045  1.7516
  1.7041  1.6630  1.6294  1.6031  1.5821  1.5338  1.4778  1.4128  1.3402  1.2620
  1.1798  1.0951  1.0098  0.9241  0.8379  0.7508
  2.1613  2.1464  2.1246  2.0921  2.0484  1.9966  1.9403  1.8835  1.8276  1.7739
  1.7239  1.6786  1.6396  1.6076  1.5820  1.5291  1.4714  1.4055  1.3325  1.2544
  1.1727  1.0886  1.0039  0.9193  0.8349  0.7503  0.6649  0.5780  0.4904  0.4056
  2.1253  2.1038  2.0821  2.0577  2.0279  1.9910  1.9464  1.8947  1.8400  1.7878
  1.7396  1.6949  1.6540  1.6176  1.5870  1.5275  1.4679  1.4010  1.3276  1.2493
  1.1676  1.0836  0.9989  0.9145  0.8309  0.7477  0.6645  0.5810  0.4963  0.4106
  0.3274
  2.1143  2.0859  2.0577  2.0298  2.0008  1.9688  1.9325  1.8915  1.8454  1.7962
  1.7477  1.7029  1.6635  1.6282  1.5961  1.5290  1.4670  1.3990  1.3251  1.2465
  1.1646  1.0804  0.9952  0.9103  0.8266  0.7440  0.6621  0.5805  0.4987  0.4160
  0.3321
  2.1174  2.0844  2.0507  2.0173  1.9843  1.9511  1.9166  1.8795  1.8394  1.7967
  1.7532  1.7107  1.6708  1.6350  1.6033  1.5336  1.4681  1.3986  1.3239  1.2449
  1.1625  1.0778  0.9918  0.9058  0.8212  0.7382  0.6565  0.5758  0.4958  0.4156
  0.3346
  2.1273  2.0916  2.0550  2.0176  1.9804  1.9438  1.9076  1.8713  1.8340  1.7953
  1.7557  1.7163  1.6786  1.6434  1.6109  1.5403  1.4725  1.4013  1.3257  1.2465
  1.1640  1.0789  0.9922  0.9051  0.8192  0.7351  0.6529  0.5724  0.4931  0.4145
  0.3360
  2.1418  2.1035  2.0646  2.0254  1.9854  1.9457  1.9068  1.8689  1.8318  1.7950
  1.7581  1.7212  1.6850  1.6506  1.6183  1.5459  1.4786  1.4061  1.3294  1.2497
  1.1671  1.0819  0.9948  0.9068  0.8194  0.7338  0.6503  0.5689  0.4895  0.4113
  0.3341
  2.1605  2.1200  2.0791  2.0379  1.9967  1.9552  1.9141  1.8741  1.8357  1.7985
  1.7625  1.7271  1.6922  1.6583  1.6255  1.5504  1.4864  1.4130  1.3350
 [Fe/H] = -0.50 [alpha/Fe] = 0.20 BC value =  J   
  2.1290  2.0769  2.0261  1.9768  1.9304  1.8873  1.8477  1.8160  1.7852  1.7578
  1.7319  1.7150  1.7022  1.6904  1.6788  1.6436
  2.1608  2.1049  2.0486  1.9932  1.9401  1.8902  1.8442  1.8025  1.7650  1.7329
  1.7070  1.6870  1.6717  1.6586  1.6459  1.6080  1.5569  1.4928  1.4176
  2.1896  2.1327  2.0738  2.0148  1.9572  1.9023  1.8510  1.8037  1.7609  1.7237
  1.6931  1.6691  1.6506  1.6355  1.6214  1.5810  1.5288  1.4654  1.3923  1.3107
  1.2237
  2.2154  2.1603  2.1017  2.0416  1.9818  1.9237  1.8681  1.8161  1.7683  1.7261
  1.6902  1.6613  1.6389  1.6211  1.6053  1.5626  1.5093  1.4456  1.3734  1.2940
  1.2090  1.1209  1.0311
  2.2352  2.1842  2.1282  2.0692  2.0092  1.9496  1.8916  1.8360  1.7841  1.7371
  1.6961  1.6619  1.6347  1.6133  1.5953  1.5500  1.4956  1.4315  1.3593  1.2811
  1.1981  1.1121  1.0248  0.9365  0.8468
  2.2337  2.1964  2.1486  2.0939  2.0358  1.9765  1.9177  1.8604  1.8055  1.7545
  1.7090  1.6696  1.6371  1.6113  1.5901  1.5417  1.4860  1.4214  1.3491  1.2714
  1.1895  1.1049  1.0191  0.9328  0.8460  0.7580
  2.1807  2.1650  2.1386  2.1001  2.0525  1.9986  1.9417  1.8850  1.8293  1.7761
  1.7270  1.6831  1.6455  1.6146  1.5896  1.5368  1.4797  1.4144  1.3419  1.2642
  1.1829  1.0991  1.0141  0.9289  0.8438  0.7583  0.6719  0.5841  0.4959  0.4108
  2.1347  2.1160  2.0958  2.0712  2.0397  2.0001  1.9526  1.8996  1.8456  1.7940
  1.7454  1.7000  1.6590  1.6233  1.5936  1.5349  1.4761  1.4100  1.3372  1.2594
