 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  K   
  3.0501  3.0629  3.0779  3.0910  3.0977  3.0943  3.0774  3.0448  2.9988  2.9422
  2.8780  2.8088  2.7372  2.6650  2.5933  2.4178  2.2476  2.0822  1.9221  1.7666
  1.6151
  2.9816  2.9878  2.9998  3.0137  3.0249  3.0286  3.0206  2.9978  2.9618  2.9146
  2.8581  2.7943  2.7256  2.6543  2.5826  2.4066  2.2369  2.0730  1.9148  1.7615
  1.6126  1.4680  1.3274
  2.9276  2.9223  2.9274  2.9382  2.9500  2.9582  2.9578  2.9445  2.9182  2.8808
  2.8335  2.7776  2.7143  2.6459  2.5751  2.3990  2.2291  2.0659  1.9089  1.7571
  1.6100  1.4676  1.3295  1.1951  1.0640
  2.9075  2.8770  2.8656  2.8681  2.8774  2.8867  2.8906  2.8852  2.8679  2.8398
  2.8021  2.7554  2.7002  2.6373  2.5691  2.3939  2.2238  2.0607  1.9042  1.7534
  1.6076  1.4668  1.3305  1.1982  1.0694  0.9438
  2.9209  2.8734  2.8351  2.8122  2.8059  2.8121  2.8211  2.8228  2.8137  2.7936
  2.7641  2.7261  2.6800  2.6252  2.5624  2.3906  2.2205  2.0573  1.9009  1.7506
  1.6056  1.4658  1.3308  1.2002  1.0734  0.9499  0.8295  0.7121  0.5982  0.4894
  2.9297  2.8818  2.8359  2.7957  2.7655  2.7475  2.7397  2.7382  2.7384  2.7340
  2.7191  2.6913  2.6533  2.6069  2.5521  2.3881  2.2185  2.0552  1.8988  1.7488
  1.6043  1.4649  1.3307  1.2012  1.0758  0.9541  0.8356  0.7200  0.6074  0.4982
  0.3934
  2.9278  2.8844  2.8396  2.7956  2.7549  2.7205  2.6944  2.6755  2.6605  2.6477
  2.6371  2.6265  2.6084  2.5775  2.5339  2.3850  2.2174  2.0542  1.8978  1.7479
  1.6037  1.4646  1.3307  1.2017  1.0772  0.9567  0.8396  0.7257  0.6148  0.5067
  0.3999
  2.9059  2.8732  2.8351  2.7942  2.7525  2.7120  2.6752  2.6436  2.6172  2.5938
  2.5718  2.5506  2.5315  2.5126  2.4875  2.3753  2.2143  2.0516  1.8952  1.7453
  1.6013  1.4625  1.3286  1.1995  1.0752  0.9553  0.8391  0.7263  0.6168  0.5100
  0.4060
  2.8490  2.8348  2.8114  2.7804  2.7444  2.7059  2.6668  2.6294  2.5948  2.5635
