 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  H   
  2.7059  2.7426  2.7741  2.7968  2.8082  2.8071  2.7934  2.7681  2.7334  2.6913
  2.6433  2.5906  2.5349  2.4773  2.4184  2.2670  2.1139  1.9612  1.8102  1.6619
  1.5165
  2.6322  2.6694  2.7044  2.7323  2.7502  2.7566  2.7507  2.7333  2.7058  2.6701
  2.6274  2.5784  2.5247  2.4676  2.4086  2.2570  2.1044  1.9534  1.8046  1.6590
  1.5166  1.3773  1.2410
  2.5559  2.5676  2.6105  2.6569  2.6859  2.7000  2.7012  2.6913  2.6712  2.6425
  2.6062  2.5628  2.5131  2.4581  2.3998  2.2485  2.0962  1.9463  1.7993  1.6556
  1.5154  1.3785  1.2447  1.1139  0.9860
  2.5114  2.4931  2.5007  2.5262  2.5621  2.6021  2.6358  2.6430  2.6322  2.6099
  2.5794  2.5418  2.4977  2.4471  2.3909  2.2409  2.0891  1.9400  1.7945  1.6524
  1.5139  1.3787  1.2470  1.1183  0.9926  0.8698
  2.5199  2.4919  2.4685  2.4542  2.4523  2.4603  2.4807  2.5131  2.5435  2.5569
  2.5449  2.5158  2.4772  2.4320  2.3802  2.2334  2.0823  1.9341  1.7898  1.6494
  1.5124  1.3787  1.2485  1.1214  0.9975  0.8765  0.7583  0.6427  0.5302  0.4232
  2.5299  2.5014  2.4728  2.4465  2.4254  2.4117  2.4056  2.4049  2.4092  2.4229
  2.4439  2.4528  2.4397  2.4082  2.3645  2.2254  2.0756  1.9280  1.7848  1.6460
  1.5108  1.3786  1.2498  1.1241  1.0015  0.8820  0.7653  0.6514  0.5401  0.4315
  0.3278
  2.5301  2.5063  2.4794  2.4514  2.4238  2.3989  2.3782  2.3627  2.3508  2.3415
  2.3361  2.3386  2.3458  2.3432  2.3241  2.2146  2.0684  1.9217  1.7794  1.6420
  1.5094  1.3783  1.2509  1.1265  1.0052  0.8869  0.7714  0.6588  0.5489  0.4415
  0.3364
  2.5055  2.4942  2.4748  2.4508  2.4244  2.3974  2.3710  2.3467  2.3249  2.3054
  2.2875  2.2712  2.2586  2.2517  2.2452  2.1833  2.0572  1.9129  1.7715  1.6352
  1.5036  1.3753  1.2494  1.1260  1.0058  0.8885  0.7741  0.6625  0.5536  0.4473
  0.3433
