 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  U   
 -3.8387 -3.6353 -3.4500 -3.2660 -3.0616 -2.4935 -1.9814 -1.5538 -1.1890 -0.8913
 -0.6706 -0.5232 -0.4286 -0.3669 -0.3256 -0.2974 -0.2782 -0.2643 -0.2532 -0.2444
 -0.2380
 -8.2421 -7.5606 -6.9391 -6.3755 -5.8700 -5.4212 -5.0252 -4.6764 -4.3675 -4.0914
 -3.8407 -3.6104 -3.3981 -3.2006 -3.0096 -2.5107 -2.0077 -1.5747 -1.2080 -0.9027
 -0.6666 -0.5020 -0.3963 -0.3302 -0.2887 -0.2628 -0.2473 -0.2385 -0.2337 -0.2310
 -0.2300
 -8.7770 -8.0623 -7.3982 -6.7832 -6.2213 -5.7133 -5.2597 -4.8591 -4.5055 -4.1919
 -3.9105 -3.6544 -3.4185 -3.1993 -2.9936 -2.5196 -2.0528 -1.6180 -1.2468 -0.9347
 -0.6842 -0.4996 -0.3757 -0.2979 -0.2509 -0.2235 -0.2091 -0.2031 -0.2027 -0.2054
 -0.2091
 -9.2909 -8.5626 -7.8745 -7.2276 -6.6243 -6.0681 -5.5624 -5.1094 -4.7072 -4.3517
 -4.0353 -3.7505 -3.4907 -3.2500 -3.0263 -2.5301 -2.0899 -1.6694 -1.2942 -0.9765
 -0.7153 -0.5133 -0.3694 -0.2744 -0.2160 -0.1826 -0.1659 -0.1601 -0.1616 -0.1680
 -0.1767
 -9.7522 -9.0296 -8.3383 -7.6775 -7.0511 -6.4621 -5.9165 -5.4187 -4.9698 -4.5691
 -4.2129 -3.8952 -3.6006 -3.3372 -3.1077 -2.5422 -2.1190 -1.7289 -1.3502
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  U   
 -6.7666 -6.7427 -6.7300 -6.7185 -6.7008 -6.6670 -6.6082 -6.5166 -6.3838 -6.2033
 -5.9736 -5.6987 -5.3924 -5.0822 -4.7781 -4.0483 -3.3419 -2.6645 -2.0669
 -6.3025 -6.2416 -6.2052 -6.1796 -6.1528 -6.1148 -6.0563 -5.9685 -5.8435 -5.6738
 -5.4538 -5.1853 -4.8860 -4.5804 -4.2827 -3.5867 -2.9430 -2.3531 -1.8406 -1.4363
 -6.0266 -5.8879 -5.7932 -5.7300 -5.6815 -5.6319 -5.5683 -5.4817 -5.3647 -5.2104
 -5.0120 -4.7665 -4.4840 -4.1894 -3.9016 -3.2399 -2.6482 -2.1192 -1.6649 -1.3011
 -1.0341
 -5.9424 -5.7208 -5.5636 -5.4405 -5.3392 -5.2568 -5.1784 -5.0869 -4.9737 -4.8322
 -4.6559 -4.4392 -4.1824 -3.9037 -3.6259 -2.9915 -2.4376 -1.9494 -1.5331 -1.1971
 -0.9487 -0.7728
 -6.0763 -5.7479 -5.4846 -5.2799 -5.1282 -5.0186 -4.9214 -4.8167 -4.6959 -4.5551
 -4.3904 -4.1967 -3.9680 -3.7093 -3.4418 -2.8244 -2.2947 -1.8326 -1.4391 -1.1203
 -0.8819 -0.7149 -0.5978 -0.5113
 -6.3309 -5.9309 -5.5902 -5.3036 -5.0688 -4.8791 -4.7275 -4.6077 -4.5056 -4.3811
