 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  I   
  0.3668  0.3956  0.4311  0.4703  0.5082  0.5846  0.6354  0.6620  0.6664  0.6527
  0.6273  0.5957
 -0.0747  0.0751  0.1859  0.2615  0.3053  0.3238  0.3341  0.3471  0.3625  0.3784
  0.3953  0.4151  0.4407  0.4727  0.5069  0.5788  0.6263  0.6512  0.6552  0.6420
  0.6169  0.5855  0.5503  0.5113
 -0.0590  0.0951  0.2146  0.3033  0.3655  0.4052  0.4255  0.4294  0.4223  0.4186
  0.4247  0.4385  0.4572  0.4809  0.5095  0.5760  0.6205  0.6438  0.6472  0.6341
  0.6089  0.5770  0.5418  0.5037  0.4627  0.4185  0.3707  0.3184  0.2621  0.2062
 -0.0521  0.0998  0.2199  0.3117  0.3799  0.4289  0.4622  0.4831  0.4936  0.4933
  0.4851  0.4791  0.4829  0.4970  0.5179  0.5765  0.6181  0.6397  0.6426  0.6293
  0.6038  0.5708  0.5344  0.4962  0.4559  0.4133  0.3680  0.3195  0.2671  0.2103
  0.1528
 -0.0367  0.1073  0.2232  0.3135  0.3825  0.4349  0.4741  0.5025  0.5226  0.5360
  0.5435  0.5441  0.5395  0.5368  0.5412  0.5810  0.6190  0.6389  0.6413  0.6280
  0.6020  0.5676  0.5294  0.4898  0.4490  0.4070  0.3630  0.3170  0.2683  0.2157
  0.1580
 -0.0033  0.1288  0.2365  0.3216  0.3877  0.4392  0.4801  0.5125  0.5377  0.5569
  0.5716  0.5825  0.5891  0.5908  0.5897  0.5972  0.6241  0.6417  0.6434  0.6301
  0.6038  0.5679  0.5271  0.4849  0.4425  0.3997  0.3560  0.3111  0.2645  0.2150
  0.1626
  0.0417  0.1616  0.2607  0.3385  0.4002  0.4490  0.4884  0.5211  0.5484  0.5709
  0.5891  0.6038  0.6157  0.6246  0.6301  0.6325  0.6373  0.6482  0.6488  0.6359
  0.6100  0.5735  0.5303  0.4849  0.4396  0.3949  0.3502  0.3054  0.2599  0.2130
  0.1640
  0.0895  0.2012  0.2935  0.3658  0.4226  0.4678  0.5045  0.5354  0.5619  0.5849
  0.6045  0.6208  0.6343  0.6455  0.6545  0.6655  0.6641  0.6613  0.6576  0.6445
  0.6194  0.5831  0.5385  0.4900  0.4411  0.3932  0.3462  0.3000  0.2542  0.2081
  0.1611
  0.1321  0.2380  0.3260  0.3966  0.4519  0.4948  0.5291  0.5577  0.5822  0.6036
  0.6224  0.6386  0.6522  0.6635  0.6629  0.6962  0.7045  0.6810  0.6698
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  I   
 -0.8552 -0.7170 -0.5969 -0.4849 -0.3718 -0.2483 -0.1061  0.0470  0.1645  0.2493
  0.3169  0.3765  0.4311  0.4810  0.5256  0.6159  0.6804  0.7184  0.7286
 -0.6509 -0.5068 -0.3888 -0.2878 -0.1954 -0.1014  0.0068  0.1166  0.2047  0.2719
  0.3285  0.3812  0.4315  0.4780  0.5199  0.6041  0.6632  0.6963  0.7052  0.6924
 -0.5042 -0.3528 -0.2319 -0.1344 -0.0532  0.0200  0.0974  0.1767  0.2432  0.2962
  0.3422  0.3870  0.4322  0.4757  0.5155  0.5949  0.6494  0.6801  0.6876  0.6759
  0.6509
 -0.3564 -0.2220 -0.1077 -0.0136  0.0621  0.1238  0.1795  0.2357  0.2850  0.3256
  0.3612  0.3970  0.4354  0.4750  0.5125  0.5879  0.6387  0.6670  0.6738  0.6628
  0.6388  0.6072
 -0.2481 -0.0927  0.0438  0.1179  0.1702  0.2148  0.2554  0.2940  0.3295  0.3598
  0.3866  0.4132  0.4434  0.4772  0.5116  0.5832  0.6309  0.6572  0.6632  0.6525
  0.6292  0.5981  0.5624  0.5229
