 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -0.6682 -0.6097 -0.5556 -0.5057 -0.4664 -0.3564 -0.2732 -0.2047 -0.1446
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =F350LP
 -2.4975 -2.4356 -2.3753 -2.3101 -2.2428 -2.1448 -1.9846 -1.7545 -1.5109 -1.2907
 -1.1084 -0.9623 -0.8451 -0.7476 -0.6632 -0.4903 -0.3537 -0.2427 -0.1519
 -2.3116 -2.2405 -2.1763 -2.1128 -2.0431 -1.9561 -1.8254 -1.6308 -1.4237 -1.2303
 -1.0630 -0.9244 -0.8107 -0.7158 -0.6337 -0.4658 -0.3349 -0.2311 -0.1479 -0.0812
 -2.1698 -2.0858 -2.0129 -1.9454 -1.8775 -1.8005 -1.6937 -1.5334 -1.3566 -1.1861
 -1.0330 -0.9017 -0.7910 -0.6974 -0.6164 -0.4513 -0.3241 -0.2246 -0.1461 -0.0835
 -0.0335
 -2.0649 -1.9684 -1.8844 -1.8086 -1.7362 -1.6618 -1.5741 -1.4458 -1.2961 -1.1466
 -1.0080 -0.8853 -0.7789 -0.6871 -0.6070 -0.4436 -0.3185 -0.2216 -0.1464 -0.0871
 -0.0402 -0.0028
 -1.9618 -1.8585 -1.7728 -1.6949 -1.6189 -1.5426 -1.4613 -1.3606 -1.2361 -1.1063
 -0.9822 -0.8693 -0.7689 -0.6804 -0.6018 -0.4400 -0.3160 -0.2209 -0.1479 -0.0913
 -0.0473 -0.0128  0.0149  0.0379
 -1.9089 -1.7740 -1.6593 -1.5648 -1.4871 -1.4194 -1.3502 -1.2701 -1.1716 -1.0622
 -0.9530 -0.8506 -0.7574 -0.6738 -0.5982 -0.4387 -0.3155 -0.2213 -0.1499 -0.0955
 -0.0541 -0.0226  0.0021  0.0223  0.0392  0.0532  0.0640  0.0714  0.0737  0.0699
 -1.8949 -1.7456 -1.6090 -1.4877 -1.3830 -1.2926 -1.2128 -1.1402 -1.0679 -0.9919
 -0.9103 -0.8256 -0.7423 -0.6649 -0.5935 -0.4383 -0.3156 -0.2220 -0.1515 -0.0987
 -0.0597 -0.0311 -0.0098  0.0071  0.0211  0.0329  0.0423  0.0490  0.0523  0.0500
  0.0413
 -1.8968 -1.7428 -1.5962 -1.4597 -1.3358 -1.2265 -1.1303 -1.0440 -0.9637 -0.8891
 -0.8231 -0.7648 -0.7076 -0.6473 -0.5849 -0.4379 -0.3161 -0.2225 -0.1524 -0.1006
 -0.0632 -0.0372 -0.0193 -0.0063  0.0040  0.0128  0.0197  0.0250  0.0275  0.0271
  0.0206
 -1.9001 -1.7478 -1.5998 -1.4566 -1.3218 -1.1992 -1.0903 -0.9941 -0.9081 -0.8302
 -0.7595 -0.6973 -0.6449 -0.5998 -0.5554 -0.4338 -0.3151 -0.2215 -0.1515 -0.1002
 -0.0641 -0.0400 -0.0252 -0.0162 -0.0101 -0.0054 -0.0019  0.0008  0.0020  0.0011
 -0.0036
 -1.8915 -1.7506 -1.6075 -1.4655 -1.3275 -1.1979 -1.0804 -0.9761 -0.8842 -0.8029
 -0.7305 -0.6658 -0.6085 -0.5586 -0.5155 -0.4184 -0.3142 -0.2212 -0.1507 -0.0991
 -0.0632 -0.0401 -0.0274 -0.0218 -0.0200 -0.0199 -0.0206 -0.0216 -0.0233 -0.0261
 -0.0307
 -1.8607 -1.7348 -1.6041 -1.4698 -1.3353 -1.2054 -1.0848 -0.9759 -0.8793 -0.7942
 -0.7190 -0.6522 -0.5925 -0.5393 -0.4917 -0.3943 -0.3056 -0.2198 -0.1492 -0.0971
 -0.0607 -0.0377 -0.0258 -0.0226 -0.0245 -0.0290 -0.0345 -0.0400 -0.0457 -0.0516
 -0.0582
 -1.8088 -1.6971 -1.5806 -1.4595 -1.3340 -1.2099 -1.0917 -0.9825 -0.8843 -0.7969
 -0.7192 -0.6499 -0.5878 -0.5321 -0.4840 -0.3615 -0.2893 -0.2173 -0.1470
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =F350LP
 -2.7235 -2.6728 -2.6192 -2.5554 -2.4634 -2.3294 -2.1433 -1.8974 -1.6063 -1.3463
 -1.1361 -0.9722 -0.8444 -0.7419 -0.6557 -0.4830 -0.3481 -0.2392 -0.1497
 -2.5141 -2.4537 -2.3969 -2.3367 -2.2647 -2.1678 -2.0178 -1.7863 -1.5347 -1.3001
 -1.1016 -0.9423 -0.8163 -0.7149 -0.6300 -0.4612 -0.3312 -0.2281 -0.1453 -0.0783
 -2.3449 -2.2711 -2.2063 -2.1447 -2.0795 -2.0002 -1.8831 -1.6960 -1.4813 -1.2710
 -1.0844 -0.9290 -0.8030 -0.7010 -0.6161 -0.4488 -0.3214 -0.2218 -0.1432 -0.0800
 -0.0292
 -2.2170 -2.1276 -2.0507 -1.9818 -1.9157 -1.8450 -1.7553 -1.6102 -1.4302 -1.2448
 -1.0726 -0.9232 -0.7982 -0.6954 -0.6096 -0.4425 -0.3164 -0.2189 -0.1430 -0.0828
 -0.0348  0.0036
 -2.1119 -2.0148 -1.9282 -1.8503 -1.7778 -1.7062 -1.6291 -1.5210 -1.3743 -1.2144
 -1.0590 -0.9186 -0.7969 -0.6942 -0.6077 -0.4401 -0.3146 -0.2182 -0.1441 -0.0862
 -0.0407 -0.0049  0.0236  0.0470
 -2.0068 -1.8913 -1.7988 -1.7230 -1.6542 -1.5848 -1.5106 -1.4254 -1.3104 -1.1761
 -1.0392 -0.9104 -0.7949 -0.6944 -0.6082 -0.4399 -0.3145 -0.2187 -0.1457 -0.0897
 -0.0464 -0.0132  0.0125  0.0330  0.0496  0.0630  0.0731  0.0797  0.0815  0.0773
 -1.9678 -1.8261 -1.7022 -1.5983 -1.5121 -1.4389 -1.3732 -1.3055 -1.2232 -1.1211
 -1.0081 -0.8950 -0.7888 -0.6932 -0.6088 -0.4408 -0.3153 -0.2197 -0.1474 -0.0926
 -0.0513 -0.0204  0.0023  0.0196  0.0334  0.0445  0.0530  0.0588  0.0612  0.0584
  0.0494
 -1.9603 -1.8074 -1.6660 -1.5385 -1.4274 -1.3316 -1.2471 -1.1691 -1.0916 -1.0117
 -0.9322 -0.8516 -0.7686 -0.6858 -0.6073 -0.4423 -0.3167 -0.2208 -0.1485 -0.0945
 -0.0546 -0.0259 -0.0060  0.0080  0.0182  0.0262  0.0322  0.0364  0.0385  0.0365
  0.0290
 -1.9642 -1.8091 -1.6604 -1.5203 -1.3917 -1.2770 -1.1758 -1.0850 -1.0003 -0.9177
 -0.8384 -0.7669 -0.7045 -0.6469 -0.5886 -0.4416 -0.3167 -0.2206 -0.1482 -0.0945
 -0.0557 -0.0288 -0.0114 -0.0009  0.0054  0.0096  0.0123  0.0138  0.0139  0.0118
  0.0060
 -1.9722 -1.8202 -1.6712 -1.5269 -1.3892 -1.2616 -1.1466 -1.0441 -0.9521 -0.8677
 -0.7889 -0.7158 -0.6504 -0.5942 -0.5457 -0.4332 -0.3178 -0.2214 -0.1484 -0.0943
 -0.0557 -0.0297 -0.0140 -0.0063 -0.0037 -0.0036 -0.0050 -0.0071 -0.0098 -0.0140
 -0.0197
 -1.9663 -1.8240 -1.6824 -1.5397 -1.4006 -1.2672 -1.1435 -1.0317 -0.9320 -0.8432
 -0.7632 -0.6905 -0.6245 -0.5655 -0.5135 -0.4091 -0.3136 -0.2217 -0.1480 -0.0933
 -0.0543 -0.0284 -0.0136 -0.0077 -0.0081 -0.0121 -0.0179 -0.0242 -0.0308 -0.0379
 -0.0481
