 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F098M
  0.7930  0.7300  0.6693  0.6101  0.5530  0.4976  0.4436  0.3911  0.3382  0.2825
  0.2227
  1.3038  1.2867  1.2700  1.2519  1.2341  1.2172  1.2013  1.1856  1.1690  1.1510
  1.1320  1.1123  1.0921  1.0700  1.0461  0.9950  0.9645  0.9359  0.8973  0.8487
  0.7912  0.7282  0.6642  0.6016  0.5413  0.4833  0.4270  0.3724  0.3187  0.2649
  0.2090
  1.3469  1.3198  1.2953  1.2698  1.2463  1.2250  1.2062  1.1895  1.1742  1.1592
  1.1436  1.1274  1.1110  1.0941  1.0759  1.0265  0.9808  0.9429  0.9028  0.8542
  0.7969  0.7327  0.6656  0.5993  0.5353  0.4738  0.4144  0.3572  0.3017  0.2471
  0.1929
  1.4055  1.3703  1.3366  1.3044  1.2742  1.2470  1.2233  1.2032  1.1859  1.1704
  1.1557  1.1410  1.1260  1.1107  1.0950  1.0523  1.0049  0.9574  0.9118  0.8624
  0.8056  0.7413  0.6725  0.6027  0.5346  0.4691  0.4060  0.3455  0.2871  0.2303
  0.1746
  1.4776  1.4361  1.3954  1.3559  1.3189  1.2852  1.2554  1.2299  1.2082  1.1895
  1.1730  1.1574  1.1420  1.1267  1.1034  1.0724  1.0368  0.9794  0.9243
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = F098M
  1.0921  1.0652  1.0373  1.0117  0.9907  0.9762  0.9702  0.9705  0.9662  0.9610
  0.9616  0.9701  0.9842  1.0004  1.0158  1.0421  1.0507  1.0396  1.0089
  1.1937  1.1654  1.1322  1.0979  1.0654  1.0372  1.0155  0.9997  0.9830  0.9679
  0.9596  0.9608  0.9700  0.9830  0.9960  1.0174  1.0211  1.0079  0.9774  0.9331
  1.2746  1.2502  1.2168  1.1782  1.1382  1.0995  1.0653  1.0369  1.0102  0.9862
  0.9689  0.9612  0.9636  0.9725  0.9830  1.0002  1.0004  0.9847  0.9540  0.9109
  0.8601
  1.3284  1.3140  1.2863  1.2491  1.2064  1.1618  1.1186  1.0804  1.0455  1.0138
  0.9881  0.9711  0.9649  0.9679  0.9752  0.9885  0.9858  0.9679  0.9364  0.8938
  0.8434  0.7898
  1.3403  1.3460  1.3321  1.3040  1.2652  1.2199  1.1725  1.1274  1.0860  1.0482
  1.0155  0.9902  0.9746  0.9696  0.9722  0.9811  0.9758  0.9560  0.9234  0.8807
  0.8304  0.7762  0.7214  0.6670
  1.3078  1.3285  1.3369  1.3302  1.3074  1.2698  1.2226  1.1727  1.1266  1.0849
  1.0479  1.0166  0.9929  0.9789  0.9745  0.9772  0.9695  0.9479  0.9143  0.8710
  0.8205  0.7654  0.7092  0.6536  0.5989  0.5448  0.4903  0.4338  0.3741  0.3155
  1.2827  1.3009  1.3117  1.3144  1.3071  1.2892  1.2604  1.2206  1.1727  1.1243
  1.0812  1.0453  1.0170  0.9962  0.9834  0.9767  0.9664  0.9432  0.9087  0.8647
  0.8135  0.7574  0.6994  0.6418  0.5856  0.5304  0.4759  0.4211  0.3644  0.3044
  0.2446
  1.2726  1.2864  1.2934  1.2946  1.2905  1.2798  1.2618  1.2365  1.2045  1.1672
  1.1269  1.0866  1.0504  1.0213  1.0008  0.9799  0.9664  0.9416  0.9061  0.8617
