 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F098M
  0.6162  0.6403  0.6452  0.6330  0.6053  0.5652  0.5210  0.4801  0.4449  0.4164
  0.3955  0.3836  0.3825  0.3906  0.4018  0.4190  0.4171  0.3991  0.3660  0.3203
  0.2669  0.2114  0.1564  0.1022
  0.5863  0.6042  0.6138  0.6152  0.6073  0.5899  0.5630  0.5266  0.4836  0.4454
  0.4183  0.4014  0.3931  0.3934  0.4003  0.4143  0.4103  0.3909  0.3572  0.3114
  0.2575  0.2005  0.1439  0.0884  0.0340 -0.0198 -0.0737 -0.1300 -0.1894 -0.2484
  0.5715  0.5841  0.5911  0.5937  0.5917  0.5846  0.5718  0.5535  0.5297  0.4999
  0.4658  0.4353  0.4147  0.4053  0.4045  0.4129  0.4070  0.3863  0.3520  0.3059
  0.2513  0.1926  0.1338  0.0764  0.0204 -0.0344 -0.0885 -0.1429 -0.1992 -0.2592
 -0.3199
  0.5751  0.5797  0.5809  0.5801  0.5780  0.5742  0.5680  0.5584  0.5456  0.5297
  0.5111  0.4884  0.4628  0.4400  0.4242  0.4151  0.4070  0.3849  0.3501  0.3039
  0.2488  0.1883  0.1268  0.0666  0.0083 -0.0483 -0.1038 -0.1583 -0.2130 -0.2697
 -0.3308
  0.5993  0.5937  0.5867  0.5797  0.5736  0.5685  0.5640  0.5587  0.5517  0.5425
  0.5315  0.5188  0.5036  0.4854  0.4658  0.4278  0.4102  0.3864  0.3510  0.3048
  0.2492  0.1871  0.1227  0.0592 -0.0023 -0.0616 -0.1193 -0.1755 -0.2308 -0.2868
 -0.3437
  0.6456  0.6278  0.6114  0.5961  0.5835  0.5737  0.5668  0.5616  0.5566  0.5509
  0.5438  0.5352  0.5252  0.5137  0.5001  0.4586  0.4211  0.3918  0.3556  0.3096
  0.2543  0.1915  0.1247  0.0576 -0.0076 -0.0703 -0.1310 -0.1896 -0.2467 -0.3028
 -0.3591
  0.7102  0.6819  0.6555  0.6311  0.6102  0.5937  0.5815  0.5728  0.5663  0.5607
  0.5548  0.5479  0.5398  0.5306  0.5203  0.4867  0.4444  0.4029  0.3631  0.3170
  0.2624  0.1997  0.1315  0.0613 -0.0077 -0.0744 -0.1387 -0.2006 -0.2604 -0.3187
 -0.3758
  0.7893  0.7528  0.7173  0.6843  0.6553  0.6309  0.6115  0.5967  0.5856  0.5770
  0.5695  0.5620  0.5540  0.5451  0.5264  0.5121  0.4801  0.4197  0.3735
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value = F098M
  0.4635  0.4500  0.4304  0.4089  0.3892  0.3738  0.3647  0.3617  0.3603  0.3646
  0.3773  0.3966  0.4183  0.4389  0.4561  0.4837  0.4919  0.4831  0.4546
  0.5453  0.5323  0.5089  0.4800  0.4497  0.4216  0.3993  0.3823  0.3695  0.3639
  0.3684  0.3821  0.4006  0.4190  0.4347  0.4586  0.4641  0.4526  0.4241  0.3793
  0.6011  0.5948  0.5742  0.5439  0.5085  0.4722  0.4395  0.4119  0.3895  0.3744
  0.3697  0.3758  0.3898  0.4061  0.4205  0.4415  0.4442  0.4311  0.4017  0.3581
  0.3063
  0.6306  0.6304  0.6183  0.5942  0.5605  0.5217  0.4828  0.4478  0.4177  0.3945
  0.3806  0.3777  0.3852  0.3981  0.4110  0.4298  0.4301  0.4150  0.3849  0.3418
  0.2903  0.2359
  0.6257  0.6379  0.6492  0.6303  0.5983  0.5614  0.5221  0.4841  0.4499  0.4211
  0.3999  0.3882  0.3873  0.3949  0.4055  0.4222  0.4204  0.4035  0.3725  0.3296
  0.2780  0.2229  0.1676  0.1130
  0.6006  0.6237  0.6379  0.6396  0.6285  0.6042  0.5666  0.5223  0.4810  0.4479
  0.4229  0.4057  0.3970  0.3974  0.4039  0.4179  0.4143  0.3958  0.3640  0.3207
  0.2690  0.2128  0.1560  0.1001  0.0450 -0.0093 -0.0644 -0.1222 -0.1826 -0.2419
  0.5761  0.5993  0.6138  0.6206  0.6195  0.6101  0.5923  0.5665  0.5326  0.4935
  0.4569  0.4298  0.4138  0.4068  0.4072  0.4164  0.4112  0.3913  0.3587  0.3151
  0.2630  0.2057  0.1469  0.0890  0.0323 -0.0234 -0.0787 -0.1341 -0.1917 -0.2525
 -0.3132
  0.5683  0.5861  0.5969  0.6023  0.6033  0.5997  0.5909  0.5770  0.5582  0.5355
  0.5092  0.4798  0.4519  0.4311  0.4199  0.4178  0.4109  0.3897  0.3565  0.3127
  0.2602  0.2018  0.1408  0.0802  0.0211 -0.0364 -0.0929 -0.1487 -0.2046 -0.2625
 -0.3242
  0.5769  0.5871  0.5920  0.5931  0.5919  0.5888  0.5838  0.5762  0.5654  0.5517
  0.5361  0.5187  0.4991  0.4773  0.4564  0.4252  0.4134  0.3907  0.3568  0.3127
  0.2599  0.2004  0.1372  0.0735  0.0113 -0.0490 -0.1077 -0.1650 -0.2214 -0.2781
 -0.3366
  0.6063  0.6053  0.6026  0.5972  0.5913  0.5854  0.5800  0.5743  0.5678  0.5596
  0.5496  0.5382  0.5257  0.5118  0.4959  0.4523  0.4204  0.3951  0.3604  0.3164
  0.2638  0.2038  0.1389  0.0723  0.0066 -0.0569 -0.1186 -0.1782 -0.2364 -0.2938
 -0.3512
  0.6574  0.6443  0.6309  0.6181  0.6053  0.5943  0.5852  0.5780  0.5718  0.5658
  0.5589  0.5508  0.5415  0.5311  0.5198  0.4837  0.4414  0.4035  0.3669  0.3227
  0.2704  0.2105  0.1448  0.0758  0.0068 -0.0605 -0.1256 -0.1885 -0.2494 -0.3088
 -0.3672
  0.7279  0.7034  0.6795  0.6575  0.6370  0.6189  0.6041  0.5925  0.5834  0.5761
  0.5694  0.5624  0.5544  0.5455  0.5281  0.5194  0.4764  0.4159  0.3763
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value = F098M
  0.3452  0.3383  0.3286  0.3209  0.3201  0.3274  0.3430  0.3631  0.3744  0.3822
  0.3928  0.4082  0.4263  0.4440  0.4594  0.4843  0.4906  0.4826  0.4591
  0.4514  0.4428  0.4267  0.4082  0.3919  0.3812  0.3789  0.3806  0.3798  0.3792
  0.3834  0.3941  0.4093  0.4252  0.4394  0.4610  0.4650  0.4548  0.4296  0.3889
  0.5316  0.5277  0.5114  0.4881  0.4624  0.4386  0.4206  0.4077  0.3960  0.3868
  0.3835  0.3881  0.3991  0.4130  0.4260  0.4454  0.4471  0.4346  0.4079  0.3678
  0.3179
  0.5819  0.5877  0.5778  0.5562  0.5275  0.4962  0.4669  0.4425  0.4212  0.4037
  0.3925  0.3896  0.3951  0.4057  0.4172  0.4347  0.4345  0.4200  0.3919  0.3517
  0.3023  0.2485
  0.6153  0.6282  0.6216  0.6049  0.5804  0.5488  0.5142  0.4820  0.4531  0.4282
