 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  H   
  1.5170  1.3857  1.2577  1.1328  1.0111  0.8923  0.7764  0.6633  0.5531  0.4453
  0.3402
  2.5964  2.5779  2.5534  2.5249  2.4942  2.4631  2.4329  2.4041  2.3768  2.3507
  2.3266  2.3062  2.2935  2.2897  2.2848  2.2125  2.0747  1.9276  1.7847  1.6470
  1.5137  1.3840  1.2571  1.1331  1.0123  0.8946  0.7796  0.6676  0.5583  0.4516
  0.3473
  2.5536  2.5462  2.5318  2.5107  2.4852  2.4566  2.4265  2.3958  2.3647  2.3336
  2.3030  2.2731  2.2454  2.2219  2.2048  2.1611  2.0613  1.9229  1.7812  1.6443
  1.5122  1.3843  1.2594  1.1369  1.0170  0.9002  0.7864  0.6755  0.5673  0.4616
  0.3583
  2.4877  2.4924  2.4893  2.4781  2.4609  2.4390  2.4135  2.3853  2.3551  2.3232
  2.2902  2.2565  2.2229  2.1904  2.1604  2.1001  2.0255  1.9118  1.7766  1.6409
  1.5098  1.3832  1.2603  1.1399  1.0218  0.9060  0.7930  0.6829  0.5757  0.4711
  0.3689
  2.4046  2.4201  2.4272  2.4265  2.4191  2.4060  2.3878  2.3655  2.3395  2.3104
  2.2788  2.2449  2.2097  2.1738  2.1516  2.0295  1.9673  1.8943  1.7709
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  H   
  2.9126  2.9258  2.9304  2.9253  2.9093  2.8823  2.8445  2.7968  2.7423  2.6846
  2.6263  2.5685  2.5115  2.4548  2.3980  2.2556  2.1125  1.9663  1.8164
  2.8650  2.8831  2.8939  2.8957  2.8869  2.8667  2.8349  2.7924  2.7419  2.6864
  2.6287  2.5702  2.5119  2.4537  2.3954  2.2493  2.1044  1.9587  1.8121  1.6653
  2.8154  2.8355  2.8506  2.8583  2.8564  2.8435  2.8188  2.7829  2.7378  2.6862
  2.6305  2.5725  2.5137  2.4545  2.3950  2.2456  2.0983  1.9529  1.8077  1.6635
  1.5216
  2.7305  2.7734  2.7998  2.8144  2.8189  2.8125  2.7949  2.7661  2.7275  2.6812
  2.6292  2.5733  2.5151  2.4557  2.3956  2.2439  2.0944  1.9482  1.8039  1.6615
  1.5217  1.3847
  2.6650  2.6713  2.6629  2.7104  2.7528  2.7691  2.7627  2.7419  2.7101  2.6698
  2.6228  2.5705  2.5145  2.4560  2.3960  2.2434  2.0922  1.9450  1.8011  1.6599
  1.5216  1.3863  1.2542  1.1252
  2.6316  2.5939  2.5815  2.5827  2.5954  2.6192  2.6526  2.6767  2.6746  2.6492
  2.6099  2.5626  2.5103  2.4541  2.3952  2.2431  2.0909  1.9429  1.7992  1.6588
  1.5217  1.3877  1.2570  1.1295  1.0050  0.8835  0.7648  0.6490  0.5366  0.4299
  2.6253  2.5943  2.5663  2.5444  2.5303  2.5231  2.5201  2.5224  2.5350  2.5543
  2.5594  2.5392  2.4988  2.4481  2.3922  2.2422  2.0899  1.9414  1.7976  1.6580
  1.5220  1.3892  1.2597  1.1334  1.0102  0.8900  0.7727  0.6584  0.5467  0.4383
  0.3350
  2.6356  2.6040  2.5716  2.5402  2.5120  2.4882  2.4686  2.4516  2.4366  2.4264
  2.4269  2.4371  2.4391  2.4200  2.3804  2.2401  2.0887  1.9401  1.7963  1.6572
  1.5222  1.3906  1.2623  1.1372  1.0152  0.8961  0.7800  0.6667  0.5562  0.4484
  0.3435
  2.6359  2.6088  2.5779  2.5449  2.5115  2.4794  2.4495  2.4221  2.3963  2.3720
  2.3500  2.3339  2.3278  2.3281  2.3206  2.2309  2.0851  1.9368  1.7931  1.6544
  1.5202  1.3897  1.2624  1.1381  1.0170  0.8989  0.7837  0.6713  0.5618  0.4549
  0.3505
  2.6173  2.5985  2.5743  2.5448  2.5125  2.4788  2.4450  2.4119  2.3798  2.3485
  2.3182  2.2893  2.2636  2.2440  2.2319  2.1895  2.0796  1.9351  1.7919  1.6537
  1.5205  1.3913  1.2654  1.1424  1.0222  0.9051  0.7909  0.6797  0.5711  0.4652
  0.3617
  2.5753  2.5674  2.5523  2.5311  2.5043  2.4739  2.4413  2.4074  2.3730  2.3384
  2.3037  2.2693  2.2357  2.2040  2.1760  2.1243  2.0501  1.9301  1.7901  1.6526
  1.5200  1.3919  1.2676  1.1463  1.0276  0.9114  0.7980  0.6876  0.5800  0.4751
  0.3726
  2.5119  2.5151  2.5107  2.4992  2.4808  2.4572  2.4296  2.3990  2.3662  2.3318
  2.2961  2.2595  2.2225  2.1857  2.1529  2.0353  1.9966  1.9218  1.7877
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  H   
  2.9536  2.9609  2.9592  2.9475  2.9250  2.8916  2.8475  2.7937  2.7339  2.6723
  2.6111  2.5514  2.4932  2.4361  2.3796  2.2402  2.1019  1.9611  1.8150
  2.9094  2.9231  2.9284  2.9241  2.9088  2.8824  2.8443  2.7955  2.7392  2.6790
  2.6179  2.5572  2.4977  2.4391  2.3809  2.2370  2.0958  1.9548  1.8109  1.6658
  2.8611  2.8784  2.8894  2.8921  2.8846  2.8660  2.8354  2.7932  2.7419  2.6848
  2.6248  2.5641  2.5037  2.4439  2.3844  2.2365  2.0918  1.9496  1.8071  1.6644
  1.5233
  2.8067  2.8281  2.8441  2.8527  2.8521  2.8411  2.8185  2.7839  2.7390  2.6866
  2.6294  2.5698  2.5093  2.4489  2.3885  2.2377  2.0899  1.9460  1.8039  1.6629
  1.5238  1.3872
  2.6825  2.7213  2.7683  2.7987  2.8104  2.8078  2.7928  2.7662  2.7285  2.6821
  2.6293  2.5724  2.5132  2.4529  2.3923  2.2400  2.0898  1.9441  1.8018  1.6618
  1.5242  1.3892  1.2572  1.1282
  2.6317  2.6209  2.6278  2.6511  2.6872  2.7244  2.7422  2.7346  2.7084  2.6698
  2.6229  2.5702  2.5137  2.4549  2.3947  2.2422  2.0906  1.9435  1.8008  1.6613
  1.5248  1.3911  1.2606  1.1330  1.0085  0.8869  0.7681  0.6521  0.5399  0.4336
  2.6313  2.6037  2.5831  2.5728  2.5727  2.5791  2.5907  2.6082  2.6243  2.6243
  2.6011  2.5600  2.5093  2.4536  2.3951  2.2437  2.0916  1.9435  1.8003  1.6613
  1.5257  1.3932  1.2639  1.1375  1.0142  0.8938  0.7764  0.6619  0.5501  0.4419
  0.3390
  2.6435  2.6110  2.5803  2.5534  2.5323  2.5172  2.5058  2.4956  2.4875  2.4862
  2.4929  2.4953  2.4791  2.4419  2.3911  2.2442  2.0925  1.9438  1.8003  1.6615
  1.5266  1.3952  1.2671  1.1419  1.0198  0.9005  0.7840  0.6706  0.5599  0.4521
  0.3474
  2.6556  2.6235  2.5899  2.5565  2.5248  2.4960  2.4706  2.4474  2.4250  2.4032
  2.3850  2.3747  2.3735  2.3709  2.3537  2.2407  2.0913  1.9425  1.7985  1.6597
  1.5254  1.3949  1.2676  1.1434  1.0222  0.9039  0.7884  0.6757  0.5659  0.4588
  0.3544
  2.6572  2.6293  2.5983  2.5644  2.5293  2.4942  2.4604  2.4284  2.3977  2.3679
  2.3386  2.3113  2.2886  2.2736  2.2649  2.2143  2.0903  1.9432  1.7993  1.6607
  1.5270  1.3974  1.2713  1.1482  1.0280  0.9107  0.7962  0.6846  0.5758  0.4695
  0.3659
  2.6397  2.6201  2.5950  2.5657  2.5322  2.4966  2.4600  2.4236  2.3878  2.3526
  2.3179  2.2838  2.2509  2.2208  2.1955  2.1501  2.0713  1.9422  1.7997  1.6614
  1.5282  1.3994  1.2746  1.1528  1.0338  0.9175  0.8038  0.6931  0.5852  0.4798
  0.3771
  2.5994  2.5905  2.5745  2.5523  2.5251  2.4932  2.4583  2.4219  2.3846  2.3470
  2.3094  2.2716  2.2341  2.1974  2.1455  2.0481  2.0343  1.9395  1.7997
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  H   
  2.9964  2.9988  2.9918  2.9746  2.9466  2.9077  2.8584  2.7997  2.7361  2.6716
  2.6081  2.5464  2.4868  2.4288  2.3720  2.2337  2.0986  1.9622  1.8196
  2.9563  2.9659  2.9662  2.9565  2.9357  2.9036  2.8600  2.8060  2.7452  2.6817
  2.6181  2.5556  2.4949  2.4356  2.3772  2.2343  2.0955  1.9579  1.8168  1.6726
  2.9095  2.9243  2.9315  2.9295  2.9169  2.8930  2.8570  2.8094  2.7530  2.6917
  2.6288  2.5659  2.5042  2.4437  2.3841  2.2371  2.0941  1.9543  1.8139  1.6719
  1.5305
  2.8589  2.8769  2.8894  2.8940  2.8892  2.8737  2.8463  2.8065  2.7562  2.6989
  2.6378  2.5754  2.5133  2.4519  2.3913  2.2412  2.0945  1.9521  1.8115  1.6711
  1.5317  1.3945
  2.7801  2.8152  2.8375  2.8502  2.8530  2.8452  2.8263  2.7952  2.7523  2.7006
  2.6430  2.5823  2.5207  2.4590  2.3978  2.2458  2.0963  1.9515  1.8101  1.6705
  1.5327  1.3972  1.2646  1.1348
  2.6613  2.6749  2.7105  2.7559  2.7897  2.8019  2.7949  2.7736  2.7394  2.6947
  2.6424  2.5851  2.5251  2.4641  2.4029  2.2502  2.0990  1.9522  1.8099  1.6707
  1.5339  1.3998  1.2686  1.1404  1.0152  0.8930  0.7737  0.6572  0.5449  0.4386
  2.6398  2.6197  2.6126  2.6202  2.6386  2.6647  2.6925  2.7081  2.7024  2.6752
  2.6330  2.5818  2.5255  2.4664  2.4060  2.2537  2.1018  1.9537  1.8105  1.6714
  1.5355  1.4025  1.2726  1.1456  1.0216  0.9007  0.7827  0.6675  0.5553  0.4470
  0.3443
  2.6466  2.6162  2.5904  2.5722  2.5629  2.5605  2.5609  2.5630  2.5677  2.5739
  2.5726  2.5532  2.5145  2.4633  2.4062  2.2560  2.1043  1.9555  1.8117  1.6725
