 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  I   
  0.6159  0.5815  0.5438  0.5043  0.4626  0.4186  0.3719  0.3219  0.2681  0.2100
  0.1517
 -0.0721 -0.0058  0.0596  0.1261  0.1926  0.2565  0.3143  0.3633  0.4027  0.4319
  0.4490  0.4586  0.4705  0.4893  0.5141  0.5798  0.6275  0.6519  0.6553  0.6419
  0.6151  0.5793  0.5398  0.4988  0.4567  0.4132  0.3683  0.3210  0.2704  0.2157
  0.1565
 -0.0124  0.0539  0.1145  0.1724  0.2296  0.2861  0.3405  0.3904  0.4337  0.4702
  0.4998  0.5214  0.5353  0.5443  0.5535  0.5899  0.6320  0.6545  0.6574  0.6442
  0.6173  0.5804  0.5384  0.4949  0.4511  0.4068  0.3615  0.3150  0.2668  0.2157
  0.1617
  0.0381  0.1066  0.1681  0.2230  0.2734  0.3218  0.3690  0.4147  0.4568  0.4943
  0.5266  0.5538  0.5755  0.5917  0.6030  0.6209  0.6417  0.6603  0.6627  0.6500
  0.6238  0.5865  0.5423  0.4956  0.4490  0.4028  0.3566  0.3102  0.2631  0.2146
  0.1639
  0.0760  0.1502  0.2147  0.2717  0.3215  0.3649  0.4054  0.4443  0.4818  0.5168
  0.5483  0.5758  0.5994  0.6191  0.6349  0.6576  0.6662  0.6714  0.6710  0.6585
  0.6332  0.5964  0.5509  0.5013  0.4512  0.4019  0.3535  0.3058  0.2584  0.2106
  0.1623
  0.0976  0.1814  0.2513  0.3127  0.3660  0.4106  0.4481  0.4817  0.5131  0.5433
  0.5715  0.5971  0.6197  0.6392  0.6558  0.6840  0.6932  0.6911  0.6833
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  I   
 -0.7840 -0.6063 -0.4267 -0.2752 -0.1462 -0.0330  0.0523  0.1228  0.1838  0.2455
  0.3028  0.3567  0.4075  0.4554  0.5004  0.6003  0.6762  0.7212  0.7378
 -0.6364 -0.5870 -0.4320 -0.2718 -0.1382 -0.0247  0.0639  0.1350  0.1981  0.2574
  0.3121  0.3631  0.4113  0.4567  0.4997  0.5935  0.6632  0.7043  0.7157  0.7030
 -0.4184 -0.4127 -0.4003 -0.2761 -0.1378 -0.0217  0.0727  0.1468  0.2100  0.2678
  0.3199  0.3684  0.4140  0.4570  0.4977  0.5866  0.6519  0.6893  0.6993  0.6874
  0.6611
 -0.3454 -0.2431 -0.2050 -0.2144 -0.1373 -0.0230  0.0769  0.1572  0.2215  0.2779
  0.3282  0.3743  0.4173  0.4580  0.4964  0.5808  0.6427  0.6775  0.6866  0.6753
  0.6499  0.6167
 -0.3017 -0.1896 -0.0921 -0.0321 -0.0242 -0.0034  0.0780  0.1629  0.2322  0.2882
  0.3376  0.3816  0.4224  0.4607  0.4969  0.5768  0.6357  0.6686  0.6768  0.6659
  0.6412  0.6085  0.5715  0.5309
 -0.2577 -0.1542 -0.0531  0.0369  0.1039  0.1392  0.1473  0.1775  0.2395  0.2992
  0.3482  0.3909  0.4296  0.4657  0.4998  0.5750  0.6310  0.6622  0.6698  0.6591
  0.6349  0.6022  0.5651  0.5252  0.4822  0.4356  0.3849  0.3299  0.2717  0.2145
 -0.2096 -0.1163 -0.0231  0.0667  0.1471  0.2127  0.2596  0.2852  0.2963  0.3196
  0.3615  0.4025  0.4392  0.4732  0.5052  0.5757  0.6286  0.6583  0.6655  0.6549
  0.6310  0.5980  0.5602  0.5199  0.4774  0.4322  0.3842  0.3329  0.2775  0.2187
  0.1602
 -0.1605 -0.0730  0.0111  0.0931  0.1709  0.2422  0.3024  0.3503  0.3848  0.4053
  0.4166  0.4322  0.4563  0.4847  0.5136  0.5792  0.6289  0.6570  0.6639  0.6536
  0.6299  0.5964  0.5574  0.5159  0.4728  0.4281  0.3812  0.3323  0.2805  0.2250
  0.1654
 -0.1156 -0.0283  0.0521  0.1267  0.1976  0.2645  0.3261  0.3798  0.4241  0.4593
  0.4853  0.5018  0.5121  0.5222  0.5360  0.5867  0.6326  0.6588  0.6651  0.6549
  0.6313  0.5974  0.5567  0.5131  0.4685  0.4231  0.3765  0.3285  0.2787  0.2266
  0.1709
 -0.0794  0.0105  0.0917  0.1642  0.2294  0.2901  0.3469  0.3996  0.4462  0.4858
  0.5186  0.5447  0.5641  0.5771  0.5860  0.6071  0.6392  0.6633  0.6691  0.6593
  0.6363  0.6024  0.5605  0.5145  0.4674  0.4203  0.3729  0.3251  0.2764  0.2264
  0.1742
 -0.0552  0.0404  0.1251  0.2004  0.2654  0.3220  0.3734  0.4213  0.4655  0.5053
  0.5398  0.5688  0.5927  0.6116  0.6259  0.6457  0.6580  0.6714  0.6758  0.6662
  0.6440  0.6106  0.5682  0.5201  0.4702  0.4203  0.3709  0.3220  0.2731  0.2238
  0.1741
 -0.0466  0.0590  0.1489  0.2288  0.2984  0.3568  0.4059  0.4494  0.4890  0.5256
  0.5589  0.5879  0.6127  0.6335  0.6504  0.6775  0.6870  0.6885  0.6859
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  I   
 -0.7550 -0.5560 -0.3798 -0.2384 -0.1189 -0.0137  0.0685  0.1411  0.2020  0.2594
  0.3142  0.3657  0.4139  0.4590  0.5014  0.5957  0.6698  0.7198  0.7415
 -0.6199 -0.5756 -0.3959 -0.2371 -0.1089 -0.0027  0.0812  0.1522  0.2141  0.2710
  0.3235  0.3724  0.4181  0.4611  0.5016  0.5910  0.6600  0.7046  0.7218  0.7139
 -0.4834 -0.5062 -0.4057 -0.2494 -0.1099  0.0039  0.0917  0.1638  0.2253  0.2814
  0.3316  0.3780  0.4214  0.4621  0.5006  0.5857  0.6512  0.6921  0.7069  0.6990
  0.6749
 -0.3665 -0.2881 -0.3026 -0.2483 -0.1195  0.0010  0.0981  0.1739  0.2363  0.2915
  0.3401  0.3842  0.4253  0.4637  0.5001  0.5811  0.6436  0.6821  0.6953  0.6876
  0.6645  0.6317
 -0.3297 -0.2073 -0.1212 -0.1039 -0.0952 -0.0044  0.0973  0.1813  0.2467  0.3013
  0.3495  0.3918  0.4307  0.4669  0.5012  0.5777  0.6375  0.6742  0.6864  0.6787
  0.6565  0.6246  0.5871  0.5459
 -0.3011 -0.1788 -0.0682  0.0181  0.0643  0.0713  0.1055  0.1823  0.2546  0.3117
  0.3596  0.4010  0.4380  0.4722  0.5044  0.5763  0.6331  0.6683  0.6798  0.6722
  0.6507  0.6193  0.5821  0.5414  0.4975  0.4499  0.3979  0.3414  0.2822  0.2245
 -0.2702 -0.1550 -0.0458  0.0526  0.1343  0.1918  0.2217  0.2342  0.2662  0.3207
  0.3704  0.4118  0.4474  0.4798  0.5100  0.5773  0.6308  0.6644  0.6755  0.6680
  0.6469  0.6159  0.5785  0.5377  0.4943  0.4480  0.3987  0.3458  0.2889  0.2292
  0.1704
 -0.2401 -0.1283 -0.0247  0.0711  0.1580  0.2322  0.2905  0.3316  0.3556  0.3695
  0.3912  0.4254  0.4593  0.4898  0.5181  0.5808  0.6309  0.6627  0.6735  0.6663
