 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -3.7754 -3.6626 -3.5063 -3.2343 -2.9321 -2.6465 -2.4023 -2.1934 -2.0018 -1.8222
 -1.6552 -1.5025 -1.3636 -1.2366 -1.1195 -0.8682 -0.6425 -0.4471 -0.3064
 -3.4030 -3.1635 -3.0263 -2.9382 -2.7458 -2.4903 -2.2450 -2.0343 -1.8477 -1.6743
 -1.5138 -1.3676 -1.2353 -1.1159 -1.0074 -0.7735 -0.5791 -0.4197 -0.2964 -0.2033
 -3.1997 -2.9316 -2.7126 -2.5482 -2.4537 -2.3398 -2.1410 -1.9291 -1.7430 -1.5763
 -1.4221 -1.2813 -1.1538 -1.0389 -0.9353 -0.7166 -0.5413 -0.4011 -0.2926 -0.2095
 -0.1436
 -3.0635 -2.7985 -2.5657 -2.3611 -2.1925 -2.0687 -1.9776 -1.8495 -1.6767 -1.5129
 -1.3637 -1.2279 -1.1044 -0.9927 -0.8920 -0.6814 -0.5173 -0.3898 -0.2926 -0.2177
 -0.1574 -0.1070
 -2.9650 -2.7097 -2.4775 -2.2723 -2.0920 -1.9307 -1.7927 -1.6817 -1.5872 -1.4666
 -1.3287 -1.1956 -1.0752 -0.9664 -0.8675 -0.6611 -0.5028 -0.3830 -0.2938 -0.2262
 -0.1715 -0.1251 -0.0849 -0.0509
 -2.9024 -2.6475 -2.4196 -2.2131 -2.0302 -1.8671 -1.7182 -1.5829 -1.4663 -1.3715
 -1.2792 -1.1725 -1.0594 -0.9519 -0.8545 -0.6501 -0.4941 -0.3781 -0.2942 -0.2330
 -0.1843 -0.1427 -0.1061 -0.0734 -0.0429 -0.0163  0.0043  0.0172  0.0214  0.0170
 -2.8560 -2.6050 -2.3817 -2.1757 -1.9902 -1.8259 -1.6782 -1.5428 -1.4182 -1.3069
 -1.2095 -1.1231 -1.0354 -0.9420 -0.8483 -0.6449 -0.4889 -0.3739 -0.2926 -0.2360
 -0.1936 -0.1578 -0.1259 -0.0969 -0.0703 -0.0445 -0.0219 -0.0052  0.0031  0.0018
 -0.0087
 -2.8308 -2.5797 -2.3596 -2.1547 -1.9673 -1.7991 -1.6503 -1.5164 -1.3938 -1.2806
 -1.1775 -1.0841 -0.9996 -0.9195 -0.8387 -0.6433 -0.4860 -0.3701 -0.2889 -0.2346
 -0.1974 -0.1680 -0.1420 -0.1181 -0.0955 -0.0719 -0.0496 -0.0315 -0.0202 -0.0174
 -0.0243
 -2.8317 -2.5736 -2.3497 -2.1452 -1.9566 -1.7846 -1.6314 -1.4955 -1.3736 -1.2622
 -1.1596 -1.0651 -0.9777 -0.8968 -0.8206 -0.6404 -0.4841 -0.3660 -0.2833 -0.2290
 -0.1948 -0.1713 -0.1520 -0.1343 -0.1171 -0.1003 -0.0841 -0.0703 -0.0590 -0.0501
 -0.0433
 -2.8616 -2.5892 -2.3578 -2.1523 -1.9619 -1.7870 -1.6280 -1.4866 -1.3616 -1.2497
 -1.1481 -1.0545 -0.9675 -0.8863 -0.8099 -0.6367 -0.4856 -0.3654 -0.2796 -0.2229
 -0.1886 -0.1683 -0.1548 -0.1439 -0.1333 -0.1224 -0.1112 -0.0998 -0.0889 -0.0794
 -0.0708
 -2.9138 -2.6271 -2.3857 -2.1742 -1.9802 -1.8018 -1.6385 -1.4902 -1.3585 -1.2424
 -1.1389 -1.0453 -0.9592 -0.8789 -0.8034 -0.6326 -0.4856 -0.3660 -0.2773 -0.2174
 -0.1808 -0.1608 -0.1507 -0.1454 -0.1417 -0.1376 -0.1328 -0.1269 -0.1203 -0.1137
 -0.1082
 -2.9824 -2.6873 -2.4333 -2.2101 -2.0104 -1.8281 -1.6606 -1.5072 -1.3680 -1.2441
 -1.1352 -1.0387 -0.9516 -0.8718 -0.7974 -0.6296 -0.4850 -0.3662 -0.2758
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  V   
 -3.9573 -3.7268 -3.3708 -3.0214 -2.6985 -2.4218 -2.2027 -2.0084 -1.8270 -1.6591
 -1.5026 -1.3594 -1.2301 -1.1137 -1.0084 -0.7833 -0.5939 -0.4302 -0.2954
 -3.4557 -3.3406 -3.2071 -2.9185 -2.6119 -2.3317 -2.0968 -1.9002 -1.7212 -1.5566
 -1.4036 -1.2640 -1.1385 -1.0263 -0.9258 -0.7154 -0.5444 -0.4011 -0.2833 -0.1905
 -3.2545 -2.9949 -2.8450 -2.7620 -2.5533 -2.2861 -2.0402 -1.8339 -1.6560 -1.4949
 -1.3457 -1.2091 -1.0860 -0.9759 -0.8776 -0.6744 -0.5137 -0.3829 -0.2773 -0.1942
 -0.1282
 -3.1629 -2.8708 -2.6334 -2.4577 -2.3548 -2.2338 -2.0199 -1.8033 -1.6187 -1.4593
 -1.3135 -1.1797 -1.0585 -0.9497 -0.8524 -0.6518 -0.4962 -0.3728 -0.2754 -0.1996
 -0.1394 -0.0893
 -3.1157 -2.8168 -2.5586 -2.3398 -2.1592 -2.0199 -1.9208 -1.7863 -1.6067 -1.4405
 -1.2969 -1.1657 -1.0462 -0.9384 -0.8415 -0.6411 -0.4872 -0.3676 -0.2757 -0.2055
 -0.1505 -0.1047 -0.0652 -0.0299
 -3.1019 -2.7967 -2.5284 -2.2958 -2.0936 -1.9196 -1.7725 -1.6529 -1.5537 -1.4308
 -1.2916 -1.1611 -1.0427 -0.9358 -0.8392 -0.6379 -0.4832 -0.3651 -0.2763 -0.2104
 -0.1604 -0.1194 -0.0837 -0.0522 -0.0232  0.0017  0.0204  0.0313  0.0340  0.0299
 -3.1188 -2.8049 -2.5263 -2.2831 -2.0724 -1.8900 -1.7284 -1.5831 -1.4566 -1.3522
 -1.2585 -1.1559 -1.0451 -0.9385 -0.8418 -0.6394 -0.4825 -0.3637 -0.2761 -0.2130
 -0.1674 -0.1316 -0.1008 -0.0731 -0.0480 -0.0242 -0.0038  0.0107  0.0173  0.0149
  0.0047
 -3.1587 -2.8392 -2.5496 -2.2940 -2.0721 -1.8803 -1.7134 -1.5644 -1.4291 -1.3074
 -1.2014 -1.1113 -1.0265 -0.9380 -0.8471 -0.6437 -0.4841 -0.3630 -0.2748 -0.2129
 -0.1704 -0.1398 -0.1145 -0.0919 -0.0708 -0.0514 -0.0322 -0.0158 -0.0052 -0.0030
 -0.0107
 -3.2227 -2.8919 -2.5945 -2.3264 -2.0904 -1.8868 -1.7114 -1.5580 -1.4210 -1.2962
 -1.1830 -1.0825 -0.9939 -0.9142 -0.8375 -0.6477 -0.4859 -0.3616 -0.2716 -0.2093
 -0.1685 -0.1420 -0.1226 -0.1060 -0.0903 -0.0753 -0.0612 -0.0495 -0.0404 -0.0336
 -0.0289
 -3.3128 -2.9708 -2.6632 -2.3863 -2.1368 -1.9176 -1.7290 -1.5665 -1.4247 -1.2980
 -1.1832 -1.0789 -0.9850 -0.9005 -0.8237 -0.6499 -0.4913 -0.3635 -0.2699 -0.2054
 -0.1638 -0.1393 -0.1246 -0.1142 -0.1049 -0.0956 -0.0864 -0.0771 -0.0685 -0.0614
 -0.0574
 -3.4240 -3.0604 -2.7470 -2.4645 -2.2069 -1.9736 -1.7685 -1.5917 -1.4398 -1.3072
 -1.1895 -1.0834 -0.9871 -0.8995 -0.8197 -0.6471 -0.4965 -0.3673 -0.2695 -0.2015
 -0.1577 -0.1328 -0.1207 -0.1153 -0.1123 -0.1096 -0.1065 -0.1025 -0.0981 -0.0937
 -0.0904
 -3.5556 -3.1690 -2.8428 -2.5552 -2.2918 -2.0508 -1.8330 -1.6394 -1.4722 -1.3282
 -1.2032 -1.0929 -0.9940 -0.9044 -0.8225 -0.6461 -0.4986 -0.3722 -0.2712
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  V   
 -3.9756 -3.6538 -3.2631 -2.9190 -2.6087 -2.3391 -2.1220 -1.9333 -1.7602 -1.5966
 -1.4445 -1.3046 -1.1780 -1.0645 -0.9624 -0.7470 -0.5699 -0.4176 -0.2875
 -3.5445 -3.4553 -3.1848 -2.8477 -2.5412 -2.2650 -2.0375 -1.8452 -1.6723 -1.5113
 -1.3619 -1.2248 -1.1011 -0.9906 -0.8921 -0.6883 -0.5255 -0.3893 -0.2752 -0.1828
 -3.2762 -3.0616 -2.9838 -2.8022 -2.5114 -2.2371 -1.9947 -1.7941 -1.6207 -1.4623
 -1.3157 -1.1810 -1.0591 -0.9501 -0.8530 -0.6541 -0.4988 -0.3723 -0.2685 -0.1850
 -0.1186
 -3.1959 -2.8980 -2.6813 -2.5639 -2.4595 -2.2310 -1.9867 -1.7720 -1.5931 -1.4357
 -1.2920 -1.1595 -1.0390 -0.9307 -0.8340 -0.6362 -0.4842 -0.3631 -0.2660 -0.1891
 -0.1283 -0.0782
 -3.1722 -2.8526 -2.5858 -2.3746 -2.2197 -2.1194 -1.9809 -1.7773 -1.5853 -1.4236
 -1.2817 -1.1513 -1.0321 -0.9244 -0.8277 -0.6290 -0.4773 -0.3587 -0.2660 -0.1939
 -0.1379 -0.0920 -0.0528 -0.0181
 -3.1865 -2.8506 -2.5641 -2.3224 -2.1225 -1.9566 -1.8266 -1.7235 -1.5894 -1.4260
 -1.2798 -1.1510 -1.0329 -0.9258 -0.8291 -0.6286 -0.4752 -0.3571 -0.2667 -0.1981
 -0.1463 -0.1049 -0.0696 -0.0385 -0.0114  0.0115  0.0295  0.0407  0.0437  0.0383
 -3.2365 -2.8828 -2.5774 -2.3177 -2.0979 -1.9113 -1.7501 -1.6100 -1.4952 -1.3949
 -1.2793 -1.1561 -1.0386 -0.9316 -0.8349 -0.6327 -0.4764 -0.3569 -0.2671 -0.2007
 -0.1523 -0.1155 -0.0849 -0.0577 -0.0335 -0.0120  0.0061  0.0197  0.0268  0.0239
  0.0128
 -3.3125 -2.9474 -2.6221 -2.3425 -2.1054 -1.9048 -1.7325 -1.5806 -1.4449 -1.3256
 -1.2245 -1.1337 -1.0391 -0.9397 -0.8436 -0.6396 -0.4802 -0.3577 -0.2670 -0.2013
 -0.1552 -0.1224 -0.0970 -0.0748 -0.0547 -0.0362 -0.0184 -0.0035  0.0055  0.0067
 -0.0014
 -3.4119 -3.0333 -2.6939 -2.3939 -2.1368 -1.9196 -1.7354 -1.5761 -1.4349 -1.3073
 -1.1930 -1.0930 -1.0062 -0.9254 -0.8439 -0.6464 -0.4844 -0.3583 -0.2652 -0.1990
 -0.1540 -0.1244 -0.1040 -0.0876 -0.0727 -0.0587 -0.0458 -0.0342 -0.0246 -0.0195
 -0.0191
 -3.5335 -3.1424 -2.7941 -2.4792 -2.2010 -1.9629 -1.7618 -1.5908 -1.4428 -1.3113
 -1.1927 -1.0860 -0.9911 -0.9068 -0.8305 -0.6535 -0.4920 -0.3622 -0.2652 -0.1966
 -0.1508 -0.1225 -0.1058 -0.0950 -0.0862 -0.0778 -0.0697 -0.0618 -0.0545 -0.0490
 -0.0464
 -3.6739 -3.2653 -2.9096 -2.5870 -2.2949 -2.0360 -1.8136 -1.6254 -1.4651 -1.3261
 -1.2033 -1.0930 -0.9938 -0.9047 -0.8243 -0.6525 -0.4999 -0.3680 -0.2666 -0.1944
 -0.1463 -0.1173 -0.1025 -0.0960 -0.0930 -0.0909 -0.0887 -0.0859 -0.0828 -0.0800
 -0.0777
 -3.8337 -3.4001 -3.0345 -2.7075 -2.4089 -2.1369 -1.8949 -1.6854 -1.5073 -1.3552
 -1.2237 -1.1081 -1.0050 -0.9123 -0.8285 -0.6514 -0.5043 -0.3753 -0.2702
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  V   
 -3.9755 -3.5504 -3.1591 -2.8310 -2.5440 -2.2823 -2.0651 -1.8744 -1.7048 -1.5460
 -1.3978 -1.2610 -1.1365 -1.0246 -0.9244 -0.7148 -0.5461 -0.4022 -0.2780
 -3.6841 -3.4794 -3.1217 -2.7779 -2.4825 -2.2185 -1.9951 -1.8036 -1.6317 -1.4749
 -1.3286 -1.1939 -1.0715 -0.9620 -0.8643 -0.6640 -0.5069 -0.3764 -0.2660 -0.1742
 -3.3112 -3.1946 -3.0700 -2.7700 -2.4627 -2.1943 -1.9605 -1.7634 -1.5910 -1.4353
 -1.2914 -1.1586 -1.0376 -0.9290 -0.8322 -0.6354 -0.4838 -0.3608 -0.2589 -0.1752
 -0.1080
 -3.2153 -2.9303 -2.7758 -2.6960 -2.4704 -2.1980 -1.9556 -1.7471 -1.5707 -1.4154
 -1.2737 -1.1427 -1.0228 -0.9147 -0.8180 -0.6211 -0.4715 -0.3526 -0.2561 -0.1782
 -0.1162 -0.0657
 -3.2093 -2.8746 -2.6130 -2.4317 -2.3307 -2.1983 -1.9723 -1.7540 -1.5668 -1.4082
 -1.2677 -1.1385 -1.0197 -0.9119 -0.8150 -0.6164 -0.4663 -0.3489 -0.2558 -0.1820
 -0.1242 -0.0778 -0.0387 -0.0048
 -3.2498 -2.8857 -2.5859 -2.3444 -2.1568 -2.0181 -1.9148 -1.7689 -1.5821 -1.4123
 -1.2689 -1.1411 -1.0235 -0.9161 -0.8189 -0.6181 -0.4657 -0.3480 -0.2565 -0.1857
 -0.1314 -0.0889 -0.0535 -0.0229  0.0043  0.0269  0.0432  0.0519  0.0530  0.0482
 -3.3334 -2.9395 -2.6100 -2.3381 -2.1157 -1.9337 -1.7817 -1.6589 -1.5531 -1.4244
 -1.2777 -1.1480 -1.0314 -0.9245 -0.8271 -0.6242 -0.4685 -0.3488 -0.2575 -0.1883
 -0.1367 -0.0980 -0.0669 -0.0401 -0.0165  0.0039  0.0213  0.0335  0.0383  0.0346
  0.0242
 -3.4483 -3.0337 -2.6739 -2.3731 -2.1251 -1.9200 -1.7481 -1.5986 -1.4683 -1.3577
 -1.2582 -1.1514 -1.0415 -0.9354 -0.8380 -0.6334 -0.4741 -0.3512 -0.2584 -0.1895
 -0.1396 -0.1040 -0.0774 -0.0553 -0.0359 -0.0184 -0.0036  0.0087  0.0168  0.0184
  0.0098
 -3.5878 -3.1532 -2.7721 -2.4419 -2.1662 -1.9386 -1.7494 -1.5883 -1.4466 -1.3200
 -1.2082 -1.1109 -1.0235 -0.9360 -0.8466 -0.6425 -0.4805 -0.3537 -0.2581 -0.1884
 -0.1393 -0.1060 -0.0835 -0.0666 -0.0522 -0.0391 -0.0275 -0.0174 -0.0095 -0.0052
 -0.0073
 -3.7459 -3.3006 -2.9043 -2.5516 -2.2469 -1.9920 -1.7811 -1.6046 -1.4536 -1.3204
 -1.2009 -1.0939 -0.9995 -0.9163 -0.8392 -0.6538 -0.4905 -0.3597 -0.2601 -0.1878
 -0.1377 -0.1051 -0.0854 -0.0733 -0.0644 -0.0567 -0.0497 -0.0432 -0.0376 -0.0338
 -0.0330
 -3.9167 -3.4577 -3.0537 -2.6888 -2.3631 -2.0809 -1.8434 -1.6456 -1.4795 -1.3369
 -1.2116 -1.0995 -0.9991 -0.9096 -0.8295 -0.6569 -0.5012 -0.3678 -0.2637 -0.1875
 -0.1351 -0.1017 -0.0831 -0.0744 -0.0707 -0.0688 -0.0674 -0.0658 -0.0642 -0.0630
 -0.0620
 -4.1027 -3.6230 -3.2106 -2.8402 -2.5039 -2.2029 -1.9400 -1.7167 -1.5293 -1.3712
 -1.2355 -1.1169 -1.0116 -0.9173 -0.8328 -0.6558 -0.5087 -0.3774 -0.2694
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  V   
 -3.9526 -3.4885 -3.0974 -2.7784 -2.4997 -2.2449 -2.0284 -1.8308 -1.6595 -1.5068
 -1.3620 -1.2277 -1.1050 -0.9942 -0.8948 -0.6879 -0.5242 -0.3874 -0.2685
 -3.6704 -3.4639 -3.0698 -2.7281 -2.4386 -2.1831 -1.9646 -1.7712 -1.5999 -1.4466
 -1.3032 -1.1705 -1.0495 -0.9404 -0.8429 -0.6436 -0.4895 -0.3631 -0.2559 -0.1650
 -3.4197 -3.3463 -3.0717 -2.7288 -2.4232 -2.1578 -1.9330 -1.7380 -1.5670 -1.4141
 -1.2725 -1.1415 -1.0215 -0.9130 -0.8161 -0.6191 -0.4694 -0.3489 -0.2488 -0.1650
 -0.0966
 -3.2368 -3.0006 -2.9282 -2.7385 -2.4413 -2.1664 -1.9286 -1.7262 -1.5522 -1.3987
 -1.2589 -1.1295 -1.0104 -0.9023 -0.8051 -0.6074 -0.4588 -0.3415 -0.2457 -0.1669
 -0.1033 -0.0521
 -3.2294 -2.8914 -2.6573 -2.5435 -2.4345 -2.1937 -1.9479 -1.7334 -1.5515 -1.3947
 -1.2556 -1.1277 -1.0096 -0.9018 -0.8042 -0.6045 -0.4547 -0.3383 -0.2452 -0.1699
 -0.1101 -0.0625 -0.0231  0.0108
 -3.2894 -2.9023 -2.5992 -2.3727 -2.2198 -2.1217 -1.9706 -1.7597 -1.5658 -1.4008
 -1.2588 -1.1321 -1.0151 -0.9076 -0.8098 -0.6076 -0.4552 -0.3379 -0.2459 -0.1732
 -0.1163 -0.0719 -0.0360 -0.0055  0.0209  0.0422  0.0573  0.0652  0.0653  0.0597
 -3.4051 -2.9717 -2.6244 -2.3491 -2.1341 -1.9677 -1.8406 -1.7327 -1.5888 -1.4197
 -1.2689 -1.1403 -1.0243 -0.9175 -0.8197 -0.6151 -0.4592 -0.3396 -0.2473 -0.1759
 -0.1212 -0.0797 -0.0475 -0.0206  0.0025  0.0221  0.0379  0.0484  0.0520  0.0473
  0.0364
 -3.5635 -3.0934 -2.7019 -2.3865 -2.1346 -1.9324 -1.7674 -1.6280 -1.5108 -1.4042
 -1.2832 -1.1527 -1.0362 -0.9300 -0.8322 -0.6259 -0.4664 -0.3433 -0.2491 -0.1777
 -0.1243 -0.0854 -0.0566 -0.0339 -0.0147  0.0020  0.0156  0.0267  0.0330  0.0323
  0.0229
 -3.7445 -3.2516 -2.8249 -2.4680 -2.1789 -1.9468 -1.7582 -1.6001 -1.4623 -1.3407
 -1.2346 -1.1372 -1.0389 -0.9404 -0.8444 -0.6371 -0.4746 -0.3475 -0.2504 -0.1778
 -0.1249 -0.0876 -0.0620 -0.0438 -0.0292 -0.0167 -0.0062  0.0029  0.0092  0.0109
  0.0069
 -3.9432 -3.4371 -2.9898 -2.6004 -2.2722 -2.0050 -1.7889 -1.6116 -1.4615 -1.3297
 -1.2117 -1.1068 -1.0137 -0.9300 -0.8485 -0.6515 -0.4867 -0.3557 -0.2543 -0.1789
 -0.1249 -0.0880 -0.0644 -0.0499 -0.0402 -0.0327 -0.0265 -0.0213 -0.0174 -0.0144
 -0.0168
 -4.1494 -3.6332 -3.1750 -2.7667 -2.4093 -2.1066 -1.8573 -1.6539 -1.4858 -1.3430
 -1.2178 -1.1060 -1.0058 -0.9169 -0.8374 -0.6604 -0.4999 -0.3660 -0.2601 -0.1807
 -0.1242 -0.0863 -0.0634 -0.0514 -0.0460 -0.0437 -0.0427 -0.0421 -0.0420 -0.0427
 -0.0434
 -4.3638 -3.8306 -3.3669 -2.9503 -2.5768 -2.2481 -1.9669 -1.7325 -1.5391 -1.3780
 -1.2411 -1.1221 -1.0164 -0.9218 -0.8373 -0.6605 -0.5110 -0.3778 -0.2682
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  V   
 -3.7825 -3.3417 -2.9876 -2.6996 -2.4352 -2.1936 -1.9889 -1.7998 -1.6272 -1.4773
 -1.3361 -1.2041 -1.0832 -0.9732 -0.8743 -0.6678 -0.5013 -0.3661 -0.2579
 -3.7108 -3.3656 -2.9822 -2.6630 -2.3914 -2.1452 -1.9373 -1.7474 -1.5761 -1.4257
 -1.2851 -1.1545 -1.0347 -0.9261 -0.8284 -0.6282 -0.4746 -0.3503 -0.2455 -0.1552
 -3.5568 -3.3727 -3.0170 -2.6745 -2.3826 -2.1281 -1.9092 -1.7193 -1.5493 -1.3982
 -1.2590 -1.1298 -1.0108 -0.9027 -0.8053 -0.6066 -0.4566 -0.3373 -0.2383 -0.1546
 -0.0851
 -3.3488 -3.1288 -3.0143 -2.7129 -2.4055 -2.1386 -1.9071 -1.7096 -1.5381 -1.3858
 -1.2480 -1.1201 -1.0020 -0.8940 -0.7963 -0.5966 -0.4472 -0.3304 -0.2350 -0.1556
 -0.0904 -0.0377
 -3.2278 -2.9107 -2.7484 -2.6746 -2.4420 -2.1685 -1.9262 -1.7172 -1.5387 -1.3837
 -1.2462 -1.1196 -1.0024 -0.8947 -0.7967 -0.5947 -0.4437 -0.3275 -0.2343 -0.1580
 -0.0961 -0.0466 -0.0065  0.0277
 -3.2978 -2.9045 -2.6147 -2.4268 -2.3330 -2.1926 -1.9605 -1.7416 -1.5523 -1.3908
 -1.2502 -1.1246 -1.0084 -0.9012 -0.8031 -0.5986 -0.4448 -0.3275 -0.2351 -0.1609
 -0.1015 -0.0548 -0.0176  0.0131  0.0389  0.0598  0.0741  0.0804  0.0797  0.0730
 -3.4381 -2.9796 -2.6270 -2.3593 -2.1646 -2.0322 -1.9295 -1.7726 -1.5810 -1.4083
 -1.2612 -1.1335 -1.0182 -0.9116 -0.8135 -0.6070 -0.4497 -0.3298 -0.2368 -0.1636
 -0.1062 -0.0618 -0.0276  0.0000  0.0231  0.0421  0.0569  0.0660  0.0679  0.0621
  0.0504
 -3.6388 -3.1214 -2.7088 -2.3880 -2.1400 -1.9495 -1.8003 -1.6809 -1.5705 -1.4336
 -1.2817 -1.1470 -1.0307 -0.9249 -0.8269 -0.6187 -0.4579 -0.3344 -0.2394 -0.1660
 -0.1096 -0.0672 -0.0357 -0.0116  0.0080  0.0243  0.0371  0.0465  0.0510  0.0487
  0.0382
 -3.8782 -3.3140 -2.8493 -2.4744 -2.1799 -1.9497 -1.7676 -1.6175 -1.4888 -1.3768
 -1.2715 -1.1588 -1.0431 -0.9379 -0.8405 -0.6313 -0.4676 -0.3402 -0.2420 -0.1672
 -0.1111 -0.0699 -0.0408 -0.0201 -0.0046  0.0079  0.0178  0.0250  0.0297  0.0298
  0.0236
 -4.1276 -3.5433 -3.0445 -2.6230 -2.2787 -2.0056 -1.7901 -1.6165 -1.4710 -1.3435
 -1.2300 -1.1286 -1.0347 -0.9438 -0.8545 -0.6479 -0.4815 -0.3502 -0.2477 -0.1699
 -0.1125 -0.0715 -0.0438 -0.0260 -0.0144 -0.0063 -0.0004  0.0037  0.0060  0.0059
  0.0024
 -4.3692 -3.7826 -3.2674 -2.8168 -2.4318 -2.1138 -1.8583 -1.6542 -1.4882 -1.3482
 -1.2255 -1.1157 -1.0172 -0.9289 -0.8490 -0.6624 -0.4969 -0.3624 -0.2556 -0.1736
 -0.1136 -0.0716 -0.0442 -0.0282 -0.0199 -0.0161 -0.0149 -0.0151 -0.0163 -0.0188
 -0.0218
 -4.6030 -4.0320 -3.4966 -3.0343 -2.6238 -2.2715 -1.9757 -1.7345 -1.5394 -1.3791
 -1.2441 -1.1266 -1.0220 -0.9282 -0.8240 -0.6748 -0.5138 -0.3768 -0.2657
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  V   
 -3.6702 -3.2611 -2.9255 -2.6562 -2.3959 -2.1632 -1.9580 -1.7734 -1.6032 -1.4570
 -1.3183 -1.1887 -1.0691 -0.9602 -0.8615 -0.6543 -0.4878 -0.3536 -0.2473
 -3.7356 -3.2939 -2.9225 -2.6185 -2.3597 -2.1214 -1.9135 -1.7286 -1.5583 -1.4114
 -1.2733 -1.1446 -1.0261 -0.9181 -0.8202 -0.6182 -0.4632 -0.3391 -0.2353 -0.1457
 -3.5140 -3.3505 -2.9610 -2.6317 -2.3531 -2.1070 -1.8918 -1.7052 -1.5357 -1.3874
 -1.2503 -1.1228 -1.0050 -0.8972 -0.7995 -0.5985 -0.4466 -0.3269 -0.2283 -0.1444
 -0.0738
 -3.3345 -3.2738 -3.0159 -2.6771 -2.3743 -2.1175 -1.8913 -1.6974 -1.5280 -1.3768
