 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = UX   
 -8.8102 -7.9443 -7.2691 -6.7789 -6.4257 -6.1630 -5.9535 -5.7740 -5.6161 -5.4042
 -5.0893 -4.7360 -4.3692 -4.0130 -3.6791 -2.9485 -2.3405 -1.8303 -1.4051 -1.0645
 -0.8174 -0.6519 -0.5410 -0.4635 -0.4057 -0.3605 -0.3230 -0.2890 -0.2559 -0.2238
 -9.0485 -8.1237 -7.3523 -6.7527 -6.3086 -5.9782 -5.7121 -5.4706 -5.2427 -5.0389
 -4.8455 -4.6178 -4.3397 -4.0216 -3.6903 -2.9377 -2.3190 -1.8074 -1.3832 -1.0404
 -0.7852 -0.6130 -0.5006 -0.4254 -0.3729 -0.3339 -0.3038 -0.2793 -0.2578 -0.2373
 -0.2173
 -9.3679 -8.4186 -7.5742 -6.8746 -6.3265 -5.9099 -5.5883 -5.3185 -5.0660 -4.8183
 -4.5853 -4.3723 -4.1678 -3.9460 -3.6906 -2.9737 -2.3384 -1.8185 -1.3892 -1.0399
 -0.7719 -0.5859 -0.4655 -0.3882 -0.3370 -0.3021 -0.2769 -0.2583 -0.2445 -0.2336
 -0.2246
 -9.7337 -8.7804 -7.8975 -7.1194 -6.4730 -5.9614 -5.5632 -5.2459 -4.9746 -4.7188
 -4.4671 -4.2237 -3.9954 -3.7854 -3.5813 -3.0094 -2.3858 -1.8536 -1.4161 -1.0580
 -0.7754 -0.5711 -0.4364 -0.3517 -0.2985 -0.2648 -0.2438 -0.2294 -0.2198 -0.2147
 -0.2136
-10.1101 -9.1811 -8.3007 -7.4764 -6.7512 -6.1441 -5.6566 -5.2691 -4.9540 -4.6817
 -4.4273 -4.1777 -3.9324 -3.6989 -3.4827 -2.9832 -2.4502 -1.9191 -1.4701 -1.1011
 -0.8036 -0.5781 -0.4223 -0.3226 -0.2614 -0.2247 -0.2039 -0.1931 -0.1888 -0.1885
 -0.1905
-10.4509 -9.5849 -8.7273 -7.8984 -7.1288 -6.4455 -5.8676 -5.3960 -5.0150 -4.7004
 -4.4276 -4.1750 -3.9288 -3.6864 -3.4532 -2.9386 -2.4724 -1.9907 -1.5390 -1.1589
