 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = BX   
 -5.5609 -5.1748 -4.8360 -4.5487 -4.3143 -4.1282 -3.9839 -3.7855 -3.5173 -3.2529
 -3.0140 -2.7892 -2.5788 -2.3861 -2.2118 -1.8461 -1.5508 -1.3024 -1.0875 -0.8995
 -0.7404 -0.6085 -0.4967 -0.3994
 -5.4833 -5.1123 -4.7684 -4.4643 -4.2003 -3.9705 -3.7693 -3.5945 -3.4364 -3.2366
 -3.0067 -2.7835 -2.5711 -2.3736 -2.1938 -1.8183 -1.5225 -1.2809 -1.0768 -0.9006
 -0.7510 -0.6268 -0.5222 -0.4309 -0.3494 -0.2753 -0.2066 -0.1414 -0.0833 -0.0473
 -5.4209 -5.0689 -4.7316 -4.4213 -4.1464 -3.9061 -3.6884 -3.4838 -3.2947 -3.1267
 -2.9634 -2.7787 -2.5792 -2.3827 -2.1985 -1.8102 -1.5091 -1.2698 -1.0724 -0.9050
 -0.7634 -0.6461 -0.5482 -0.4636 -0.3877 -0.3184 -0.2548 -0.1963 -0.1424 -0.0961
 -0.0702
 -5.3632 -5.0349 -4.7104 -4.4017 -4.1191 -3.8681 -3.6457 -3.4405 -3.2441 -3.0560
 -2.8815 -2.7204 -2.5599 -2.3899 -2.2150 -1.8184 -1.5079 -1.2667 -1.0724 -0.9110
 -0.7756 -0.6641 -0.5724 -0.4946 -0.4252 -0.3618 -0.3023 -0.2475 -0.1987 -0.1567
 -0.1222
 -5.3111 -4.9995 -4.6929 -4.3925 -4.1079 -3.8487 -3.6180 -3.4109 -3.2181 -3.0315
 -2.8504 -2.6779 -2.5152 -2.3619 -2.2109 -1.8359 -1.5149 -1.2680 -1.0741 -0.9159
 -0.7849 -0.6779 -0.5916 -0.5202 -0.4580 -0.4015 -0.3494 -0.3017 -0.2580 -0.2181
 -0.1816
 -5.2684 -4.9693 -4.6777 -4.3927 -4.1141 -3.8510 -3.6112 -3.3966 -3.2029 -3.0215
 -2.8455 -2.6734 -2.5061 -2.3467 -2.1975 -1.8532 -1.5374 -1.2801 -1.0822 -0.9244
 -0.7953 -0.6906 -0.6076 -0.5415 -0.4860 -0.4369 -0.3920 -0.3500 -0.3108 -0.2748
 -0.2427
 -5.2369 -4.9278 -4.6522 -4.3858 -4.1228 -3.8650 -3.6210 -3.3973 -3.1962 -3.0136
