 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  R   
 -0.2833 -0.2187 -0.1671 -0.1244 -0.0854  0.0100  0.0914  0.1516  0.1906  0.2098
  0.2121  0.2035  0.1905  0.1767  0.1628  0.1488  0.1341  0.1173  0.0984  0.0776
  0.0550
 -1.5120 -1.3473 -1.1976 -1.0591 -0.9231 -0.7924 -0.6701 -0.5570 -0.4534 -0.3597
 -0.2767 -0.2056 -0.1464 -0.0975 -0.0558  0.0302  0.1036  0.1601  0.1984  0.2180
  0.2205  0.2098  0.1924  0.1732  0.1544  0.1363  0.1184  0.1009  0.0830  0.0638
  0.0418
 -1.5416 -1.3400 -1.1869 -1.0515 -0.9222 -0.7956 -0.6746 -0.5620 -0.4584 -0.3636
 -0.2779 -0.2024 -0.1378 -0.0840 -0.0387  0.0500  0.1187  0.1722  0.2085  0.2284
  0.2319  0.2209  0.2006  0.1765  0.1521  0.1287  0.1064  0.0853  0.0648  0.0443
  0.0232
 -1.6157 -1.3662 -1.1887 -1.0478 -0.9199 -0.7989 -0.6825 -0.5702 -0.4660 -0.3705
 -0.2834 -0.2050 -0.1361 -0.0774 -0.0283  0.0650  0.1335  0.1852  0.2204
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  R   
 -2.3436 -2.1333 -1.8541 -1.5929 -1.3474 -1.1355 -0.9771 -0.8497 -0.7370 -0.6306
 -0.5318 -0.4387 -0.3512 -0.2696 -0.1937 -0.0315  0.0910  0.1783  0.2368
 -2.0263 -1.9937 -1.8141 -1.5660 -1.3293 -1.1115 -0.9392 -0.8046 -0.6905 -0.5867
 -0.4908 -0.4012 -0.3173 -0.2393 -0.1672 -0.0157  0.0964  0.1752  0.2272  0.2586
 -1.8236 -1.6857 -1.6526 -1.5365 -1.3230 -1.1128 -0.9254 -0.7781 -0.6600 -0.5572
 -0.4640 -0.3775 -0.2970 -0.2223 -0.1535 -0.0095  0.0963  0.1701  0.2183  0.2470
  0.2624
 -1.7566 -1.5561 -1.4057 -1.3341 -1.2758 -1.1143 -0.9311 -0.7692 -0.6411 -0.5361
 -0.4446 -0.3608 -0.2832 -0.2115 -0.1456 -0.0078  0.0937  0.1644  0.2102  0.2369
  0.2505  0.2566
 -1.7203 -1.5148 -1.3285 -1.1759 -1.0679 -1.0083 -0.9205 -0.7753 -0.6352 -0.5217
 -0.4293 -0.3472 -0.2720 -0.2030 -0.1397 -0.0072  0.0907  0.1592  0.2033  0.2285
  0.2402  0.2447  0.2447  0.2413
 -1.6956 -1.4953 -1.3058 -1.1335 -0.9855 -0.8642 -0.7756 -0.7133 -0.6286 -0.5167
 -0.4172 -0.3351 -0.2615 -0.1945 -0.1335 -0.0059  0.0888  0.1555  0.1984  0.2223
  0.2322  0.2344  0.2326  0.2277  0.2197  0.2079  0.1915  0.1695  0.1415  0.1090
 -1.6774 -1.4845 -1.2984 -1.1240 -0.9655 -0.8257 -0.7052 -0.6050 -0.5293 -0.4696
 -0.4001 -0.3233 -0.2509 -0.1853 -0.1261 -0.0028  0.0889  0.1540  0.1961  0.2190
  0.2272  0.2265  0.2219  0.2150  0.2061  0.1947  0.1805  0.1622  0.1382  0.1062
  0.0712
 -1.6632 -1.4777 -1.2972 -1.1252 -0.9652 -0.8200 -0.6901 -0.5757 -0.4771 -0.3952
 -0.3315 -0.2794 -0.2279 -0.1723 -0.1166  0.0027  0.0915  0.1552  0.1966  0.2191
  0.2260  0.2225  0.2141  0.2040  0.1927  0.1801  0.1669  0.1511  0.1306  0.1035
  0.0688
 -1.6587 -1.4715 -1.2971 -1.1292 -0.9706 -0.8244 -0.6914 -0.5716 -0.4652 -0.3721
 -0.2928 -0.2280 -0.1774 -0.1345 -0.0923  0.0127  0.0981  0.1601  0.2009  0.2230
