 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -5.2002 -4.9078 -4.6293 -4.3588 -4.1077 -3.8805 -3.6700 -3.4661 -3.2656 -3.0738
 -2.8949 -2.7275 -2.5561 -2.3763 -2.1974 -1.8057 -1.5050 -1.2660 -1.0665 -0.8994
 -0.7645 -0.6550 -0.5623 -0.4799 -0.4045 -0.3329 -0.2664 -0.2070 -0.1563 -0.1152
 -0.0832
 -5.0659 -4.7995 -4.5461 -4.2921 -4.0466 -3.8181 -3.6099 -3.4142 -3.2229 -3.0326
 -2.8464 -2.6689 -2.5040 -2.3464 -2.1882 -1.8086 -1.5017 -1.2643 -1.0706 -0.9091
 -0.7788 -0.6750 -0.5891 -0.5140 -0.4455 -0.3804 -0.3194 -0.2637 -0.2144 -0.1722
 -0.1375
 -4.9446 -4.6969 -4.4627 -4.2282 -3.9950 -3.7694 -3.5594 -3.3660 -3.1833 -3.0038
 -2.8244 -2.6468 -2.4764 -2.3171 -2.1674 -1.8152 -1.5079 -1.2669 -1.0754 -0.9174
 -0.7897 -0.6896 -0.6097 -0.5420 -0.4811 -0.4245 -0.3714 -0.3224 -0.2774 -0.2361
 -0.1981
 -4.8411 -4.6015 -4.3800 -4.1672 -3.9510 -3.7359 -3.5270 -3.3311 -3.1501 -2.9786
 -2.8104 -2.6420 -2.4747 -2.3134 -2.1614 -1.8214 -1.5241 -1.2785 -1.0852 -0.9286
 -0.8016 -0.7023 -0.6258 -0.5642 -0.5109 -0.4621 -0.4166 -0.3733 -0.3326 -0.2948
 -0.2602
 -4.7543 -4.5136 -4.2987 -4.0998 -3.9001 -3.7018 -3.5033 -3.3092 -3.1254 -2.9544
 -2.7926 -2.6347 -2.4772 -2.3205 -2.1686 -1.8274 -1.5376 -1.2934 -1.0967 -0.9396
 -0.8127 -0.7128 -0.6370 -0.5791 -0.5322 -0.4913 -0.4539 -0.4183 -0.3845 -0.3524
 -0.3228
 -4.6786 -4.4331 -4.2189 -4.0234 -3.8384 -3.6563 -3.4732 -3.2906 -3.1108 -2.9381
 -2.7760 -2.6226 -2.4739 -2.3267 -2.1805 -1.8392 -1.5496 -1.3077 -1.1090
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  B   
 -6.8641 -6.5671 -6.1280 -5.6683 -5.2178 -4.8235 -4.5133 -4.2376 -3.9774 -3.7355
 -3.5061 -3.2910 -3.0922 -2.9090 -2.7386 -2.3480 -1.9787 -1.6195 -1.2906
 -6.1801 -6.0088 -5.8339 -5.4842 -5.0819 -4.6850 -4.3399 -4.0493 -3.7823 -3.5356
 -3.3018 -3.0833 -2.8825 -2.6994 -2.5313 -2.1575 -1.8203 -1.5045 -1.2147 -0.9660
 -5.8830 -5.5304 -5.3279 -5.2140 -4.9567 -4.6038 -4.2484 -3.9339 -3.6591 -3.4080
 -3.1712 -2.9492 -2.7447 -2.5589 -2.3901 -2.0237 -1.7068 -1.4212 -1.1624 -0.9366
 -0.7502
 -5.7296 -5.3371 -5.0218 -4.7934 -4.6548 -4.4913 -4.2015 -3.8840 -3.5934 -3.3358
 -3.0968 -2.8716 -2.6630 -2.4730 -2.3011 -1.9351 -1.6298 -1.3642 -1.1284 -0.9213
 -0.7480 -0.6047
 -5.6265 -5.2372 -4.8960 -4.6072 -4.3721 -4.1856 -4.0410 -3.8420 -3.5724 -3.3053
 -3.0637 -2.8364 -2.6237 -2.4287 -2.2522 -1.8809 -1.5805 -1.3275 -1.1080 -0.9159
 -0.7535 -0.6191 -0.5055 -0.4068
 -5.5495 -5.1749 -4.8279 -4.5215 -4.2560 -4.0253 -3.8233 -3.6478 -3.4889 -3.2879
 -3.0559 -2.8305 -2.6157 -2.4158 -2.2337 -1.8527 -1.5516 -1.3055 -1.0971 -0.9170
 -0.7640 -0.6374 -0.5310 -0.4383 -0.3556 -0.2804 -0.2106 -0.1444 -0.0853 -0.0484
 -5.4881 -5.1325 -4.7917 -4.4784 -4.2013 -3.9593 -3.7405 -3.5348 -3.3444 -3.1753
 -3.0109 -2.8248 -2.6235 -2.4250 -2.2385 -1.8445 -1.5381 -1.2943 -1.0928 -0.9216
 -0.7766 -0.6568 -0.5571 -0.4711 -0.3941 -0.3239 -0.2594 -0.2001 -0.1454 -0.0983
 -0.0716
 -5.4315 -5.1000 -4.7719 -4.4596 -4.1741 -3.9209 -3.6968 -3.4902 -3.2924 -3.1029
 -2.9270 -2.7645 -2.6029 -2.4315 -2.2550 -1.8531 -1.5372 -1.2914 -1.0932 -0.9280
 -0.7893 -0.6752 -0.5816 -0.5023 -0.4319 -0.3676 -0.3074 -0.2519 -0.2025 -0.1599
 -0.1247
 -5.3804 -5.0660 -4.7560 -4.4521 -4.1640 -3.9020 -3.6690 -3.4601 -3.2658 -3.0776
 -2.8950 -2.7209 -2.5568 -2.4021 -2.2498 -1.8709 -1.5448 -1.2932 -1.0953 -0.9334
 -0.7991 -0.6894 -0.6011 -0.5283 -0.4650 -0.4076 -0.3549 -0.3066 -0.2625 -0.2221
 -0.1851
 -5.3384 -5.0371 -4.7427 -4.4544 -4.1723 -3.9058 -3.6631 -3.4461 -3.2505 -3.0674
 -2.8899 -2.7161 -2.5472 -2.3862 -2.2356 -1.8878 -1.5679 -1.3060 -1.1042 -0.9427
 -0.8103 -0.7028 -0.6176 -0.5499 -0.4934 -0.4434 -0.3978 -0.3553 -0.3157 -0.2793
 -0.2469
 -5.3075 -4.9966 -4.7188 -4.4496 -4.1834 -3.9221 -3.6747 -3.4481 -3.2446 -3.0599
 -2.8871 -2.7199 -2.5551 -2.3934 -2.2383 -1.8940 -1.5914 -1.3272 -1.1175 -0.9534
 -0.8211 -0.7141 -0.6301 -0.5655 -0.5144 -0.4715 -0.4336 -0.3985 -0.3656 -0.3350
 -0.3069
 -5.2914 -4.9639 -4.6853 -4.4307 -4.1810 -3.9350 -3.6953 -3.4654 -3.2530 -3.0604
 -2.8853 -2.7218 -2.5639 -2.4084 -2.2552 -1.9040 -1.6077 -1.3505 -1.1356
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  B   
 -6.8800 -6.4625 -5.9632 -5.4913 -5.0524 -4.6725 -4.3690 -4.1037 -3.8577 -3.6256
 -3.4075 -3.2027 -3.0129 -2.8383 -2.6767 -2.3110 -1.9701 -1.6380 -1.3213
 -6.2566 -6.1249 -5.8022 -5.3770 -4.9557 -4.5582 -4.2266 -3.9456 -3.6910 -3.4544
 -3.2317 -3.0233 -2.8308 -2.6548 -2.4936 -2.1388 -1.8212 -1.5229 -1.2442 -0.9954
 -5.8807 -5.5911 -5.4797 -5.2617 -4.8974 -4.5177 -4.1591 -3.8555 -3.5914 -3.3498
 -3.1237 -2.9116 -2.7151 -2.5357 -2.3725 -2.0201 -1.7162 -1.4408 -1.1892 -0.9634
 -0.7712
 -5.7463 -5.3511 -5.0682 -4.9151 -4.7806 -4.4903 -4.1498 -3.8246 -3.5438 -3.2948
 -3.0658 -2.8503 -2.6497 -2.4656 -2.2983 -1.9425 -1.6453 -1.3846 -1.1524 -0.9450
 -0.7662 -0.6168
 -5.6783 -5.2655 -4.9158 -4.6439 -4.4460 -4.3109 -4.1213 -3.8340 -3.5405 -3.2779
 -3.0443 -2.8261 -2.6213 -2.4322 -2.2597 -1.8959 -1.5999 -1.3480 -1.1291 -0.9362
 -0.7689 -0.6284 -0.5101 -0.4080
 -5.6410 -5.2313 -4.8626 -4.5478 -4.2897 -4.0747 -3.8987 -3.7469 -3.5444 -3.2915
 -3.0493 -2.8285 -2.6204 -2.4264 -2.2481 -1.8724 -1.5732 -1.3257 -1.1158 -0.9339
 -0.7767 -0.6440 -0.5329 -0.4371 -0.3525 -0.2756 -0.2043 -0.1394 -0.0834 -0.0427
 -5.6222 -5.2234 -4.8505 -4.5169 -4.2304 -3.9870 -3.7732 -3.5793 -3.4092 -3.2483
 -3.0565 -2.8456 -2.6387 -2.4415 -2.2576 -1.8675 -1.5610 -1.3140 -1.1094 -0.9358
 -0.7870 -0.6613 -0.5567 -0.4675 -0.3888 -0.3178 -0.2536 -0.1942 -0.1389 -0.0914
 -0.0643
 -5.6089 -5.2296 -4.8613 -4.5197 -4.2153 -3.9527 -3.7248 -3.5185 -3.3251 -3.1448
 -2.9811 -2.8218 -2.6487 -2.4648 -2.2824 -1.8785 -1.5612 -1.3108 -1.1087 -0.9402
 -0.7978 -0.6782 -0.5794 -0.4966 -0.4244 -0.3594 -0.2992 -0.2441 -0.1950 -0.1523
 -0.1164
 -5.5983 -5.2352 -4.8799 -4.5389 -4.2247 -3.9458 -3.7031 -3.4895 -3.2934 -3.1063
 -2.9281 -2.7619 -2.6058 -2.4525 -2.2937 -1.8999 -1.5700 -1.3129 -1.1100 -0.9443
 -0.8065 -0.6918 -0.5981 -0.5212 -0.4558 -0.3976 -0.3447 -0.2960 -0.2515 -0.2118
 -0.1767
 -5.5903 -5.2407 -4.9042 -4.5734 -4.2573 -3.9671 -3.7094 -3.4832 -3.2823 -3.0964
 -2.9182 -2.7466 -2.5827 -2.4273 -2.2800 -1.9252 -1.5945 -1.3266 -1.1191 -0.9531
 -0.8171 -0.7052 -0.6148 -0.5425 -0.4832 -0.4320 -0.3861 -0.3439 -0.3049 -0.2693
 -0.2376
 -5.5880 -5.2367 -4.9175 -4.6050 -4.2988 -4.0062 -3.7371 -3.4969 -3.2847 -3.0946
 -2.9184 -2.7496 -2.5856 -2.4267 -2.2746 -1.9333 -1.6231 -1.3496 -1.1335 -0.9642
 -0.8277 -0.7167 -0.6279 -0.5585 -0.5041 -0.4594 -0.4208 -0.3857 -0.3534 -0.3235
 -0.2958
 -5.5999 -5.2291 -4.9145 -4.6212 -4.3331 -4.0503 -3.7799 -3.5297 -3.3045 -3.1038
 -2.9233 -2.7561 -2.5963 -2.4403 -2.2877 -1.9394 -1.6422 -1.3775 -1.1541
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  B   
 -6.8343 -6.3131 -5.7910 -5.3286 -4.9218 -4.5587 -4.2598 -3.9949 -3.7564 -3.5348
 -3.3268 -3.1315 -2.9499 -2.7825 -2.6280 -2.2821 -1.9645 -1.6558 -1.3529
 -6.3982 -6.1488 -5.7168 -5.2597 -4.8412 -4.4610 -4.1402 -3.8643 -3.6148 -3.3889
 -3.1764 -2.9774 -2.7928 -2.6233 -2.4680 -2.1284 -1.8272 -1.5436 -1.2753 -1.0294
 -5.9001 -5.7351 -5.5812 -5.2243 -4.8181 -4.4336 -4.0872 -3.7931 -3.5348 -3.3025
 -3.0865 -2.8839 -2.6955 -2.5224 -2.3641 -2.0236 -1.7310 -1.4642 -1.2184 -0.9943
 -0.7976
 -5.7506 -5.3760 -5.1741 -5.0709 -4.8016 -4.4434 -4.0916 -3.7732 -3.5005 -3.2602
 -3.0407 -2.8347 -2.6422 -2.4645 -2.3019 -1.9553 -1.6658 -1.4095 -1.1792 -0.9723
 -0.7895 -0.6339
 -5.7110 -5.2803 -4.9406 -4.7111 -4.5821 -4.4147 -4.1167 -3.7986 -3.5055 -3.2520
 -3.0269 -2.8177 -2.6214 -2.4388 -2.2709 -1.9144 -1.6235 -1.3732 -1.1536 -0.9598
 -0.7890 -0.6424 -0.5185 -0.4126
 -5.7115 -5.2680 -4.8824 -4.5707 -4.3330 -4.1565 -4.0170 -3.8145 -3.5427 -3.2746
 -3.0374 -2.8244 -2.6246 -2.4374 -2.2640 -1.8946 -1.5986 -1.3506 -1.1382 -0.9541
 -0.7934 -0.6550 -0.5380 -0.4382 -0.3508 -0.2725 -0.2010 -0.1341 -0.0748 -0.0368
 -5.7367 -5.2923 -4.8887 -4.5404 -4.2517 -4.0181 -3.8206 -3.6531 -3.4974 -3.3006
 -3.0681 -2.8486 -2.6459 -2.4549 -2.2762 -1.8923 -1.5876 -1.3386 -1.1303 -0.9532
 -0.8007 -0.6697 -0.5591 -0.4655 -0.3843 -0.3119 -0.2464 -0.1866 -0.1316 -0.0840
 -0.0561
 -5.7697 -5.3371 -4.9283 -4.5590 -4.2402 -3.9734 -3.7493 -3.5502 -3.3687 -3.2048
 -3.0462 -2.8672 -2.6757 -2.4858 -2.3041 -1.9053 -1.5888 -1.3355 -1.1285 -0.9557
 -0.8094 -0.6847 -0.5799 -0.4922 -0.4172 -0.3509 -0.2914 -0.2376 -0.1883 -0.1435
 -0.1072
 -5.8046 -5.3825 -4.9814 -4.6039 -4.2654 -3.9727 -3.7249 -3.5117 -3.3186 -3.1375
 -2.9684 -2.8118 -2.6592 -2.4992 -2.3318 -1.9289 -1.5989 -1.3380 -1.1295 -0.9589
 -0.8166 -0.6970 -0.5974 -0.5153 -0.4465 -0.3867 -0.3334 -0.2849 -0.2409 -0.2014
 -0.1669
 -5.8377 -5.4335 -5.0449 -4.6703 -4.3215 -4.0095 -3.7389 -3.5068 -3.3045 -3.1196
 -2.9446 -2.7783 -2.6221 -2.4739 -2.3292 -1.9627 -1.6245 -1.3527 -1.1391 -0.9675
 -0.8266 -0.7099 -0.6139 -0.5361 -0.4728 -0.4195 -0.3728 -0.3307 -0.2922 -0.2576
 -0.2267
 -5.8687 -5.4690 -5.0993 -4.7392 -4.3925 -4.0703 -3.7816 -3.5294 -3.3109 -3.1183
 -2.9420 -2.7748 -2.6145 -2.4613 -2.3150 -1.9771 -1.6579 -1.3769 -1.1546 -0.9792
 -0.8374 -0.7215 -0.6275 -0.5526 -0.4936 -0.4461 -0.4062 -0.3709 -0.3390 -0.3099
 -0.2826
 -5.9093 -5.4938 -5.1342 -4.7940 -4.4621 -4.1430 -3.8454 -3.5770 -3.3405 -3.1335
 -2.9497 -2.7815 -2.6223 -2.4688 -2.3201 -1.9795 -1.6811 -1.4085 -1.1772
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  B   
 -6.7160 -6.1473 -5.6270 -5.1876 -4.8067 -4.4664 -4.1782 -3.9113 -3.6730 -3.4637
 -3.2646 -3.0776 -2.9035 -2.7425 -2.5937 -2.2632 -1.9641 -1.6741 -1.3881
 -6.3280 -6.1001 -5.6116 -5.1470 -4.7376 -4.3778 -4.0721 -3.7997 -3.5550 -3.3387
 -3.1355 -2.9452 -2.7682 -2.6048 -2.4546 -2.1270 -1.8390 -1.5678 -1.3086 -1.0665
 -5.9928 -5.8916 -5.5834 -5.1583 -4.7381 -4.3547 -4.0263 -3.7411 -3.4895 -3.2662
 -3.0596 -2.8660 -2.6855 -2.5185 -2.3652 -2.0345 -1.7516 -1.4923 -1.2509 -1.0288
 -0.8296
 -5.7518 -5.4453 -5.3472 -5.1323 -4.7661 -4.3863 -4.0347 -3.7287 -3.4647 -3.2320
 -3.0218 -2.8249 -2.6406 -2.4694 -2.3118 -1.9738 -1.6915 -1.4396 -1.2105 -1.0033
 -0.8181 -0.6568
 -5.7220 -5.2889 -4.9887 -4.8449 -4.7147 -4.4197 -4.0809 -3.7580 -3.4747 -3.2289
 -3.0122 -2.8119 -2.6239 -2.4483 -2.2857 -1.9370 -1.6517 -1.4038 -1.1832 -0.9874
 -0.8138 -0.6619 -0.5319 -0.4213
 -5.7555 -5.2827 -4.8930 -4.6036 -4.4136 -4.2906 -4.0985 -3.8107 -3.5182 -3.2545
 -3.0250 -2.8203 -2.6287 -2.4489 -2.2812 -1.9196 -1.6278 -1.3808 -1.1660 -0.9785
 -0.8146 -0.6712 -0.5479 -0.4429 -0.3526 -0.2724 -0.1984 -0.1287 -0.0694 -0.0309
 -5.8239 -5.3335 -4.9049 -4.5505 -4.2750 -4.0654 -3.9037 -3.7585 -3.5564 -3.3045
 -3.0607 -2.8456 -2.6503 -2.4668 -2.2945 -1.9188 -1.6173 -1.3682 -1.1566 -0.9751
 -0.8187 -0.6827 -0.5660 -0.4668 -0.3817 -0.3070 -0.2410 -0.1804 -0.1235 -0.0760
 -0.0476
 -5.9104 -5.4165 -4.9676 -4.5770 -4.2532 -3.9911 -3.7794 -3.5977 -3.4379 -3.2822
 -3.0964 -2.8854 -2.6855 -2.4988 -2.3225 -1.9331 -1.6192 -1.3649 -1.1538 -0.9760
 -0.8248 -0.6953 -0.5844 -0.4908 -0.4115 -0.3427 -0.2822 -0.2270 -0.1772 -0.1337
 -0.0971
 -5.9938 -5.5094 -5.0549 -4.6429 -4.2848 -3.9852 -3.7397 -3.5335 -3.3496 -3.1803
 -3.0238 -2.8708 -2.7055 -2.5319 -2.3580 -1.9579 -1.6304 -1.3677 -1.1545 -0.9781
 -0.8304 -0.7056 -0.6001 -0.5119 -0.4384 -0.3758 -0.3213 -0.2725 -0.2288 -0.1899
 -0.1557
 -6.0747 -5.6053 -5.1589 -4.7402 -4.3609 -4.0311 -3.7531 -3.5210 -3.3226 -3.1432
 -2.9751 -2.8174 -2.6693 -2.5251 -2.3774 -1.9975 -1.6571 -1.3835 -1.1645 -0.9867
 -0.8399 -0.7177 -0.6160 -0.5320 -0.4635 -0.4067 -0.3585 -0.3159 -0.2779 -0.2432
 -0.2139
 -6.1473 -5.6878 -5.2575 -4.8463 -4.4603 -4.1112 -3.8061 -3.5461 -3.3260 -3.1354
 -2.9626 -2.8001 -2.6459 -2.5003 -2.3607 -2.0237 -1.6942 -1.4087 -1.1812 -0.9991
 -0.8511 -0.7294 -0.6297 -0.5487 -0.4841 -0.4326 -0.3904 -0.3543 -0.3225 -0.2941
 -0.2674
 -6.2221 -5.7525 -5.3369 -4.9428 -4.5653 -4.2109 -3.8889 -3.6052 -3.3607 -3.1509
 -2.9676 -2.8016 -2.6458 -2.4972 -2.3547 -2.0253 -1.7236 -1.4431 -1.2053
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  B   
 -6.5621 -5.9841 -5.4839 -5.0706 -4.7033 -4.3794 -4.1068 -3.8524 -3.6162 -3.4132
 -3.2220 -3.0420 -2.8743 -2.7186 -2.5747 -2.2555 -1.9625 -1.6859 -1.4241
 -6.4007 -6.0118 -5.5021 -5.0456 -4.6531 -4.3069 -4.0185 -3.7546 -3.5142 -3.3056
 -3.1103 -2.9274 -2.7570 -2.5991 -2.4532 -2.1350 -1.8573 -1.5964 -1.3454 -1.1067
 -6.1647 -5.9545 -5.5379 -5.0830 -4.6641 -4.2932 -3.9777 -3.7045 -3.4589 -3.2430
 -3.0446 -2.8588 -2.6854 -2.5243 -2.3754 -2.0529 -1.7778 -1.5254 -1.2881 -1.0673
 -0.8667
 -5.8852 -5.6004 -5.4672 -5.1199 -4.7152 -4.3312 -3.9879 -3.6944 -3.4391 -3.2135
 -3.0115 -2.8227 -2.6459 -2.4811 -2.3282 -1.9981 -1.7221 -1.4751 -1.2474 -1.0393
 -0.8518 -0.6857
 -5.7183 -5.3090 -5.0988 -5.0089 -4.7441 -4.3895 -4.0400 -3.7232 -3.4497 -3.2120
 -3.0032 -2.8109 -2.6306 -2.4619 -2.3047 -1.9642 -1.6841 -1.4398 -1.2191 -1.0205
 -0.8439 -0.6873 -0.5512 -0.4352
 -5.7702 -5.2837 -4.9090 -4.6714 -4.5569 -4.3930 -4.0981 -3.7841 -3.4917 -3.2373
 -3.0154 -2.8186 -2.6348 -2.4621 -2.3004 -1.9477 -1.6606 -1.4163 -1.2004 -1.0091
 -0.8410 -0.6930 -0.5638 -0.4525 -0.3565 -0.2731 -0.1965 -0.1241 -0.0644 -0.0251
 -5.8737 -5.3491 -4.9077 -4.5620 -4.3158 -4.1534 -4.0267 -3.8252 -3.5562 -3.2888
 -3.0507 -2.8427 -2.6550 -2.4786 -2.3128 -1.9472 -1.6499 -1.4027 -1.1894 -1.0033
 -0.8418 -0.7011 -0.5785 -0.4730 -0.3826 -0.3044 -0.2344 -0.1714 -0.1151 -0.0677
 -0.0388
 -6.0097 -5.4628 -4.9834 -4.5805 -4.2599 -4.0165 -3.8296 -3.6782 -3.5307 -3.3372
 -3.1069 -2.8851 -2.6889 -2.5093 -2.3395 -1.9615 -1.6519 -1.3986 -1.1852 -1.0022
 -0.8453 -0.7105 -0.5940 -0.4940 -0.4091 -0.3366 -0.2737 -0.2185 -0.1684 -0.1226
 -0.0862
 -6.1630 -5.5979 -5.0989 -4.6598 -4.2901 -3.9920 -3.7569 -3.5645 -3.3971 -3.2450
 -3.0932 -2.9207 -2.7302 -2.5477 -2.3752 -1.9866 -1.6637 -1.4015 -1.1850 -1.0031
 -0.8492 -0.7186 -0.6074 -0.5128 -0.4333 -0.3666 -0.3096 -0.2599 -0.2159 -0.1771
 -0.1430
 -6.2929 -5.7433 -5.2416 -4.7835 -4.3798 -4.0385 -3.7597 -3.5338 -3.3441 -3.1743
 -3.0171 -2.8694 -2.7246 -2.5727 -2.4151 -2.0274 -1.6915 -1.4180 -1.1953 -1.0115
 -0.8581 -0.7296 -0.6219 -0.5317 -0.4570 -0.3954 -0.3442 -0.3003 -0.2621 -0.2285
 -0.1995
 -6.4083 -5.8786 -5.3854 -4.9256 -4.5043 -4.1325 -3.8160 -3.5536 -3.3369 -3.1522
 -2.9859 -2.8306 -2.6844 -2.5462 -2.4108 -2.0670 -1.7304 -1.4444 -1.2131 -1.0247
 -0.8697 -0.7414 -0.6354 -0.5482 -0.4773 -0.4203 -0.3745 -0.3365 -0.3041 -0.2762
 -0.2506
 -6.5092 -6.0038 -5.5106 -5.0646 -4.6430 -4.2569 -3.9134 -3.6183 -3.3701 -3.1616
 -2.9823 -2.8212 -2.6708 -2.5287 -2.3623 -2.1054 -1.7804 -1.4807 -1.2384
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  B   
 -6.4172 -5.8395 -5.3640 -4.9807 -4.6254 -4.3189 -4.0508 -3.8064 -3.5765 -3.3809
 -3.1957 -3.0219 -2.8597 -2.7092 -2.5694 -2.2590 -1.9759 -1.7108 -1.4618
 -6.4502 -5.9088 -5.3985 -4.9579 -4.5858 -4.2560 -3.9735 -3.7210 -3.4863 -3.2857
 -3.0973 -2.9211 -2.7567 -2.6041 -2.4624 -2.1518 -1.8821 -1.6297 -1.3859 -1.1510
 -6.1169 -5.9485 -5.4577 -5.0088 -4.6014 -4.2450 -3.9407 -3.6774 -3.4373 -3.2299
 -3.0387 -2.8600 -2.6932 -2.5377 -2.3933 -2.0783 -1.8096 -1.5635 -1.3303 -1.1107
 -0.9089
