 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F098M
 -1.0719 -1.1386 -1.2026 -1.2639 -1.3225 -1.3786 -1.4327 -1.4851 -1.5364 -1.5880
 -1.6424
 -0.3412 -0.3900 -0.4381 -0.4838 -0.5254 -0.5616 -0.5925 -0.6186 -0.6411 -0.6613
 -0.6803 -0.6985 -0.7161 -0.7331 -0.7500 -0.7900 -0.8313 -0.8776 -0.9307 -0.9931
 -1.0620 -1.1324 -1.2011 -1.2668 -1.3295 -1.3892 -1.4465 -1.5016 -1.5549 -1.6071
 -1.6592
 -0.2773 -0.3244 -0.3719 -0.4179 -0.4618 -0.5029 -0.5398 -0.5723 -0.6008 -0.6262
 -0.6494 -0.6711 -0.6918 -0.7116 -0.7306 -0.7751 -0.8177 -0.8654 -0.9195 -0.9810
 -1.0493 -1.1211 -1.1931 -1.2633 -1.3305 -1.3946 -1.4558 -1.5144 -1.5707 -1.6253
 -1.6789
 -0.2154 -0.2598 -0.3086 -0.3526 -0.3965 -0.4392 -0.4797 -0.5173 -0.5515 -0.5827
 -0.6111 -0.6375 -0.6623 -0.6858 -0.7105 -0.7623 -0.8058 -0.8530 -0.9081
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F098M
 -0.5809 -0.6282 -0.6787 -0.7269 -0.7727 -0.8150 -0.8504 -0.8752 -0.8873 -0.8853
 -0.8694 -0.8445 -0.8164 -0.7890 -0.7672 -0.7290
 -0.5017 -0.5446 -0.5965 -0.6527 -0.7094 -0.7627 -0.8093 -0.8463 -0.8716 -0.8839
 -0.8823 -0.8683 -0.8460 -0.8222 -0.8020 -0.7694 -0.7689 -0.8003 -0.8485
 -0.4747 -0.5048 -0.5492 -0.6027 -0.6599 -0.7163 -0.7684 -0.8131 -0.8481 -0.8719
 -0.8829 -0.8805 -0.8665 -0.8475 -0.8298 -0.8027 -0.8035 -0.8317 -0.8777 -0.9303
 -0.9850
 -0.4999 -0.5088 -0.5368 -0.5769 -0.6242 -0.6757 -0.7277 -0.7756 -0.8168 -0.8493
 -0.8712 -0.8811 -0.8779 -0.8649 -0.8506 -0.8289 -0.8314 -0.8576 -0.9018 -0.9537
 -1.0073 -1.0615 -1.1155
 -0.5447 -0.5416 -0.5542 -0.5804 -0.6163 -0.6580 -0.7025 -0.7466 -0.7866 -0.8218
 -0.8500 -0.8698 -0.8785 -0.8744 -0.8644 -0.8480 -0.8526 -0.8780 -0.9208 -0.9723
 -1.0262 -1.0801 -1.1332 -1.1849 -1.2369
 -0.5758 -0.5805 -0.5884 -0.6037 -0.6260 -0.6539 -0.6860 -0.7214 -0.7591 -0.7965
 -0.8267 -0.8504 -0.8674 -0.8745 -0.8708 -0.8605 -0.8674 -0.8929 -0.9350 -0.9868
 -1.0415 -1.0960 -1.1497 -1.2024 -1.2541 -1.3053
 -0.5833 -0.5955 -0.6082 -0.6210 -0.6347 -0.6510 -0.6709 -0.6948 -0.7230 -0.7561
 -0.7903 -0.8202 -0.8450 -0.8622 -0.8687 -0.8666 -0.8762 -0.9023 -0.9443 -0.9971
 -1.0534 -1.1095 -1.1646 -1.2183 -1.2707 -1.3220 -1.3729 -1.4263 -1.4835 -1.5418
 -0.5683 -0.5898 -0.6097 -0.6275 -0.6429 -0.6573 -0.6721 -0.6888 -0.7079 -0.7289
 -0.7521 -0.7778 -0.8042 -0.8296 -0.8491 -0.8663 -0.8793 -0.9064 -0.9485 -1.0025
 -1.0613 -1.1200 -1.1772 -1.2327 -1.2865 -1.3388 -1.3902 -1.4411 -1.4947 -1.5530
 -1.6134
 -0.5328 -0.5643 -0.5927 -0.6174 -0.6380 -0.6549 -0.6695 -0.6834 -0.6982 -0.7143
 -0.7312 -0.7490 -0.7681 -0.7899 -0.8128 -0.8531 -0.8767 -0.9056 -0.9478 -1.0025
 -1.0641 -1.1262 -1.1865 -1.2446 -1.3007 -1.3549 -1.4076 -1.4592 -1.5108 -1.5647
 -1.6244
 -0.4796 -0.5196 -0.5571 -0.5900 -0.6175 -0.6400 -0.6580 -0.6732 -0.6872 -0.7013
 -0.7159 -0.7310 -0.7464 -0.7626 -0.7815 -0.8266 -0.8653 -0.9003 -0.9434 -0.9983
 -1.0619 -1.1279 -1.1922 -1.2539 -1.3132 -1.3701 -1.4250 -1.4783 -1.5306 -1.5830
 -1.6380
 -0.4153 -0.4610 -0.5052 -0.5455 -0.5805 -0.6099 -0.6338 -0.6532 -0.6697 -0.6847
 -0.6994 -0.7142 -0.7290 -0.7439 -0.7598 -0.8021 -0.8456 -0.8888 -0.9348 -0.9895
 -1.0535 -1.1221 -1.1906 -1.2567 -1.3198 -1.3803 -1.4384 -1.4943 -1.5485 -1.6017
 -1.6545
 -0.3460 -0.3932 -0.4415 -0.4870 -0.5283 -0.5646 -0.5954 -0.6210 -0.6424 -0.6610
 -0.6779 -0.6943 -0.7105 -0.7264 -0.7423 -0.7831 -0.8265 -0.8737 -0.9236 -0.9789
 -1.0423 -1.1116 -1.1829 -1.2532 -1.3208 -1.3854 -1.4474 -1.5068 -1.5639 -1.6194
 -1.6738
 -0.2731 -0.3223 -0.3710 -0.4188 -0.4643 -0.5061 -0.5432 -0.5755 -0.6032 -0.6272
 -0.6485 -0.6683 -0.6872 -0.7057 -0.7290 -0.7696 -0.8080 -0.8550 -0.9098
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F098M
 -0.6612 -0.6923 -0.7280 -0.7652 -0.8031 -0.8369 -0.8638 -0.8819 -0.8917 -0.8915
 -0.8788 -0.8578 -0.8335 -0.8088 -0.7867 -0.7495
 -0.5729 -0.6088 -0.6515 -0.6974 -0.7442 -0.7884 -0.8269 -0.8575 -0.8801 -0.8922
 -0.8915 -0.8789 -0.8590 -0.8377 -0.8187 -0.7876 -0.7808 -0.7992 -0.8403
 -0.5100 -0.5432 -0.5865 -0.6359 -0.6877 -0.7388 -0.7857 -0.8259 -0.8587 -0.8815
 -0.8921 -0.8894 -0.8762 -0.8591 -0.8431 -0.8176 -0.8139 -0.8323 -0.8708 -0.9206
 -0.9746
 -0.4725 -0.4955 -0.5330 -0.5807 -0.6336 -0.6880 -0.7402 -0.7871 -0.8275 -0.8594
 -0.8806 -0.8893 -0.8851 -0.8730 -0.8599 -0.8395 -0.8391 -0.8580 -0.8946 -0.9431
 -0.9962 -1.0497 -1.1034
 -0.4857 -0.4893 -0.5042 -0.5417 -0.5886 -0.6414 -0.6950 -0.7453 -0.7905 -0.8289
 -0.8586 -0.8779 -0.8848 -0.8800 -0.8705 -0.8548 -0.8574 -0.8774 -0.9131 -0.9607
 -1.0138 -1.0678 -1.1215 -1.1740 -1.2270
 -0.5247 -0.5147 -0.5182 -0.5348 -0.5642 -0.6062 -0.6579 -0.7091 -0.7556 -0.7963
 -0.8303 -0.8568 -0.8740 -0.8794 -0.8753 -0.8647 -0.8700 -0.8913 -0.9270 -0.9743
 -1.0278 -1.0828 -1.1371 -1.1906 -1.2432 -1.2959
 -0.5553 -0.5492 -0.5493 -0.5559 -0.5707 -0.5941 -0.6274 -0.6707 -0.7181 -0.7634
 -0.8019 -0.8319 -0.8545 -0.8692 -0.8735 -0.8696 -0.8777 -0.9005 -0.9367 -0.9841
 -1.0386 -1.0951 -1.1509 -1.2055 -1.2589 -1.3114 -1.3638 -1.4185 -1.4765 -1.5347
 -0.5669 -0.5667 -0.5713 -0.5793 -0.5906 -0.6065 -0.6277 -0.6540 -0.6846 -0.7195
 -0.7576 -0.7946 -0.8256 -0.8487 -0.8628 -0.8701 -0.8811 -0.9054 -0.9424 -0.9903
 -1.0459 -1.1044 -1.1624 -1.2189 -1.2738 -1.3272 -1.3800 -1.4327 -1.4873 -1.5459
 -1.6059
 -0.5612 -0.5679 -0.5781 -0.5904 -0.6039 -0.6184 -0.6345 -0.6533 -0.6749 -0.6987
 -0.7240 -0.7511 -0.7803 -0.8092 -0.8341 -0.8653 -0.8805 -0.9065 -0.9441 -0.9924
 -1.0470 -1.1099 -1.1707 -1.2299 -1.2870 -1.3423 -1.3963 -1.4488 -1.5017 -1.5574
 -1.6172
 -0.5362 -0.5533 -0.5700 -0.5880 -0.6058 -0.6227 -0.6387 -0.6544 -0.6710 -0.6890
 -0.7080 -0.7277 -0.7479 -0.7700 -0.7938 -0.8449 -0.8754 -0.9041 -0.9426 -0.9913
 -1.0487 -1.1118 -1.1758 -1.2384 -1.2986 -1.3567 -1.4130 -1.4676 -1.5213 -1.5751
 -1.6309
 -0.4931 -0.5201 -0.5447 -0.5701 -0.5937 -0.6150 -0.6338 -0.6504 -0.6657 -0.6808
 -0.6964 -0.7125 -0.7290 -0.7459 -0.7641 -0.8134 -0.8592 -0.8970 -0.9372 -0.9857
 -1.0431 -1.1073 -1.1743 -1.2407 -1.3047 -1.3662 -1.4255 -1.4827 -1.5383 -1.5929
 -1.6470
 -0.4344 -0.4696 -0.5033 -0.5355 -0.5658 -0.5930 -0.6167 -0.6368 -0.6541 -0.6696
 -0.6843 -0.6990 -0.7140 -0.7293 -0.7450 -0.7877 -0.8351 -0.8825 -0.9282 -0.9775
 -1.0344 -1.0986 -1.1675 -1.2373 -1.3054 -1.3709 -1.4339 -1.4945 -1.5529 -1.6097
 -1.6654
 -0.3623 -0.4039 -0.4446 -0.4841 -0.5211 -0.5548 -0.5845 -0.6101 -0.6318 -0.6504
 -0.6670 -0.6826 -0.6979 -0.7133 -0.7365 -0.7678 -0.8031 -0.8606 -0.9156
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = F098M
 -0.8701 -0.8903 -0.9076 -0.9203 -0.9265 -0.9234 -0.9109 -0.8909 -0.8780 -0.8744
 -0.8651 -0.8509 -0.8338 -0.8156 -0.7978 -0.7656
 -0.7479 -0.7748 -0.8026 -0.8283 -0.8494 -0.8638 -0.8698 -0.8695 -0.8738 -0.8790
 -0.8784 -0.8699 -0.8557 -0.8396 -0.8242 -0.7979 -0.7893 -0.8003 -0.8311
 -0.6463 -0.6746 -0.7078 -0.7421 -0.7745 -0.8028 -0.8244 -0.8402 -0.8570 -0.8721
 -0.8804 -0.8792 -0.8699 -0.8569 -0.8439 -0.8226 -0.8189 -0.8321 -0.8625 -0.9069
 -0.9586
 -0.5653 -0.5897 -0.6232 -0.6617 -0.7018 -0.7404 -0.7747 -0.8030 -0.8297 -0.8537
 -0.8711 -0.8788 -0.8764 -0.8675 -0.8569 -0.8397 -0.8395 -0.8552 -0.8860 -0.9290
 -0.9799 -1.0329 -1.0869
 -0.5116 -0.5259 -0.5537 -0.5909 -0.6336 -0.6782 -0.7213 -0.7596 -0.7945 -0.8262
