 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F475W
 -2.3706 -2.1937 -1.9987 -1.8023 -1.6177 -1.2119 -0.8682 -0.5866 -0.3643 -0.1940
 -0.0691
 -3.9088 -3.5440 -3.2552 -3.0345 -2.8755 -2.7458 -2.6161 -2.4860 -2.3598 -2.2360
 -2.1033 -1.9556 -1.7877 -1.6091 -1.4400 -1.0788 -0.7825 -0.5376 -0.3460 -0.1964
 -0.0747  0.0284  0.1188
 -3.7990 -3.4378 -3.1395 -2.8936 -2.6926 -2.5308 -2.4039 -2.2944 -2.1730 -2.0375
 -1.9025 -1.7699 -1.6284 -1.4705 -1.3135 -0.9817 -0.7193 -0.5043 -0.3332 -0.1980
 -0.0870  0.0084  0.0930  0.1694  0.2388
 -3.7160 -3.3716 -3.0804 -2.8325 -2.6197 -2.4370 -2.2802 -2.1450 -2.0270 -1.9129
 -1.7840 -1.6460 -1.5127 -1.3739 -1.2292 -0.9163 -0.6754 -0.4823 -0.3277 -0.2047
 -0.1030 -0.0149  0.0640  0.1361  0.2025  0.2635
 -3.6253 -3.3085 -3.0347 -2.7954 -2.5839 -2.3953 -2.2264 -2.0751 -1.9384 -1.8127
 -1.6931 -1.5704 -1.4425 -1.3137 -1.1781 -0.8764 -0.6474 -0.4682 -0.3259 -0.2130
 -0.1199 -0.0391  0.0338  0.1009  0.1636  0.2221  0.2756  0.3240  0.3645  0.3874
 -3.5146 -3.2318 -2.9825 -2.7597 -2.5574 -2.3720 -2.2009 -2.0426 -1.8966 -1.7611
 -1.6337 -1.5115 -1.3910 -1.2734 -1.1506 -0.8581 -0.6323 -0.4603 -0.3253 -0.2198
 -0.1346 -0.0613  0.0048  0.0663  0.1242  0.1790  0.2301  0.2774  0.3186  0.3500
  0.3648
 -3.3880 -3.1380 -2.9158 -2.7142 -2.5268 -2.3507 -2.1838 -2.0256 -1.8762 -1.7358
 -1.6035 -1.4779 -1.3577 -1.2419 -1.1288 -0.8545 -0.6287 -0.4577 -0.3259 -0.2240
 -0.1445 -0.0785 -0.0197  0.0349  0.0868  0.1366  0.1840  0.2285  0.2690  0.3034
  0.3261
 -3.2504 -3.0297 -2.8319 -2.6516 -2.4821 -2.3194 -2.1617 -2.0088 -1.8615 -1.7204
 -1.5860 -1.4585 -1.3372 -1.2214 -1.1104 -0.8499 -0.6304 -0.4585 -0.3268 -0.2255
 -0.1487 -0.0883 -0.0368  0.0102  0.0548  0.0983  0.1403  0.1808  0.2188  0.2530
  0.2804
 -3.1181 -2.9221 -2.7421 -2.5784 -2.4254 -2.2775 -2.1326 -1.9891 -1.8479 -1.7103
 -1.5772 -1.4497 -1.3281 -1.2125 -1.1022 -0.8482 -0.6345 -0.4633 -0.3308 -0.2286
 -0.1514 -0.0932 -0.0471 -0.0074  0.0294  0.0653  0.1004  0.1349  0.1685  0.2001
  0.2297
 -2.9953 -2.8149 -2.6495 -2.4967 -2.3547 -2.2202 -2.0883 -1.9568 -1.8254 -1.6949
 -1.5666 -1.4419 -1.3219 -1.2070 -1.0975 -0.8472 -0.6372 -0.4673 -0.3346 -0.2317
 -0.1533 -0.0949 -0.0511 -0.0166  0.0130  0.0409  0.0681  0.0954  0.1226  0.1493
  0.1743
 -2.8819 -2.7081 -2.5540 -2.4091 -2.2748 -2.1486 -2.0273 -1.9078 -1.7878 -1.6676
 -1.5475 -1.4289 -1.3130 -1.2009 -1.0963 -0.8469 -0.6385 -0.4705 -0.3382
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F475W
 -5.3040 -4.9531 -4.6756 -4.4658 -4.2509 -4.0411 -3.8227 -3.5958 -3.3618 -3.1282
 -2.8898 -2.6507 -2.4199 -2.2029 -1.9589 -1.5036
 -4.8580 -4.4817 -4.1718 -3.9156 -3.6999 -3.5073 -3.3222 -3.1336 -2.9416 -2.7476
 -2.5454 -2.3339 -2.1196 -1.9157 -1.7143 -1.3063 -0.9550 -0.6529 -0.4098
 -4.4780 -4.0803 -3.7529 -3.4882 -3.2721 -3.0887 -2.9235 -2.7616 -2.6002 -2.4369
 -2.2655 -2.0815 -1.8870 -1.6961 -1.5204 -1.1488 -0.8437 -0.5849 -0.3726 -0.2043
 -0.0676
 -4.1640 -3.7489 -3.4189 -3.1836 -2.9676 -2.7852 -2.6266 -2.4798 -2.3376 -2.1961
 -2.0501 -1.8935 -1.7221 -1.5441 -1.3772 -1.0311 -0.7592 -0.5337 -0.3467 -0.1959
 -0.0714  0.0316  0.1224
 -3.9677 -3.5417 -3.2066 -2.9503 -2.7501 -2.5845 -2.4354 -2.2909 -2.1517 -2.0181
 -1.8863 -1.7513 -1.6051 -1.4439 -1.2847 -0.9532 -0.7015 -0.4993 -0.3321 -0.1957
 -0.0830  0.0134  0.0985  0.1750  0.2442
 -3.9143 -3.4850 -3.1332 -2.8558 -2.6369 -2.4596 -2.3098 -2.1757 -2.0475 -1.9170
 -1.7815 -1.6497 -1.5187 -1.3784 -1.2288 -0.9057 -0.6649 -0.4775 -0.3252 -0.2006
 -0.0971 -0.0081  0.0712  0.1433  0.2093  0.2694
 -3.9053 -3.4776 -3.1230 -2.8302 -2.5879 -2.3864 -2.2174 -2.0737 -1.9491 -1.8386
 -1.7251 -1.5969 -1.4654 -1.3340 -1.1968 -0.8802 -0.6435 -0.4643 -0.3224 -0.2073
 -0.1123 -0.0305  0.0426  0.1097  0.1720  0.2298  0.2826  0.3306  0.3710  0.3940
 -3.8996 -3.4873 -3.1376 -2.8442 -2.5968 -2.3863 -2.2052 -2.0474 -1.9080 -1.7814
 -1.6640 -1.5512 -1.4340 -1.3112 -1.1816 -0.8705 -0.6332 -0.4572 -0.3211 -0.2131
 -0.1255 -0.0512  0.0152  0.0765  0.1339  0.1881  0.2384  0.2848  0.3256  0.3571
  0.3717
 -3.8775 -3.4902 -3.1553 -2.8680 -2.6209 -2.4068 -2.2186 -2.0513 -1.9009 -1.7641
 -1.6365 -1.5158 -1.3999 -1.2875 -1.1724 -0.8736 -0.6316 -0.4546 -0.3208 -0.2168
 -0.1347 -0.0673 -0.0081  0.0463  0.0977  0.1470  0.1935  0.2370  0.2766  0.3106
  0.3332
 -3.8248 -3.4665 -3.1556 -2.8827 -2.6430 -2.4304 -2.2400 -2.0675 -1.9099 -1.7649
 -1.6300 -1.5029 -1.3818 -1.2662 -1.1556 -0.8786 -0.6368 -0.4545 -0.3202 -0.2176
 -0.1386 -0.0765 -0.0244  0.0225  0.0669  0.1097  0.1509  0.1904  0.2274  0.2606
  0.2875
 -3.7510 -3.4294 -3.1428 -2.8878 -2.6600 -2.4539 -2.2654 -2.0914 -1.9301 -1.7800
 -1.6397 -1.5077 -1.3825 -1.2634 -1.1501 -0.8834 -0.6490 -0.4619 -0.3235 -0.2197
 -0.1409 -0.0812 -0.0344  0.0055  0.0421  0.0774  0.1118  0.1454  0.1779  0.2084
  0.2370
 -3.6689 -3.3765 -3.1129 -2.8754 -2.6610 -2.4652 -2.2832 -2.1121 -1.9507 -1.7986
 -1.6552 -1.5199 -1.3919 -1.2703 -1.1544 -0.8877 -0.6587 -0.4717 -0.3287 -0.2222
 -0.1423 -0.0827 -0.0382 -0.0036  0.0260  0.0535  0.0801  0.1065  0.1328  0.1583
  0.1824
 -3.5810 -3.3150 -3.0722 -2.8504 -2.6471 -2.4600 -2.2864 -2.1221 -1.9647 -1.8141
 -1.6704 -1.5339 -1.4044 -1.2814 -1.1685 -0.8915 -0.6659 -0.4839 -0.3358
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F475W
 -5.9661 -5.6850 -5.4097 -5.1266 -4.8446 -4.5245 -4.1478 -3.7216 -3.3421 -3.0195
 -2.7347 -2.4781 -2.2461 -2.0366 -1.8460 -1.4329
 -5.4438 -5.1093 -4.8004 -4.5072 -4.2261 -3.9368 -3.6184 -3.2739 -2.9660 -2.6962
 -2.4496 -2.2169 -1.9979 -1.7976 -1.6171 -1.2381 -0.9248 -0.6522 -0.4197
 -5.0359 -4.6615 -4.3244 -4.0196 -3.7393 -3.4736 -3.2026 -2.9217 -2.6677 -2.4393
 -2.2255 -2.0172 -1.8136 -1.6224 -1.4494 -1.0935 -0.8126 -0.5771 -0.3755 -0.2071
 -0.0678
 -4.7424 -4.3416 -3.9817 -3.6638 -3.3843 -3.1348 -2.9004 -2.6650 -2.4472 -2.2488
 -2.0624 -1.8790 -1.6932 -1.5110 -1.3429 -0.9991 -0.7374 -0.5257 -0.3472 -0.1964
 -0.0708  0.0356  0.1274
 -4.4784 -4.0525 -3.7077 -3.4032 -3.1297 -2.8882 -2.6734 -2.4705 -2.2795 -2.1036
 -1.9388 -1.7780 -1.6135 -1.4439 -1.2805 -0.9421 -0.6902 -0.4930 -0.3306 -0.1936
 -0.0785  0.0198  0.1058  0.1827  0.2520
 -4.3007 -3.8465 -3.4717 -3.1627 -2.9070 -2.6942 -2.5105 -2.3325 -2.1597 -1.9973
 -1.8454 -1.7003 -1.5556 -1.4035 -1.2476 -0.9114 -0.6628 -0.4737 -0.3220 -0.1958
 -0.0898  0.0010  0.0811  0.1533  0.2191  0.2790
 -4.2692 -3.7846 -3.3757 -3.0368 -2.7596 -2.5334 -2.3498 -2.1998 -2.0662 -1.9326
 -1.7901 -1.6486 -1.5118 -1.3754 -1.2319 -0.8987 -0.6489 -0.4631 -0.3182 -0.2002
 -0.1022 -0.0187  0.0551  0.1222  0.1840  0.2411  0.2931  0.3402  0.3802  0.4037
 -4.3094 -3.8029 -3.3734 -3.0165 -2.7222 -2.4804 -2.2811 -2.1144 -1.9720 -1.8488
 -1.7368 -1.6195 -1.4906 -1.3578 -1.2243 -0.8983 -0.6446 -0.4583 -0.3169 -0.2047
 -0.1133 -0.0368  0.0303  0.0914  0.1483  0.2015  0.2507  0.2956  0.3357  0.3676
  0.3827
 -4.3831 -3.8664 -3.4229 -3.0506 -2.7420 -2.4864 -2.2732 -2.0934 -1.9395 -1.8042
 -1.6818 -1.5693 -1.4611 -1.3469 -1.2234 -0.9067 -0.6476 -0.4577 -0.3167 -0.2078
 -0.1203 -0.0512  0.0090  0.0634  0.1142  0.1625  0.2077  0.2507  0.2895  0.3213
  0.3446
 -4.4394 -3.9363 -3.4900 -3.1112 -2.7921 -2.5247 -2.2993 -2.1072 -1.9410 -1.7950
 -1.6633 -1.5416 -1.4270 -1.3180 -1.2098 -0.9179 -0.6546 -0.4590 -0.3160 -0.2083
 -0.1251 -0.0596 -0.0059  0.0413  0.0851  0.1270  0.1669  0.2049  0.2404  0.2722
  0.2985
 -4.4629 -3.9884 -3.5609 -3.1864 -2.8639 -2.5885 -2.3530 -2.1496 -1.9719 -1.8144
 -1.6727 -1.5427 -1.4211 -1.3059 -1.1962 -0.9279 -0.6721 -0.4676 -0.3194 -0.2100
 -0.1274 -0.0644 -0.0154  0.0252  0.0616  0.0961  0.1293  0.1617  0.1926  0.2214
  0.2484
 -4.4505 -4.0130 -3.6138 -3.2525 -2.9362 -2.6598 -2.4187 -2.2070 -2.0195 -1.8519
 -1.7003 -1.5615 -1.4328 -1.3119 -1.1973 -0.9318 -0.6892 -0.4823 -0.3261 -0.2126
 -0.1286 -0.0659 -0.0193  0.0165  0.0461  0.0731  0.0988  0.1241  0.1489  0.1730
  0.1953
 -4.3992 -4.0042 -3.6380 -3.3001 -2.9963 -2.7257 -2.4851 -2.2697 -2.0758 -1.9001
 -1.7400 -1.5932 -1.4574 -1.3307 -1.2131 -0.9296 -0.7059 -0.5031 -0.3361
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = F475W
 -6.6185 -6.4049 -6.1946 -5.9700 -5.7479 -5.4113 -4.8704 -4.1404 -3.5573 -2.9875
 -2.6308 -2.3488 -2.1141 -1.9087 -1.7260 -1.3434
 -6.0623 -5.8145 -5.5796 -5.3417 -5.0907 -4.7641 -4.2971 -3.6958 -3.1540 -2.7354
 -2.4121 -2.1476 -1.9212 -1.7221 -1.5452 -1.1809 -0.8936 -0.6444 -0.4251
