 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F390M
 -3.3496 -3.1056 -2.8823 -2.6762 -2.4844 -2.0515 -1.6651 -1.3018 -0.9867 -0.7238
 -0.5018 -0.3189 -0.1769 -0.0717  0.0062  0.0660  0.1137  0.1530  0.1858  0.2128
  0.2351
 -8.7951 -8.0755 -7.3898 -6.7395 -6.1382 -5.5881 -5.0888 -4.6381 -4.2351 -3.8769
 -3.5587 -3.2747 -3.0186 -2.7846 -2.5682 -2.0557 -1.6910 -1.3654 -1.0411
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = F390M
 -6.0985 -6.1262 -6.1497 -6.1648 -6.1696 -6.1519 -6.1029 -6.0222 -5.8715 -5.7610
 -5.5955 -5.4096 -5.2014 -4.9676 -4.7172 -4.0743
 -5.4715 -5.5059 -5.5344 -5.5534 -5.5600 -5.5477 -5.5102 -5.4425 -5.3414 -5.2064
 -5.0402 -4.8437 -4.6199 -4.3762 -4.1239 -3.5040 -2.9058 -2.2918 -1.6888
 -4.9356 -4.9646 -4.9908 -5.0095 -5.0165 -5.0078 -4.9784 -4.9218 -4.8345 -4.7130
 -4.5556 -4.3627 -4.1385 -3.8951 -3.6462 -3.0515 -2.4988 -1.9669 -1.4586 -1.0111
 -0.6444
 -4.4908 -4.5023 -4.5189 -4.5331 -4.5391 -4.5321 -4.5075 -4.4601 -4.3858 -4.2808
 -4.1417 -3.9666 -3.7572 -3.5243 -3.2841 -2.7168 -2.2075 -1.7321 -1.2853 -0.8900
 -0.5607 -0.2936 -0.0723
 -4.2117 -4.1703 -4.1562 -4.1542 -4.1529 -4.1441 -4.1219 -4.0811 -4.0178 -3.9284
 -3.8091 -3.6569 -3.4698 -3.2535 -3.0239 -2.4782 -2.0008 -1.5668 -1.1639 -0.8069
 -0.5067 -0.2618 -0.0608  0.1077  0.2556
 -4.2429 -4.0826 -3.9781 -3.9147 -3.8805 -3.8582 -3.8324 -3.7936 -3.7373 -3.6596
 -3.5570 -3.4260 -3.2628 -3.0671 -2.8498 -2.3179 -1.8604 -1.4559 -1.0846 -0.7554
 -0.4775 -0.2498 -0.0645  0.0903  0.2224  0.3395
