 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F350LP
 -1.1290 -1.0887 -1.0410 -0.9784 -0.9086 -0.7522 -0.6297 -0.5359 -0.4652 -0.4109
 -0.3679 -0.3325 -0.3027 -0.2769 -0.2551
 -1.7327 -1.6124 -1.5000 -1.3994 -1.3135 -1.2437 -1.1905 -1.1517 -1.1246 -1.1019
 -1.0713 -1.0322 -0.9916 -0.9428 -0.8824 -0.7358 -0.6201 -0.5330 -0.4686 -0.4195
 -0.3806 -0.3486 -0.3213 -0.2977 -0.2770 -0.2592
 -1.6787 -1.5758 -1.4773 -1.3855 -1.3023 -1.2291 -1.1672 -1.1168 -1.0761 -1.0419
 -1.0113 -0.9789 -0.9424 -0.9036 -0.8550 -0.7225 -0.6122 -0.5298 -0.4705 -0.4268
 -0.3926 -0.3644 -0.3403 -0.3192 -0.3004 -0.2837 -0.2696 -0.2597 -0.2559 -0.2606
 -1.6001 -1.5165 -1.4353 -1.3579 -1.2844 -1.2157 -1.1527 -1.0968 -1.0490 -1.0076
 -0.9698 -0.9336 -0.8969 -0.8621 -0.8227 -0.7084 -0.6049 -0.5256 -0.4696 -0.4307
 -0.4015 -0.3779 -0.3579 -0.3402 -0.3241 -0.3095 -0.2967 -0.2860 -0.2801 -0.2818
 -0.2923
 -1.5027 -1.4367 -1.3727 -1.3113 -1.2514 -1.1926 -1.1350 -1.0797 -1.0287 -0.9832
 -0.9421 -0.9032 -0.8651 -0.8276 -0.7917 -0.6911 -0.5965 -0.5203 -0.4661 -0.4299
 -0.4054 -0.3870 -0.3718 -0.3585 -0.3463 -0.3347 -0.3242 -0.3150 -0.3082 -0.3061
 -0.3135
 -1.3930 -1.3425 -1.2932 -1.2461 -1.2000 -1.1535 -1.1054 -1.0562 -1.0074 -0.9610
 -0.9181 -0.8783 -0.8400 -0.8023 -0.7662 -0.6726 -0.5858 -0.5136 -0.4603 -0.4252
 -0.4036 -0.3898 -0.3799 -0.3719 -0.3645 -0.3572 -0.3503 -0.3437 -0.3382 -0.3351
 -0.3372
 -1.2800 -1.2423 -1.2048 -1.1689 -1.1346 -1.0997 -1.0628 -1.0228 -0.9805 -0.9373
 -0.8951 -0.8553 -0.8177 -0.7814 -0.7461 -0.6576 -0.5756 -0.5071 -0.4549 -0.4194
 -0.3982 -0.3869 -0.3815 -0.3788 -0.3770 -0.3749 -0.3727 -0.3702 -0.3677 -0.3660
 -0.3651
 -1.1657 -1.1393 -1.1119 -1.0848 -1.0588 -1.0334 -1.0065 -0.9765 -0.9430 -0.9066
 -0.8685 -0.8306 -0.7942 -0.7596 -0.7262 -0.6441 -0.5660 -0.5002 -0.4493 -0.4134
 -0.3914 -0.3805 -0.3773 -0.3787 -0.3821 -0.3858 -0.3891 -0.3916 -0.3935 -0.3952
 -0.3975
 -1.0502 -1.0335 -1.0178 -0.9975 -0.9781 -0.9592 -0.9398 -0.9185 -0.8939 -0.8660
 -0.8349 -0.8019 -0.7683 -0.7357 -0.7065 -0.6321 -0.5570 -0.4929 -0.4435
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F350LP
 -2.2489 -2.1834 -2.1339 -2.1015 -2.0538 -1.9927 -1.9089 -1.8081 -1.6955 -1.5833
 -1.4716 -1.3627 -1.2591 -1.1624 -1.0594 -0.8635
 -2.0958 -2.0275 -1.9656 -1.9061 -1.8476 -1.7857 -1.7157 -1.6353 -1.5487 -1.4618
 -1.3733 -1.2815 -1.1876 -1.0965 -1.0071 -0.8233 -0.6735 -0.5543 -0.4620
 -1.9863 -1.8993 -1.8220 -1.7511 -1.6847 -1.6214 -1.5593 -1.4932 -1.4253 -1.3574
 -1.2876 -1.2121 -1.1297 -1.0452 -0.9647 -0.7912 -0.6531 -0.5440 -0.4593 -0.3937
 -0.3420
 -1.9204 -1.7988 -1.7031 -1.6365 -1.5651 -1.4998 -1.4397 -1.3818 -1.3253 -1.2701
 -1.2145 -1.1545 -1.0854 -1.0085 -0.9322 -0.7672 -0.6379 -0.5369 -0.4589 -0.3988
 -0.3508 -0.3126 -0.2808
 -1.8919 -1.7452 -1.6281 -1.5369 -1.4645 -1.4046 -1.3516 -1.3007 -1.2487 -1.1984
 -1.1500 -1.1013 -1.0467 -0.9807 -0.9096 -0.7513 -0.6279 -0.5330 -0.4608 -0.4055
 -0.3619 -0.3262 -0.2964 -0.2708 -0.2494
 -1.8879 -1.7425 -1.6066 -1.4940 -1.4036 -1.3311 -1.2724 -1.2242 -1.1839 -1.1462
 -1.1011 -1.0548 -1.0081 -0.9554 -0.8922 -0.7407 -0.6216 -0.5312 -0.4635 -0.4128
 -0.3733 -0.3410 -0.3138 -0.2904 -0.2702 -0.2531
 -1.8783 -1.7376 -1.6022 -1.4784 -1.3702 -1.2797 -1.2066 -1.1499 -1.1073 -1.0770
 -1.0494 -1.0140 -0.9730 -0.9279 -0.8751 -0.7328 -0.6171 -0.5297 -0.4657 -0.4192
 -0.3840 -0.3555 -0.3316 -0.3108 -0.2924 -0.2764 -0.2631 -0.2538 -0.2501 -0.2545
 -1.8488 -1.7216 -1.5949 -1.4758 -1.3683 -1.2742 -1.1940 -1.1275 -1.0736 -1.0295
 -0.9928 -0.9613 -0.9292 -0.8939 -0.8521 -0.7255 -0.6130 -0.5277 -0.4660 -0.4229
 -0.3920 -0.3681 -0.3481 -0.3307 -0.3151 -0.3011 -0.2891 -0.2792 -0.2739 -0.2756
 -0.2860
 -1.7949 -1.6849 -1.5725 -1.4642 -1.3637 -1.2730 -1.1921 -1.1212 -1.0603 -1.0087
 -0.9638 -0.9238 -0.8871 -0.8533 -0.8195 -0.7138 -0.6083 -0.5247 -0.4641 -0.4230
 -0.3958 -0.3765 -0.3612 -0.3481 -0.3363 -0.3253 -0.3157 -0.3074 -0.3015 -0.2999
 -0.3073
 -1.7156 -1.6229 -1.5278 -1.4339 -1.3451 -1.2627 -1.1869 -1.1172 -1.0540 -0.9976
 -0.9476 -0.9029 -0.8615 -0.8228 -0.7874 -0.6942 -0.5998 -0.5195 -0.4599 -0.4194
 -0.3944 -0.3792 -0.3689 -0.3609 -0.3538 -0.3471 -0.3409 -0.3352 -0.3307 -0.3285
 -0.3311
 -1.6192 -1.5451 -1.4667 -1.3876 -1.3116 -1.2400 -1.1725 -1.1085 -1.0478 -0.9908
 -0.9382 -0.8903 -0.8463 -0.8052 -0.7667 -0.6761 -0.5894 -0.5139 -0.4553 -0.4146
 -0.3898 -0.3767 -0.3705 -0.3676 -0.3659 -0.3643 -0.3627 -0.3610 -0.3594 -0.3587
 -0.3588
 -1.5148 -1.4546 -1.3915 -1.3266 -1.2631 -1.2025 -1.1446 -1.0886 -1.0338 -0.9802
 -0.9285 -0.8798 -0.8343 -0.7921 -0.7525 -0.6615 -0.5784 -0.5070 -0.4502 -0.4093
 -0.3837 -0.3707 -0.3665 -0.3676 -0.3710 -0.3749 -0.3788 -0.3820 -0.3847 -0.3874
 -0.3906
 -1.4042 -1.3575 -1.3078 -1.2559 -1.2036 -1.1526 -1.1039 -1.0563 -1.0089 -0.9614
 -0.9138 -0.8670 -0.8220 -0.7795 -0.7448 -0.6504 -0.5668 -0.4988 -0.4446
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F350LP
 -2.5691 -2.5141 -2.4623 -2.4070 -2.3568 -2.2769 -2.1473 -1.9684 -1.7811 -1.6105
 -1.4615 -1.3339 -1.2231 -1.1257 -1.0373 -0.8499
 -2.3943 -2.3273 -2.2668 -2.2063 -2.1451 -2.0667 -1.9533 -1.8021 -1.6484 -1.5067
 -1.3796 -1.2656 -1.1628 -1.0702 -0.9864 -0.8091 -0.6664 -0.5508 -0.4597
 -2.2575 -2.1783 -2.1079 -2.0403 -1.9705 -1.8926 -1.7933 -1.6664 -1.5391 -1.4203
 -1.3115 -1.2107 -1.1165 -1.0289 -0.9488 -0.7793 -0.6457 -0.5396 -0.4557 -0.3895
 -0.3369
 -2.1587 -2.0671 -1.9856 -1.9090 -1.8331 -1.7547 -1.6673 -1.5613 -1.4532 -1.3513
 -1.2572 -1.1692 -1.0842 -1.0018 -0.9245 -0.7605 -0.6326 -0.5327 -0.4545 -0.3932
 -0.3447 -0.3054 -0.2732
 -2.0873 -1.9722 -1.8806 -1.8022 -1.7239 -1.6444 -1.5627 -1.4734 -1.3804 -1.2914
 -1.2091 -1.1324 -1.0579 -0.9829 -0.9091 -0.7493 -0.6252 -0.5294 -0.4555 -0.3983
 -0.3536 -0.3174 -0.2875 -0.2621 -0.2411
 -2.0490 -1.9105 -1.7922 -1.6915 -1.6060 -1.5338 -1.4692 -1.3970 -1.3184 -1.2398
 -1.1655 -1.0968 -1.0319 -0.9664 -0.8983 -0.7428 -0.6213 -0.5284 -0.4577 -0.4041
