 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F814W
 -0.9209 -0.8682 -0.8219 -0.7823 -0.7485 -0.7198 -0.6961 -0.6774 -0.6640 -0.6551
 -0.6491 -0.6453 -0.6440 -0.6464 -0.6510 -0.6452 -0.6240 -0.6120 -0.6181 -0.6415
 -0.6750 -0.7115 -0.7483 -0.7852 -0.8224 -0.8602 -0.8993 -0.9398 -0.9829 -1.0303
 -1.0845
 -0.8419 -0.8042 -0.7713 -0.7428 -0.7180 -0.6963 -0.6771 -0.6603 -0.6464 -0.6358
 -0.6277 -0.6214 -0.6162 -0.6127 -0.6129 -0.6136 -0.6092 -0.6043 -0.6116 -0.6352
 -0.6712 -0.7120 -0.7529 -0.7931 -0.8325 -0.8716 -0.9111 -0.9511 -0.9925 -1.0362
 -1.0845
 -0.7481 -0.7243 -0.7036 -0.6855 -0.6701 -0.6568 -0.6447 -0.6332 -0.6226 -0.6133
 -0.6057 -0.5996 -0.5943 -0.5897 -0.5866 -0.5846 -0.5862 -0.5906 -0.6011 -0.6245
 -0.6610 -0.7048 -0.7503 -0.7948 -0.8379 -0.8797 -0.9208 -0.9616 -1.0027 -1.0447
 -1.0887
 -0.6486 -0.6334 -0.6227 -0.6137 -0.6066 -0.6014 -0.5969 -0.5926 -0.5878 -0.5828
 -0.5781 -0.5742 -0.5709 -0.5678 -0.5652 -0.5619 -0.5638 -0.5728 -0.5880 -0.6119
 -0.6476 -0.6923 -0.7410 -0.7901 -0.8377 -0.8833 -0.9276 -0.9705 -1.0127 -1.0548
 -1.0975
 -0.5453 -0.5388 -0.5346 -0.5325 -0.5321 -0.5333 -0.5356 -0.5382 -0.5403 -0.5414
 -0.5417 -0.5418 -0.5419 -0.5421 -0.5487 -0.5455 -0.5420 -0.5509 -0.5723
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F814W
 -1.6451 -1.5855 -1.5326 -1.4809 -1.4333 -1.3737 -1.2942 -1.1945 -1.1031 -1.0236
 -0.9492 -0.8798 -0.8153 -0.7567 -0.7036 -0.5982
 -1.4660 -1.4015 -1.3501 -1.3060 -1.2670 -1.2244 -1.1692 -1.1007 -1.0380 -0.9813
 -0.9256 -0.8689 -0.8125 -0.7596 -0.7117 -0.6167 -0.5544 -0.5247 -0.5244
 -1.3271 -1.2562 -1.2031 -1.1623 -1.1291 -1.0988 -1.0629 -1.0187 -0.9779 -0.9395
 -0.8999 -0.8562 -0.8091 -0.7623 -0.7191 -0.6330 -0.5771 -0.5502 -0.5492 -0.5658
 -0.5927
 -1.2284 -1.1496 -1.0916 -1.0498 -1.0197 -0.9969 -0.9753 -0.9485 -0.9228 -0.8982
 -0.8721 -0.8417 -0.8051 -0.7648 -0.7258 -0.6471 -0.5962 -0.5712 -0.5695 -0.5851
 -0.6105 -0.6414 -0.6770
 -1.1650 -1.0694 -1.0019 -0.9610 -0.9322 -0.9128 -0.8987 -0.8842 -0.8692 -0.8548
 -0.8394 -0.8208 -0.7961 -0.7644 -0.7301 -0.6580 -0.6112 -0.5880 -0.5860 -0.6008
 -0.6256 -0.6558 -0.6898 -0.7272 -0.7687
 -1.1365 -1.0260 -0.9437 -0.8862 -0.8504 -0.8337 -0.8306 -0.8271 -0.8206 -0.8126
 -0.8035 -0.7929 -0.7788 -0.7580 -0.7304 -0.6651 -0.6219 -0.6005 -0.5989 -0.6134
 -0.6383 -0.6684 -0.7017 -0.7380 -0.7771 -0.8197
 -1.1362 -1.0235 -0.9308 -0.8582 -0.8058 -0.7716 -0.7548 -0.7535 -0.7600 -0.7666
 -0.7677 -0.7629 -0.7544 -0.7428 -0.7245 -0.6680 -0.6283 -0.6089 -0.6080 -0.6227
