 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  U   
 -3.6432 -3.4525 -3.2499 -3.0310 -2.7942 -2.2222 -1.7626 -1.3827 -1.0626 -0.8107
 -0.6342 -0.5172 -0.4383 -0.3835 -0.3449 -0.3171 -0.2962 -0.2784 -0.2624 -0.2472
 -0.2316
 -7.0857 -6.5499 -6.0661 -5.6314 -5.2419 -4.8932 -4.5806 -4.2994 -4.0447 -3.8112
 -3.5926 -3.3851 -3.1853 -2.9895 -2.7825 -2.2234 -1.7535 -1.3760 -1.0581 -0.7989
 -0.6096 -0.4840 -0.4026 -0.3490 -0.3132 -0.2894 -0.2739 -0.2629 -0.2543 -0.2467
 -0.2416
 -7.5431 -6.9479 -6.4154 -5.9280 -5.4844 -5.0835 -4.7234 -4.4005 -4.1096 -3.8457
 -3.6027 -3.3758 -3.1613 -2.9579 -2.7621 -2.2489 -1.7741 -1.3881 -1.0691 -0.8036
 -0.5996 -0.4589 -0.3686 -0.3119 -0.2766 -0.2552 -0.2432 -0.2373 -0.2347 -0.2334
 -0.2335
 -8.0328 -7.4048 -6.8278 -6.2954 -5.8035 -5.3518 -4.9413 -4.5718 -4.2405 -3.9426
 -3.6719 -3.4229 -3.1909 -2.9731 -2.7678 -2.2765 -1.8185 -1.4220 -1.0971 -0.8263
 -0.6094 -0.4508 -0.3446 -0.2779 -0.2381 -0.2156 -0.2048 -0.2017 -0.2034 -0.2076
 -0.2124
 -8.5207 -7.8781 -7.2685 -6.7007 -6.1701 -5.6762 -5.2209 -4.8050 -4.4300 -4.0933
 -3.7904 -3.5155 -3.2629 -3.0282 -2.8082 -2.3053 -1.8617 -1.4663 -1.1323 -0.8563
 -0.6308 -0.4574 -0.3335 -0.2517 -0.2017 -0.1739 -0.1611 -0.1582 -0.1618 -0.1697
 -0.1796
 -9.0000 -8.3384 -7.7123 -7.1195 -6.5601 -6.0346 -5.5437 -5.0895 -4.6734 -4.2964
 -3.9570 -3.6512 -3.3737 -3.1190 -2.8833 -2.3353 -1.9037 -1.5210 -1.1747
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  U   
 -6.9946 -6.9853 -6.9864 -6.9907 -6.9918 -6.9780 -6.9400 -6.8707 -6.7609 -6.5965
 -6.3720 -6.0965 -5.7871 -5.4650 -5.1428 -4.3579
 -6.3228 -6.3310 -6.3430 -6.3515 -6.3509 -6.3331 -6.2908 -6.2174 -6.1047 -5.9426
