 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F850LP
 -0.6802 -0.7096 -0.7344 -0.7530 -0.7654 -0.7713 -0.7698 -0.7801 -0.8022 -0.8344
 -0.8748 -0.9215 -0.9728 -1.0265 -1.0810 -1.1353 -1.1895 -1.2438 -1.2987 -1.3553
 -1.4143
 -0.7919 -0.7268 -0.6748 -0.6351 -0.6065 -0.5884 -0.5804 -0.5820 -0.5925 -0.6103
 -0.6331 -0.6593 -0.6871 -0.7138 -0.7360 -0.7624 -0.7666 -0.7790 -0.8023 -0.8351
 -0.8761 -0.9236 -0.9763 -1.0322 -1.0891 -1.1457 -1.2021 -1.2580 -1.3140 -1.3707
 -1.4289
 -0.7790 -0.7173 -0.6676 -0.6302 -0.6035 -0.5865 -0.5776 -0.5760 -0.5814 -0.5930
 -0.6094 -0.6286 -0.6491 -0.6703 -0.6918 -0.7388 -0.7598 -0.7749 -0.7995 -0.8327
 -0.8738 -0.9219 -0.9754 -1.0330 -1.0922 -1.1513 -1.2099 -1.2678 -1.3253 -1.3830
 -1.4409
 -0.7493 -0.6968 -0.6533 -0.6190 -0.5956 -0.5811 -0.5740 -0.5728 -0.5765 -0.5845
 -0.5962 -0.6108 -0.6269 -0.6432 -0.6594 -0.7017 -0.7412 -0.7674 -0.7938 -0.8278
 -0.8690 -0.9172 -0.9712 -1.0299 -1.0910 -1.1526 -1.2137 -1.2739 -1.3332 -1.3922
 -1.4503
 -0.7028 -0.6548 -0.6224 -0.5967 -0.5780 -0.5674 -0.5637 -0.5648 -0.5696 -0.5770
 -0.5865 -0.5980 -0.6109 -0.6245 -0.6388 -0.6511 -0.7108 -0.7565 -0.7852
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =F850LP
 -1.5591 -1.5630 -1.5573 -1.5336 -1.4605 -1.3465 -1.2091 -1.0627 -0.9321 -0.8652
 -0.8355 -0.8181 -0.8022 -0.7851 -0.7675 -0.7298 -0.7076 -0.7011 -0.7120
 -1.3675 -1.3681 -1.3661 -1.3528 -1.3196 -1.2576 -1.1588 -1.0258 -0.9188 -0.8601
 -0.8341 -0.8204 -0.8081 -0.7939 -0.7783 -0.7449 -0.7266 -0.7239 -0.7361 -0.7621
 -1.1989 -1.1917 -1.1893 -1.1840 -1.1681 -1.1340 -1.0743 -0.9840 -0.9004 -0.8496
 -0.8265 -0.8162 -0.8079 -0.7973 -0.7845 -0.7549 -0.7398 -0.7402 -0.7550 -0.7820
 -0.8184
 -1.0630 -1.0432 -1.0347 -1.0314 -1.0265 -1.0132 -0.9848 -0.9326 -0.8736 -0.8326
 -0.8133 -0.8064 -0.8024 -0.7962 -0.7867 -0.7616 -0.7492 -0.7519 -0.7687 -0.7969
 -0.8336 -0.8762
 -0.9656 -0.9304 -0.9103 -0.9017 -0.8994 -0.8979 -0.8908 -0.8699 -0.8362 -0.8081
 -0.7942 -0.7912 -0.7917 -0.7904 -0.7853 -0.7657 -0.7557 -0.7604 -0.7786 -0.8079
 -0.8451 -0.8882 -0.9349 -0.9826
 -0.8848 -0.8445 -0.8173 -0.8005 -0.7935 -0.7940 -0.7977 -0.7980 -0.7880 -0.7749
 -0.7688 -0.7705 -0.7757 -0.7797 -0.7797 -0.7673 -0.7599 -0.7663 -0.7856 -0.8157
 -0.8536 -0.8973 -0.9451 -0.9949 -1.0456 -1.0969 -1.1496 -1.2050 -1.2624 -1.3179
 -0.8470 -0.7841 -0.7394 -0.7125 -0.7008 -0.7006 -0.7080 -0.7208 -0.7301 -0.7333
 -0.7367 -0.7442 -0.7543 -0.7637 -0.7693 -0.7662 -0.7619 -0.7700 -0.7902 -0.8209
 -0.8594 -0.9038 -0.9527 -1.0042 -1.0569 -1.1099 -1.1635 -1.2180 -1.2749 -1.3339
 -1.3914
 -0.8378 -0.7685 -0.7127 -0.6710 -0.6434 -0.6290 -0.6265 -0.6357 -0.6552 -0.6761
 -0.6947 -0.7117 -0.7277 -0.7422 -0.7534 -0.7619 -0.7616 -0.7713 -0.7927 -0.8238
 -0.8628 -0.9079 -0.9578 -1.0110 -1.0657 -1.1207 -1.1760 -1.2314 -1.2879 -1.3463
 -1.4069
 -0.8294 -0.7597 -0.7026 -0.6574 -0.6239 -0.6018 -0.5906 -0.5893 -0.5979 -0.6150
 -0.6371 -0.6623 -0.6882 -0.7117 -0.7304 -0.7533 -0.7586 -0.7705 -0.7931 -0.8248
 -0.8645 -0.9105 -0.9613 -1.0160 -1.0728 -1.1300 -1.1874 -1.2452 -1.3033 -1.3617
 -1.4202
 -0.8206 -0.7508 -0.6944 -0.6497 -0.6159 -0.5922 -0.5777 -0.5720 -0.5747 -0.5849
 -0.6010 -0.6211 -0.6435 -0.6672 -0.6907 -0.7358 -0.7525 -0.7669 -0.7908 -0.8231
 -0.8630 -0.9095 -0.9612 -1.0170 -1.0754 -1.1347 -1.1942 -1.2533 -1.3122 -1.3714
 -1.4308
 -0.8046 -0.7388 -0.6836 -0.6405 -0.6082 -0.5856 -0.5715 -0.5648 -0.5649 -0.5712
 -0.5827 -0.5984 -0.6164 -0.6351 -0.6540 -0.7013 -0.7389 -0.7604 -0.7859 -0.8191
 -0.8593 -0.9060 -0.9581 -1.0147 -1.0744 -1.1356 -1.1973 -1.2584 -1.3191 -1.3794
 -1.4387
 -0.7706 -0.7143 -0.6658 -0.6264 -0.5961 -0.5757 -0.5635 -0.5581 -0.5583 -0.5630
 -0.5718 -0.5840 -0.5986 -0.6144 -0.6203 -0.6498 -0.7178 -0.7510 -0.7784
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =F850LP
 -1.7446 -1.7681 -1.7821 -1.7673 -1.7043 -1.5778 -1.3757 -1.1243 -0.9485 -0.8544
 -0.8139 -0.7958 -0.7834 -0.7707 -0.7569 -0.7249 -0.7048 -0.6992 -0.7089
 -1.5447 -1.5667 -1.5757 -1.5692 -1.5314 -1.4482 -1.3057 -1.1085 -0.9465 -0.8549
 -0.8145 -0.7980 -0.7883 -0.7783 -0.7666 -0.7381 -0.7216 -0.7192 -0.7304 -0.7541
 -1.3573 -1.3677 -1.3781 -1.3789 -1.3601 -1.3106 -1.2193 -1.0788 -0.9411 -0.8527
 -0.8108 -0.7945 -0.7871 -0.7802 -0.7712 -0.7467 -0.7329 -0.7333 -0.7472 -0.7727
 -0.8072
 -1.1960 -1.1926 -1.1966 -1.2003 -1.1948 -1.1714 -1.1210 -1.0327 -0.9266 -0.8463
 -0.8036 -0.7868 -0.7812 -0.7776 -0.7719 -0.7524 -0.7409 -0.7434 -0.7593 -0.7864
 -0.8217 -0.8630
 -1.0703 -1.0492 -1.0412 -1.0407 -1.0409 -1.0342 -1.0129 -0.9677 -0.8977 -0.8325
 -0.7925 -0.7756 -0.7715 -0.7709 -0.7689 -0.7556 -0.7465 -0.7507 -0.7681 -0.7963
 -0.8326 -0.8745 -0.9205 -0.9680
 -0.9665 -0.9444 -0.9214 -0.9099 -0.9065 -0.9060 -0.9020 -0.8866 -0.8520 -0.8082
 -0.7757 -0.7607 -0.7581 -0.7604 -0.7622 -0.7564 -0.7503 -0.7561 -0.7744 -0.8034
 -0.8405 -0.8832 -0.9301 -0.9796 -1.0303 -1.0825 -1.1367 -1.1934 -1.2517 -1.3081
 -0.8973 -0.8506 -0.8228 -0.8070 -0.7981 -0.7948 -0.7962 -0.7977 -0.7904 -0.7710
 -0.7512 -0.7411 -0.7408 -0.7459 -0.7515 -0.7545 -0.7521 -0.7595 -0.7787 -0.8082
 -0.8459 -0.8894 -0.9372 -0.9881 -1.0408 -1.0945 -1.1489 -1.2050 -1.2636 -1.3235
 -1.3817
 -0.8723 -0.8068 -0.7566 -0.7222 -0.7024 -0.6943 -0.6951 -0.7024 -0.7137 -0.7182
 -0.7160 -0.7149 -0.7190 -0.7274 -0.7366 -0.7493 -0.7517 -0.7610 -0.7812 -0.8111
 -0.8493 -0.8934 -0.9420 -0.9942 -1.0486 -1.1041 -1.1604 -1.2171 -1.2750 -1.3350
 -1.3965
 -0.8609 -0.7912 -0.7334 -0.6880 -0.6550 -0.6339 -0.6230 -0.6212 -0.6285 -0.6434
 -0.6587 -0.6735 -0.6884 -0.7031 -0.7169 -0.7402 -0.7486 -0.7604 -0.7820 -0.8126
 -0.8512 -0.8961 -0.9456 -0.9989 -1.0549 -1.1123 -1.1705 -1.2288 -1.2877 -1.3477
 -1.4092
 -0.8513 -0.7802 -0.7213 -0.6734 -0.6360 -0.6089 -0.5917 -0.5832 -0.5827 -0.5901
 -0.6038 -0.6213 -0.6416 -0.6637 -0.6852 -0.7255 -0.7426 -0.7572 -0.7802 -0.8116
 -0.8504 -0.8957 -0.9459 -0.9999 -1.0571 -1.1161 -1.1761 -1.2363 -1.2966 -1.3578
 -1.4180
 -0.8416 -0.7700 -0.7103 -0.6621 -0.6245 -0.5964 -0.5772 -0.5661 -0.5624 -0.5657
 -0.5751 -0.5893 -0.6068 -0.6262 -0.6466 -0.6967 -0.7316 -0.7513 -0.7760 -0.8083
 -0.8475 -0.8930 -0.9436 -0.9983 -1.0563 -1.1166 -1.1783 -1.2403 -1.3022 -1.3641
 -1.4230
 -0.8222 -0.7558 -0.6980 -0.6499 -0.6131 -0.5858 -0.5672 -0.5561 -0.5516 -0.5530
 -0.5597 -0.5711 -0.5857 -0.6024 -0.6011 -0.6538 -0.7156 -0.7427 -0.7694
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =F850LP
 -1.9004 -1.9454 -1.9561 -1.9203 -1.8369 -1.6890 -1.4705 -1.1662 -0.9675 -0.8474
 -0.7919 -0.7701 -0.7598 -0.7511 -0.7413 -0.7156 -0.6985 -0.6943 -0.7040
 -1.6999 -1.7415 -1.7732 -1.7814 -1.7486 -1.6502 -1.4599 -1.1904 -0.9801 -0.8540
 -0.7952 -0.7728 -0.7639 -0.7577 -0.7500 -0.7277 -0.7133 -0.7117 -0.7225 -0.7444
 -1.5028 -1.5352 -1.5640 -1.5778 -1.5634 -1.5043 -1.3819 -1.1867 -0.9908 -0.8612
