 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F390M
 -5.0799 -4.7479 -4.4614 -4.2181 -4.0165 -3.8510 -3.7201 -3.6191 -3.5270 -3.4221
 -3.2907 -3.1371 -2.9661 -2.7732 -2.5521 -2.0167 -1.5797 -1.2055 -0.8711 -0.5831
 -0.3478 -0.1609 -0.0101  0.1161  0.2253  0.3216  0.4071  0.4858  0.5589  0.6182
 -5.4423 -5.0411 -4.6950 -4.3952 -4.1362 -3.9149 -3.7270 -3.5662 -3.4260 -3.3024
 -3.1867 -3.0575 -2.9006 -2.7208 -2.5198 -1.9872 -1.5489 -1.1867 -0.8688 -0.5933
 -0.3661 -0.1861 -0.0430  0.0747  0.1753  0.2633  0.3407  0.4096  0.4708  0.5248
  0.5687
 -5.9467 -5.4529 -5.0290 -4.6639 -4.3472 -4.0713 -3.8305 -3.6203 -3.4349 -3.2677
 -3.1135 -2.9699 -2.8316 -2.6824 -2.5092 -2.0021 -1.5510 -1.1904 -0.8823 -0.6155
 -0.4064 -0.2165 -0.0784  0.0326  0.1257  0.2059  0.2759  0.3381  0.3921  0.4374
  0.4735
 -6.5999 -6.0026 -5.4841 -5.0370 -4.6493 -4.3109 -4.0139 -3.7523 -3.5203 -3.3123
 -3.1225 -2.9460 -2.7805 -2.6256 -2.4725 -2.0302 -1.5776 -1.2091 -0.9046 -0.6431
 -0.4234 -0.2475 -0.1119 -0.0060  0.0802  0.1529  0.2154  0.2697  0.3167  0.3571
  0.3898
 -7.3410 -6.6678 -6.0642 -5.5326 -5.0633 -4.6505 -4.2873 -3.9677 -3.6844 -3.4318
 -3.2039 -2.9954 -2.8018 -2.6213 -2.4525 -2.0430 -1.6273 -1.2497 -0.9412 -0.6810
 -0.4611 -0.2828 -0.1456 -0.0420  0.0389  0.1048  0.1598  0.2067  0.2468  0.2807
  0.3112
 -8.0939 -7.3804 -6.7210 -6.1150 -5.5718 -5.0841 -4.6496 -4.2640 -3.9226 -3.6200
 -3.3496 -3.1056 -2.8823 -2.6762 -2.4844 -2.0515 -1.6651 -1.3018 -0.9867 -0.7238
 -0.5018 -0.3189 -0.1769 -0.0717  0.0062  0.0660  0.1137  0.1530  0.1858  0.2128
  0.2351
 -8.7951 -8.0755 -7.3898 -6.7395 -6.1382 -5.5881 -5.0888 -4.6381 -4.2351 -3.8769
 -3.5587 -3.2747 -3.0186 -2.7846 -2.5682 -2.0557 -1.6910 -1.3654 -1.0411
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = F390M
 -5.4715 -5.5059 -5.5344 -5.5534 -5.5600 -5.5477 -5.5102 -5.4425 -5.3414 -5.2064
 -5.0402 -4.8437 -4.6199 -4.3762 -4.1239 -3.5040 -2.9058 -2.2918 -1.6888
 -4.9356 -4.9646 -4.9908 -5.0095 -5.0165 -5.0078 -4.9784 -4.9218 -4.8345 -4.7130
 -4.5556 -4.3627 -4.1385 -3.8951 -3.6462 -3.0515 -2.4988 -1.9669 -1.4586 -1.0111
 -4.4908 -4.5023 -4.5189 -4.5331 -4.5391 -4.5321 -4.5075 -4.4601 -4.3858 -4.2808
 -4.1417 -3.9666 -3.7572 -3.5243 -3.2841 -2.7168 -2.2075 -1.7321 -1.2853 -0.8900
 -0.5607
 -4.2117 -4.1703 -4.1562 -4.1542 -4.1529 -4.1441 -4.1219 -4.0811 -4.0178 -3.9284
 -3.8091 -3.6569 -3.4698 -3.2535 -3.0239 -2.4782 -2.0008 -1.5668 -1.1639 -0.8069
 -0.5067 -0.2618
 -4.2429 -4.0826 -3.9781 -3.9147 -3.8805 -3.8582 -3.8324 -3.7936 -3.7373 -3.6596
 -3.5570 -3.4260 -3.2628 -3.0671 -2.8498 -2.3179 -1.8604 -1.4559 -1.0846 -0.7554
 -0.4775 -0.2498 -0.0645  0.0903
 -4.5015 -4.2455 -4.0381 -3.8799 -3.7677 -3.6942 -3.6459 -3.6038 -3.5478 -3.4740
 -3.3803 -3.2642 -3.1215 -2.9479 -2.7457 -2.2221 -1.7732 -1.3879 -1.0398 -0.7306
 -0.4690 -0.2539 -0.0799  0.0634  0.1849  0.2905  0.3838  0.4690  0.5480  0.6131
 -4.8383 -4.5184 -4.2423 -4.0094 -3.8203 -3.6713 -3.5578 -3.4772 -3.4193 -3.3581
 -3.2751 -3.1666 -3.0345 -2.8774 -2.6951 -2.1795 -1.7285 -1.3530 -1.0220 -0.7275
 -0.4776 -0.2715 -0.1050  0.0301  0.1427  0.2390  0.3229  0.3968  0.4625  0.5211
  0.5709
 -5.2640 -4.8690 -4.5286 -4.2347 -3.9830 -3.7724 -3.5995 -3.4593 -3.3469 -3.2546
 -3.1718 -3.0850 -2.9774 -2.8409 -2.6771 -2.1815 -1.7200 -1.3445 -1.0242 -0.7409
 -0.4989 -0.2989 -0.1371 -0.0075  0.0982  0.1870  0.2627  0.3287  0.3859  0.4351
  0.4789
 -5.8535 -5.3370 -4.9095 -4.5443 -4.2307 -3.9613 -3.7318 -3.5381 -3.3751 -3.2364
 -3.1135 -2.9997 -2.8898 -2.7763 -2.6454 -2.2122 -1.7395 -1.3553 -1.0383 -0.7631
 -0.5265 -0.3300 -0.1711 -0.0451  0.0552  0.1372  0.2056  0.2642  0.3144  0.3571
  0.3919
 -6.6252 -5.9941 -5.4469 -4.9819 -4.5862 -4.2477 -3.9568 -3.7062 -3.4901 -3.3033
 -3.1390 -2.9901 -2.8506 -2.7170 -2.5868 -2.2297 -1.7940 -1.3932 -1.0709 -0.7985
 -0.5642 -0.3683 -0.2094 -0.0843  0.0129  0.0896  0.1516  0.2033  0.2466  0.2828
  0.3125
 -7.5458 -6.8091 -6.1539 -5.5754 -5.0764 -4.6487 -4.2813 -3.9642 -3.6887 -3.4487
 -3.2376 -3.0494 -2.8781 -2.7183 -2.5668 -2.2106 -1.8415 -1.4532 -1.1177 -0.8416
 -0.6066 -0.4088 -0.2474 -0.1205 -0.0241  0.0489  0.1051  0.1501  0.1867  0.2162
  0.2401
 -8.4779 -7.6920 -6.9555 -6.2901 -5.6943 -5.1727 -4.7183 -4.3222 -3.9773 -3.6760
 -3.4117 -3.1780 -2.9688 -2.7787 -2.5854 -2.1549 -1.8820 -1.5353 -1.1787
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value = F390M
 -5.5204 -5.5564 -5.5839 -5.5994 -5.5996 -5.5789 -5.5319 -5.4542 -5.3450 -5.2122
 -5.0616 -4.8929 -4.7028 -4.4911 -4.2625 -3.6707 -3.0819 -2.4916 -1.9026
 -4.9741 -5.0088 -5.0371 -5.0555 -5.0605 -5.0486 -5.0157 -4.9549 -4.8652 -4.7474
 -4.6032 -4.4339 -4.2400 -4.0245 -3.7952 -3.2200 -2.6717 -2.1440 -1.6369 -1.1734
 -4.5046 -4.5309 -4.5559 -4.5745 -4.5826 -4.5767 -4.5532 -4.5070 -4.4348 -4.3346
 -4.2057 -4.0485 -3.8639 -3.6561 -3.4343 -2.8822 -2.3712 -1.8936 -1.4427 -1.0336
 -0.6838
 -4.1577 -4.1580 -4.1686 -4.1808 -4.1878 -4.1849 -4.1678 -4.1321 -4.0742 -3.9909
 -3.8801 -3.7408 -3.5726 -3.3783 -3.1666 -2.6347 -2.1526 -1.7131 -1.3035 -0.9336
 -0.6155 -0.3516
 -4.0411 -3.9530 -3.9093 -3.8929 -3.8874 -3.8808 -3.8656 -3.8362 -3.7887 -3.7195
 -3.6256 -3.5051 -3.3559 -3.1784 -2.9786 -2.4621 -1.9984 -1.5871 -1.2085 -0.8670
 -0.5734 -0.3285 -0.1274  0.0397
 -4.2367 -4.0275 -3.8751 -3.7731 -3.7092 -3.6724 -3.6488 -3.6192 -3.5764 -3.5164
