 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  u   
 -1.4396 -1.2979 -1.2117 -1.1615 -1.1339 -1.1213 -1.1189 -1.1230 -1.1303 -1.1385
 -1.1471
 -9.4576 -8.8145 -8.2098 -7.6460 -7.1196 -6.6314 -6.1823 -5.7739 -5.4053 -5.0730
 -4.7708 -4.4937 -4.2372 -3.9978 -3.7721 -3.2591 -2.7854 -2.3568 -1.9910 -1.6853
 -1.4500 -1.2855 -1.1796 -1.1164 -1.0818 -1.0657 -1.0622 -1.0670 -1.0770 -1.0894
 -1.1023
 -9.7625 -9.1206 -8.5064 -7.9291 -7.3879 -6.8821 -6.4111 -5.9761 -5.5781 -5.2166
 -4.8885 -4.5891 -4.3136 -4.0575 -3.8178 -3.2839 -2.8193 -2.3966 -2.0281 -1.7194
 -1.4733 -1.2908 -1.1642 -1.0827 -1.0350 -1.0110 -1.0031 -1.0059 -1.0159 -1.0303
 -1.0468
-10.0491 -9.4152 -8.8067 -8.2237 -7.6720 -7.1536 -6.6685 -6.2150 -5.7943 -5.4062
 -5.0508 -4.7258 -4.4139 -4.1368 -3.9029 -3.3235 -2.8559 -2.4443 -2.0686
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  u   
 -8.1910 -8.0565 -7.9669 -7.9059 -7.8569 -7.8042 -7.7342 -7.6351 -7.4935 -7.2951
 -7.0313 -6.7105 -6.3602 -6.0174 -5.6865 -4.8849 -4.0867 -3.3806 -2.7781
 -7.8567 -7.6536 -7.4995 -7.3882 -7.3050 -7.2311 -7.1479 -7.0410 -6.8980 -6.7074
 -6.4590 -6.1532 -5.8138 -5.4768 -5.1546 -4.4010 -3.6922 -3.0545 -2.5521 -2.1958
 -7.5917 -7.3311 -7.1465 -6.9951 -6.8598 -6.7412 -6.6301 -6.5091 -6.3627 -6.1814
 -5.9556 -5.6784 -5.3596 -5.0337 -4.7224 -4.0156 -3.3812 -2.8215 -2.3731 -2.0523
 -1.8326
 -7.5668 -7.2015 -6.9044 -6.6708 -6.4969 -6.3684 -6.2397 -6.0933 -5.9319 -5.7498
 -5.5397 -5.2939 -5.0060 -4.6968 -4.3971 -3.7288 -3.1499 -2.6455 -2.2360 -1.9384
 -1.7371 -1.6005
 -7.6857 -7.2528 -6.8814 -6.5664 -6.3018 -6.0858 -5.9141 -5.7700 -5.6284 -5.4495
 -5.2398 -5.0088 -4.7524 -4.4663 -4.1771 -3.5339 -2.9913 -2.5224 -2.1371 -1.8513
