 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  g   
 -4.5176 -4.0652 -3.6963 -3.3986 -3.1580 -2.9668 -2.8171 -2.6912 -2.5670 -2.4179
 -2.2582 -2.0991 -1.9381 -1.7691 -1.6033 -1.2598 -1.0090 -0.8147 -0.6554 -0.5223
 -0.4114 -0.3168 -0.2335 -0.1585
 -4.4963 -4.0473 -3.6751 -3.3680 -3.1137 -2.9018 -2.7229 -2.5693 -2.4368 -2.3215
 -2.1980 -2.0523 -1.8968 -1.7393 -1.5814 -1.2388 -0.9886 -0.8006 -0.6508 -0.5274
 -0.4249 -0.3376 -0.2606 -0.1908 -0.1265 -0.0675 -0.0134  0.0358  0.0775  0.1015
 -4.4837 -4.0498 -3.6831 -3.3751 -3.1146 -2.8916 -2.6988 -2.5296 -2.3785 -2.2407
 -2.1149 -1.9961 -1.8676 -1.7239 -1.5737 -1.2335 -0.9795 -0.7930 -0.6485 -0.5322
 -0.4371 -0.3570 -0.2867 -0.2229 -0.1635 -0.1081 -0.0570 -0.0103  0.0316  0.0642
  0.0797
 -4.4582 -4.0488 -3.6969 -3.3950 -3.1344 -2.9067 -2.7058 -2.5260 -2.3636 -2.2147
 -2.0754 -1.9445 -1.8222 -1.7001 -1.5692 -1.2403 -0.9795 -0.7903 -0.6476 -0.5355
 -0.4458 -0.3724 -0.3092 -0.2521 -0.1989 -0.1485 -0.1014 -0.0573 -0.0166  0.0170
  0.0404
 -4.4073 -4.0284 -3.6980 -3.4094 -3.1551 -2.9283 -2.7238 -2.5380 -2.3679 -2.2110
 -2.0645 -1.9262 -1.7954 -1.6714 -1.5507 -1.2500 -0.9859 -0.7903 -0.6465 -0.5361
 -0.4498 -0.3815 -0.3251 -0.2754 -0.2292 -0.1852 -0.1433 -0.1035 -0.0664 -0.0339
 -0.0061
 -4.3463 -3.9988 -3.6905 -3.4178 -3.1742 -2.9528 -2.7494 -2.5613 -2.3869 -2.2248
 -2.0731 -1.9303 -1.7947 -1.6658 -1.5428 -1.2578 -1.0027 -0.7987 -0.6497 -0.5381
 -0.4525 -0.3867 -0.3352 -0.2923 -0.2537 -0.2171 -0.1820 -0.1480 -0.1154 -0.0851
 -0.0569
 -4.2788 -3.9567 -3.6686 -3.4118 -3.1804 -2.9682 -2.7705 -2.5845 -2.4093 -2.2446
 -2.0899 -1.9441 -1.8058 -1.6738 -1.5483 -1.2632 -1.0171 -0.8122 -0.6561 -0.5410
 -0.4543 -0.3888 -0.3396 -0.3016 -0.2698 -0.2410 -0.2136 -0.1867 -0.1604 -0.1349
 -0.1112
 -4.2109 -3.9086 -3.6369 -3.3928 -3.1722 -2.9692 -2.7797 -2.5999 -2.4282 -2.2644
 -2.1088 -1.9615 -1.8196 -1.6862 -1.5672 -1.2662 -1.0291 -0.8308 -0.6657
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  g   
 -6.1796 -5.8194 -5.4894 -5.1756 -4.8643 -4.5354 -4.1706 -3.7773 -3.4268 -3.1193
 -2.8423 -2.5881 -2.3549 -2.1473 -1.9636 -1.5864 -1.2798 -1.0096 -0.7706
 -5.7758 -5.3732 -5.0133 -4.6870 -4.3831 -4.0856 -3.7711 -3.4511 -3.1585 -2.8932
 -2.6458 -2.4106 -2.1897 -1.9885 -1.8094 -1.4471 -1.1664 -0.9293 -0.7219 -0.5440
 -5.4742 -5.0510 -4.6695 -4.3297 -4.0268 -3.7505 -3.4807 -3.2114 -2.9603 -2.7284
 -2.5087 -2.2947 -2.0861 -1.8905 -1.7139 -1.3575 -1.0908 -0.8744 -0.6890 -0.5290
 -0.3938
 -5.1121 -4.7006 -4.3606 -4.0532 -3.7654 -3.5027 -3.2607 -3.0282 -2.8084 -2.6030
 -2.4077 -2.2158 -2.0232 -1.8351 -1.6606 -1.3045 -1.0432 -0.8389 -0.6683 -0.5223
 -0.3980 -0.2921
 -4.9267 -4.4531 -4.0601 -3.7397 -3.4851 -3.2819 -3.0906 -2.8929 -2.6966 -2.5093
 -2.3309 -2.1576 -1.9832 -1.8064 -1.6355 -1.2773 -1.0155 -0.8172 -0.6564 -0.5210
 -0.4060 -0.3078 -0.2224 -0.1465
 -4.8813 -4.3659 -3.9362 -3.5855 -3.3023 -3.0733 -2.8865 -2.7319 -2.5947 -2.4453
 -2.2820 -2.1173 -1.9553 -1.7922 -1.6282 -1.2682 -1.0018 -0.8049 -0.6500 -0.5226
 -0.4155 -0.3246 -0.2456 -0.1751 -0.1109 -0.0525  0.0006  0.0488  0.0896  0.1136
 -4.9137 -4.3751 -3.9222 -3.5495 -3.2454 -2.9962 -2.7898 -2.6155 -2.4660 -2.3379
 -2.2199 -2.0887 -1.9399 -1.7853 -1.6305 -1.2719 -0.9987 -0.7992 -0.6470 -0.5250
 -0.4246 -0.3404 -0.2681 -0.2035 -0.1445 -0.0901 -0.0404  0.0049  0.0455  0.0777
  0.0934
 -4.9780 -4.4308 -3.9638 -3.5751 -3.2545 -2.9897 -2.7682 -2.5802 -2.4168 -2.2719
