 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  r   
 -3.0867 -2.5005 -2.0440 -1.6962 -1.4319 -1.2295 -1.0739 -0.9538 -0.8633 -0.7975
 -0.7368 -0.6664 -0.5916 -0.5193 -0.4503 -0.2975 -0.1828 -0.1028 -0.0516 -0.0213
 -0.0029  0.0098  0.0187  0.0243  0.0268  0.0269  0.0222  0.0097 -0.0109 -0.0349
 -3.0039 -2.4436 -2.0008 -1.6597 -1.3974 -1.1935 -1.0334 -0.9065 -0.8053 -0.7238
 -0.6590 -0.6058 -0.5531 -0.4955 -0.4343 -0.2914 -0.1806 -0.1025 -0.0528 -0.0252
 -0.0111 -0.0026  0.0030  0.0064  0.0078  0.0070  0.0033 -0.0039 -0.0175 -0.0413
 -0.0696
 -2.9145 -2.3910 -1.9711 -1.6421 -1.3857 -1.1834 -1.0216 -0.8899 -0.7822 -0.6935
 -0.6191 -0.5558 -0.5023 -0.4546 -0.4062 -0.2806 -0.1754 -0.0990 -0.0500 -0.0240
 -0.0136 -0.0104 -0.0093 -0.0096 -0.0108 -0.0132 -0.0173 -0.0234 -0.0325 -0.0488
 -0.0759
 -2.8065 -2.3277 -1.9373 -1.6252 -1.3778 -1.1800 -1.0189 -0.8852 -0.7729 -0.6784
 -0.5984 -0.5298 -0.4699 -0.4177 -0.3711 -0.2615 -0.1650 -0.0917 -0.0433 -0.0177
 -0.0099 -0.0117 -0.0164 -0.0217 -0.0271 -0.0326 -0.0387 -0.0456 -0.0542 -0.0671
 -0.0844
 -2.6882 -2.2645 -1.9075 -1.6143 -1.3762 -1.1827 -1.0228 -0.8882 -0.7731 -0.6740
 -0.5888 -0.5157 -0.4523 -0.3966 -0.3470 -0.2411 -0.1517 -0.0825 -0.0350 -0.0087
 -0.0011 -0.0059 -0.0161 -0.0274 -0.0383 -0.0484 -0.0582 -0.0677 -0.0776 -0.0889
 -0.1010
 -2.5619 -2.1923 -1.8732 -1.6031 -1.3774 -1.1886 -1.0294 -0.8935 -0.7761 -0.6737
 -0.5844 -0.5066 -0.4395 -0.3814 -0.3302 -0.2232 -0.1374 -0.0712 -0.0252  0.0016
  0.0103  0.0049 -0.0088 -0.0256 -0.0425 -0.0585 -0.0734 -0.0871 -0.1002 -0.1132
 -0.1270
 -2.4445 -2.1181 -1.8343 -1.5892 -1.3793 -1.1982 -1.0407 -0.9031 -0.7824 -0.6764
 -0.5831 -0.5013 -0.4255 -0.3646 -0.3207 -0.2078 -0.1221 -0.0578 -0.0139
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  r   
 -5.9014 -5.3404 -4.8136 -4.3176 -3.8403 -3.3439 -2.7910 -2.1974 -1.7118 -1.3468
 -1.0841 -0.8933 -0.7464 -0.6278 -0.5272 -0.3274 -0.1795 -0.0706  0.0065
 -5.5542 -4.9410 -4.3681 -3.8426 -3.3610 -2.9018 -2.4200 -1.9469 -1.5504 -1.2398
 -1.0057 -0.8309 -0.6957 -0.5851 -0.4906 -0.3030 -0.1668 -0.0690 -0.0005  0.0455
 -5.2197 -4.6171 -4.0416 -3.5091 -3.0278 -2.5949 -2.1825 -1.7875 -1.4487 -1.1745
 -0.9604 -0.7961 -0.6675 -0.5621 -0.4718 -0.2924 -0.1631 -0.0715 -0.0082  0.0340
  0.0616
 -4.6161 -4.0775 -3.6127 -3.1780 -2.7590 -2.3652 -2.0028 -1.6674 -1.3728 -1.1271
 -0.9295 -0.7739 -0.6507 -0.5493 -0.4623 -0.2892 -0.1641 -0.0761 -0.0160  0.0234
  0.0486  0.0652
 -4.1817 -3.5819 -3.0800 -2.6665 -2.3330 -2.0619 -1.8054 -1.5454 -1.2998 -1.0842
 -0.9032 -0.7559 -0.6376 -0.5404 -0.4566 -0.2886 -0.1668 -0.0809 -0.0231  0.0141
  0.0369  0.0515  0.0608  0.0656
 -3.9857 -3.3145 -2.7652 -2.3315 -1.9885 -1.7156 -1.4966 -1.3181 -1.1652 -1.0170
 -0.8714 -0.7384 -0.6250 -0.5311 -0.4508 -0.2881 -0.1689 -0.0847 -0.0284  0.0069
  0.0273  0.0391  0.0463  0.0501  0.0506  0.0476  0.0405  0.0262  0.0040 -0.0202
 -3.9212 -3.2214 -2.6403 -2.1808 -1.8251 -1.5472 -1.3253 -1.1443 -0.9962 -0.8795
 -0.7866 -0.6989 -0.6085 -0.5209 -0.4430 -0.2858 -0.1694 -0.0864 -0.0311  0.0027
