 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  I   
  0.6269  0.6302  0.6339  0.6378  0.6397  0.6467  0.6496  0.6454  0.6277  0.5947
  0.5539  0.5118  0.4707  0.4306  0.3911  0.3517  0.3118  0.2710  0.2285  0.1833
  0.1332
  0.7627  0.7476  0.7306  0.7135  0.6971  0.6832  0.6725  0.6655  0.6615  0.6595
  0.6589  0.6591  0.6600  0.6616  0.6630  0.6677  0.6682  0.6599  0.6409  0.6084
  0.5660  0.5197  0.4734  0.4288  0.3858  0.3441  0.3030  0.2619  0.2205  0.1776
  0.1321
  0.8656  0.8442  0.8216  0.7994  0.7780  0.7579  0.7402  0.7255  0.7140  0.7053
  0.6989  0.6942  0.6908  0.6886  0.6871  0.6860  0.6848  0.6747  0.6543  0.6227
  0.5810  0.5331  0.4831  0.4337  0.3861  0.3406  0.2966  0.2539  0.2118  0.1696
  0.1263
  0.9697  0.9436  0.9144  0.8891  0.8637  0.8394  0.8167  0.7959  0.7775  0.7617
  0.7485  0.7375  0.7284  0.7211  0.7120  0.7016  0.6994  0.6898  0.6679
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  I   
 -0.0968 -0.0350  0.0098  0.0384  0.0649  0.0903  0.1202  0.1555  0.1974  0.2453
  0.3017  0.3639  0.4269  0.4874  0.5519  0.6594
  0.0808  0.1406  0.1804  0.2051  0.2188  0.2273  0.2361  0.2492  0.2682  0.2942
  0.3302  0.3766  0.4303  0.4845  0.5377  0.6357  0.6929  0.7116  0.7046
  0.1971  0.2659  0.3086  0.3307  0.3386  0.3378  0.3335  0.3314  0.3338  0.3428
  0.3615  0.3922  0.4343  0.4812  0.5262  0.6153  0.6681  0.6866  0.6799  0.6592
  0.6300
  0.2521  0.3409  0.3944  0.4152  0.4243  0.4217  0.4124  0.4021  0.3942  0.3911
  0.3956  0.4107  0.4389  0.4775  0.5174  0.5982  0.6470  0.6652  0.6590  0.6391
  0.6118  0.5789  0.5408
  0.2648  0.3661  0.4317  0.4663  0.4785  0.4762  0.4662  0.4542  0.4444  0.4369
  0.4336  0.4367  0.4501  0.4773  0.5113  0.5844  0.6296  0.6474  0.6419  0.6224
  0.5957  0.5644  0.5291  0.4902  0.4471
  0.2604  0.3544  0.4258  0.4728  0.4993  0.5103  0.5099  0.5016  0.4883  0.4745
  0.4682  0.4671  0.4713  0.4847  0.5103  0.5752  0.6170  0.6340  0.6287  0.6088
  0.5820  0.5512  0.5171  0.4798  0.4393  0.3953
  0.2693  0.3545  0.4204  0.4700  0.5056  0.5289  0.5416  0.5453  0.5413  0.5296
  0.5153  0.5058  0.5013  0.5040  0.5176  0.5717  0.6098  0.6256  0.6200  0.5990
  0.5708  0.5394  0.5055  0.4692  0.4304  0.3888  0.3441  0.2946  0.2401  0.1844
  0.3008  0.3725  0.4290  0.4723  0.5056  0.5307  0.5487  0.5599  0.5655  0.5669
  0.5647  0.5586  0.5510  0.5440  0.5430  0.5746  0.6083  0.6227  0.6167  0.5941
  0.5634  0.5298  0.4950  0.4586  0.4205  0.3806  0.3381  0.2930  0.2431  0.1876
  0.1300
  0.3560  0.4122  0.4567  0.4909  0.5176  0.5393  0.5572  0.5713  0.5813  0.5878
  0.5923  0.5949  0.5954  0.5921  0.5867  0.5917  0.6128  0.6249  0.6186  0.5951
  0.5613  0.5243  0.4870  0.4492  0.4108  0.3713  0.3302  0.2872  0.2414  0.1913
  0.1347
  0.4335  0.4743  0.5052  0.5286  0.5466  0.5615  0.5750  0.5874  0.5981  0.6065
  0.6131  0.6184  0.6230  0.6260  0.6253  0.6238  0.6277  0.6325  0.6251  0.6013
  0.5650  0.5240  0.4826  0.4419  0.4017  0.3614  0.3205  0.2786  0.2350  0.1888
  0.1380
  0.5237  0.5500  0.5690  0.5826  0.5920  0.5993  0.6062  0.6136  0.6213  0.6285
  0.6348  0.6400  0.6447  0.6490  0.6518  0.6533  0.6511  0.6463  0.6355  0.6119
  0.5753  0.5312  0.4854  0.4404  0.3969  0.3544  0.3123  0.2702  0.2276  0.1837
  0.1372
  0.6166  0.6343  0.6437  0.6489  0.6511  0.6516  0.6518  0.6528  0.6552  0.6585
  0.6620  0.6652  0.6680  0.6707  0.6732  0.6761  0.6737  0.6643  0.6488  0.6246
  0.5886  0.5437  0.4946  0.4452  0.3973  0.3512  0.3064  0.2627  0.2196  0.1763
  0.1320
  0.7104  0.7194  0.7233  0.7229  0.7196  0.7148  0.7096  0.7048  0.7012  0.6989
  0.6978  0.6972  0.6967  0.6962  0.6895  0.6922  0.6955  0.6865  0.6650
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  I   
 -0.4738 -0.3960 -0.3256 -0.2567 -0.1910 -0.1154 -0.0251  0.0799  0.1680  0.2399
  0.3050  0.3678  0.4282  0.4849  0.5362  0.6405
 -0.2751 -0.1913 -0.1226 -0.0633 -0.0107  0.0425  0.1040  0.1733  0.2309  0.2791
  0.3259  0.3761  0.4289  0.4802  0.5272  0.6215  0.6831  0.7121  0.7114
 -0.1201 -0.0299  0.0398  0.0940  0.1374  0.1745  0.2133  0.2554  0.2900  0.3196
  0.3505  0.3876  0.4311  0.4764  0.5191  0.6048  0.6603  0.6866  0.6868  0.6691
  0.6406
 -0.0088  0.0882  0.1616  0.2152  0.2534  0.2806  0.3028  0.3262  0.3453  0.3614
  0.3788  0.4023  0.4348  0.4735  0.5119  0.5904  0.6411  0.6656  0.6667  0.6503
  0.6237  0.5911  0.5532
  0.0692  0.1812  0.2608  0.3107  0.3455  0.3675  0.3809  0.3915  0.3999  0.4061
  0.4131  0.4244  0.4442  0.4738  0.5074  0.5793  0.6261  0.6489  0.6504  0.6350
  0.6092  0.5776  0.5416  0.5017  0.4574
  0.1101  0.2354  0.3279  0.3917  0.4306  0.4479  0.4494  0.4487  0.4491  0.4496
  0.4508  0.4542  0.4626  0.4804  0.5071  0.5721  0.6152  0.6364  0.6376  0.6227
  0.5970  0.5658  0.5309  0.4925  0.4508  0.4053
  0.1161  0.2431  0.3446  0.4215  0.4750  0.5081  0.5221  0.5192  0.5074  0.4946
  0.4869  0.4855  0.4885  0.4964  0.5131  0.5690  0.6087  0.6280  0.6286  0.6135
  0.5873  0.5554  0.5206  0.4832  0.4431  0.4002  0.3539  0.3030  0.2478  0.1925
  0.1210  0.2452  0.3456  0.4236  0.4819  0.5224  0.5475  0.5602  0.5632  0.5576
  0.5450  0.5313  0.5228  0.5217  0.5282  0.5705  0.6063  0.6237  0.6234  0.6078
  0.5807  0.5474  0.5115  0.4739  0.4346  0.3932  0.3492  0.3022  0.2513  0.1955
  0.1384
  0.1368  0.2536  0.3495  0.4250  0.4823  0.5247  0.5549  0.5745  0.5855  0.5903
  0.5906  0.5864  0.5778  0.5683  0.5622  0.5778  0.6082  0.6235  0.6224  0.6063
  0.5805  0.5427  0.5048  0.4659  0.4261  0.3852  0.3425  0.2982  0.2509  0.1994
  0.1427
  0.1769  0.2780  0.3660  0.4353  0.4888  0.5292  0.5596  0.5821  0.5979  0.6080
  0.6141  0.6174  0.6185  0.6161  0.6105  0.6026  0.6155  0.6275  0.6252  0.6088
  0.5798  0.5422  0.5012  0.4596  0.4182  0.3765  0.3340  0.2905  0.2453  0.1976
  0.1460
  0.2383  0.3237  0.3981  0.4586  0.5059  0.5420  0.5696  0.5913  0.6084  0.6213
  0.6307  0.6373  0.6422  0.6454  0.6462  0.6397  0.6348  0.6361  0.6320  0.6155
  0.5867  0.5479  0.5038  0.4587  0.4142  0.3704  0.3269  0.2833  0.2391  0.1936
  0.1458
  0.3125  0.3849  0.4463  0.4972  0.5368  0.5672  0.5904  0.6088  0.6240  0.6366
  0.6470  0.6550  0.6611  0.6658  0.6693  0.6704  0.6630  0.6532  0.6426  0.6253
  0.5970  0.5581  0.5121  0.4634  0.4150  0.3679  0.3219  0.2769  0.2322  0.1873
  0.1416
  0.3928  0.4544  0.5059  0.5479  0.5804  0.6049  0.6233  0.6375  0.6491  0.6591
  0.6678  0.6751  0.6809  0.6853  0.6798  0.6947  0.7001  0.6788  0.6570
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  I   
 -1.0470 -0.9638 -0.8777 -0.7808 -0.6748 -0.5325 -0.3352 -0.0933  0.0852  0.2312
  0.3155  0.3806  0.4366  0.4878  0.5346  0.6305
 -0.7794 -0.6924 -0.6120 -0.5295 -0.4396 -0.3266 -0.1746  0.0094  0.1584  0.2589
  0.3289  0.3856  0.4368  0.4841  0.5274  0.6153  0.6772  0.7110  0.7192
 -0.5653 -0.4704 -0.3899 -0.3156 -0.2393 -0.1517 -0.0391  0.0970  0.2087  0.2878
  0.3451  0.3931  0.4384  0.4815  0.5215  0.6025  0.6572  0.6874  0.6945  0.6821
  0.6563
 -0.4047 -0.2978 -0.2114 -0.1391 -0.0739 -0.0078  0.0713  0.1695  0.2549  0.3179
  0.3641  0.4031  0.4414  0.4800  0.5169  0.5921  0.6423  0.6694  0.6756  0.6645
  0.6403  0.6083  0.5699
 -0.2854 -0.1682 -0.0733  0.0029  0.0650  0.1188  0.1725  0.2395  0.3033  0.3524
  0.3887  0.4186  0.4486  0.4811  0.5142  0.5843  0.6308  0.6555  0.6608  0.6503
  0.6273  0.5961  0.5596  0.5188  0.4731
 -0.1601 -0.0452  0.0448  0.1185  0.1793  0.2283  0.2689  0.3111  0.3556  0.3922
  0.4194  0.4409  0.4621  0.4868  0.5149  0.5793  0.6225  0.6451  0.6494  0.6390
  0.6167  0.5862  0.5507  0.5112  0.4681  0.4208
 -0.0911  0.0482  0.1584  0.2410  0.2990  0.3371  0.3637  0.3863  0.4116  0.4359
  0.4551  0.4698  0.4831  0.4991  0.5201  0.5772  0.6173  0.6379  0.6412  0.6304
  0.6083  0.5779  0.5426  0.5039  0.4621  0.4172  0.3687  0.3159  0.2593  0.2038
 -0.0670  0.0816  0.2046  0.3028  0.3772  0.4304  0.4651  0.4833  0.4905  0.4934
  0.4967  0.5022  0.5096  0.5189  0.5318  0.5783  0.6151  0.6337  0.6361  0.6247
  0.6024  0.5716  0.5357  0.4968  0.4557  0.4122  0.3661  0.3169  0.2638  0.2070
  0.1504
 -0.0592  0.0932  0.2208  0.3247  0.4069  0.4686  0.5125  0.5413  0.5582  0.5653
  0.5638  0.5567  0.5498  0.5476  0.5518  0.5833  0.6159  0.6326  0.6339  0.6222
  0.5994  0.5679  0.5308  0.4908  0.4492  0.4062  0.3612  0.3143  0.2645  0.2117
  0.1545
 -0.0539  0.0993  0.2280  0.3339  0.4184  0.4836  0.5322  0.5665  0.5890  0.6022
  0.6087  0.6098  0.6061  0.5990  0.5924  0.5956  0.6206  0.6348  0.6349  0.6225
  0.5991  0.5669  0.5282  0.4862  0.4430  0.3993  0.3546  0.3087  0.2612  0.2113
  0.1581
 -0.0396  0.1060  0.2330  0.3384  0.4234  0.4897  0.5400  0.5773  0.6039  0.6215
  0.6324  0.6385  0.6414  0.6416  0.6390  0.6276  0.6302  0.6403  0.6390  0.6263
  0.6028  0.5701  0.5301  0.4859  0.4404  0.3948  0.3492  0.3035  0.2570  0.2091
  0.1592
 -0.0077  0.1278  0.2459  0.3474  0.4308  0.4964  0.5467  0.5846  0.6128  0.6334
  0.6478  0.6573  0.6633  0.6671  0.6693  0.6657  0.6556  0.6507  0.6465  0.6330
  0.6096  0.5768  0.5361  0.4899  0.4416  0.3934  0.3457  0.2987  0.2519  0.2047
  0.1568
  0.0386  0.1630  0.2726  0.3665  0.4455  0.5086  0.5575  0.5948  0.6229  0.6442
  0.6603  0.6722  0.6805  0.6863  0.6833  0.7099  0.6968  0.6660  0.6574
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  I   
