 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  R   
 -1.5388 -1.2802 -1.0581 -0.8745 -0.7278 -0.6153 -0.5332 -0.4749 -0.4348 -0.4028
 -0.3655 -0.3221 -0.2804 -0.2347 -0.1802 -0.0503  0.0449  0.1049  0.1392  0.1601
  0.1731  0.1806  0.1837  0.1832  0.1790  0.1711
 -1.4678 -1.2338 -1.0303 -0.8582 -0.7151 -0.5983 -0.5061 -0.4359 -0.3827 -0.3409
 -0.3057 -0.2710 -0.2344 -0.1984 -0.1559 -0.0430  0.0463  0.1032  0.1331  0.1490
  0.1586  0.1640  0.1660  0.1650  0.1616  0.1554  0.1460  0.1294  0.1039  0.0745
 -1.3733 -1.1670 -0.9870 -0.8329 -0.7012 -0.5889 -0.4940 -0.4160 -0.3543 -0.3051
 -0.2636 -0.2260 -0.1899 -0.1577 -0.1239 -0.0299  0.0512  0.1059  0.1333  0.1441
  0.1485  0.1500  0.1494  0.1468  0.1427  0.1368  0.1285  0.1174  0.0990  0.0707
  0.0376
 -1.2612 -1.0811 -0.9244 -0.7900 -0.6740 -0.5721 -0.4818 -0.4024 -0.3349 -0.2798
 -0.2342 -0.1944 -0.1574 -0.1226 -0.0917 -0.0101  0.0609  0.1127  0.1392  0.1465
  0.1451  0.1412  0.1363  0.1305  0.1241  0.1170  0.1087  0.0985  0.0851  0.0654
  0.0343
 -1.1358 -0.9811 -0.8454 -0.7290 -0.6288 -0.5398 -0.4588 -0.3842 -0.3167 -0.2579
 -0.2085 -0.1669 -0.1299 -0.0953 -0.0642  0.0114  0.0753  0.1226  0.1490  0.1552
  0.1495  0.1394  0.1286  0.1181  0.1079  0.0980  0.0879  0.0773  0.0652  0.0498
  0.0280
 -1.0079 -0.8776 -0.7603 -0.6585 -0.5716 -0.4948 -0.4244 -0.3579 -0.2951 -0.2369
 -0.1853 -0.1413 -0.1039 -0.0707 -0.0404  0.0300  0.0899  0.1335  0.1595  0.1669
  0.1600  0.1458  0.1290  0.1125  0.0970  0.0827  0.0692  0.0562  0.0431  0.0288
  0.0135
 -0.8802 -0.7725 -0.6724 -0.5834 -0.5063 -0.4392 -0.3783 -0.3207 -0.2650 -0.2115
 -0.1612 -0.1160 -0.0771 -0.0443 -0.0157  0.0477  0.1039  0.1451  0.1700  0.1786
  0.1729  0.1575  0.1369  0.1147  0.0932  0.0733  0.0549  0.0379  0.0219  0.0062
 -0.0104
 -0.7527 -0.6658 -0.5850 -0.5078 -0.4391 -0.3787 -0.3247 -0.2746 -0.2263 -0.1791
 -0.1332 -0.0899 -0.0506 -0.0169  0.0099  0.0645  0.1173  0.1574  0.1805
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  R   
 -2.6181 -2.4305 -2.2682 -2.1433 -1.9862 -1.8069 -1.5994 -1.3826 -1.1710 -0.9861
 -0.8240 -0.6813 -0.5554 -0.4432 -0.3153 -0.1105
 -2.4290 -2.2381 -2.0436 -1.8495 -1.6637 -1.4841 -1.3069 -1.1312 -0.9667 -0.8233
 -0.6966 -0.5807 -0.4722 -0.3724 -0.2729 -0.0875  0.0491  0.1424  0.2005
 -2.2542 -2.0384 -1.8221 -1.6122 -1.4173 -1.2422 -1.0856 -0.9394 -0.8082 -0.6947
 -0.5946 -0.5012 -0.4096 -0.3214 -0.2398 -0.0710  0.0517  0.1349  0.1867  0.2177
  0.2354
