 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F547M
 -4.9745 -4.4384 -3.9471 -3.5083 -3.1228 -2.7839 -2.4743 -2.1751 -1.9164 -1.7026
 -1.5236 -1.3669 -1.2221 -1.0864 -0.9620 -0.7072 -0.5189 -0.3764 -0.2663 -0.1808
 -0.1131
 -4.5873 -4.0577 -3.6353 -3.2437 -2.8828 -2.5605 -2.2795 -2.0244 -1.7981 -1.6071
 -1.4461 -1.3062 -1.1771 -1.0526 -0.9343 -0.6866 -0.5043 -0.3694 -0.2674 -0.1889
 -0.1267 -0.0752
 -4.2436 -3.7081 -3.2658 -2.9002 -2.5955 -2.3389 -2.1154 -1.9040 -1.7078 -1.5349
 -1.3862 -1.2575 -1.1417 -1.0304 -0.9201 -0.6787 -0.4987 -0.3676 -0.2707 -0.1977
 -0.1405 -0.0930 -0.0521 -0.0164
 -4.1141 -3.5416 -3.0659 -2.6780 -2.3643 -2.1102 -1.9062 -1.7427 -1.6037 -1.4738
 -1.3443 -1.2225 -1.1120 -1.0104 -0.9106 -0.6775 -0.4981 -0.3682 -0.2743 -0.2054
 -0.1531 -0.1102 -0.0729 -0.0398 -0.0101  0.0161  0.0381  0.0523  0.0569  0.0545
 -4.0868 -3.4893 -2.9887 -2.5836 -2.2598 -2.0014 -1.7943 -1.6263 -1.4883 -1.3751
 -1.2798 -1.1878 -1.0913 -0.9944 -0.9007 -0.6791 -0.5002 -0.3696 -0.2768 -0.2107
 -0.1626 -0.1248 -0.0922 -0.0629 -0.0359 -0.0112  0.0103  0.0279  0.0389  0.0388
  0.0303
 -4.0921 -3.4895 -2.9752 -2.5550 -2.2207 -1.9563 -1.7455 -1.5750 -1.4352 -1.3177
 -1.2170 -1.1296 -1.0511 -0.9723 -0.8896 -0.6805 -0.5034 -0.3712 -0.2776 -0.2127
 -0.1648 -0.1349 -0.1079 -0.0835 -0.0607 -0.0390 -0.0192 -0.0005  0.0137  0.0195
  0.0144
 -4.0726 -3.4894 -2.9762 -2.5521 -2.2109 -1.9411 -1.7266 -1.5532 -1.4103 -1.2902
 -1.1865 -1.0946 -1.0113 -0.9353 -0.8632 -0.6768 -0.5049 -0.3715 -0.2762 -0.2109
 -0.1676 -0.1389 -0.1176 -0.0992 -0.0818 -0.0647 -0.0483 -0.0328 -0.0192 -0.0091
 -0.0055
 -4.0206 -3.4719 -2.9827 -2.5632 -2.2202 -1.9460 -1.7279 -1.5512 -1.4051 -1.2816
 -1.1747 -1.0800 -0.9940 -0.9144 -0.8403 -0.6684 -0.5069 -0.3739 -0.2758 -0.2082
 -0.1644 -0.1376 -0.1209 -0.1087 -0.0976 -0.0864 -0.0750 -0.0634 -0.0523 -0.0427
 -0.0335
 -3.9431 -3.4391 -2.9830 -2.5763 -2.2365 -1.9595 -1.7367 -1.5564 -1.4073 -1.2809
 -1.1711 -1.0738 -0.9857 -0.9046 -0.8286 -0.6576 -0.5057 -0.3760 -0.2761 -0.2054
 -0.1594 -0.1323 -0.1180 -0.1107 -0.1060 -0.1014 -0.0962 -0.0901 -0.0833 -0.0765
 -0.0707
 -3.8459 -3.3950 -2.9775 -2.5950 -2.2626 -1.9836 -1.7544 -1.5672 -1.4129 -1.2829
 -1.1704 -1.0710 -0.9814 -0.8992 -0.8281 -0.6444 -0.5013 -0.3778 -0.2771
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = F547M
 -6.2539 -5.8882 -5.5619 -5.2614 -4.9850 -4.6301 -4.0868 -3.3479 -2.6752 -2.1694
 -1.8130 -1.5556 -1.3584 -1.1968 -1.0582 -0.7802 -0.5705 -0.4025 -0.2667
 -5.9145 -5.4958 -5.1251 -4.7917 -4.4715 -4.1155 -3.6399 -3.0278 -2.4722 -2.0345
 -1.7094 -1.4670 -1.2782 -1.1234 -0.9904 -0.7244 -0.5270 -0.3757 -0.2560 -0.1609
 -5.6957 -5.2263 -4.8058 -4.4295 -4.0832 -3.7361 -3.3277 -2.8211 -2.3461 -1.9555
 -1.6526 -1.4200 -1.2364 -1.0853 -0.9556 -0.6960 -0.5052 -0.3625 -0.2521 -0.1651
 -0.0962
 -5.5032 -5.0195 -4.5701 -4.1585 -3.7828 -3.4324 -3.0779 -2.6617 -2.2521 -1.9009
 -1.6181 -1.3948 -1.2159 -1.0677 -0.9404 -0.6845 -0.4962 -0.3575 -0.2528 -0.1714
 -0.1074 -0.0554
 -5.1031 -4.6858 -4.2980 -3.9198 -3.5472 -3.1927 -2.8595 -2.5182 -2.1681 -1.8540
 -1.5915 -1.3786 -1.2053 -1.0606 -0.9357 -0.6829 -0.4948 -0.3574 -0.2559 -0.1786
 -0.1186 -0.0704 -0.0300  0.0048
 -4.7547 -4.2733 -3.8703 -3.5259 -3.2181 -2.9296 -2.6452 -2.3621 -2.0748 -1.8025
 -1.5639 -1.3636 -1.1972 -1.0572 -0.9357 -0.6865 -0.4981 -0.3601 -0.2598 -0.1853
 -0.1288 -0.0845 -0.0477 -0.0158  0.0122  0.0364  0.0557  0.0681  0.0713  0.0688
 -4.6257 -4.0781 -3.6116 -3.2205 -2.8910 -2.6051 -2.3508 -2.1224 -1.9089 -1.7074
 -1.5171 -1.3424 -1.1873 -1.0533 -0.9360 -0.6921 -0.5038 -0.3642 -0.2636 -0.1907
 -0.1370 -0.0964 -0.0639 -0.0358 -0.0107  0.0118  0.0312  0.0463  0.0549  0.0538
  0.0459
 -4.6347 -4.0390 -3.5200 -3.0814 -2.7159 -2.4115 -2.1536 -1.9303 -1.7323 -1.5572
 -1.4078 -1.2792 -1.1599 -1.0442 -0.9344 -0.6981 -0.5107 -0.3691 -0.2669 -0.1941
 -0.1423 -0.1051 -0.0770 -0.0537 -0.0327 -0.0132  0.0042  0.0192  0.0297  0.0356
  0.0315
 -4.6968 -4.0772 -3.5230 -3.0449 -2.6451 -2.3164 -2.0464 -1.8215 -1.6305 -1.4655
 -1.3222 -1.1996 -1.0958 -1.0046 -0.9165 -0.7003 -0.5156 -0.3730 -0.2685 -0.1948
 -0.1440 -0.1092 -0.0853 -0.0671 -0.0513 -0.0363 -0.0223 -0.0094  0.0016  0.0092
  0.0109
 -4.7563 -4.1452 -3.5771 -3.0752 -2.6479 -2.2948 -2.0075 -1.7738 -1.5810 -1.4193
 -1.2810 -1.1612 -1.0567 -0.9652 -0.8840 -0.6978 -0.5218 -0.3788 -0.2717 -0.1955
 -0.1438 -0.1101 -0.0891 -0.0757 -0.0654 -0.0560 -0.0468 -0.0376 -0.0290 -0.0220
 -0.0178
