 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F390M
 -7.7569 -7.1687 -6.6414 -6.1589 -5.7207 -5.3248 -4.9692 -4.6496 -4.3608 -4.0984
 -3.8574 -3.6346 -3.4280 -3.2375 -3.0593 -2.6113 -2.1926 -1.8412 -1.5450 -1.2911
 -1.0868 -0.9328 -0.8161 -0.7231 -0.6454 -0.5783 -0.5197 -0.4681 -0.4226 -0.3829
 -0.3513
 -8.2825 -7.6703 -7.1023 -6.5758 -6.0891 -5.6421 -5.2355 -4.8687 -4.5386 -4.2405
 -3.9688 -3.7190 -3.4879 -3.2744 -3.0773 -2.6282 -2.2287 -1.8761 -1.5803 -1.3279
 -1.1201 -0.9616 -0.8446 -0.7561 -0.6854 -0.6263 -0.5758 -0.5319 -0.4936 -0.4604
 -0.4299
 -8.7801 -8.1708 -7.5799 -7.0232 -6.5001 -6.0117 -5.5609 -5.1481 -4.7747 -4.4377
 -4.1330 -3.8552 -3.5996 -3.3631 -3.1438 -2.6602 -2.2633 -1.9160 -1.6174 -1.3650
 -1.1546 -0.9901 -0.8687 -0.7806 -0.7148 -0.6632 -0.6211 -0.5855 -0.5549 -0.5288
 -0.5069
 -9.2411 -8.6318 -8.0423 -7.4726 -6.9271 -6.4106 -5.9264 -5.4767 -5.0634 -4.6873
 -4.3468 -4.0380 -3.7562 -3.4965 -3.2588 -2.7073 -2.2964 -1.9609 -1.6563
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F390M
 -6.9206 -6.9158 -6.9212 -6.9310 -6.9398 -6.9358 -6.9094 -6.8557 -6.7633 -6.6219
 -6.4255 -6.1800 -5.9009 -5.6086 -5.3148 -4.5961
 -6.2703 -6.2826 -6.2997 -6.3147 -6.3223 -6.3149 -6.2853 -6.2273 -6.1329 -5.9930
 -5.8002 -5.5547 -5.2721 -4.9796 -4.6936 -4.0212 -3.3633 -2.7002 -2.1101
 -5.7796 -5.7673 -5.7688 -5.7735 -5.7727 -5.7587 -5.7246 -5.6638 -5.5704 -5.4371
 -5.2566 -5.0253 -4.7537 -4.4692 -4.1935 -3.5647 -2.9826 -2.4206 -1.9156 -1.5051
 -1.1945
 -5.4485 -5.3699 -5.3285 -5.3074 -5.2910 -5.2673 -5.2273 -5.1652 -5.0758 -4.9542
 -4.7947 -4.5918 -4.3457 -4.0774 -3.8145 -3.2266 -2.7060 -2.2183 -1.7788 -1.4134
 -1.1228 -0.8888 -0.6946
 -5.3970 -5.2188 -5.0801 -4.9929 -4.9320 -4.8856 -4.8352 -4.7694 -4.6828 -4.5716
 -4.4312 -4.2573 -4.0444 -3.7986 -3.5483 -2.9904 -2.5140 -2.0795 -1.6877 -1.3566
 -1.0910 -0.8778 -0.7017 -0.5524 -0.4205
 -5.5549 -5.2832 -5.0655 -4.8942 -4.7625 -4.6645 -4.5895 -4.5112 -4.4178 -4.3061
 -4.1739 -4.0187 -3.8354 -3.6173 -3.3797 -2.8387 -2.3897 -1.9919 -1.6339 -1.3279
 -1.0801 -0.8827 -0.7210 -0.5841 -0.4647 -0.3585
 -5.8182 -5.4861 -5.1997 -4.9564 -4.7547 -4.5892 -4.4584 -4.3574 -4.2652 -4.1603
 -4.0289 -3.8753 -3.7043 -3.5114 -3.2903 -2.7549 -2.3179 -1.9437 -1.6093 -1.3214
 -1.0860 -0.8992 -0.7484 -0.6222 -0.5130 -0.4166 -0.3311 -0.2524 -0.1793 -0.1200
 -6.1805 -5.7794 -5.4332 -5.1334 -4.8744 -4.6531 -4.4653 -4.3044 -4.1643 -4.0407
 -3.9249 -3.7958 -3.6389 -3.4590 -3.2581 -2.7255 -2.2871 -1.9249 -1.6070 -1.3315
 -1.1043 -0.9243 -0.7813 -0.6635 -0.5629 -0.4750 -0.3975 -0.3287 -0.2674 -0.2135
 -0.1696
 -6.6850 -6.1912 -5.7673 -5.4021 -5.0854 -4.8095 -4.5687 -4.3585 -4.1731 -4.0060
 -3.8518 -3.7082 -3.5699 -3.4206 -3.2474 -2.7404 -2.2892 -1.9286 -1.6205 -1.3537
 -1.1446 -0.9548 -0.8167 -0.7056 -0.6126 -0.5323 -0.4623 -0.4002 -0.3461 -0.3008
 -0.2647
 -7.3383 -6.7409 -6.2223 -5.7752 -5.3876 -5.0491 -4.7521 -4.4906 -4.2585 -4.0506
 -3.8607 -3.6842 -3.5188 -3.3638 -3.2108 -2.7685 -2.3159 -1.9473 -1.6428 -1.3813
 -1.1617 -0.9858 -0.8501 -0.7442 -0.6580 -0.5853 -0.5229 -0.4686 -0.4215 -0.3812
 -0.3484
 -8.0794 -7.4060 -6.8024 -6.2708 -5.8015 -5.3888 -5.0255 -4.7060 -4.4226 -4.1700
 -3.9422 -3.7336 -3.5401 -3.3595 -3.1907 -2.7812 -2.3655 -1.9879 -1.6795 -1.4192
 -1.1994 -1.0210 -0.8838 -0.7802 -0.6993 -0.6334 -0.5784 -0.5315 -0.4915 -0.4575
 -0.4271
 -8.8322 -8.1186 -7.4592 -6.8533 -6.3100 -5.8223 -5.3879 -5.0022 -4.6608 -4.3582
 -4.0879 -3.8438 -3.6206 -3.4144 -3.2226 -2.7897 -2.4033 -2.0401 -1.7250 -1.4620
 -1.2400 -1.0572 -0.9151 -0.8099 -0.7321 -0.6722 -0.6245 -0.5852 -0.5525 -0.5254
 -0.5032
 -9.5334 -8.8137 -8.1280 -7.4777 -6.8764 -6.3264 -5.8271 -5.3764 -4.9733 -4.6152
 -4.2969 -4.0130 -3.7569 -3.5229 -3.3065 -2.7940 -2.4293 -2.1039 -1.7793
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = F390M
 -6.8364 -6.8645 -6.8882 -6.9027 -6.9076 -6.8905 -6.8414 -6.7601 -6.6098 -6.4992
 -6.3337 -6.1478 -5.9396 -5.7058 -5.4552 -4.8125
 -6.2097 -6.2441 -6.2727 -6.2916 -6.2982 -6.2860 -6.2485 -6.1807 -6.0796 -5.9446
 -5.7784 -5.5819 -5.3581 -5.1145 -4.8621 -4.2422 -3.6440 -3.0299 -2.4272
 -5.6739 -5.7028 -5.7290 -5.7478 -5.7548 -5.7460 -5.7166 -5.6601 -5.5727 -5.4512
 -5.2938 -5.1009 -4.8767 -4.6334 -4.3845 -3.7897 -3.2371 -2.7052 -2.1969 -1.7494
 -1.3827
