 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F350LP
 -0.7487 -0.7088 -0.6712 -0.6350 -0.5997 -0.5112 -0.4292 -0.3607 -0.3084 -0.2729
 -0.2518 -0.2405 -0.2351 -0.2324 -0.2305 -0.2285 -0.2263 -0.2238 -0.2212 -0.2195
 -0.2187
 -1.0192 -0.9929 -0.9655 -0.9383 -0.9124 -0.8870 -0.8601 -0.8301 -0.7966 -0.7602
 -0.7221 -0.6842 -0.6478 -0.6132 -0.5798 -0.4977 -0.4195 -0.3538 -0.3029 -0.2670
 -0.2450 -0.2341 -0.2309 -0.2323 -0.2357 -0.2393 -0.2427 -0.2452 -0.2471 -0.2488
 -0.2511
 -0.9036 -0.8870 -0.8713 -0.8510 -0.8317 -0.8129 -0.7934 -0.7721 -0.7475 -0.7196
 -0.6885 -0.6554 -0.6219 -0.5892 -0.5601 -0.4857 -0.4103 -0.3465 -0.2974
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F350LP
 -2.1025 -2.0370 -1.9874 -1.9551 -1.9077 -1.8463 -1.7625 -1.6617 -1.5493 -1.4369
 -1.3255 -1.2163 -1.1130 -1.0163 -0.9127 -0.7162
 -1.9494 -1.8811 -1.8192 -1.7597 -1.7012 -1.6393 -1.5693 -1.4889 -1.4023 -1.3154
 -1.2269 -1.1351 -1.0412 -0.9501 -0.8606 -0.6765 -0.5274 -0.4079 -0.3155
 -1.8399 -1.7529 -1.6756 -1.6047 -1.5382 -1.4750 -1.4129 -1.3468 -1.2788 -1.2110
 -1.1411 -1.0657 -0.9832 -0.8987 -0.8183 -0.6447 -0.5067 -0.3976 -0.3129 -0.2473
 -0.1955
 -1.7740 -1.6524 -1.5566 -1.4901 -1.4187 -1.3534 -1.2933 -1.2354 -1.1788 -1.1237
 -1.0681 -1.0081 -0.9390 -0.8621 -0.7858 -0.6208 -0.4914 -0.3905 -0.3125 -0.2523
 -0.2042 -0.1661 -0.1344
 -1.7455 -1.5987 -1.4816 -1.3904 -1.3181 -1.2582 -1.2052 -1.1543 -1.1023 -1.0520
 -1.0036 -0.9548 -0.9003 -0.8343 -0.7631 -0.6048 -0.4815 -0.3866 -0.3143 -0.2590
 -0.2155 -0.1798 -0.1499 -0.1243 -0.1030
 -1.7415 -1.5961 -1.4602 -1.3476 -1.2572 -1.1847 -1.1260 -1.0778 -1.0375 -0.9998
 -0.9547 -0.9084 -0.8617 -0.8090 -0.7457 -0.5942 -0.4752 -0.3847 -0.3171 -0.2664
 -0.2268 -0.1946 -0.1674 -0.1440 -0.1237 -0.1067
