 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  J   
  1.6836  1.6470  1.6188  1.5978  1.5805  1.5359  1.4812  1.4167  1.3439  1.2646
  1.1809  1.0951
  2.1957  2.1738  2.1377  2.0909  2.0365  1.9782  1.9188  1.8598  1.8026  1.7490
  1.7004  1.6581  1.6234  1.5966  1.5756  1.5273  1.4708  1.4054  1.3324  1.2538
  1.1712  1.0866  1.0016  0.9165
  2.1411  2.1244  2.1042  2.0761  2.0376  1.9890  1.9341  1.8777  1.8227  1.7699
  1.7203  1.6749  1.6350  1.6019  1.5759  1.5225  1.4642  1.3978  1.3244  1.2457
  1.1635  1.0793  0.9949  0.9109  0.8272  0.7434  0.6588  0.5729  0.4858  0.4013
  2.1154  2.0909  2.0667  2.0412  2.0118  1.9765  1.9345  1.8857  1.8321  1.7797
  1.7320  1.6886  1.6489  1.6129  1.5817  1.5211  1.4608  1.3932  1.3192  1.2403
  1.1580  1.0737  0.9891  0.9053  0.8224  0.7400  0.6578  0.5751  0.4913  0.4061
  0.3230
  2.1120  2.0808  2.0498  2.0192  1.9884  1.9556  1.9194  1.8790  1.8347  1.7878
  1.7407  1.6963  1.6570  1.6223  1.5907  1.5230  1.4600  1.3912  1.3166  1.2374
  1.1548  1.0700  0.9847  0.9002  0.8172  0.7355  0.6544  0.5738  0.4927  0.4111
  0.3270
  2.1201  2.0851  2.0487  2.0126  1.9770  1.9418  1.9061  1.8688  1.8292  1.7877
  1.7457  1.7047  1.6659  1.6302  1.5982  1.5281  1.4614  1.3909  1.3154  1.2357
  1.1527  1.0673  0.9809  0.8951  0.8111  0.7289  0.6481  0.5684  0.4892  0.4099
  0.3297
  2.1360  2.0973  2.0581  2.0179  1.9781  1.9391  1.9010  1.8636  1.8260  1.7877
  1.7491  1.7108  1.6740  1.6393  1.6069  1.5352  1.4663  1.3938  1.3174  1.2374
  1.1543  1.0686  0.9813  0.8941  0.8085  0.7251  0.6437  0.5641  0.4857  0.4080
  0.3304
  2.1571  2.1153  2.0731  2.0306  1.9881  1.9458  1.9047  1.8652  1.8271  1.7899
  1.7532  1.7168  1.6812  1.6471  1.6148  1.5414  1.4727  1.3989  1.3213  1.2408
  1.1576  1.0718  0.9841  0.8957  0.8084  0.7233  0.6405  0.5600  0.4813  0.4041
  0.3278
  2.1813  2.1381  2.0939  2.0494  2.0051  1.9608  1.9172  1.8752  1.8351  1.7969
  1.7602  1.7245  1.6897  1.6557  1.6219  1.5467  1.4806  1.4062  1.3271
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  J   
  2.1837  2.1270  2.0690  2.0112  1.9550  1.9015  1.8513  1.8052  1.7638  1.7285
  1.7002  1.6787  1.6625  1.6493  1.6368  1.5998  1.5499  1.4866  1.4110
  2.2108  2.1543  2.0947  2.0342  1.9742  1.9163  1.8613  1.8101  1.7634  1.7225
  1.6888  1.6625  1.6427  1.6269  1.6126  1.5725  1.5211  1.4582  1.3849  1.3029
  2.2340  2.1803  2.1220  2.0614  2.0001  1.9397  1.8814  1.8258  1.7744  1.7283
  1.6890  1.6571  1.6326  1.6135  1.5971  1.5540  1.5009  1.4375  1.3652  1.2856
  1.2009
  2.2511  2.2022  2.1473  2.0886  2.0280  1.9670  1.9068  1.8485  1.7933  1.7427
