 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  g   
 -2.1442 -2.0020 -1.8655 -1.7326 -1.6029 -1.3080 -1.0595 -0.8457 -0.6723
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  g   
 -5.6277 -5.2218 -4.7462 -4.3139 -3.9251 -3.5955 -3.3325 -3.1016 -2.8869 -2.6825
 -2.4902 -2.3102 -2.1442 -1.9926 -1.8542 -1.5503 -1.2785 -1.0222 -0.7849
 -5.0858 -4.9622 -4.6391 -4.2280 -3.8414 -3.4928 -3.2091 -2.9694 -2.7515 -2.5464
 -2.3530 -2.1719 -2.0050 -1.8533 -1.7160 -1.4234 -1.1723 -0.9436 -0.7358 -0.5545
 -4.7621 -4.4916 -4.3834 -4.1623 -3.8079 -3.4607 -3.1503 -2.8947 -2.6728 -2.4675
 -2.2741 -2.0921 -1.9233 -1.7694 -1.6305 -1.3398 -1.0999 -0.8892 -0.7019 -0.5381
 -0.3993
 -4.6550 -4.2930 -4.0240 -3.8735 -3.7390 -3.4580 -3.1478 -2.8688 -2.6356 -2.4285
 -2.2357 -2.0532 -1.8825 -1.7255 -1.5833 -1.2883 -1.0529 -0.8531 -0.6801 -0.5299
 -0.4018 -0.2929
 -4.6002 -4.2303 -3.9072 -3.6478 -3.4557 -3.3256 -3.1471 -2.8863 -2.6340 -2.4178
 -2.2246 -2.0424 -1.8701 -1.7101 -1.5639 -1.2604 -1.0241 -0.8302 -0.6667 -0.5271
 -0.4082 -0.3068 -0.2192 -0.1419
 -4.5671 -4.2061 -3.8742 -3.5827 -3.3380 -3.1335 -2.9693 -2.8320 -2.6519 -2.4331
 -2.2326 -2.0504 -1.8773 -1.7147 -1.5644 -1.2499 -1.0084 -0.8165 -0.6591 -0.5273
 -0.4164 -0.3220 -0.2407 -0.1689 -0.1044 -0.0457  0.0080  0.0552  0.0936  0.1186
 -4.5472 -4.1984 -3.8697 -3.5696 -3.3054 -3.0775 -2.8779 -2.7011 -2.5503 -2.4110
 -2.2468 -2.0702 -1.8977 -1.7336 -1.5798 -1.2531 -1.0031 -0.8093 -0.6548 -0.5288
 -0.4244 -0.3367 -0.2618 -0.1958 -0.1362 -0.0818 -0.0326  0.0123  0.0524  0.0837
  0.0982
 -4.5327 -4.1996 -3.8782 -3.5778 -3.3050 -3.0648 -2.8541 -2.6649 -2.4916 -2.3339
 -2.1934 -2.0591 -1.9138 -1.7589 -1.6056 -1.2677 -1.0067 -0.8076 -0.6533 -0.5303
 -0.4308 -0.3490 -0.2803 -0.2206 -0.1670 -0.1177 -0.0711 -0.0284  0.0086  0.0387
  0.0610
 -4.5246 -4.2003 -3.8893 -3.5928 -3.3176 -3.0695 -2.8499 -2.6550 -2.4775 -2.3119
 -2.1575 -2.0157 -1.8843 -1.7552 -1.6210 -1.2892 -1.0164 -0.8093 -0.6523 -0.5303
 -0.4339 -0.3567 -0.2937 -0.2406 -0.1936 -0.1505 -0.1105 -0.0732 -0.0390 -0.0093
  0.0160
 -4.5250 -4.2052 -3.9056 -3.6169 -3.3431 -3.0905 -2.8634 -2.6613 -2.4804 -2.3140
 -2.1574 -2.0095 -1.8703 -1.7391 -1.6147 -1.3145 -1.0382 -0.8200 -0.6569 -0.5329
 -0.4370 -0.3622 -0.3034 -0.2560 -0.2157 -0.1794 -0.1459 -0.1142 -0.0845 -0.0573
 -0.0335
 -4.5359 -4.2078 -3.9166 -3.6390 -3.3723 -3.1200 -2.8875 -2.6781 -2.4909 -2.3219
 -2.1658 -2.0183 -1.8774 -1.7425 -1.6140 -1.3255 -1.0643 -0.8385 -0.6658 -0.5371
 -0.4396 -0.3651 -0.3085 -0.2652 -0.2308 -0.2015 -0.1750 -0.1501 -0.1263 -0.1039
 -0.0827
 -4.5641 -4.2122 -3.9192 -3.6520 -3.3962 -3.1505 -2.9183 -2.7037 -2.5095 -2.3348
 -2.1764 -2.0298 -1.8908 -1.7570 -1.6276 -1.3337 -1.0832 -0.8622 -0.6805
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  g   
 -5.5608 -5.0566 -4.5735 -4.1595 -3.8028 -3.4881 -3.2290 -2.9988 -2.7906 -2.5950
 -2.4112 -2.2394 -2.0806 -1.9352 -1.8026 -1.5141 -1.2604 -1.0217 -0.7937
 -5.2105 -4.9626 -4.5353 -4.1069 -3.7316 -3.4015 -3.1271 -2.8916 -2.6780 -2.4814
 -2.2963 -2.1232 -1.9630 -1.8168 -1.6841 -1.4027 -1.1638 -0.9459 -0.7449 -0.5649
 -4.7749 -4.6202 -4.4632 -4.1045 -3.7212 -3.3781 -3.0815 -2.8340 -2.6167 -2.4186
 -2.2331 -2.0589 -1.8968 -1.7480 -1.6131 -1.3305 -1.0987 -0.8941 -0.7101 -0.5465
 -0.4054
 -4.6572 -4.3107 -4.1155 -4.0097 -3.7377 -3.3985 -3.0866 -2.8176 -2.5913 -2.3908
 -2.2051 -2.0302 -1.8662 -1.7145 -1.5760 -1.2869 -1.0565 -0.8597 -0.6873 -0.5362
 -0.4056 -0.2939
 -4.6307 -4.2419 -3.9243 -3.7011 -3.5721 -3.4058 -3.1238 -2.8417 -2.5961 -2.3879
 -2.2011 -2.0258 -1.8604 -1.7058 -1.5633 -1.2643 -1.0308 -0.8377 -0.6729 -0.5313
 -0.4096 -0.3054 -0.2154 -0.1367
 -4.6331 -4.2399 -3.8900 -3.5977 -3.3685 -3.1970 -3.0638 -2.8756 -2.6332 -2.4072
 -2.2137 -2.0379 -1.8715 -1.7146 -1.5684 -1.2578 -1.0174 -0.8245 -0.6645 -0.5297
 -0.4155 -0.3182 -0.2343 -0.1608 -0.0950 -0.0360  0.0169  0.0643  0.1039  0.1271
 -4.6540 -4.2628 -3.9046 -3.5881 -3.3189 -3.0967 -2.9096 -2.7544 -2.6142 -2.4405
 -2.2416 -2.0615 -1.8946 -1.7362 -1.5868 -1.2643 -1.0142 -0.8181 -0.6600 -0.5299
 -0.4217 -0.3307 -0.2529 -0.1851 -0.1248 -0.0703 -0.0207  0.0237  0.0626  0.0935
  0.1083
 -4.6827 -4.3001 -3.9408 -3.6134 -3.3249 -3.0781 -2.8682 -2.6834 -2.5188 -2.3737
 -2.2363 -2.0839 -1.9243 -1.7665 -1.6155 -1.2820 -1.0200 -0.8175 -0.6587 -0.5310
 -0.4272 -0.3414 -0.2696 -0.2078 -0.1532 -0.1038 -0.0590 -0.0185  0.0181  0.0497
  0.0719
 -4.7172 -4.3390 -3.9844 -3.6536 -3.3545 -3.0914 -2.8647 -2.6679 -2.4916 -2.3298
 -2.1820 -2.0474 -1.9188 -1.7845 -1.6438 -1.3064 -1.0322 -0.8209 -0.6585 -0.5312
 -0.4299 -0.3484 -0.2818 -0.2261 -0.1778 -0.1345 -0.0949 -0.0585 -0.0255  0.0037
  0.0275
 -4.7565 -4.3852 -4.0375 -3.7081 -3.4033 -3.1292 -2.8882 -2.6786 -2.4945 -2.3277
 -2.1729 -2.0287 -1.8953 -1.7703 -1.6484 -1.3388 -1.0562 -0.8338 -0.6646 -0.5347
 -0.4335 -0.3540 -0.2912 -0.2407 -0.1986 -0.1618 -0.1285 -0.0976 -0.0690 -0.0433
 -0.0207
 -4.8000 -4.4252 -4.0867 -3.7652 -3.4611 -3.1807 -2.9286 -2.7064 -2.5116 -2.3387
 -2.1812 -2.0343 -1.8960 -1.7657 -1.6420 -1.3560 -1.0867 -0.8543 -0.6755 -0.5403
 -0.4371 -0.3577 -0.2968 -0.2500 -0.2132 -0.1828 -0.1562 -0.1319 -0.1091 -0.0880
 -0.0677
 -4.8564 -4.4613 -4.1251 -3.8142 -3.5183 -3.2390 -2.9809 -2.7483 -2.5420 -2.3599
 -2.1971 -2.0483 -1.9092 -1.7771 -1.6507 -1.3626 -1.1099 -0.8816 -0.6927
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  g   
 -5.4172 -4.8825 -4.4145 -4.0281 -3.6965 -3.4009 -3.1500 -2.9176 -2.7100 -2.5243
 -2.3478 -2.1828 -2.0302 -1.8902 -1.7623 -1.4856 -1.2459 -1.0211 -0.8051
 -5.1213 -4.8855 -4.4177 -3.9953 -3.6347 -3.3235 -3.0611 -2.8281 -2.6181 -2.4291
 -2.2512 -2.0849 -1.9309 -1.7897 -1.6611 -1.3883 -1.1592 -0.9504 -0.7553 -0.5770
 -4.8532 -4.7552 -4.4370 -4.0237 -3.6391 -3.3030 -3.0227 -2.7820 -2.5696 -2.3783
 -2.1998 -2.0325 -1.8767 -1.7330 -1.6019 -1.3262 -1.1011 -0.9019 -0.7205 -0.5571
 -0.4136
 -4.6536 -4.3670 -4.2694 -4.0447 -3.6843 -3.3355 -3.0300 -2.7726 -2.5528 -2.3579
 -2.1789 -2.0108 -1.8533 -1.7068 -1.5723 -1.2890 -1.0632 -0.8695 -0.6973 -0.5447
 -0.4116 -0.2969
 -4.6393 -4.2450 -3.9606 -3.8169 -3.6813 -3.3890 -3.0768 -2.7978 -2.5622 -2.3599
 -2.1790 -2.0102 -1.8512 -1.7023 -1.5640 -1.2706 -1.0400 -0.8484 -0.6824 -0.5380
 -0.4132 -0.3058 -0.2130 -0.1323
