 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  u   
 -5.3741 -5.1566 -4.9569 -4.7723 -4.5992 -4.1988 -3.7391 -3.2276 -2.7589 -2.3466
 -1.9946 -1.7041 -1.4741 -1.3023 -1.1842 -1.1103 -1.0682 -1.0470 -1.0390 -1.0390
 -1.0430
-13.1068-11.9693-10.8407 -9.7644 -8.7780 -7.9062 -7.1653 -6.5584 -6.0759 -5.6965
 -5.3934 -5.1412 -4.9194 -4.7160 -4.5255 -4.1069 -3.7286 -3.3026 -2.8440
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  u   
-12.4460-11.6372-10.8151 -9.8602 -8.8869 -8.1665 -7.7239 -7.3994 -7.1330 -6.9057
 -6.6836 -6.4637 -6.2469 -6.0311 -5.8148 -5.2605 -4.6961 -4.1269 -3.5552
-11.4185-10.9716-10.4234 -9.7576 -8.8825 -8.0619 -7.5265 -7.1465 -6.8513 -6.6035
 -6.3680 -6.1406 -5.9189 -5.7003 -5.4818 -4.9302 -4.3697 -3.8198 -3.3072 -2.8479
-10.5602-10.2629 -9.8916 -9.4889 -8.9079 -8.1139 -7.4464 -6.9899 -6.6528 -6.3792
 -6.1303 -5.8943 -5.6677 -5.4470 -5.2290 -4.6853 -4.1387 -3.6076 -3.1218 -2.6987
 -2.3465
 -9.9058 -9.4472 -9.2945 -9.0441 -8.7260 -8.2105 -7.5176 -6.9449 -6.5406 -6.2294
 -5.9641 -5.7170 -5.4831 -5.2583 -5.0393 -4.5026 -3.9695 -3.4528 -2.9837 -2.5814
 -2.2492 -1.9894
 -9.6298 -8.8954 -8.5819 -8.4941 -8.3309 -8.0721 -7.6281 -7.0303 -6.5239 -6.1549
 -5.8629 -5.6023 -5.3584 -5.1270 -4.9042 -4.3693 -3.8465 -3.3415 -2.8830 -2.4920
 -2.1713 -1.9191 -1.7346 -1.6033
 -9.8423 -8.8486 -8.2179 -7.8915 -7.7817 -7.6915 -7.4901 -7.1284 -6.6200 -6.1641
 -5.8211 -5.5427 -5.2876 -5.0478 -4.8192 -4.2797 -3.7627 -3.2661 -2.8139 -2.4277
 -2.1117 -1.8620 -1.6765 -1.5473 -1.4580 -1.3925 -1.3421 -1.3000 -1.2591 -1.2155
-10.3219 -9.1044 -8.2339 -7.6667 -7.3307 -7.1602 -7.0746 -6.9450 -6.6775 -6.2678
 -5.8516 -5.5314 -5.2632 -5.0145 -4.7794 -4.2317 -3.7159 -3.2238 -2.7743 -2.3877
 -2.0701 -1.8179 -1.6278 -1.4941 -1.4046 -1.3438 -1.3001 -1.2666 -1.2384 -1.2108
 -1.1788
-10.9647 -9.6107 -8.5226 -7.7384 -7.2094 -6.8666 -6.6480 -6.5067 -6.3931 -6.2266
 -5.9421 -5.5775 -5.2771 -5.0192 -4.7777 -4.2211 -3.7039 -3.2133 -2.7633 -2.3723
 -2.0478 -1.7883 -1.5894 -1.4472 -1.3525 -1.2915 -1.2516 -1.2235 -1.2028 -1.1859
 -1.1688
-11.7609-10.2587 -9.0299 -8.0478 -7.3257 -6.8211 -6.4739 -6.2272 -6.0397 -5.8871
 -5.7447 -5.5699 -5.3133 -5.0471 -4.8009 -4.2377 -3.7182 -3.2277 -2.7750 -2.3769
 -2.0425 -1.7714 -1.5609 -1.4069 -1.3031 -1.2377 -1.1980 -1.1736 -1.1579 -1.1471
 -1.1390
-12.3915-10.9471 -9.6781 -8.5680 -7.6710 -6.9927 -6.5019 -6.1485 -5.8847 -5.6720
 -5.4892 -5.3273 -5.1756 -5.0022 -4.8096 -4.2815 -3.7623 -3.2738 -2.8199 -2.4139
 -2.0661 -1.7795 -1.5528 -1.3824 -1.2640 -1.1883 -1.1436 -1.1186 -1.1055 -1.0992
 -1.0964
-12.8719-11.5646-10.3406 -9.1930 -8.1867 -7.3617 -6.7191 -6.2369 -5.8774 -5.6009
 -5.3747 -5.1776 -5.0009 -4.8412 -4.6849 -4.2908 -3.8213 -3.3368 -2.8843 -2.4732
 -2.1129 -1.8095 -1.5644 -1.3751 -1.2380 -1.1470 -1.0920 -1.0618 -1.0476 -1.0430
 -1.0435
-13.2021-12.1111-10.9268 -9.8188 -8.7790 -7.8698 -7.1054 -6.4942 -6.0201 -5.6543
 -5.3672 -5.1314 -4.9266 -4.7427 -4.4268 -4.2656 -3.8952 -3.4167 -2.9682
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  u   
-12.6561-11.6108-10.5688 -9.5311 -8.5979 -7.9785 -7.5853 -7.3082 -7.0749 -6.8755
 -6.6772 -6.4794 -6.2817 -6.0835 -5.8832 -5.3636 -4.8276 -4.2814 -3.7280
-11.7421-11.1017-10.4178 -9.5236 -8.5849 -7.8405 -7.3629 -7.0407 -6.7838 -6.5695
 -6.3635 -6.1624 -5.9643 -5.7669 -5.5673 -5.0548 -4.5221 -3.9889 -3.4835 -3.0228
-10.6470-10.4617-10.0762 -9.4745 -8.6907 -7.8592 -7.2559 -6.8608 -6.5669 -6.3323
 -6.1169 -5.9116 -5.7126 -5.5166 -5.3206 -4.8215 -4.3043 -3.7870 -3.3021 -2.8723
 -2.5056
