 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  r   
  0.0348  0.0393  0.0385  0.0356  0.0314  0.0257  0.0193  0.0103 -0.0039 -0.0252
 -0.0547
 -2.3086 -2.0466 -1.8069 -1.5840 -1.3825 -1.2043 -1.0473 -0.9091 -0.7877 -0.6817
 -0.5909 -0.5155 -0.4554 -0.4029 -0.3512 -0.2275 -0.1309 -0.0585 -0.0078  0.0235
  0.0378  0.0395  0.0342  0.0265  0.0182  0.0094 -0.0004 -0.0111 -0.0238 -0.0406
 -0.0615
 -2.3688 -2.0914 -1.8516 -1.6285 -1.4211 -1.2344 -1.0698 -0.9248 -0.7969 -0.6843
 -0.5861 -0.5019 -0.4317 -0.3739 -0.3244 -0.2156 -0.1220 -0.0515 -0.0012  0.0303
  0.0446  0.0448  0.0357  0.0229  0.0094 -0.0039 -0.0171 -0.0303 -0.0441 -0.0593
 -0.0773
 -2.4628 -2.1502 -1.9019 -1.6798 -1.4727 -1.2798 -1.1061 -0.9529 -0.8182 -0.6992
 -0.5947 -0.5040 -0.4267 -0.3623 -0.3082 -0.2005 -0.1118 -0.0417  0.0077  0.0394
  0.0543  0.0543  0.0430  0.0257  0.0067 -0.0120 -0.0300 -0.0472 -0.0638 -0.0806
 -0.0979
 -2.6066 -2.2345 -1.9622 -1.7353 -1.5296 -1.3367 -1.1572 -0.9948 -0.8514 -0.7250
 -0.6138 -0.5164 -0.4324 -0.3612 -0.3017 -0.1882 -0.1015 -0.0318  0.0182
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  r   
 -2.9410 -2.6010 -2.2682 -1.9781 -1.7220 -1.4943 -1.3163 -1.1680 -1.0407 -0.9231
 -0.8143 -0.7127 -0.6178 -0.5294 -0.4476 -0.2724 -0.1393 -0.0401  0.0307
 -2.6957 -2.5451 -2.2516 -1.9536 -1.6922 -1.4603 -1.2733 -1.1219 -0.9917 -0.8762
 -0.7698 -0.6711 -0.5792 -0.4940 -0.4155 -0.2506 -0.1277 -0.0385  0.0254  0.0699
 -2.3749 -2.2924 -2.2035 -1.9551 -1.6889 -1.4542 -1.2542 -1.0939 -0.9608 -0.8455
 -0.7414 -0.6453 -0.5562 -0.4739 -0.3983 -0.2406 -0.1238 -0.0396  0.0199  0.0609
  0.0877
 -2.2915 -2.0591 -1.9371 -1.8825 -1.6980 -1.4649 -1.2567 -1.0822 -0.9418 -0.8246
 -0.7217 -0.6278 -0.5412 -0.4615 -0.3885 -0.2364 -0.1238 -0.0427  0.0140  0.0526
  0.0772  0.0927
 -2.2802 -2.0103 -1.7924 -1.6419 -1.5642 -1.4611 -1.2724 -1.0886 -0.9347 -0.8107
 -0.7069 -0.6144 -0.5298 -0.4524 -0.3816 -0.2346 -0.1254 -0.0464  0.0087  0.0453
  0.0680  0.0816  0.0898  0.0939
 -2.2978 -2.0144 -1.7693 -1.5654 -1.4058 -1.2910 -1.2110 -1.0958 -0.9432 -0.8060
 -0.6958 -0.6032 -0.5199 -0.4442 -0.3754 -0.2328 -0.1266 -0.0492  0.0045  0.0398
  0.0607  0.0721  0.0781  0.0806  0.0802  0.0755  0.0649  0.0470  0.0228 -0.0028
 -2.3371 -2.0442 -1.7852 -1.5611 -1.3716 -1.2146 -1.0856 -0.9857 -0.9045 -0.8059
 -0.6914 -0.5938 -0.5106 -0.4361 -0.3687 -0.2299 -0.1265 -0.0506  0.0025  0.0367
