 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -1.6168 -1.4639 -1.2597 -1.0707 -0.8946 -0.7429 -0.6303 -0.5394 -0.4569 -0.3749
 -0.2987 -0.2268 -0.1589 -0.0947 -0.0341  0.0990  0.1985  0.2587  0.2814
 -1.3474 -1.3500 -1.2307 -1.0535 -0.8853 -0.7312 -0.6098 -0.5143 -0.4311 -0.3522
 -0.2795 -0.2111 -0.1465 -0.0854 -0.0278  0.0969  0.1874  0.2411  0.2614  0.2582
 -1.1717 -1.0883 -1.0893 -1.0237 -0.8773 -0.7308 -0.5998 -0.4966 -0.4119 -0.3352
 -0.2655 -0.2004 -0.1390 -0.0809 -0.0261  0.0920  0.1765  0.2261  0.2456  0.2429
  0.2269
 -1.0979 -0.9684 -0.8736 -0.8424 -0.8243 -0.7228 -0.5983 -0.4863 -0.3969 -0.3206
 -0.2531 -0.1909 -0.1325 -0.0773 -0.0253  0.0872  0.1673  0.2140  0.2328  0.2305
  0.2150  0.1925
 -1.0399 -0.9124 -0.7938 -0.6969 -0.6355 -0.6149 -0.5733 -0.4814 -0.3866 -0.3077
 -0.2408 -0.1809 -0.1251 -0.0727 -0.0232  0.0839  0.1603  0.2048  0.2229  0.2208
  0.2053  0.1829  0.1564  0.1263
 -0.9830 -0.8651 -0.7507 -0.6433 -0.5502 -0.4770 -0.4308 -0.4069 -0.3651 -0.2957
 -0.2279 -0.1694 -0.1159 -0.0659 -0.0189  0.0830  0.1560  0.1986  0.2159  0.2139
  0.1980  0.1748  0.1480  0.1184  0.0855  0.0488  0.0077 -0.0379 -0.0877 -0.1399
 -0.9248 -0.8158 -0.7105 -0.6088 -0.5128 -0.4266 -0.3532 -0.2954 -0.2574 -0.2328
 -0.1994 -0.1527 -0.1037 -0.0565 -0.0118  0.0850  0.1545  0.1954  0.2122  0.2099
  0.1935  0.1689  0.1407  0.1106  0.0783  0.0434  0.0056 -0.0359 -0.0821 -0.1338
 -0.1864
 -0.8717 -0.7629 -0.6657 -0.5728 -0.4833 -0.3984 -0.3204 -0.2517 -0.1937 -0.1479
 -0.1161 -0.0928 -0.0678 -0.0364  0.0002  0.0902  0.1563  0.1954  0.2116  0.2094
  0.1927  0.1663  0.1358  0.1038  0.0707  0.0362  0.0004 -0.0379 -0.0801 -0.1273
 -0.1802
 -0.8333 -0.7125 -0.6152 -0.5292 -0.4480 -0.3703 -0.2959 -0.2266 -0.1643 -0.1098
 -0.0641 -0.0280 -0.0014  0.0194  0.0398  0.1017  0.1622  0.1991  0.2146  0.2124
