 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  u   
 -5.3207 -5.0872 -4.8243 -4.5242 -4.2218 -3.5360 -2.9344 -2.4278 -2.0601 -1.8121
 -1.6443 -1.5295 -1.4501 -1.3937 -1.3512
 -7.9138 -7.4539 -7.0418 -6.6720 -6.3413 -6.0479 -5.7893 -5.5616 -5.3609 -5.1687
 -4.9514 -4.7102 -4.4658 -4.2032 -3.9264 -3.2986 -2.7606 -2.2992 -1.9521 -1.7202
 -1.5667 -1.4636 -1.3942 -1.3478 -1.3157 -1.2916
 -7.9858 -7.4952 -7.0493 -6.6445 -6.2780 -5.9464 -5.6467 -5.3759 -5.1300 -4.9041
 -4.6906 -4.4721 -4.2398 -3.9969 -3.7362 -3.1420 -2.6475 -2.2199 -1.8810 -1.6502
 -1.5018 -1.4047 -1.3408 -1.2998 -1.2743 -1.2580 -1.2461 -1.2358 -1.2247 -1.2095
 -8.1078 -7.5966 -7.1244 -6.6895 -6.2915 -5.9294 -5.6001 -5.2991 -5.0241 -4.7712
 -4.5357 -4.3124 -4.0937 -3.8766 -3.6417 -3.0618 -2.5868 -2.1828 -1.8470 -1.6053
 -1.4496 -1.3517 -1.2895 -1.2507 -1.2282 -1.2165 -1.2112 -1.2080 -1.2058 -1.2032
 -1.1967
 -8.2725 -7.7447 -7.2542 -6.7968 -6.3719 -5.9819 -5.6252 -5.2992 -5.0003 -4.7258
 -4.4718 -4.2346 -4.0111 -3.7978 -3.5857 -3.0430 -2.5678 -2.1762 -1.8437 -1.5876
 -1.4145 -1.3060 -1.2401 -1.2006 -1.1788 -1.1690 -1.1671 -1.1696 -1.1734 -1.1773
 -1.1820
 -8.4684 -7.9265 -7.4201 -6.9472 -6.5023 -6.0879 -5.7057 -5.3554 -5.0347 -4.7402
 -4.4683 -4.2164 -3.9815 -3.7614 -3.5516 -3.0406 -2.5757 -2.1846 -1.8565 -1.5905
 -1.3979 -1.2712 -1.1941 -1.1497 -1.1262 -1.1165 -1.1164 -1.1221 -1.1306 -1.1399
 -1.1492
 -8.7020 -8.1558 -7.6304 -7.1408 -6.6804 -6.2473 -5.8435 -5.4697 -5.1259 -4.8106
 -4.5204 -4.2523 -4.0035 -3.7724 -3.5556 -3.0522 -2.6020 -2.2097 -1.8820 -1.6118
 -1.4034 -1.2561 -1.1606 -1.1039 -1.0736 -1.0606 -1.0593 -1.0658 -1.0770 -1.0904
 -1.1042
 -8.9759 -8.4084 -7.8713 -7.3634 -6.8857 -6.4388 -6.0187 -5.6254 -5.2601 -4.9230
 -4.6127 -4.3268 -4.0624 -3.8172 -3.5886 -3.0740 -2.6315 -2.2416 -1.9112 -1.6380
 -1.4208 -1.2578 -1.1432 -1.0691 -1.0263 -1.0056 -0.9999 -1.0043 -1.0155 -1.0309
 -1.0483
 -9.2900 -8.6843 -8.1234 -7.6041 -7.1120 -6.6502 -6.2169 -5.8092 -5.4262 -5.0695
 -4.7386 -4.4330 -4.1508 -3.8898 -3.6506 -3.1060 -2.6642 -2.2803 -1.9441
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  u   
 -8.2974 -8.2785 -8.2779 -8.2706 -8.2395 -8.1975 -8.1422 -8.0610 -7.9390 -7.7566
 -7.5064 -7.1967 -6.8536 -6.5048 -6.1902 -5.2794
 -7.7396 -7.6625 -7.6172 -7.5878 -7.5612 -7.5251 -7.4689 -7.3836 -7.2586 -7.0814
 -6.8431 -6.5436 -6.2015 -5.8529 -5.5243 -4.6958 -3.8960 -3.1964 -2.6674
 -7.3571 -7.2032 -7.0971 -7.0262 -6.9724 -6.9181 -6.8490 -6.7547 -6.6259 -6.4545
 -6.2320 -5.9535 -5.6279 -5.2891 -4.9620 -4.2051 -3.5129 -2.9118 -2.4487 -2.1194
 -1.8886
 -7.1499 -6.9006 -6.7176 -6.5858 -6.4732 -6.3766 -6.2825 -6.1743 -6.0409 -5.8759
 -5.6731 -5.4264 -5.1328 -4.8134 -4.5033 -3.8073 -3.2008 -2.6787 -2.2688 -1.9773
 -1.7711 -1.6344 -1.5279
 -7.1061 -6.7749 -6.5121 -6.3081 -6.1435 -5.9996 -5.8608 -5.7157 -5.5600 -5.3906
 -5.1995 -4.9819 -4.7291 -4.4399 -4.1482 -3.5024 -2.9597 -2.4971 -2.1277 -1.8628
 -1.6822 -1.5588 -1.4727 -1.4106 -1.3634
 -7.2006 -6.8214 -6.4914 -6.2203 -5.9953 -5.8000 -5.6206 -5.4459 -5.2663 -5.0736
 -4.8642 -4.6493 -4.4234 -4.1718 -3.9001 -3.2895 -2.7887 -2.3661 -2.0227 -1.7730
 -1.6043 -1.4916 -1.4156 -1.3636 -1.3269 -1.2991
 -7.3855 -6.9536 -6.5734 -6.2382 -5.9426 -5.6828 -5.4531 -5.2472 -5.0592 -4.8830
 -4.6925 -4.4696 -4.2360 -3.9987 -3.7484 -3.1594 -2.6818 -2.2826 -1.9527 -1.7060
