 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  r   
 -1.6605 -1.4471 -1.2654 -1.1148 -0.9902 -0.8835 -0.7890 -0.7033 -0.6258 -0.5565
 -0.4962 -0.4446 -0.3996 -0.3584 -0.3201 -0.2299 -0.1524 -0.0939 -0.0555 -0.0374
 -0.0349 -0.0410 -0.0505 -0.0604 -0.0696 -0.0777 -0.0853 -0.0924 -0.0997 -0.1082
 -0.1178
 -1.5257 -1.3446 -1.1843 -1.0473 -0.9320 -0.8342 -0.7478 -0.6690 -0.5961 -0.5291
 -0.4686 -0.4156 -0.3699 -0.3302 -0.2943 -0.2125 -0.1395 -0.0836 -0.0463 -0.0269
 -0.0230 -0.0301 -0.0434 -0.0590 -0.0745 -0.0887 -0.1015 -0.1131 -0.1236 -0.1341
 -0.1455
 -1.3982 -1.2456 -1.1079 -0.9836 -0.8758 -0.7830 -0.7019 -0.6289 -0.5612 -0.4981
 -0.4395 -0.3866 -0.3400 -0.3001 -0.2668 -0.1951 -0.1266 -0.0725 -0.0373
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  r   
 -4.8563 -4.2355 -3.7365 -3.3791 -3.0172 -2.6707 -2.3248 -1.9968 -1.7021 -1.4610
 -1.2599 -1.0888 -0.9405 -0.8098 -0.6576 -0.4193
 -4.5134 -3.8971 -3.3644 -2.9124 -2.5340 -2.2106 -1.9241 -1.6634 -1.4361 -1.2491
 -1.0914 -0.9522 -0.8250 -0.7094 -0.5933 -0.3787 -0.2165 -0.1000 -0.0225
 -4.1024 -3.5000 -2.9747 -2.5326 -2.1689 -1.8721 -1.6271 -1.4141 -1.2338 -1.0851
 -0.9594 -0.8463 -0.7387 -0.6367 -0.5429 -0.3483 -0.2038 -0.1012 -0.0324  0.0131
  0.0437
 -3.6233 -3.0442 -2.5674 -2.2397 -1.9220 -1.6551 -1.4338 -1.2489 -1.0952 -0.9690
 -0.8639 -0.7711 -0.6816 -0.5917 -0.5064 -0.3281 -0.1968 -0.1044 -0.0426 -0.0016
  0.0267  0.0450  0.0556
 -3.2429 -2.6793 -2.2386 -1.9050 -1.6512 -1.4514 -1.2838 -1.1333 -0.9989 -0.8843
 -0.7898 -0.7101 -0.6369 -0.5609 -0.4838 -0.3181 -0.1955 -0.1096 -0.0531 -0.0158
  0.0098  0.0278  0.0398  0.0474  0.0491
 -3.0859 -2.5194 -2.0678 -1.7224 -1.4626 -1.2675 -1.1198 -1.0049 -0.9102 -0.8243
