 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  g   
 -0.3869
 -4.3829 -4.0111 -3.7141 -3.4853 -3.3193 -3.1830 -3.0465 -2.9092 -2.7753 -2.6436
 -2.5025 -2.3456 -2.1678 -1.9801 -1.8035 -1.4292 -1.1231 -0.8701 -0.6721 -0.5176
 -0.3918 -0.2853 -0.1920
 -4.2757 -3.9041 -3.5946 -3.3379 -3.1273 -2.9570 -2.8228 -2.7069 -2.5788 -2.4360
 -2.2934 -2.1530 -2.0029 -1.8361 -1.6717 -1.3273 -1.0564 -0.8346 -0.6579 -0.5183
 -0.4037 -0.3052 -0.2180 -0.1393 -0.0679
 -4.1970 -3.8402 -3.5360 -3.2755 -3.0514 -2.8587 -2.6931 -2.5502 -2.4254 -2.3048
 -2.1691 -2.0242 -1.8836 -1.7371 -1.5848 -1.2590 -1.0103 -0.8111 -0.6516 -0.5246
 -0.4196 -0.3287 -0.2473 -0.1731 -0.1047 -0.0417
 -4.1115 -3.7813 -3.4933 -3.2404 -3.0166 -2.8169 -2.6381 -2.4779 -2.3333 -2.2006
 -2.0746 -1.9456 -1.8112 -1.6757 -1.5333 -1.2180 -0.9811 -0.7963 -0.6493 -0.5327
 -0.4366 -0.3532 -0.2780 -0.2088 -0.1443 -0.0841 -0.0289  0.0212  0.0634  0.0877
 -4.0056 -3.7092 -3.4456 -3.2087 -2.9933 -2.7960 -2.6143 -2.4464 -2.2917 -2.1484
 -2.0139 -1.8852 -1.7586 -1.6350 -1.5060 -1.2003 -0.9658 -0.7882 -0.6488 -0.5396
 -0.4514 -0.3756 -0.3074 -0.2440 -0.1844 -0.1279 -0.0753 -0.0267  0.0160  0.0489
  0.0649
 -3.8826 -3.6195 -3.3833 -3.1678 -2.9671 -2.7788 -2.6007 -2.4323 -2.2736 -2.1248
 -1.9847 -1.8521 -1.7256 -1.6039 -1.4849 -1.1980 -0.9631 -0.7860 -0.6498 -0.5441
 -0.4617 -0.3932 -0.3324 -0.2760 -0.2224 -0.1711 -0.1223 -0.0765 -0.0348  0.0009
  0.0248
 -3.7467 -3.5137 -3.3027 -3.1093 -2.9269 -2.7520 -2.5829 -2.4195 -2.2624 -2.1124
 -1.9698 -1.8348 -1.7066 -1.5846 -1.4677 -1.1947 -0.9659 -0.7876 -0.6513 -0.5462
 -0.4664 -0.4034 -0.3499 -0.3012 -0.2549 -0.2101 -0.1667 -0.1251 -0.0859 -0.0507
 -0.0222
 -3.6151 -3.4075 -3.2152 -3.0392 -2.8741 -2.7144 -2.5583 -2.4043 -2.2531 -2.1062
 -1.9646 -1.8292 -1.7003 -1.5781 -1.4617 -1.1946 -0.9714 -0.7935 -0.6562 -0.5502
 -0.4697 -0.4089 -0.3607 -0.3192 -0.2809 -0.2437 -0.2074 -0.1717 -0.1371 -0.1046
 -0.0741
 -3.4921 -3.3008 -3.1240 -2.9596 -2.8061 -2.6605 -2.5179 -2.3761 -2.2349 -2.0951
 -1.9580 -1.8251 -1.6975 -1.5756 -1.4597 -1.1956 -0.9756 -0.7986 -0.6608 -0.5540
 -0.4724 -0.4112 -0.3652 -0.3289 -0.2978 -0.2686 -0.2402 -0.2119 -0.1837 -0.1562
 -0.1304
 -3.3778 -3.1936 -3.0291 -2.8734 -2.7283 -2.5916 -2.4600 -2.3306 -2.2011 -2.0717
 -1.9428 -1.8159 -1.6922 -1.5729 -1.4617 -1.1977 -0.9785 -0.8029 -0.6651
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  g   
 -5.6698 -5.3496 -5.0975 -4.9047 -4.7019 -4.4990 -4.2834 -4.0557 -3.8167 -3.5750
 -3.3261 -3.0753 -2.8334 -2.6054 -2.3512 -1.8782
