 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  i   
 -0.2774 -0.2078 -0.1363 -0.0677 -0.0004  0.1236  0.2036  0.2422  0.2521
 -0.7817 -0.6802 -0.5992 -0.5343 -0.4815 -0.4377 -0.3987 -0.3583 -0.3165 -0.2737
 -0.2278 -0.1762 -0.1182 -0.0584 -0.0023  0.1106  0.1838  0.2203  0.2293  0.2222
  0.2050
 -0.7096 -0.5803 -0.4861 -0.4285 -0.3759 -0.3348 -0.3017 -0.2719 -0.2431 -0.2143
 -0.1838 -0.1487 -0.1053 -0.0547 -0.0043  0.0988  0.1664  0.2012  0.2097  0.2029
  0.1873  0.1648  0.1359
 -0.6842 -0.5349 -0.4242 -0.3472 -0.2950 -0.2592 -0.2328 -0.2098 -0.1861 -0.1633
 -0.1411 -0.1178 -0.0892 -0.0503 -0.0064  0.0882  0.1514  0.1849  0.1933  0.1863
  0.1711  0.1505  0.1251  0.0955  0.0607
 -0.6848 -0.5388 -0.4148 -0.3198 -0.2504 -0.2013 -0.1677 -0.1458 -0.1322 -0.1217
 -0.1048 -0.0857 -0.0655 -0.0400 -0.0047  0.0810  0.1404  0.1724  0.1804  0.1726
  0.1569  0.1367  0.1127  0.0850  0.0536  0.0183
 -0.6778 -0.5381 -0.4164 -0.3140 -0.2308 -0.1660 -0.1180 -0.0850 -0.0649 -0.0569
 -0.0538 -0.0465 -0.0352 -0.0193  0.0045  0.0789  0.1343  0.1649  0.1721  0.1626
  0.1451  0.1240  0.1001  0.0735  0.0441  0.0118 -0.0242 -0.0659 -0.1138 -0.1635
 -0.6496 -0.5231 -0.4100 -0.3125 -0.2302 -0.1623 -0.1077 -0.0657 -0.0350 -0.0132
  0.0011  0.0090  0.0145  0.0201  0.0301  0.0831  0.1337  0.1626  0.1692  0.1577
  0.1373  0.1136  0.0883  0.0615  0.0328  0.0023 -0.0310 -0.0673 -0.1093 -0.1582
 -0.2098
 -0.5963 -0.4858 -0.3853 -0.2973 -0.2216 -0.1570 -0.1022 -0.0566 -0.0201  0.0082
  0.0302  0.0472  0.0600  0.0681  0.0731  0.1005  0.1390  0.1655  0.1717  0.1590
  0.1351  0.1075  0.0792  0.0506  0.0212 -0.0091 -0.0410 -0.0749 -0.1118 -0.1539
 -0.2040
 -0.5177 -0.4231 -0.3370 -0.2609 -0.1952 -0.1384 -0.0889 -0.0455 -0.0079  0.0236
  0.0495  0.0706  0.0881  0.1024  0.1118  0.1320  0.1544  0.1738  0.1788  0.1658
  0.1392  0.1071  0.0743  0.0422  0.0105 -0.0211 -0.0532 -0.0861 -0.1207 -0.1582
 -0.2010
 -0.4252 -0.3451 -0.2723 -0.2072 -0.1513 -0.1036 -0.0622 -0.0250  0.0089  0.0394
  0.0663  0.0892  0.1085  0.1249  0.1381  0.1609  0.1772  0.1878  0.1896  0.1769
  0.1498  0.1144  0.0768  0.0398  0.0042 -0.0302 -0.0641 -0.0978 -0.1318 -0.1671
 -0.2043
 -0.3307 -0.2571 -0.1944 -0.1392 -0.0920 -0.0526 -0.0193  0.0100  0.0371  0.0627
  0.0869  0.1090  0.1283  0.1449  0.1589  0.1837  0.1994  0.2055  0.2030  0.1898
  0.1635  0.1272  0.0861  0.0443  0.0037 -0.0350 -0.0722 -0.1082 -0.1434 -0.1786
 -0.2147
 -0.2366 -0.1690 -0.1114 -0.0629 -0.0226  0.0104  0.0370  0.0592  0.0789  0.0977
  0.1162  0.1344  0.1515  0.1669  0.1742  0.2004  0.2210  0.2269  0.2190
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  i   
 -1.5176 -1.4239 -1.3373 -1.2493 -1.1652 -1.0593 -0.9188 -0.7448 -0.5842 -0.4494
 -0.3343 -0.2352 -0.1493 -0.0741 -0.0075  0.1261
 -1.2989 -1.1957 -1.1056 -1.0214 -0.9409 -0.8517 -0.7407 -0.6082 -0.4874 -0.3833
 -0.2914 -0.2081 -0.1324 -0.0646 -0.0043  0.1161  0.1988  0.2462  0.2615
 -1.1302 -1.0179 -0.9228 -0.8389 -0.7609 -0.6839 -0.5969 -0.4972 -0.4063 -0.3261
 -0.2534 -0.1848 -0.1195 -0.0588 -0.0040  0.1057  0.1807  0.2239  0.2391  0.2345
  0.2180
 -1.0115 -0.8905 -0.7889 -0.7018 -0.6253 -0.5560 -0.4874 -0.4118 -0.3409 -0.2778
 -0.2203 -0.1653 -0.1106 -0.0567 -0.0066  0.0949  0.1642  0.2048  0.2201  0.2164
  0.2011  0.1788  0.1503
 -0.9251 -0.7848 -0.6779 -0.5946 -0.5211 -0.4560 -0.3972 -0.3389 -0.2827 -0.2320
 -0.1861 -0.1428 -0.0994 -0.0539 -0.0086  0.0857  0.1506  0.1891  0.2043  0.2011
  0.1865  0.1654  0.1392  0.1084  0.0723
 -0.8779 -0.7179 -0.5899 -0.4896 -0.4134 -0.3578 -0.3166 -0.2747 -0.2312 -0.1894
 -0.1509 -0.1157 -0.0820 -0.0465 -0.0076  0.0796  0.1406  0.1771  0.1917  0.1886
  0.1739  0.1531  0.1281  0.0993  0.0666  0.0294
 -0.8724 -0.7043 -0.5591 -0.4384 -0.3425 -0.2692 -0.2173 -0.1841 -0.1613 -0.1404
 -0.1155 -0.0873 -0.0590 -0.0314 -0.0011  0.0774  0.1347  0.1691  0.1827  0.1792
  0.1636  0.1419  0.1170  0.0891  0.0583  0.0244 -0.0133 -0.0565 -0.1052 -0.1546
 -0.8738 -0.7052 -0.5559 -0.4282 -0.3225 -0.2383 -0.1732 -0.1240 -0.0877 -0.0636
 -0.0500 -0.0400 -0.0265 -0.0084  0.0135  0.0796  0.1329  0.1652  0.1778  0.1735
  0.1567  0.1331  0.1067  0.0785  0.0485  0.0163 -0.0187 -0.0571 -0.1002 -0.1494
 -0.2006
 -0.8675 -0.7049 -0.5576 -0.4287 -0.3199 -0.2303 -0.1581 -0.1009 -0.0565 -0.0223
  0.0033  0.0206  0.0304  0.0373  0.0457  0.0875  0.1355  0.1655  0.1772  0.1722
  0.1568  0.1279  0.0989  0.0689  0.0382  0.0063 -0.0273 -0.0625 -0.1011 -0.1449
 -0.1952
 -0.8365 -0.6890 -0.5483 -0.4241 -0.3169 -0.2269 -0.1526 -0.0914 -0.0419 -0.0023
  0.0291  0.0540  0.0731  0.0860  0.0937  0.1118  0.1436  0.1703  0.1807  0.1753
  0.1561  0.1274  0.0949  0.0617  0.0286 -0.0045 -0.0383 -0.0730 -0.1093 -0.1484
 -0.1922
 -0.7863 -0.6514 -0.5238 -0.4075 -0.3057 -0.2190 -0.1465 -0.0855 -0.0345  0.0080
  0.0432  0.0719  0.0955  0.1145  0.1287  0.1476  0.1629  0.1797  0.1881  0.1827
  0.1635  0.1333  0.0973  0.0599  0.0232 -0.0126 -0.0480 -0.0833 -0.1191 -0.1561
 -0.1949
 -0.7292 -0.6004 -0.4820 -0.3741 -0.2796 -0.1985 -0.1301 -0.0726 -0.0237  0.0181
  0.0540  0.0847  0.1106  0.1322  0.1500  0.1775  0.1902  0.1970  0.1994  0.1931
  0.1743  0.1440  0.1057  0.0644  0.0232 -0.0166 -0.0552 -0.0927 -0.1295 -0.1664
 -0.2041
 -0.6753 -0.5456 -0.4304 -0.3285 -0.2399 -0.1644 -0.1010 -0.0481 -0.0035  0.0349
  0.0685  0.0982  0.1243  0.1469  0.1576  0.2015  0.2255  0.2222  0.2146
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  i   
 -2.1316 -2.0248 -1.9178 -1.8012 -1.6887 -1.5303 -1.2932 -0.9878 -0.7350 -0.4928
 -0.3425 -0.2297 -0.1411 -0.0667 -0.0026  0.1239
 -1.8396 -1.7291 -1.6270 -1.5242 -1.4187 -1.2846 -1.0941 -0.8478 -0.6213 -0.4450
 -0.3129 -0.2102 -0.1275 -0.0588  0.0001  0.1158  0.1986  0.2502  0.2735
 -1.6085 -1.4900 -1.3870 -1.2910 -1.1929 -1.0802 -0.9300 -0.7345 -0.5529 -0.4052
 -0.2890 -0.1956 -0.1185 -0.0543  0.0006  0.1077  0.1822  0.2291  0.2508  0.2512
