 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F390M
 -0.5120 -0.2729 -0.0962  0.0405  0.1526  0.2483  0.3315  0.4048  0.4702  0.5283
  0.5711
 -9.0309 -7.9693 -7.0321 -6.2719 -5.6900 -5.2585 -4.9346 -4.6762 -4.4506 -4.2466
 -4.0673 -3.8965 -3.7092 -3.4918 -3.2458 -2.6117 -2.0610 -1.5970 -1.1984 -0.8473
 -0.5451 -0.3062 -0.1298  0.0029  0.1084  0.1964  0.2726  0.3386  0.3949  0.4421
  0.4808
 -9.4969 -8.4416 -7.4530 -6.5974 -5.9058 -5.3693 -4.9595 -4.6420 -4.3815 -4.1494
 -3.9344 -3.7362 -3.5536 -3.3816 -3.2017 -2.6672 -2.1026 -1.6283 -1.2280 -0.8808
 -0.5828 -0.3433 -0.1650 -0.0340  0.0666  0.1477  0.2152  0.2729  0.3224  0.3640
  0.3982
 -9.9249 -8.9458 -7.9539 -7.0346 -6.2471 -5.6091 -5.1069 -4.7136 -4.4002 -4.1386
 -3.9047 -3.6858 -3.4780 -3.2842 -3.1051 -2.6687 -2.1727 -1.6872 -1.2795 -0.9303
 -0.6317 -0.3887 -0.2052 -0.0721  0.0261  0.1019  0.1627  0.2131  0.2554  0.2908
  0.3198
-10.2626 -9.3992 -8.4661 -7.5380 -6.6847 -5.9551 -5.3595 -4.8837 -4.5033 -4.1934
 -3.9311 -3.6963 -3.4752 -3.2633 -3.0627 -2.6195 -2.2024 -1.7599 -1.3447 -0.9891
 -0.6863 -0.4376 -0.2465 -0.1078 -0.0089  0.0632  0.1180  0.1616  0.1967  0.2252
  0.2488
-10.5048 -9.7626 -8.9296 -8.0463 -7.1804 -6.3893 -5.7090 -5.1473 -4.6910 -4.3199
 -4.0132 -3.7504 -3.5145 -3.2927 -3.0794 -2.5969 -2.1925 -1.8082 -1.4173
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F390M
-10.1628 -9.4856 -8.8498 -8.1458 -7.3483 -6.6458 -6.1886 -5.8594 -5.5887 -5.3365
 -5.0970 -4.8646 -4.6393 -4.4202 -4.2054 -3.6720 -3.1255 -2.5387 -1.9127
 -9.1161 -8.7460 -8.3081 -7.8422 -7.2351 -6.5266 -5.9817 -5.6009 -5.2916 -5.0211
 -4.7653 -4.5205 -4.2857 -4.0595 -3.8394 -3.3070 -2.7800 -2.2408 -1.6924 -1.1713
 -8.1933 -7.9005 -7.7149 -7.4244 -7.0529 -6.5113 -5.9052 -5.4423 -5.0931 -4.7970
 -4.5264 -4.2701 -4.0266 -3.7942 -3.5704 -3.0390 -2.5284 -2.0249 -1.5311 -1.0642
 -0.6627
 -7.9263 -7.2808 -6.9920 -6.8897 -6.7033 -6.3990 -5.9296 -5.4018 -4.9881 -4.6609
 -4.3752 -4.1076 -3.8549 -3.6153 -3.3867 -2.8525 -2.3524 -1.8742 -1.4193 -0.9931
 -0.6189 -0.3282
 -7.9771 -7.1350 -6.5887 -6.2917 -6.1719 -6.0656 -5.8310 -5.4454 -4.9866 -4.6086
 -4.3009 -4.0222 -3.7600 -3.5121 -3.2767 -2.7340 -2.2377 -1.7755 -1.3471 -0.9510
 -0.5986 -0.3193 -0.1085  0.0597
 -8.2481 -7.2523 -6.5261 -6.0411 -5.7384 -5.5621 -5.4565 -5.3054 -5.0219 -4.6419
 -4.2927 -4.0004 -3.7293 -3.4728 -3.2293 -2.6724 -2.1729 -1.7192 -1.3078 -0.9330
