 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F555W
 -3.5456 -3.1825 -2.8614 -2.5661 -2.2927 -2.0428 -1.8230 -1.6350 -1.4752 -1.3371
 -1.2150 -1.1046 -1.0037 -0.9110 -0.8259 -0.6403 -0.4777 -0.3398 -0.2366 -0.1644
 -0.1168 -0.0882 -0.0727 -0.0642 -0.0584 -0.0532 -0.0478 -0.0419 -0.0356 -0.0296
 -0.0248
 -3.6508 -3.2730 -2.9474 -2.6543 -2.3806 -2.1266 -1.8948 -1.6880 -1.5101 -1.3585
 -1.2279 -1.1133 -1.0102 -0.9162 -0.8295 -0.6408 -0.4819 -0.3460 -0.2384
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F555W
 -4.1117 -3.7747 -3.3642 -3.0030 -2.6791 -2.3997 -2.1745 -1.9783 -1.7988 -1.6306
 -1.4744 -1.3309 -1.2010 -1.0846 -0.9799 -0.7574 -0.5715 -0.4090 -0.2682
 -3.6602 -3.5611 -3.2774 -2.9258 -2.6056 -2.3187 -2.0831 -1.8835 -1.7043 -1.5383
 -1.3844 -1.2433 -1.1161 -1.0026 -0.9013 -0.6908 -0.5202 -0.3752 -0.2520 -0.1509
 -3.3817 -3.1521 -3.0673 -2.8770 -2.5742 -2.2883 -2.0366 -1.8289 -1.6491 -1.4852
 -1.3338 -1.1946 -1.0688 -0.9564 -0.8564 -0.6509 -0.4885 -0.3542 -0.2426 -0.1514
 -0.0778
 -3.3042 -2.9851 -2.7564 -2.6323 -2.5216 -2.2831 -2.0286 -1.8056 -1.6203 -1.4571
 -1.3081 -1.1706 -1.0457 -0.9335 -0.8335 -0.6290 -0.4703 -0.3421 -0.2381 -0.1544
 -0.0871 -0.0310
 -3.2895 -2.9441 -2.6606 -2.4393 -2.2774 -2.1715 -2.0254 -1.8127 -1.6129 -1.4451
 -1.2977 -1.1619 -1.0377 -0.9255 -0.8250 -0.6188 -0.4608 -0.3358 -0.2366 -0.1584
 -0.0965 -0.0452 -0.0009  0.0385
 -3.3163 -2.9514 -2.6436 -2.3880 -2.1793 -2.0069 -1.8711 -1.7620 -1.6204 -1.4493
 -1.2970 -1.1625 -1.0389 -0.9266 -0.8254 -0.6165 -0.4568 -0.3326 -0.2364 -0.1620
 -0.1048 -0.0585 -0.0185  0.0168  0.0480  0.0748  0.0966  0.1116  0.1183  0.1163
 -3.3790 -2.9961 -2.6656 -2.3877 -2.1560 -1.9617 -1.7947 -1.6491 -1.5287 -1.4223
 -1.2995 -1.1697 -1.0462 -0.9336 -0.8317 -0.6194 -0.4565 -0.3313 -0.2360 -0.1643
 -0.1110 -0.0695 -0.0346 -0.0035  0.0245  0.0494  0.0709  0.0878  0.0983  0.0988
  0.0904
 -3.4639 -3.0734 -2.7221 -2.4206 -2.1676 -1.9567 -1.7776 -1.6204 -1.4795 -1.3549
 -1.2482 -1.1514 -1.0502 -0.9441 -0.8419 -0.6261 -0.4592 -0.3311 -0.2352 -0.1646
 -0.1138 -0.0768 -0.0473 -0.0215  0.0020  0.0237  0.0446  0.0623  0.0742  0.0782
  0.0730
 -3.5656 -3.1680 -2.8057 -2.4827 -2.2062 -1.9751 -1.7816 -1.6161 -1.4700 -1.3376
 -1.2182 -1.1129 -1.0206 -0.9338 -0.8457 -0.6336 -0.4626 -0.3307 -0.2328 -0.1620
 -0.1126 -0.0790 -0.0548 -0.0350 -0.0170 -0.0001  0.0155  0.0297  0.0417  0.0492
  0.0519
 -3.6806 -3.2793 -2.9142 -2.5790 -2.2805 -2.0252 -1.8116 -1.6320 -1.4781 -1.3419
 -1.2188 -1.1071 -1.0071 -0.9175 -0.8356 -0.6438 -0.4704 -0.3339 -0.2322 -0.1593
 -0.1094 -0.0773 -0.0571 -0.0431 -0.0313 -0.0203 -0.0098  0.0004  0.0098  0.0173
  0.0217
 -3.8039 -3.3949 -3.0304 -2.6934 -2.3841 -2.1075 -1.8697 -1.6699 -1.5015 -1.3568
 -1.2293 -1.1147 -1.0108 -0.9167 -0.8311 -0.6459 -0.4806 -0.3396 -0.2330 -0.1567
 -0.1048 -0.0723 -0.0541 -0.0446 -0.0389 -0.0342 -0.0298 -0.0250 -0.0201 -0.0156
 -0.0119
 -3.9368 -3.5122 -3.1464 -2.8128 -2.5027 -2.2164 -1.9592 -1.7360 -1.5470 -1.3869
 -1.2497 -1.1295 -1.0221 -0.9250 -0.8363 -0.6466 -0.4874 -0.3482 -0.2363
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F555W
 -4.1174 -3.6675 -3.2542 -2.9083 -2.6076 -2.3358 -2.1101 -1.9114 -1.7353 -1.5725
 -1.4209 -1.2810 -1.1538 -1.0395 -0.9370 -0.7216 -0.5457 -0.3930 -0.2586
 -3.8049 -3.5862 -3.2112 -2.8506 -2.5410 -2.2661 -2.0343 -1.8352 -1.6569 -1.4956
 -1.3455 -1.2074 -1.0821 -0.9700 -0.8700 -0.6641 -0.5002 -0.3618 -0.2428 -0.1426
 -3.4157 -3.2880 -3.1549 -2.8421 -2.5207 -2.2400 -1.9970 -1.7926 -1.6137 -1.4530
 -1.3048 -1.1682 -1.0439 -0.9324 -0.8331 -0.6305 -0.4727 -0.3425 -0.2331 -0.1419
 -0.0676
 -3.3213 -3.0161 -2.8517 -2.7659 -2.5302 -2.2457 -1.9924 -1.7759 -1.5931 -1.4324
 -1.2859 -1.1506 -1.0269 -0.9153 -0.8157 -0.6127 -0.4572 -0.3316 -0.2283 -0.1437
 -0.0752 -0.0188
 -3.3250 -2.9641 -2.6864 -2.4960 -2.3889 -2.2490 -2.0125 -1.7846 -1.5901 -1.4259
 -1.2803 -1.1463 -1.0231 -0.9114 -0.8109 -0.6056 -0.4496 -0.3260 -0.2266 -0.1468
 -0.0831 -0.0312  0.0130  0.0516
 -3.3793 -2.9851 -2.6637 -2.4086 -2.2125 -2.0674 -1.9579 -1.8039 -1.6085 -1.4317
