 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F125W
 -1.0480 -1.0516 -1.0598 -1.0718 -1.0867 -1.1333 -1.1910 -1.2592 -1.3383 -1.4249
 -1.5141
 -0.9961 -1.0071 -1.0142 -1.0289 -1.0637 -1.0852 -1.0747 -1.0647 -1.0607 -1.0582
 -1.0582 -1.0626 -1.0715 -1.0843 -1.1001 -1.1485 -1.2070 -1.2749 -1.3525 -1.4376
 -1.5253 -1.6133
 -0.9574 -0.9787 -0.9894 -0.9963 -1.0060 -1.0249 -1.0544 -1.0667 -1.0640 -1.0629
 -1.0641 -1.0691 -1.0785 -1.0918 -1.1083 -1.1584 -1.2179 -1.2861 -1.3631 -1.4473
 -1.5345 -1.6216 -1.7080 -1.7939
 -0.9101 -0.9430 -0.9630 -0.9751 -0.9840 -0.9937 -1.0073 -1.0273 -1.0505 -1.0624
 -1.0666 -1.0722 -1.0818 -1.0955 -1.1125 -1.1643 -1.2249 -1.2935 -1.3704 -1.4542
 -1.5415 -1.6287 -1.7146 -1.7997 -1.8840 -1.9684 -2.0537 -2.1406 -2.2286 -2.3145
 -0.8557 -0.8988 -0.9297 -0.9504 -0.9650 -0.9774 -0.9895 -1.0025 -1.0181 -1.0379
 -1.0572 -1.0708 -1.0824 -1.0963 -1.1135 -1.1668 -1.2287 -1.2979 -1.3748 -1.4585
 -1.5462 -1.6342 -1.7205 -1.8053 -1.8890 -1.9716 -2.0542 -2.1376 -2.2226 -2.3090
 -2.3938
 -0.7972 -0.8474 -0.8881 -0.9186 -0.9411 -0.9587 -0.9744 -0.9893 -1.0045 -1.0204
 -1.0382 -1.0577 -1.0767 -1.0944 -1.1125 -1.1666 -1.2297 -1.2997 -1.3766 -1.4601
 -1.5482 -1.6374 -1.7250 -1.8105 -1.8942 -1.9766 -2.0578 -2.1387 -2.2203 -2.3033
 -2.3883
 -0.7384 -0.7924 -0.8401 -0.8794 -0.9105 -0.9351 -0.9558 -0.9747 -0.9929 -1.0107
 -1.0287 -1.0476 -1.0676 -1.0887 -1.1097 -1.1648 -1.2291 -1.2999 -1.3771 -1.4604
 -1.5486 -1.6390 -1.7285 -1.8157 -1.9004 -1.9832 -2.0646 -2.1454 -2.2258 -2.3058
 -2.3852
 -0.6831 -0.7380 -0.7883 -0.8338 -0.8726 -0.9049 -0.9319 -0.9555 -0.9776 -0.9988
 -1.0196 -1.0403 -1.0612 -1.0829 -1.1055 -1.1630 -1.2260 -1.2973 -1.3747 -1.4575
 -1.5452 -1.6360 -1.7271 -1.8164 -1.9030 -1.9870 -2.0689 -2.1490 -2.2277 -2.3057
 -2.3838
 -0.6343 -0.6862 -0.7371 -0.7852 -0.8292 -0.8681 -0.9019 -0.9312 -0.9578 -0.9827
 -1.0069 -1.0306 -1.0539 -1.0772 -1.1009 -1.1614 -1.2240 -1.2938 -1.3711 -1.4534
