 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F438W
 -5.9549 -5.8539 -5.5758 -5.1704 -4.7283 -4.2865 -3.8881 -3.5370 -3.2290 -2.9599
 -2.7126 -2.4824 -2.2699 -2.0758 -1.8992 -1.5202 -1.1970 -0.9053 -0.6388 -0.3977
 -0.1850
 -5.6374 -5.3151 -5.2232 -5.0330 -4.6857 -4.2858 -3.8801 -3.5095 -3.1865 -2.9049
 -2.6539 -2.4206 -2.2046 -2.0068 -1.8269 -1.4446 -1.1260 -0.8450 -0.5938 -0.3703
 -0.1734 -0.0039
 -5.5722 -5.0970 -4.7893 -4.6541 -4.5386 -4.2563 -3.8994 -3.5284 -3.1870 -2.8888
 -2.6296 -2.3927 -2.1728 -1.9706 -1.7861 -1.3965 -1.0784 -0.8040 -0.5635 -0.3532
 -0.1694 -0.0102  0.1257  0.2410
 -5.6023 -5.0609 -4.6405 -4.3466 -4.1636 -4.0480 -3.8586 -3.5551 -3.2232 -2.9086
 -2.6327 -2.3904 -2.1665 -1.9597 -1.7700 -1.3696 -1.0484 -0.7772 -0.5441 -0.3435
 -0.1704 -0.0204  0.1082  0.2181  0.3125  0.3965  0.4748  0.5494  0.6125  0.6515
 -5.6955 -5.1107 -4.6269 -4.2479 -3.9675 -3.7604 -3.5994 -3.4493 -3.2320 -2.9505
 -2.6646 -2.4090 -2.1804 -1.9690 -1.7742 -1.3605 -1.0324 -0.7614 -0.5328 -0.3392
 -0.1743 -0.0325  0.0891  0.1929  0.2822  0.3609  0.4306  0.4953  0.5572  0.6089
  0.6382
 -5.8261 -5.2194 -4.6910 -4.2533 -3.9079 -3.6388 -3.4250 -3.2380 -3.0676 -2.8958
 -2.6869 -2.4447 -2.2110 -1.9954 -1.7954 -1.3674 -1.0292 -0.7551 -0.5282 -0.3390
 -0.1800 -0.0451  0.0701  0.1679  0.2512  0.3239  0.3883  0.4477  0.5018  0.5498
  0.5910
 -5.9630 -5.3573 -4.8047 -4.3234 -3.9231 -3.6021 -3.3477 -3.1359 -2.9430 -2.7596
 -2.5856 -2.4126 -2.2233 -2.0238 -1.8264 -1.3860 -1.0355 -0.7548 -0.5270 -0.3399
 -0.1848 -0.0551  0.0543  0.1462  0.2235  0.2898  0.3481  0.4007  0.4483  0.4915
  0.5306
 -6.0994 -5.5097 -4.9556 -4.4500 -4.0083 -3.6388 -3.3383 -3.0947 -2.8882 -2.6981
 -2.5151 -2.3397 -2.1732 -2.0095 -1.8421 -1.4219 -1.0582 -0.7678 -0.5354 -0.3474
 -0.1935 -0.0666  0.0386  0.1258  0.1977  0.2579  0.3098  0.3561  0.3981  0.4365
  0.4705
 -6.2247 -5.6514 -5.1123 -4.6045 -4.1402 -3.7335 -3.3895 -3.1053 -2.8709 -2.6700
 -2.4859 -2.3090 -2.1384 -1.9763 -1.8205 -1.4483 -1.0930 -0.7907 -0.5504 -0.3586
 -0.2037 -0.0775  0.0254  0.1091  0.1766  0.2313  0.2769  0.3165  0.3520  0.3844
  0.4155
 -6.3485 -5.7724 -5.2528 -4.7606 -4.2958 -3.8699 -3.4936 -3.1710 -2.9000 -2.6729
 -2.4772 -2.2996 -2.1305 -1.9675 -1.8106 -1.4503 -1.1245 -0.8244 -0.5732
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = F438W
 -6.9228 -6.3055 -5.7405 -5.2510 -4.7987 -4.3939 -4.0554 -3.7400 -3.4482 -3.2024
 -2.9702 -2.7513 -2.5482 -2.3607 -2.1883 -1.8073 -1.4612 -1.1385 -0.8364
 -6.5524 -6.1927 -5.6754 -5.1754 -4.7157 -4.2916 -3.9346 -3.6069 -3.3103 -3.0577
 -2.8212 -2.5999 -2.3948 -2.2062 -2.0332 -1.6574 -1.3308 -1.0293 -0.7460 -0.4823
 -6.1653 -5.9714 -5.5934 -5.1445 -4.6906 -4.2562 -3.8707 -3.5328 -3.2299 -2.9678
 -2.7284 -2.5047 -2.2970 -2.1060 -1.9311 -1.5549 -1.2353 -0.9467 -0.6811 -0.4390
 -0.2227
 -5.7907 -5.5022 -5.3871 -5.0788 -4.6842 -4.2687 -3.8662 -3.5080 -3.1937 -2.9184
 -2.6752 -2.4488 -2.2381 -2.0436 -1.8654 -1.4850 -1.1686 -0.8885 -0.6354 -0.4085
 -0.2073 -0.0317
 -5.5755 -5.1368 -4.9297 -4.8548 -4.6208 -4.2764 -3.8988 -3.5278 -3.1950 -2.9042
 -2.6524 -2.4223 -2.2081 -2.0096 -1.8272 -1.4391 -1.1222 -0.8478 -0.6039 -0.3883
 -0.1993 -0.0342  0.1082  0.2291
 -5.6161 -5.0696 -4.6759 -4.4436 -4.3424 -4.1961 -3.9091 -3.5718 -3.2317 -2.9241
 -2.6548 -2.4194 -2.2013 -1.9986 -1.8115 -1.4125 -1.0919 -0.8201 -0.5828 -0.3758
 -0.1965 -0.0407  0.0944  0.2105  0.3109  0.3981  0.4790  0.5565  0.6192  0.6586
 -5.7412 -5.1260 -4.6380 -4.2776 -4.0353 -3.8828 -3.7643 -3.5644 -3.2781 -2.9720
 -2.6866 -2.4366 -2.2139 -2.0068 -1.8149 -1.4031 -1.0751 -0.8030 -0.5698 -0.3690
 -0.1972 -0.0492  0.0786  0.1888  0.2834  0.3656  0.4398  0.5072  0.5678  0.6187
  0.6481
 -5.9283 -5.2618 -4.7070 -4.2649 -3.9308 -3.6882 -3.5056 -3.3556 -3.2037 -2.9960
 -2.7382 -2.4764 -2.2431 -2.0319 -1.8352 -1.4098 -1.0713 -0.7955 -0.5637 -0.3669
 -0.2002 -0.0586  0.0627  0.1668  0.2557  0.3321  0.3988  0.4576  0.5119  0.5626
  0.6032
 -6.1442 -5.4424 -4.8444 -4.3402 -3.9354 -3.6232 -3.3854 -3.1926 -3.0209 -2.8595
 -2.6934 -2.5004 -2.2808 -2.0668 -1.8665 -1.4287 -1.0776 -0.7948 -0.5615 -0.3665
 -0.2033 -0.0663  0.0494  0.1476  0.2307  0.3011  0.3618  0.4153  0.4629  0.5058
  0.5448
 -6.3376 -5.6473 -5.0333 -4.4885 -4.0262 -3.6511 -3.3563 -3.1243 -2.9306 -2.7533
 -2.5840 -2.4211 -2.2585 -2.0850 -1.9034 -1.4655 -1.1008 -0.8082 -0.5699 -0.3737
 -0.2114 -0.0767  0.0351  0.1285  0.2065  0.2714  0.3262  0.3736  0.4156  0.4531
  0.4861
 -6.5321 -5.8526 -5.2364 -4.6777 -4.1786 -3.7523 -3.4018 -3.1207 -2.8946 -2.7031
 -2.5279 -2.3600 -2.1984 -2.0439 -1.8908 -1.5034 -1.1364 -0.8319 -0.5860 -0.3859
 -0.2220 -0.0878  0.0221  0.1122  0.1858  0.2458  0.2948  0.3362  0.3722  0.4038
  0.4336
 -6.7277 -6.0584 -5.4326 -4.8780 -4.3662 -3.9092 -3.5135 -3.1832 -2.9134 -2.6920
 -2.5037 -2.3330 -2.1704 -2.0141 -1.8287 -1.5424 -1.1844 -0.8659 -0.6098
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value = F438W
 -6.8691 -6.2098 -5.6537 -5.1908 -4.7482 -4.3636 -4.0288 -3.7245 -3.4391 -3.2010
 -2.9748 -2.7619 -2.5633 -2.3794 -2.2094 -1.8326 -1.4921 -1.1768 -0.8838
 -6.6920 -6.1603 -5.6199 -5.1217 -4.6782 -4.2715 -3.9199 -3.6054 -3.3144 -3.0702
 -2.8407 -2.6257 -2.4255 -2.2404 -2.0695 -1.6964 -1.3730 -1.0752 -0.7951 -0.5322
 -6.1780 -6.0390 -5.5768 -5.1163 -4.6629 -4.2400 -3.8662 -3.5393 -3.2411 -2.9885
 -2.7563 -2.5392 -2.3369 -2.1495 -1.9766 -1.6024 -1.2842 -0.9968 -0.7313 -0.4872
 -0.2672
 -5.7986 -5.7171 -5.4787 -5.0994 -4.6749 -4.2567 -3.8627 -3.5164 -3.2104 -2.9418
 -2.7062 -2.4865 -2.2817 -2.0914 -1.9155 -1.5367 -1.2207 -0.9406 -0.6856 -0.4545
 -0.2484 -0.0667
 -5.5830 -5.2264 -5.1418 -4.9798 -4.6608 -4.2825 -3.8959 -3.5328 -3.2112 -2.9269
 -2.6825 -2.4596 -2.2514 -2.0577 -1.8781 -1.4919 -1.1752 -0.9001 -0.6531 -0.4319
 -0.2367 -0.0654  0.0838  0.2129
 -5.6098 -5.0792 -4.7414 -4.6117 -4.5176 -4.2631 -3.9316 -3.5804 -3.2443 -2.9449
