 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F098M
 -1.4318 -1.4729 -1.4199 -1.3247 -1.2347 -1.1522 -1.0912 -1.0452 -1.0045 -0.9654
 -0.9333 -0.9071 -0.8856 -0.8677 -0.8523 -0.8251 -0.8147 -0.8230 -0.8532 -0.9003
 -1.3152 -1.2902 -1.3271 -1.3134 -1.2411 -1.1677 -1.1024 -1.0528 -1.0120 -0.9740
 -0.9430 -0.9179 -0.8976 -0.8810 -0.8670 -0.8427 -0.8348 -0.8451 -0.8750 -0.9209
 -0.9742
 -1.2669 -1.2091 -1.1724 -1.1840 -1.2061 -1.1675 -1.1107 -1.0584 -1.0168 -0.9799
 -0.9495 -0.9252 -0.9058 -0.8901 -0.8771 -0.8553 -0.8494 -0.8614 -0.8914 -0.9366
 -0.9899 -1.0449
 -1.2216 -1.1721 -1.1183 -1.0789 -1.0674 -1.0875 -1.0926 -1.0593 -1.0190 -0.9834
 -0.9531 -0.9294 -0.9106 -0.8957 -0.8836 -0.8639 -0.8597 -0.8730 -0.9034 -0.9482
 -1.0019 -1.0579 -1.1133 -1.1671
 -1.1659 -1.1348 -1.0895 -1.0423 -1.0052 -0.9843 -0.9842 -1.0005 -1.0027 -0.9812
 -0.9537 -0.9306 -0.9124 -0.8981 -0.8869 -0.8691 -0.8664 -0.8807 -0.9117 -0.9564
 -1.0106 -1.0680 -1.1250 -1.1809 -1.2357 -1.2903 -1.3455 -1.4023 -1.4614 -1.5223
 -1.0960 -1.0853 -1.0573 -1.0185 -0.9789 -0.9466 -0.9243 -0.9138 -0.9174 -0.9300
 -0.9347 -0.9242 -0.9102 -0.8976 -0.8872 -0.8714 -0.8700 -0.8852 -0.9165 -0.9613
 -1.0160 -1.0751 -1.1344 -1.1923 -1.2487 -1.3041 -1.3590 -1.4144 -1.4717 -1.5327
 -1.5940
 -1.0123 -1.0200 -1.0114 -0.9887 -0.9576 -0.9257 -0.8986 -0.8788 -0.8665 -0.8624
 -0.8677 -0.8774 -0.8843 -0.8858 -0.8825 -0.8709 -0.8709 -0.8867 -0.9183 -0.9629
 -1.0178 -1.0787 -1.1406 -1.2012 -1.2601 -1.3174 -1.3727 -1.4276 -1.4838 -1.5425
 -1.6047
 -0.9179 -0.9398 -0.9487 -0.9438 -0.9274 -0.9044 -0.8801 -0.8588 -0.8427 -0.8319
 -0.8266 -0.8271 -0.8328 -0.8425 -0.8524 -0.8652 -0.8688 -0.8856 -0.9174 -0.9619
 -1.0169 -1.0792 -1.1440 -1.2081 -1.2701 -1.3301 -1.3886 -1.4455 -1.5017 -1.5587
 -1.6167
 -0.8163 -0.8484 -0.8712 -0.8826 -0.8825 -0.8732 -0.8581 -0.8410 -0.8257 -0.8138
 -0.8058 -0.8018 -0.8013 -0.8050 -0.8127 -0.8401 -0.8618 -0.8811 -0.9130 -0.9570
 -1.0115 -1.0743 -1.1415 -1.2091 -1.2748 -1.3383 -1.3997 -1.4591 -1.5170 -1.5740
 -1.6312
 -0.7098 -0.7493 -0.7822 -0.8064 -0.8210 -0.8263 -0.8240 -0.8164 -0.8066 -0.7970
 -0.7896 -0.7850 -0.7832 -0.7840 -0.7876 -0.8096 -0.8410 -0.8720 -0.9058 -0.9496
 -1.0033 -1.0657 -1.1343 -1.2049 -1.2745 -1.3419 -1.4069 -1.4695 -1.5301 -1.5892
 -1.6470
 -0.5997 -0.6445 -0.6848 -0.7188 -0.7450 -0.7633 -0.7741 -0.7785 -0.7782 -0.7750
 -0.7713 -0.7686 -0.7676 -0.7686 -0.7714 -0.7878 -0.8176 -0.8548 -0.8952
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F098M
 -1.6192 -1.5076 -1.3894 -1.2865 -1.1954 -1.1147 -1.0592 -1.0167 -0.9807 -0.9422
 -0.9097 -0.8830 -0.8614 -0.8439 -0.8293 -0.8030 -0.7918 -0.7977 -0.8191
 -1.5157 -1.5028 -1.4047 -1.2997 -1.2104 -1.1319 -1.0730 -1.0288 -0.9898 -0.9528
 -0.9219 -0.8969 -0.8770 -0.8610 -0.8478 -0.8250 -0.8164 -0.8233 -0.8480 -0.8905
 -1.3455 -1.3676 -1.3831 -1.3085 -1.2208 -1.1458 -1.0838 -1.0368 -0.9976 -0.9611
 -0.9312 -0.9072 -0.8882 -0.8733 -0.8611 -0.8408 -0.8345 -0.8435 -0.8692 -0.9109
 -0.9625
 -1.2904 -1.2325 -1.2260 -1.2590 -1.2220 -1.1540 -1.0928 -1.0425 -1.0028 -0.9674
 -0.9379 -0.9144 -0.8960 -0.8818 -0.8705 -0.8523 -0.8476 -0.8583 -0.8850 -0.9264
 -0.9778 -1.0326
 -1.2546 -1.1924 -1.1360 -1.1105 -1.1288 -1.1370 -1.0955 -1.0471 -1.0059 -0.9719
 -0.9422 -0.9190 -0.9010 -0.8873 -0.8766 -0.8603 -0.8571 -0.8690 -0.8966 -0.9380
 -0.9893 -1.0449 -1.1007 -1.1555
 -1.2105 -1.1641 -1.1074 -1.0560 -1.0239 -1.0189 -1.0363 -1.0354 -1.0061 -0.9734
 -0.9446 -0.9213 -0.9035 -0.8901 -0.8800 -0.8654 -0.8635 -0.8764 -0.9047 -0.9462
 -0.9977 -1.0542 -1.1115 -1.1678 -1.2228 -1.2778 -1.3343 -1.3933 -1.4545 -1.5148
 -1.1517 -1.1259 -1.0840 -1.0351 -0.9904 -0.9586 -0.9427 -0.9442 -0.9572 -0.9589
 -0.9423 -0.9209 -0.9036 -0.8906 -0.8810 -0.8679 -0.8674 -0.8810 -0.9097 -0.9514
 -1.0029 -1.0606 -1.1198 -1.1782 -1.2353 -1.2916 -1.3473 -1.4038 -1.4629 -1.5248
 -1.5865
 -1.0767 -1.0712 -1.0489 -1.0139 -0.9735 -0.9362 -0.9078 -0.8897 -0.8824 -0.8859
 -0.8964 -0.9014 -0.8960 -0.8873 -0.8793 -0.8680 -0.8687 -0.8830 -0.9119 -0.9535
 -1.0052 -1.0638 -1.1252 -1.1862 -1.2457 -1.3039 -1.3612 -1.4177 -1.4748 -1.5340
 -1.5968
 -0.9886 -0.9999 -0.9961 -0.9790 -0.9518 -0.9203 -0.8905 -0.8666 -0.8503 -0.8411
 -0.8390 -0.8442 -0.8523 -0.8600 -0.8649 -0.8649 -0.8674 -0.8825 -0.9117 -0.9532
 -1.0050 -1.0644 -1.1280 -1.1921 -1.2548 -1.3157 -1.3751 -1.4333 -1.4908 -1.5486
 -1.6084
 -0.8911 -0.9141 -0.9268 -0.9271 -0.9163 -0.8974 -0.8745 -0.8519 -0.8334 -0.8200
 -0.8120 -0.8090 -0.8107 -0.8164 -0.8256 -0.8499 -0.8631 -0.8792 -0.9083 -0.9494
 -1.0008 -1.0604 -1.1256 -1.1927 -1.2588 -1.3230 -1.3853 -1.4459 -1.5050 -1.5634
 -1.6219
 -0.7879 -0.8191 -0.8433 -0.8584 -0.8633 -0.8593 -0.8484 -0.8337 -0.8184 -0.8052
 -0.7956 -0.7901 -0.7882 -0.7896 -0.7942 -0.8188 -0.8480 -0.8726 -0.9024 -0.9432
 -0.9940 -1.0533 -1.1192 -1.1886 -1.2581 -1.3260 -1.3918 -1.4555 -1.5173 -1.5776
 -1.6365
 -0.6804 -0.7170 -0.7499 -0.7759 -0.7941 -0.8041 -0.8067 -0.8034 -0.7965 -0.7881
 -0.7804 -0.7751 -0.7725 -0.7727 -0.7753 -0.7930 -0.8234 -0.8580 -0.8935
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F098M
 -1.5947 -1.4684 -1.3514 -1.2538 -1.1683 -1.0933 -1.0411 -0.9979 -0.9627 -0.9284
 -0.8974 -0.8715 -0.8510 -0.8350 -0.8223 -0.8006 -0.7922 -0.7971 -0.8160
 -1.4990 -1.4930 -1.3764 -1.2704 -1.1824 -1.1083 -1.0535 -1.0102 -0.9731 -0.9383
 -0.9087 -0.8845 -0.8655 -0.8509 -0.8394 -0.8207 -0.8148 -0.8219 -0.8432 -0.8804
 -1.3968 -1.4431 -1.3875 -1.2874 -1.1964 -1.1204 -1.0631 -1.0182 -0.9813 -0.9464
