 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F098M
 -0.8196 -0.8424 -0.8571 -0.8643 -0.8646 -0.8565 -0.8612 -0.8804 -0.9115 -0.9530
 -1.0028 -1.0583 -1.1165 -1.1748 -1.2322 -1.2888 -1.3450 -1.4020 -1.4610 -1.5228
 -1.5839
 -0.7140 -0.6852 -0.6657 -0.6540 -0.6498 -0.6530 -0.6639 -0.6820 -0.7070 -0.7375
 -0.7715 -0.8046 -0.8309 -0.8476 -0.8554 -0.8555 -0.8616 -0.8821 -0.9139 -0.9557
 -1.0059 -1.0621 -1.1219 -1.1826 -1.2423 -1.3008 -1.3584 -1.4154 -1.4728 -1.5321
 -1.5946
 -0.7165 -0.6921 -0.6766 -0.6677 -0.6638 -0.6645 -0.6698 -0.6800 -0.6951 -0.7139
 -0.7354 -0.7587 -0.7835 -0.8080 -0.8283 -0.8506 -0.8596 -0.8813 -0.9140 -0.9563
 -1.0068 -1.0639 -1.1254 -1.1886 -1.2512 -1.3123 -1.3721 -1.4306 -1.4884 -1.5466
 -1.6065
 -0.7033 -0.6873 -0.6767 -0.6720 -0.6712 -0.6732 -0.6773 -0.6837 -0.6928 -0.7047
 -0.7188 -0.7344 -0.7506 -0.7679 -0.7866 -0.8305 -0.8545 -0.8775 -0.9110 -0.9534
 -1.0039 -1.0614 -1.1241 -1.1896 -1.2553 -1.3195 -1.3820 -1.4429 -1.5024 -1.5611
 -1.6200
 -0.6690 -0.6642 -0.6628 -0.6636 -0.6677 -0.6731 -0.6793 -0.6856 -0.6924 -0.7004
 -0.7098 -0.7207 -0.7326 -0.7450 -0.7582 -0.7976 -0.8384 -0.8707 -0.9054 -0.9481
 -0.9985 -1.0560 -1.1193 -1.1865 -1.2549 -1.3224 -1.3883 -1.4522 -1.5143 -1.5750
 -1.6348
 -0.6122 -0.6202 -0.6293 -0.6392 -0.6492 -0.6601 -0.6703 -0.6793 -0.6874 -0.6948
 -0.7022 -0.7104 -0.7197 -0.7299 -0.7431 -0.7519 -0.8113 -0.8609 -0.8972
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value = F098M
 -1.0845 -1.0873 -1.0882 -1.0812 -1.0592 -1.0221 -0.9718 -0.9176 -0.8880 -0.8756
 -0.8671 -0.8565 -0.8429 -0.8286 -0.8151 -0.7932 -0.7886 -0.7973 -0.8177
 -0.9514 -0.9574 -0.9670 -0.9740 -0.9734 -0.9610 -0.9349 -0.9044 -0.8867 -0.8803
 -0.8765 -0.8699 -0.8592 -0.8466 -0.8344 -0.8153 -0.8129 -0.8234 -0.8460 -0.8819
 -0.8442 -0.8470 -0.8592 -0.8747 -0.8882 -0.8949 -0.8915 -0.8812 -0.8753 -0.8755
