 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  I   
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  I   
 -0.7404 -0.6795 -0.5306 -0.3737 -0.2262 -0.1039 -0.0154  0.0608  0.1336  0.2032
  0.2689  0.3314  0.3907  0.4471  0.4999  0.6114  0.6871  0.7230  0.7238
 -0.4826 -0.4832 -0.4670 -0.3518 -0.2172 -0.0942  0.0033  0.0807  0.1519  0.2182
  0.2803  0.3392  0.3952  0.4480  0.4974  0.6002  0.6682  0.7003  0.7014  0.6833
 -0.3693 -0.2850 -0.2538 -0.2625 -0.1966 -0.0877  0.0148  0.0971  0.1666  0.2302
  0.2890  0.3445  0.3972  0.4469  0.4933  0.5894  0.6521  0.6819  0.6835  0.6662
  0.6389
 -0.2959 -0.2033 -0.1208 -0.0676 -0.0606 -0.0469  0.0252  0.1092  0.1805  0.2421
  0.2979  0.3502  0.3997  0.4465  0.4902  0.5807  0.6394  0.6674  0.6695  0.6528
  0.6260  0.5939
 -0.2255 -0.1446 -0.0606  0.0164  0.0764  0.1099  0.1151  0.1380  0.1950  0.2553
  0.3087  0.3579  0.4045  0.4485  0.4896  0.5750  0.6303  0.6568  0.6590  0.6426
  0.6155  0.5837  0.5484  0.5099
 -0.1514 -0.0844 -0.0115  0.0630  0.1327  0.1916  0.2348  0.2583  0.2660  0.2862
  0.3258  0.3695  0.4124  0.4534  0.4920  0.5726  0.6248  0.6498  0.6518  0.6355
  0.6077  0.5749  0.5396  0.5016  0.4611  0.4174  0.3695  0.3170  0.2605  0.2039
 -0.0735 -0.0181  0.0421  0.1060  0.1708  0.2315  0.2848  0.3293  0.3622  0.3804
  0.3899  0.4051  0.4309  0.4637  0.4983  0.5736  0.6228  0.6464  0.6481  0.6318
  0.6031  0.5686  0.5321  0.4939  0.4537  0.4118  0.3672  0.3188  0.2657  0.2083
  0.1499
  0.0035  0.0532  0.1031  0.1556  0.2104  0.2657  0.3180  0.3650  0.4057  0.4395
  0.4644  0.4795  0.4897  0.5016  0.5192  0.5785  0.6244  0.6465  0.6481  0.6319
  0.6023  0.5656  0.5268  0.4872  0.4467  0.4048  0.3617  0.3164  0.2675  0.2141
  0.1556
  0.0749  0.1247  0.1698  0.2139  0.2587  0.3047  0.3510  0.3952  0.4355  0.4714
  0.5025  0.5279  0.5469  0.5599  0.5695  0.5964  0.6306  0.6504  0.6515  0.6356
  0.6056  0.5666  0.5245  0.4821  0.4399  0.3973  0.3538  0.3083  0.2609  0.2117
  0.1609
  0.1359  0.1885  0.2347  0.2756  0.3138  0.3512  0.3890  0.4270  0.4635  0.4973
  0.5279  0.5550  0.5783  0.5973  0.6117  0.6319  0.6460  0.6582  0.6583  0.6432
  0.6138  0.5735  0.5282  0.4821  0.4368  0.3923  0.3478  0.3033  0.2580  0.2114
  0.1625
  0.1820  0.2423  0.2922  0.3349  0.3720  0.4048  0.4355  0.4659  0.4961  0.5256
  0.5531  0.5781  0.6007  0.6206  0.6375  0.6635  0.6716  0.6729  0.6684  0.6532
  0.6250  0.5850  0.5375  0.4876  0.4384  0.3905  0.3436  0.2977  0.2521  0.2062
  0.1596
  0.2109  0.2816  0.3381  0.3858  0.4257  0.4591  0.4876  0.5127  0.5363  0.5598
  0.5826  0.6039  0.6236  0.6413  0.6572  0.6855  0.6955  0.6928  0.6824
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  I   
 -0.7952 -0.6686 -0.4940 -0.3356 -0.1929 -0.0742  0.0127  0.0839  0.1498  0.2162
  0.2780  0.3364  0.3918  0.4442  0.4937  0.6014  0.6797  0.7227  0.7306
 -0.5598 -0.5758 -0.4775 -0.3266 -0.1877 -0.0659  0.0266  0.1004  0.1663  0.2298
  0.2885  0.3438  0.3962  0.4458  0.4926  0.5929  0.6637  0.7017  0.7083  0.6928
 -0.4047 -0.3417 -0.3546 -0.3058 -0.1839 -0.0652  0.0361  0.1141  0.1799  0.2411
  0.2970  0.3493  0.3988  0.4456  0.4898  0.5843  0.6501  0.6848  0.6912  0.6766
  0.6498
 -0.3379 -0.2348 -0.1601 -0.1433 -0.1388 -0.0591  0.0395  0.1252  0.1926  0.2522
  0.3057  0.3552  0.4019  0.4461  0.4879  0.5773  0.6393  0.6715  0.6777  0.6640
  0.6378  0.6054
 -0.2806 -0.1830 -0.0882 -0.0116  0.0324  0.0385  0.0629  0.1324  0.2044  0.2638
  0.3158  0.3628  0.4070  0.4486  0.4880  0.5726  0.6313  0.6617  0.6674  0.6543
  0.6283  0.5961  0.5603  0.5210
 -0.2206 -0.1350 -0.0470  0.0380  0.1107  0.1649  0.1940  0.2026  0.2272  0.2775
  0.3281  0.3729  0.4145  0.4537  0.4907  0.5706  0.6262  0.6549  0.6602  0.6473
  0.6214  0.5887  0.5527  0.5140  0.4723  0.4271  0.3780  0.3250  0.2688  0.2110
 -0.1563 -0.0820 -0.0051  0.0725  0.1472  0.2132  0.2673  0.3070  0.3291  0.3393
  0.3577  0.3897  0.4259  0.4618  0.4963  0.5714  0.6240  0.6512  0.6561  0.6433
  0.6172  0.5834  0.5464  0.5075  0.4664  0.4228  0.3765  0.3270  0.2735  0.2156
  0.1575
 -0.0924 -0.0236  0.0434  0.1110  0.1782  0.2428  0.3012  0.3509  0.3911  0.4210
  0.4389  0.4492  0.4620  0.4817  0.5075  0.5754  0.6248  0.6505  0.6550  0.6425
  0.6163  0.5813  0.5424  0.5020  0.4605  0.4175  0.3731  0.3263  0.2761  0.2218
  0.1629
 -0.0342  0.0356  0.0985  0.1577  0.2159  0.2731  0.3282  0.3787  0.4227  0.4600
  0.4903  0.5127  0.5273  0.5372  0.5471  0.5857  0.6295  0.6532  0.6572  0.6448
  0.6186  0.5824  0.5410  0.4981  0.4549  0.4112  0.3664  0.3204  0.2728  0.2222
  0.1685
  0.0137  0.0868  0.1515  0.2084  0.2601  0.3094  0.3574  0.4037  0.4465  0.4846
  0.5176  0.5455  0.5680  0.5850  0.5971  0.6168  0.6393  0.6590  0.6625  0.6506
  0.6252  0.5885  0.5448  0.4988  0.4527  0.4071  0.3615  0.3156  0.2690  0.2211
  0.1709
  0.0475  0.1278  0.1967  0.2565  0.3082  0.3529  0.3943  0.4340  0.4720  0.5076
  0.5398  0.5679  0.5923  0.6126  0.6292  0.6537  0.6638  0.6703  0.6709  0.6591
  0.6346  0.5984  0.5534  0.5044  0.4548  0.4061  0.3582  0.3111  0.2642  0.2170
  0.1693
  0.0630  0.1551  0.2307  0.2960  0.3521  0.3985  0.4373  0.4718  0.5039  0.5347
  0.5635  0.5897  0.6129  0.6331  0.6504  0.6802  0.6909  0.6901  0.6833
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  I   
 -0.8118 -0.6328 -0.4519 -0.2992 -0.1692 -0.0548  0.0319  0.1038  0.1664  0.2295
  0.2881  0.3433  0.3954  0.4445  0.4908  0.5935  0.6719  0.7189  0.7369
 -0.6618 -0.6118 -0.4558 -0.2945 -0.1598 -0.0452  0.0446  0.1171  0.1817  0.2423
  0.2983  0.3506  0.4000  0.4467  0.4908  0.5873  0.6594  0.7023  0.7150  0.7033
 -0.4416 -0.4355 -0.4227 -0.2977 -0.1583 -0.0411  0.0545  0.1298  0.1943  0.2534
  0.3068  0.3565  0.4032  0.4474  0.4893  0.5808  0.6484  0.6875  0.6988  0.6878
  0.6623
 -0.3673 -0.2643 -0.2257 -0.2347 -0.1568 -0.0414  0.0596  0.1410  0.2065  0.2641
  0.3156  0.3628  0.4071  0.4488  0.4883  0.5753  0.6394  0.6758  0.6861  0.6758
  0.6511  0.6186
 -0.3227 -0.2096 -0.1113 -0.0508 -0.0424 -0.0209  0.0615  0.1475  0.2178  0.2749
  0.3255  0.3706  0.4125  0.4518  0.4891  0.5714  0.6325  0.6669  0.6764  0.6664
  0.6425  0.6105  0.5740  0.5339
 -0.2782 -0.1732 -0.0712  0.0194  0.0871  0.1230  0.1318  0.1628  0.2258  0.2865
  0.3366  0.3803  0.4200  0.4571  0.4922  0.5698  0.6279  0.6606  0.6694  0.6596
  0.6362  0.6042  0.5678  0.5284  0.4859  0.4397  0.3894  0.3346  0.2765  0.2195
 -0.2303 -0.1349 -0.0404  0.0502  0.1312  0.1975  0.2452  0.2715  0.2833  0.3075
  0.3503  0.3924  0.4300  0.4650  0.4979  0.5707  0.6256  0.6568  0.6651  0.6555
  0.6324  0.6000  0.5629  0.5232  0.4812  0.4365  0.3889  0.3379  0.2829  0.2244
  0.1660
 -0.1821 -0.0916 -0.0057  0.0774  0.1560  0.2279  0.2889  0.3374  0.3727  0.3940
  0.4061  0.4224  0.4475  0.4768  0.5065  0.5743  0.6260  0.6555  0.6635  0.6541
  0.6312  0.5985  0.5600  0.5192  0.4767  0.4326  0.3861  0.3376  0.2863  0.2312
  0.1718
 -0.1392 -0.0478  0.0353  0.1114  0.1834  0.2510  0.3133  0.3677  0.4127  0.4487
  0.4754  0.4926  0.5037  0.5146  0.5293  0.5820  0.6298  0.6574  0.6648  0.6555
  0.6327  0.5994  0.5594  0.5164  0.4724  0.4276  0.3815  0.3340  0.2848  0.2331
  0.1778
 -0.1062 -0.0108  0.0740  0.1489  0.2156  0.2772  0.3348  0.3881  0.4354  0.4757
  0.5092  0.5360  0.5562  0.5700  0.5796  0.6026  0.6366  0.6620  0.6688  0.6599
  0.6377  0.6045  0.5632  0.5177  0.4712  0.4247  0.3779  0.3306  0.2824  0.2329
  0.1813
 -0.0866  0.0160  0.1055  0.1842  0.2514  0.3094  0.3618  0.4105  0.4553  0.4958
  0.5309  0.5606  0.5852  0.6048  0.6199  0.6415  0.6555  0.6702  0.6757  0.6669
  0.6455  0.6127  0.5708  0.5233  0.4739  0.4246  0.3757  0.3273  0.2790  0.2303
  0.1812
 -0.0845  0.0300  0.1264  0.2108  0.2835  0.3440  0.3945  0.4389  0.4793  0.5166
  0.5505  0.5802  0.6056  0.6270  0.6446  0.6735  0.6845  0.6874  0.6859
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  I   
 -0.7837 -0.5830 -0.4055 -0.2629 -0.1425 -0.0361  0.0476  0.1217  0.1840  0.2429
  0.2991  0.3519  0.4013  0.4477  0.4913  0.5884  0.6651  0.7173  0.7405
 -0.6462 -0.6012 -0.4203 -0.2604 -0.1311 -0.0238  0.0614  0.1338  0.1971  0.2554
  0.3092  0.3594  0.4064  0.4505  0.4923  0.5844  0.6558  0.7024  0.7210  0.7142
 -0.5076 -0.5301 -0.4289 -0.2715 -0.1309 -0.0161  0.0728  0.1463  0.2091  0.2665
  0.3181  0.3657  0.4102  0.4521  0.4917  0.5795  0.6473  0.6901  0.7063  0.6994
  0.6760
 -0.3891 -0.3101 -0.3243 -0.2694 -0.1396 -0.0180  0.0802  0.1572  0.2208  0.2772
  0.3271  0.3724  0.4145  0.4541  0.4916  0.5751  0.6399  0.6802  0.6948  0.6881
  0.6658  0.6336
 -0.3514 -0.2279 -0.1412 -0.1235 -0.1143 -0.0225  0.0802  0.1653  0.2318  0.2876
  0.3369  0.3803  0.4203  0.4576  0.4929  0.5720  0.6340  0.6724  0.6859  0.6793
  0.6579  0.6266  0.5897  0.5491
 -0.3224 -0.1984 -0.0870  0.0000  0.0467  0.0543  0.0892  0.1671  0.2403  0.2985
  0.3475  0.3900  0.4280  0.4632  0.4964  0.5707  0.6297  0.6665  0.6794  0.6728
  0.6520  0.6214  0.5848  0.5447  0.5013  0.4541  0.4024  0.3461  0.2871  0.2296
 -0.2918 -0.1742 -0.0637  0.0355  0.1179  0.1761  0.2066  0.2198  0.2526  0.3081
  0.3588  0.4012  0.4378  0.4711  0.5022  0.5718  0.6275  0.6627  0.6751  0.6686
  0.6483  0.6180  0.5813  0.5411  0.4982  0.4524  0.4035  0.3509  0.2943  0.2349
  0.1763
 -0.2630 -0.1477 -0.0421  0.0549  0.1425  0.2174  0.2764  0.3182  0.3429  0.3576
  0.3802  0.4152  0.4500  0.4815  0.5106  0.5755  0.6277  0.6610  0.6731  0.6669
  0.6469  0.6166  0.5794  0.5384  0.4951  0.4500  0.4022  0.3520  0.2989  0.2425
  0.1824
 -0.2375 -0.1207 -0.0166  0.0767  0.1611  0.2372  0.3039  0.3589  0.4020  0.4335
  0.4541  0.4674  0.4819  0.5012  0.5241  0.5827  0.6311  0.6624  0.6736  0.6675
  0.6476  0.6172  0.5792  0.5367  0.4922  0.4465  0.3991  0.3503  0.2995  0.2459
  0.1891
 -0.2215 -0.1008  0.0062  0.0997  0.1815  0.2546  0.3203  0.3786  0.4280  0.4684
  0.5004  0.5244  0.5410  0.5522  0.5619  0.5948  0.6368  0.6659  0.6766  0.6708
  0.6514  0.6212  0.5825  0.5385  0.4921  0.4449  0.3970  0.3483  0.2986  0.2469
  0.1938
 -0.2183 -0.0899  0.0222  0.1204  0.2041  0.2755  0.3384  0.3948  0.4449  0.4884
  0.5247  0.5544  0.5781  0.5960  0.6088  0.6283  0.6491  0.6725  0.6822  0.6765
  0.6577  0.6279  0.5891  0.5438  0.4953  0.4458  0.3962  0.3466  0.2968  0.2463
  0.1955
 -0.2312 -0.0911  0.0285  0.1330  0.2229  0.2980  0.3605  0.4144  0.4622  0.5048
  0.5423  0.5740  0.6004  0.6219  0.6390  0.6651  0.6769  0.6853  0.6905
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  I   
 -0.7346 -0.5355 -0.3685 -0.2360 -0.1174 -0.0146  0.0644  0.1346  0.1987  0.2562
  0.3103  0.3615  0.4090  0.4535  0.4949  0.5870  0.6579  0.7089  0.7428
 -0.7008 -0.5681 -0.3836 -0.2307 -0.1079 -0.0030  0.0774  0.1483  0.2119  0.2685
  0.3206  0.3693  0.4145  0.4568  0.4966  0.5846  0.6543  0.7026  0.7262  0.7250
 -0.6076 -0.5665 -0.4073 -0.2417 -0.1057  0.0043  0.0908  0.1614  0.2233  0.2798
  0.3298  0.3760  0.4189  0.4590  0.4968  0.5809  0.6477  0.6928  0.7136  0.7112
  0.6908
 -0.4706 -0.3974 -0.3886 -0.2585 -0.1146  0.0044  0.0988  0.1731  0.2351  0.2907
  0.3391  0.3831  0.4236  0.4616  0.4973  0.5773  0.6416  0.6847  0.7036  0.7008
  0.6813  0.6503
 -0.3668 -0.2463 -0.2002 -0.2105 -0.1235 -0.0025  0.1005  0.1818  0.2462  0.3007
  0.3491  0.3912  0.4297  0.4655  0.4991  0.5746  0.6363  0.6779  0.6958  0.6928
  0.6741  0.6443  0.6073  0.5661
 -0.3493 -0.2127 -0.1005 -0.0335 -0.0259  0.0044  0.0964  0.1849  0.2557  0.3115
  0.3596  0.4009  0.4376  0.4713  0.5029  0.5737  0.6323  0.6725  0.6898  0.6868
  0.6688  0.6399  0.6036  0.5629  0.5185  0.4704  0.4175  0.3595  0.2997  0.2414
 -0.3370 -0.1995 -0.0769  0.0256  0.0996  0.1361  0.1480  0.1899  0.2595  0.3215
  0.3702  0.4118  0.4474  0.4794  0.5090  0.5750  0.6300  0.6685  0.6855  0.6828
  0.6652  0.6369  0.6011  0.5606  0.5169  0.4702  0.4198  0.3657  0.3078  0.2473
  0.1883
 -0.3275 -0.1896 -0.0660  0.0422  0.1343  0.2070  0.2570  0.2847  0.3018  0.3338
  0.3812  0.4233  0.4589  0.4895  0.5174  0.5789  0.6301  0.6666  0.6831  0.6807
  0.6635  0.6356  0.5999  0.5592  0.5155  0.4694  0.4206  0.3692  0.3144  0.2559
  0.1949
 -0.3242 -0.1812 -0.0559  0.0534  0.1483  0.2297  0.2969  0.3488  0.3858  0.4095
  0.4263  0.4469  0.4749  0.5032  0.5292  0.5861  0.6335  0.6674  0.6830  0.6806
  0.6635  0.6357  0.5998  0.5584  0.5139  0.4675  0.4192  0.3688  0.3164  0.2611
  0.2024
 -0.3281 -0.1799 -0.0504  0.0622  0.1583  0.2410  0.3123  0.3728  0.4217  0.4600
  0.4885  0.5082  0.5222  0.5354  0.5504  0.5956  0.6388  0.6703  0.6850  0.6828
  0.6663  0.6386  0.6025  0.5605  0.5149  0.4675  0.4188  0.3689  0.3175  0.2643
  0.2090
 -0.3373 -0.1856 -0.0514  0.0670  0.1676  0.2519  0.3237  0.3858  0.4390  0.4834
  0.5194  0.5478  0.5693  0.5849  0.5960  0.6182  0.6478  0.6759  0.6895  0.6873
  0.6713  0.6440  0.6079  0.5653  0.5184  0.4694  0.4194  0.3688  0.3175  0.2653
  0.2125
 -0.3519 -0.1984 -0.0582  0.0644  0.1721  0.2620  0.3360  0.3983  0.4517  0.4980
  0.5373  0.5697  0.5960  0.6167  0.6660  0.6539  0.6605  0.6842  0.6965
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  I   
 -0.6833 -0.4882 -0.3319 -0.2106 -0.0939  0.0039  0.0837  0.1511  0.2140  0.2694
  0.3223  0.3722  0.4186  0.4614  0.5012  0.5890  0.6575  0.7084  0.7442
 -0.7259 -0.5251 -0.3457 -0.2010 -0.0856  0.0152  0.0965  0.1641  0.2272  0.2819
  0.3328  0.3803  0.4244  0.4653  0.5036  0.5878  0.6552  0.7038  0.7310  0.7354
 -0.5855 -0.5583 -0.3688 -0.2115 -0.0827  0.0229  0.1080  0.1768  0.2380  0.2933
  0.3423  0.3874  0.4291  0.4680  0.5044  0.5850  0.6501  0.6963  0.7207  0.7230
  0.7063
 -0.4645 -0.4910 -0.3946 -0.2335 -0.0891  0.0243  0.1159  0.1884  0.2492  0.3043
  0.3517  0.3947  0.4342  0.4709  0.5053  0.5820  0.6449  0.6896  0.7124  0.7139
  0.6977  0.6686
 -0.3774 -0.2812 -0.2947 -0.2400 -0.1055  0.0200  0.1196  0.1978  0.2603  0.3140
  0.3619  0.4030  0.4405  0.4751  0.5074  0.5797  0.6400  0.6836  0.7057  0.7068
  0.6912  0.6632  0.6267  0.5845
 -0.3640 -0.2216 -0.1221 -0.1021 -0.0908  0.0091  0.1160  0.2026  0.2702  0.3248
  0.3722  0.4127  0.4485  0.4810  0.5113  0.5789  0.6361  0.6784  0.7003  0.7015
  0.6863  0.6593  0.6239  0.5827  0.5379  0.4885  0.4338  0.3750  0.3143  0.2551
 -0.3655 -0.2127 -0.0844  0.0128  0.0626  0.0703  0.1157  0.2007  0.2759  0.3350
  0.3826  0.4235  0.4583  0.4891  0.5175  0.5803  0.6338  0.6743  0.6960  0.6976
  0.6829  0.6567  0.6220  0.5815  0.5374  0.4902  0.4391  0.3834  0.3233  0.2620
  0.2021
 -0.3742 -0.2157 -0.0787  0.0355  0.1266  0.1889  0.2196  0.2374  0.2804  0.3414
  0.3933  0.4345  0.4696  0.4994  0.5261  0.5844  0.6338  0.6719  0.6930  0.6951
  0.6811  0.6553  0.6212  0.5811  0.5373  0.4907  0.4407  0.3874  0.3309  0.2716
  0.2096
 -0.3947 -0.2251 -0.0808  0.0406  0.1417  0.2245  0.2878  0.3315  0.3578  0.3781
  0.4080  0.4478  0.4825  0.5122  0.5376  0.5918  0.6371  0.6724  0.6922  0.6943
  0.6806  0.6550  0.6211  0.5810  0.5370  0.4904  0.4414  0.3900  0.3360  0.2788
  0.2182
 -0.4184 -0.2429 -0.0916  0.0378  0.1448  0.2338  0.3078  0.3676  0.4134  0.4468
  0.4700  0.4878  0.5068  0.5291  0.5516  0.6010  0.6424  0.6748  0.6933  0.6954
  0.6823  0.6572  0.6234  0.5832  0.5389  0.4918  0.4427  0.3919  0.3391  0.2840
  0.2269
 -0.4565 -0.2702 -0.1096  0.0276  0.1431  0.2374  0.3155  0.3810  0.4351  0.4788
  0.5129  0.5387  0.5576  0.5718  0.5842  0.6156  0.6507  0.6799  0.6968  0.6987
  0.6861  0.6615  0.6279  0.5876  0.5427  0.4948  0.4448  0.3936  0.3411  0.2873
  0.2322
 -0.5091 -0.3070 -0.1326  0.0085  0.1339  0.2370  0.3202  0.3886  0.4459  0.4942
  0.5340  0.5659  0.5912  0.6106  0.6354  0.6356  0.6620  0.6877  0.7027
 [Fe/H] =  0.50 [alpha/Fe] =-0.40 BC value =  I   
 -0.6139 -0.4422 -0.3007 -0.1865 -0.0696  0.0234  0.0997  0.1667  0.2271  0.2827
  0.3350  0.3840  0.4294  0.4714  0.5101  0.5944  0.6627  0.7127  0.7455
 -0.6869 -0.4790 -0.3100 -0.1761 -0.0637  0.0340  0.1126  0.1786  0.2409  0.2952
  0.3455  0.3923  0.4356  0.4756  0.5129  0.5942  0.6592  0.7070  0.7361  0.7447
 -0.7047 -0.5269 -0.3390 -0.1829 -0.0634  0.0409  0.1242  0.1914  0.2528  0.3069
  0.3550  0.3995  0.4406  0.4786  0.5140  0.5920  0.6551  0.7013  0.7281  0.7348
  0.7221
 -0.4983 -0.5308 -0.3742 -0.2050 -0.0653  0.0431  0.1326  0.2032  0.2628  0.3180
  0.3647  0.4069  0.4458  0.4817  0.5151  0.5893  0.6504  0.6956  0.7215  0.7272
  0.7146  0.6878
 -0.3913 -0.3589 -0.3581 -0.2297 -0.0817  0.0410  0.1363  0.2128  0.2741  0.3273
  0.3748  0.4153  0.4522  0.4860  0.5174  0.5872  0.6458  0.6901  0.7154  0.7211
  0.7089  0.6832  0.6476  0.6052
