 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -1.4280 -1.2888 -1.1626 -1.0495 -0.9477 -0.7329 -0.5565 -0.4051 -0.2760
 -3.5211 -3.4325 -3.1628 -2.8268 -2.5210 -2.2456 -2.0187 -1.8271 -1.6550 -1.4948
 -1.3461 -1.2097 -1.0864 -0.9763 -0.8780 -0.6749 -0.5127 -0.3772 -0.2640 -0.1723
 -3.2537 -3.0397 -2.9624 -2.7814 -2.4915 -2.2180 -1.9763 -1.7764 -1.6037 -1.4460
 -1.3002 -1.1662 -1.0448 -0.9362 -0.8394 -0.6411 -0.4865 -0.3606 -0.2575 -0.1747
 -0.1089
 -3.1741 -2.8767 -2.6605 -2.5435 -2.4396 -2.2119 -1.9684 -1.7544 -1.5762 -1.4195
 -1.2765 -1.1447 -1.0248 -0.9170 -0.8206 -0.6235 -0.4721 -0.3516 -0.2552 -0.1789
 -0.1186 -0.0690
 -3.1510 -2.8319 -2.5655 -2.3547 -2.2002 -2.1004 -1.9625 -1.7596 -1.5684 -1.4073
 -1.2661 -1.1365 -1.0178 -0.9106 -0.8144 -0.6164 -0.4654 -0.3474 -0.2552 -0.1837
 -0.1282 -0.0828 -0.0440 -0.0097
 -3.1660 -2.8305 -2.5443 -2.3029 -2.1033 -1.9378 -1.8083 -1.7056 -1.5722 -1.4095
 -1.2640 -1.1359 -1.0185 -0.9119 -0.8156 -0.6161 -0.4634 -0.3459 -0.2560 -0.1879
 -0.1366 -0.0957 -0.0608 -0.0301 -0.0033  0.0193  0.0369  0.0478  0.0505  0.0449
 -3.2165 -2.8633 -2.5582 -2.2986 -2.0790 -1.8927 -1.7319 -1.5922 -1.4779 -1.3781
 -1.2632 -1.1407 -1.0239 -0.9175 -0.8214 -0.6201 -0.4646 -0.3458 -0.2565 -0.1906
 -0.1427 -0.1063 -0.0760 -0.0492 -0.0253 -0.0042  0.0137  0.0270  0.0338  0.0306
  0.0193
 -3.2926 -2.9285 -2.6035 -2.3240 -2.0870 -1.8866 -1.7145 -1.5629 -1.4276 -1.3088
 -1.2082 -1.1180 -1.0240 -0.9253 -0.8297 -0.6269 -0.4684 -0.3465 -0.2564 -0.1912
