 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  R   
 -1.5114 -1.3572 -1.2038 -1.0533 -0.9092 -0.7742 -0.6505 -0.5390 -0.4408 -0.3571
 -0.2892 -0.2379 -0.1941 -0.1487 -0.1000  0.0137  0.1004  0.1623  0.2016  0.2207
  0.2240  0.2186  0.2103  0.2007  0.1903  0.1787  0.1667  0.1523  0.1330  0.1067
  0.0723
 -1.4851 -1.3302 -1.1846 -1.0409 -0.9013 -0.7693 -0.6464 -0.5334 -0.4315 -0.3412
 -0.2635 -0.1993 -0.1480 -0.1056 -0.0670  0.0277  0.1085  0.1684  0.2070  0.2258
  0.2278  0.2189  0.2057  0.1915  0.1774  0.1631  0.1482  0.1312  0.1121  0.0910
  0.0681
 -1.4786 -1.3161 -1.1684 -1.0318 -0.8977 -0.7686 -0.6476 -0.5354 -0.4325 -0.3393
 -0.2568 -0.1860 -0.1272 -0.0786 -0.0373  0.0480  0.1209  0.1769  0.2148  0.2341
  0.2363  0.2253  0.2075  0.1881  0.1690  0.1507  0.1326  0.1148  0.0966  0.0772
  0.0550
 -1.5068 -1.3073 -1.1562 -1.0228 -0.8954 -0.7705 -0.6511 -0.5397 -0.4371 -0.3429
 -0.2577 -0.1827 -0.1185 -0.0650 -0.0200  0.0680  0.1360  0.1890  0.2249  0.2445
  0.2476  0.2364  0.2158  0.1914  0.1668  0.1432  0.1207  0.0993  0.0786  0.0579
  0.0365
 -1.5794 -1.3322 -1.1566 -1.0175 -0.8915 -0.7723 -0.6576 -0.5468 -0.4439 -0.3493
 -0.2629 -0.1851 -0.1166 -0.0583 -0.0095  0.0832  0.1510  0.2021  0.2369
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  R   
 -2.3148 -2.1057 -1.8278 -1.5678 -1.3233 -1.1123 -0.9546 -0.8280 -0.7159 -0.6101
 -0.5117 -0.4191 -0.3320 -0.2507 -0.1750 -0.0133  0.1087  0.1956  0.2535
 -1.9987 -1.9668 -1.7883 -1.5413 -1.3056 -1.0886 -0.9171 -0.7832 -0.6698 -0.5665
 -0.4712 -0.3820 -0.2985 -0.2207 -0.1488  0.0022  0.1139  0.1923  0.2438  0.2748
 -1.7967 -1.6598 -1.6273 -1.5120 -1.2995 -1.0901 -0.9035 -0.7569 -0.6394 -0.5371
 -0.4445 -0.3585 -0.2783 -0.2039 -0.1353  0.0082  0.1136  0.1871  0.2348  0.2631
  0.2781
 -1.7297 -1.5306 -1.3811 -1.3100 -1.2523 -1.0917 -0.9093 -0.7480 -0.6206 -0.5161
 -0.4252 -0.3418 -0.2646 -0.1933 -0.1276  0.0099  0.1109  0.1812  0.2266  0.2529
  0.2662  0.2719
 -1.6928 -1.4891 -1.3040 -1.1522 -1.0448 -0.9858 -0.8987 -0.7542 -0.6147 -0.5017
 -0.4098 -0.3282 -0.2535 -0.1847 -0.1217  0.0103  0.1079  0.1760  0.2197  0.2445
  0.2559  0.2601  0.2597  0.2560
 -1.6672 -1.4690 -1.2811 -1.1098 -0.9626 -0.8419 -0.7538 -0.6921 -0.6080 -0.4967
 -0.3977 -0.3161 -0.2429 -0.1763 -0.1155  0.0116  0.1059  0.1723  0.2148  0.2384
  0.2479  0.2497  0.2476  0.2424  0.2340  0.2219  0.2052  0.1830  0.1547  0.1220
 -1.6477 -1.4571 -1.2730 -1.1001 -0.9425 -0.8035 -0.6835 -0.5838 -0.5087 -0.4495
 -0.3805 -0.3042 -0.2322 -0.1671 -0.1081  0.0147  0.1060  0.1707  0.2125  0.2350
  0.2429  0.2419  0.2369  0.2298  0.2205  0.2088  0.1943  0.1758  0.1515  0.1193
  0.0840
 -1.6321 -1.4489 -1.2707 -1.1005 -0.9419 -0.7975 -0.6683 -0.5545 -0.4564 -0.3750
 -0.3117 -0.2601 -0.2090 -0.1539 -0.0985  0.0202  0.1086  0.1719  0.2130  0.2351
  0.2417  0.2379  0.2292  0.2188  0.2072  0.1944  0.1810  0.1649  0.1441  0.1167
  0.0817
 -1.6261 -1.4413 -1.2692 -1.1033 -0.9464 -0.8015 -0.6694 -0.5503 -0.4444 -0.3518
 -0.2730 -0.2086 -0.1584 -0.1158 -0.0740  0.0302  0.1152  0.1768  0.2172  0.2390
  0.2447  0.2383  0.2256  0.2108  0.1956  0.1801  0.1638  0.1466  0.1276  0.1047
  0.0779
 -1.6383 -1.4421 -1.2717 -1.1112 -0.9573 -0.8129 -0.6802 -0.5592 -0.4497 -0.3517
 -0.2657 -0.1920 -0.1311 -0.0820 -0.0409  0.0474  0.1248  0.1839  0.2239  0.2459
  0.2517  0.2440  0.2278  0.2082  0.1883  0.1687  0.1494  0.1302  0.1105  0.0895
  0.0658
 -1.6836 -1.4560 -1.2783 -1.1199 -0.9706 -0.8283 -0.6952 -0.5733 -0.4622 -0.3613
 -0.2708 -0.1914 -0.1235 -0.0673 -0.0208  0.0684  0.1390  0.1946  0.2331  0.2553
  0.2617  0.2540  0.2356  0.2118  0.1867  0.1621  0.1385  0.1157  0.0936  0.0714
  0.0489
 -1.7796 -1.4971 -1.2960 -1.1319 -0.9844 -0.8456 -0.7141 -0.5912 -0.4787 -0.3760
 -0.2830 -0.1995 -0.1263 -0.0639 -0.0119  0.0844  0.1539  0.2075  0.2446
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  R   
 -2.3400 -2.0570 -1.7717 -1.5179 -1.2884 -1.0810 -0.9216 -0.7925 -0.6828 -0.5802
 -0.4850 -0.3958 -0.3120 -0.2335 -0.1602 -0.0011  0.1207  0.2084  0.2668
 -2.1267 -2.0108 -1.7621 -1.5029 -1.2709 -1.0606 -0.8908 -0.7568 -0.6435 -0.5428
 -0.4501 -0.3637 -0.2827 -0.2071 -0.1367  0.0133  0.1259  0.2050  0.2572  0.2889
 -1.8384 -1.7799 -1.7153 -1.5049 -1.2722 -1.0623 -0.8802 -0.7356 -0.6182 -0.5175
 -0.4269 -0.3430 -0.2650 -0.1922 -0.1246  0.0188  0.1257  0.2002  0.2488  0.2782
  0.2935
 -1.7577 -1.5647 -1.4669 -1.4312 -1.2779 -1.0746 -0.8878 -0.7291 -0.6029 -0.4996
 -0.4100 -0.3282 -0.2526 -0.1825 -0.1176  0.0203  0.1231  0.1947  0.2411  0.2688
  0.2828  0.2881
 -1.7352 -1.5146 -1.3306 -1.2045 -1.1458 -1.0652 -0.9027 -0.7385 -0.5990 -0.4879
 -0.3967 -0.3161 -0.2425 -0.1747 -0.1121  0.0207  0.1200  0.1895  0.2345  0.2610
  0.2736  0.2776  0.2766  0.2717
 -1.7300 -1.5067 -1.3039 -1.1304 -0.9940 -0.8989 -0.8368 -0.7421 -0.6086 -0.4854
 -0.3867 -0.3056 -0.2330 -0.1670 -0.1064  0.0216  0.1178  0.1857  0.2296  0.2551
  0.2665  0.2688  0.2661  0.2601  0.2514  0.2386  0.2203  0.1953  0.1645  0.1329
 -1.7340 -1.5133 -1.3071 -1.1208 -0.9589 -0.8235 -0.7132 -0.6302 -0.5651 -0.4832
 -0.3832 -0.2966 -0.2239 -0.1588 -0.0998  0.0242  0.1174  0.1837  0.2270  0.2517
  0.2620  0.2622  0.2571  0.2491  0.2388  0.2259  0.2104  0.1903  0.1637  0.1306
  0.0958
 -1.7426 -1.5266 -1.3221 -1.1323 -0.9617 -0.8116 -0.6823 -0.5713 -0.4789 -0.4058
 -0.3451 -0.2804 -0.2136 -0.1498 -0.0919  0.0287  0.1193  0.1841  0.2269  0.2513
  0.2607  0.2590  0.2507  0.2397  0.2271  0.2130  0.1967  0.1784  0.1564  0.1287
  0.0931
 -1.7610 -1.5432 -1.3402 -1.1511 -0.9772 -0.8210 -0.6827 -0.5612 -0.4552 -0.3637
 -0.2872 -0.2251 -0.1740 -0.1263 -0.0776  0.0368  0.1247  0.1881  0.2302  0.2543
  0.2630  0.2595  0.2481  0.2331  0.2169  0.2002  0.1825  0.1635  0.1428  0.1191
  0.0898
 -1.7966 -1.5649 -1.3637 -1.1773 -1.0032 -0.8437 -0.7005 -0.5727 -0.4596 -0.3598
 -0.2729 -0.1987 -0.1372 -0.0881 -0.0464  0.0490  0.1321  0.1939  0.2357  0.2599
  0.2687  0.2643  0.2504  0.2313  0.2108  0.1902  0.1695  0.1488  0.1274  0.1045
  0.0791
 -1.8613 -1.6007 -1.3913 -1.2053 -1.0333 -0.8733 -0.7268 -0.5950 -0.4770 -0.3716
 -0.2782 -0.1968 -0.1270 -0.0691 -0.0217  0.0692  0.1440  0.2027  0.2437  0.2681
  0.2773  0.2728  0.2574  0.2350  0.2099  0.1847  0.1598  0.1357  0.1120  0.0881
  0.0641
 -1.9750 -1.6608 -1.4293 -1.2367 -1.0645 -0.9060 -0.7589 -0.6240 -0.5023 -0.3928
 -0.2946 -0.2075 -0.1314 -0.0665 -0.0124  0.0865  0.1580  0.2146  0.2541
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  R   
 -2.3349 -2.0213 -1.7332 -1.4845 -1.2608 -1.0587 -0.8996 -0.7650 -0.6538 -0.5550
 -0.4620 -0.3750 -0.2938 -0.2177 -0.1464  0.0098  0.1320  0.2205  0.2802
 -2.1243 -2.0159 -1.7349 -1.4725 -1.2414 -1.0366 -0.8704 -0.7345 -0.6212 -0.5222
 -0.4311 -0.3467 -0.2679 -0.1941 -0.1252  0.0237  0.1377  0.2187  0.2720  0.3047
 -1.9307 -1.9108 -1.7344 -1.4842 -1.2472 -1.0356 -0.8597 -0.7163 -0.5995 -0.5000
 -0.4106 -0.3284 -0.2519 -0.1806 -0.1141  0.0292  0.1381  0.2145  0.2644  0.2948
  0.3109
 -1.7825 -1.6269 -1.5996 -1.4819 -1.2656 -1.0537 -0.8667 -0.7116 -0.5869 -0.4842
 -0.3955 -0.3150 -0.2407 -0.1717 -0.1075  0.0307  0.1359  0.2096  0.2573  0.2863
  0.3013  0.3066
 -1.7619 -1.5333 -1.3702 -1.3029 -1.2437 -1.0735 -0.8872 -0.7214 -0.5846 -0.4744
 -0.3837 -0.3040 -0.2313 -0.1643 -0.1023  0.0311  0.1330  0.2048  0.2512  0.2790
  0.2931  0.2975  0.2959  0.2904
 -1.7747 -1.5283 -1.3181 -1.1552 -1.0500 -0.9933 -0.8956 -0.7416 -0.5954 -0.4732
 -0.3752 -0.2944 -0.2225 -0.1570 -0.0968  0.0320  0.1307  0.2008  0.2465  0.2735
  0.2868  0.2899  0.2870  0.2802  0.2702  0.2560  0.2362  0.2099  0.1781  0.1457
 -1.8024 -1.5507 -1.3255 -1.1322 -0.9746 -0.8536 -0.7672 -0.7003 -0.6048 -0.4834
 -0.3741 -0.2869 -0.2142 -0.1493 -0.0905  0.0343  0.1300  0.1985  0.2436  0.2701
  0.2825  0.2845  0.2796  0.2710  0.2597  0.2456  0.2282  0.2062  0.1782  0.1441
  0.1089
 -1.8412 -1.5867 -1.3552 -1.1494 -0.9717 -0.8221 -0.6990 -0.5982 -0.5188 -0.4511
 -0.3729 -0.2841 -0.2072 -0.1418 -0.0833  0.0385  0.1314  0.1984  0.2430  0.2692
  0.2810  0.2816  0.2744  0.2632  0.2497  0.2345  0.2169  0.1969  0.1728  0.1431
  0.1066
 -1.8864 -1.6271 -1.3943 -1.1822 -0.9935 -0.8300 -0.6903 -0.5711 -0.4691 -0.3828
 -0.3117 -0.2504 -0.1896 -0.1305 -0.0740  0.0457  0.1361  0.2016  0.2455  0.2715
  0.2826  0.2819  0.2724  0.2579  0.2412  0.2235  0.2044  0.1843  0.1618  0.1354
  0.1042
 -1.9493 -1.6764 -1.4410 -1.2278 -1.0334 -0.8605 -0.7098 -0.5792 -0.4661 -0.3676
 -0.2823 -0.2098 -0.1490 -0.0984 -0.0529  0.0541  0.1420  0.2063  0.2500  0.2761
  0.2871  0.2856  0.2744  0.2567  0.2363  0.2150  0.1932  0.1708  0.1476  0.1234
  0.0952
 -2.0390 -1.7379 -1.4923 -1.2770 -1.0814 -0.9037 -0.7450 -0.6055 -0.4836 -0.3768
 -0.2832 -0.2017 -0.1316 -0.0727 -0.0247  0.0704  0.1512  0.2136  0.2568  0.2831
  0.2944  0.2928  0.2805  0.2603  0.2361  0.2105  0.1849  0.1594  0.1340  0.1081
  0.0823
 -2.1715 -1.8206 -1.5535 -1.3295 -1.1318 -0.9529 -0.7903 -0.6442 -0.5148 -0.4007
 -0.3000 -0.2115 -0.1345 -0.0683 -0.0127  0.0886  0.1637  0.2236  0.2658
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  R   
 -2.2520 -1.9414 -1.6704 -1.4387 -1.2209 -1.0269 -0.8757 -0.7458 -0.6317 -0.5335
 -0.4422 -0.3569 -0.2775 -0.2033 -0.1339  0.0197  0.1403  0.2305  0.2948
 -2.1850 -1.9691 -1.6854 -1.4329 -1.2112 -1.0107 -0.8520 -0.7174 -0.6026 -0.5046
 -0.4146 -0.3314 -0.2542 -0.1820 -0.1144  0.0334  0.1490  0.2326  0.2880  0.3220
 -2.0544 -1.9556 -1.7116 -1.4529 -1.2205 -1.0139 -0.8409 -0.7008 -0.5840 -0.4846
 -0.3961 -0.3148 -0.2396 -0.1696 -0.1041  0.0389  0.1501  0.2295  0.2814  0.3130
  0.3299
 -1.8813 -1.7394 -1.6850 -1.4772 -1.2447 -1.0337 -0.8487 -0.6965 -0.5732 -0.4705
 -0.3824 -0.3025 -0.2292 -0.1611 -0.0977  0.0406  0.1485  0.2253  0.2752  0.3054
  0.3214  0.3271
 -1.7705 -1.5534 -1.4495 -1.4204 -1.2641 -1.0598 -0.8708 -0.7064 -0.5714 -0.4621
 -0.3718 -0.2924 -0.2203 -0.1541 -0.0926  0.0411  0.1459  0.2209  0.2697  0.2989
  0.3143  0.3193  0.3174  0.3114
 -1.7949 -1.5363 -1.3326 -1.2020 -1.1503 -1.0644 -0.8959 -0.7284 -0.5820 -0.4616
 -0.3642 -0.2837 -0.2120 -0.1470 -0.0872  0.0421  0.1436  0.2171  0.2652  0.2938
  0.3085  0.3129  0.3100  0.3025  0.2914  0.2763  0.2552  0.2269  0.1941  0.1606
 -1.8470 -1.5682 -1.3321 -1.1413 -1.0006 -0.9111 -0.8497 -0.7444 -0.6031 -0.4724
 -0.3640 -0.2770 -0.2044 -0.1396 -0.0809  0.0445  0.1426  0.2145  0.2621  0.2904
  0.3045  0.3081  0.3039  0.2949  0.2829  0.2678  0.2488  0.2250  0.1952  0.1601
  0.1240
 -1.9158 -1.6248 -1.3708 -1.1546 -0.9767 -0.8361 -0.7281 -0.6470 -0.5761 -0.4837
 -0.3742 -0.2764 -0.1983 -0.1327 -0.0740  0.0487  0.1438  0.2139  0.2609  0.2891
  0.3027  0.3053  0.2996  0.2886  0.2747  0.2586  0.2397  0.2181  0.1921  0.1602
  0.1226
 -1.9912 -1.6922 -1.4285 -1.1968 -0.9986 -0.8333 -0.6977 -0.5859 -0.4931 -0.4164
 -0.3474 -0.2732 -0.1941 -0.1254 -0.0660  0.0555  0.1482  0.2164  0.2627  0.2906
  0.3036  0.3052  0.2979  0.2845  0.2679  0.2495  0.2293  0.2072  0.1829  0.1547
  0.1212
 -2.0772 -1.7710 -1.4997 -1.2600 -1.0482 -0.8659 -0.7122 -0.5830 -0.4736 -0.3793
 -0.2983 -0.2291 -0.1679 -0.1100 -0.0562  0.0622  0.1535  0.2203  0.2662  0.2941
  0.3071  0.3080  0.2994  0.2838  0.2642  0.2426  0.2200  0.1963  0.1712  0.1443
  0.1145
 -2.1881 -1.8613 -1.5771 -1.3315 -1.1131 -0.9196 -0.7516 -0.6081 -0.4858 -0.3804
 -0.2888 -0.2091 -0.1402 -0.0809 -0.0308  0.0734  0.1606  0.2265  0.2720  0.3002
  0.3134  0.3140  0.3045  0.2871  0.2646  0.2395  0.2133  0.1868  0.1597  0.1319
  0.1037
 -2.3240 -1.9630 -1.6623 -1.4072 -1.1835 -0.9850 -0.8079 -0.6527 -0.5185 -0.4026
 -0.3020 -0.2143 -0.1377 -0.0714  0.0102  0.0891  0.1695  0.2350  0.2801
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  R   
 -2.2011 -1.8914 -1.6295 -1.4108 -1.1939 -1.0066 -0.8541 -0.7270 -0.6133 -0.5164
 -0.4256 -0.3411 -0.2628 -0.1901 -0.1221  0.0290  0.1494  0.2417  0.3098
 -2.2336 -1.9291 -1.6477 -1.4024 -1.1885 -0.9930 -0.8329 -0.7021 -0.5870 -0.4900
 -0.4005 -0.3180 -0.2417 -0.1707 -0.1041  0.0424  0.1596  0.2462  0.3046  0.3406
 -2.0354 -1.9590 -1.6776 -1.4256 -1.1996 -0.9971 -0.8256 -0.6877 -0.5707 -0.4719
 -0.3836 -0.3028 -0.2283 -0.1591 -0.0944  0.0480  0.1614  0.2443  0.2992  0.3326
  0.3506
 -1.8764 -1.8652 -1.7045 -1.4598 -1.2243 -1.0174 -0.8342 -0.6840 -0.5619 -0.4591
 -0.3711 -0.2914 -0.2185 -0.1511 -0.0882  0.0499  0.1603  0.2409  0.2940  0.3259
  0.3431  0.3495
 -1.7777 -1.6005 -1.5763 -1.4676 -1.2554 -1.0439 -0.8555 -0.6933 -0.5605 -0.4518
 -0.3614 -0.2821 -0.2102 -0.1443 -0.0832  0.0506  0.1580  0.2370  0.2891  0.3202
  0.3368  0.3427  0.3409  0.3334
 -1.8000 -1.5407 -1.3618 -1.2963 -1.2415 -1.0708 -0.8839 -0.7155 -0.5705 -0.4515
 -0.3545 -0.2740 -0.2024 -0.1375 -0.0779  0.0517  0.1557  0.2332  0.2848  0.3156
  0.3316  0.3371  0.3346  0.3267  0.3152  0.2986  0.2754  0.2461  0.2125  0.1778
 -1.8679 -1.5707 -1.3338 -1.1578 -1.0541 -1.0038 -0.9001 -0.7423 -0.5924 -0.4620
 -0.3545 -0.2679 -0.1952 -0.1305 -0.0717  0.0542  0.1549  0.2305  0.2816  0.3123
  0.3279  0.3327  0.3295  0.3205  0.3080  0.2927  0.2729  0.2471  0.2147  0.1786
  0.1414
 -1.9639 -1.6408 -1.3719 -1.1541 -0.9848 -0.8635 -0.7835 -0.7159 -0.6112 -0.4827
 -0.3654 -0.2679 -0.1897 -0.1237 -0.0650  0.0585  0.1559  0.2294  0.2799  0.3106
  0.3259  0.3300  0.3259  0.3155  0.3015  0.2848  0.2650  0.2414  0.2132  0.1799
  0.1412
 -2.0775 -1.7342 -1.4426 -1.1977 -0.9967 -0.8362 -0.7111 -0.6135 -0.5358 -0.4625
 -0.3747 -0.2760 -0.1881 -0.1174 -0.0574  0.0655  0.1602  0.2315  0.2809  0.3113
