 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  U   
 -5.1144 -4.7615 -4.3941 -4.0366 -3.7012 -2.9667 -2.3556 -1.8432 -1.4162 -1.0745
 -0.8270 -0.6612 -0.5497 -0.4713 -0.4125 -0.3662 -0.3277 -0.2930 -0.2594 -0.2268
 -9.0635 -8.1366 -7.3642 -6.7646 -6.3214 -5.9923 -5.7280 -5.4886 -5.2628 -5.0608
 -4.8691 -4.6428 -4.3658 -4.0476 -3.7152 -2.9584 -2.3362 -1.8222 -1.3962 -1.0523
 -0.7968 -0.6246 -0.5119 -0.4362 -0.3829 -0.3430 -0.3120 -0.2868 -0.2648 -0.2441
 -0.2238
 -9.3891 -8.4366 -7.5897 -6.8887 -6.3403 -5.9241 -5.6036 -5.3354 -5.0846 -4.8387
 -4.6072 -4.3951 -4.1915 -3.9708 -3.7161 -2.9968 -2.3576 -1.8350 -1.4038 -1.0534
 -0.7850 -0.5993 -0.4790 -0.4015 -0.3499 -0.3144 -0.2885 -0.2694 -0.2550 -0.2438
 -0.2347
 -9.7617 -8.8045 -7.9181 -7.1373 -6.4892 -5.9771 -5.5790 -5.2624 -4.9923 -4.7380
 -4.4877 -4.2452 -4.0173 -3.8078 -3.6043 -3.0334 -2.4069 -1.8717 -1.4321 -1.0726
 -0.7897 -0.5857 -0.4516 -0.3671 -0.3138 -0.2798 -0.2584 -0.2436 -0.2337 -0.2283
 -0.2269
-10.1451 -9.2119 -8.3276 -7.4997 -6.7715 -6.1625 -5.6740 -5.2864 -4.9718 -4.7003
 -4.4469 -4.1984 -3.9536 -3.7202 -3.5040 -3.0055 -2.4724 -1.9388 -1.4875 -1.1170
 -0.8189 -0.5936 -0.4385 -0.3394 -0.2785 -0.2418 -0.2209 -0.2099 -0.2055 -0.2050
 -0.2068
-10.4920 -9.6229 -8.7611 -7.9281 -7.1547 -6.4683 -5.8882 -5.4153 -5.0338 -4.7193
 -4.4470 -4.1952 -3.9495 -3.7073 -3.4740 -2.9594 -2.4939 -2.0115 -1.5577 -1.1759
 -0.8642 -0.6195 -0.4415 -0.3223 -0.2476 -0.2032 -0.1791 -0.1679 -0.1654 -0.1684
 -0.1747
-10.7911 -9.9852 -9.1720 -8.3708 -7.5940 -6.8674 -6.2167 -5.6593 -5.1963 -4.8164
 -4.5006 -4.2266 -3.9754 -3.7337 -3.4962 -2.9496 -2.4915 -2.0600 -1.6308
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  U   
-11.0412-10.4178 -9.8505 -9.3101 -8.5863 -7.7606 -7.1927 -6.8027 -6.4761 -6.1666
 -5.8735 -5.5906 -5.3173 -5.0514 -4.7892 -4.1350 -3.4713 -2.8060 -2.1842
 -9.7401 -9.4968 -9.1446 -8.7782 -8.3516 -7.6958 -7.0381 -6.5663 -6.1941 -5.8580
 -5.5405 -5.2373 -4.9475 -4.6687 -4.3977 -3.7431 -3.1101 -2.5065 -1.9626 -1.5217
 -8.9977 -8.5363 -8.3863 -8.2087 -7.9525 -7.5889 -7.0144 -6.4471 -6.0156 -5.6480
 -5.3074 -4.9838 -4.6772 -4.3860 -4.1072 -3.4521 -2.8424 -2.2834 -1.7921 -1.3904
 -1.0956
 -8.7416 -8.0654 -7.6776 -7.5199 -7.4345 -7.2530 -6.9399 -6.4452 -5.9363 -5.5269
 -5.1659 -4.8242 -4.5013 -4.1972 -3.9095 -3.2495 -2.6542 -2.1234 -1.6659 -1.2905
 -1.0116 -0.8178
 -8.7220 -7.9136 -7.3589 -7.0127 -6.8182 -6.7238 -6.6062 -6.3559 -5.9503 -5.4868
 -5.1011 -4.7457 -4.4090 -4.0921 -3.7943 -3.1228 -2.5321 -2.0162 -1.5777 -1.2181
 -0.9468 -0.7595 -0.6304 -0.5350
 -8.8887 -7.9664 -7.2743 -6.7923 -6.4672 -6.2426 -6.0846 -5.9627 -5.7879 -5.4841
 -5.0924 -4.7296 -4.3838 -4.0565 -3.7484 -3.0595 -2.4651 -1.9538 -1.5231 -1.1704
 -0.9004 -0.7126 -0.5866 -0.4989 -0.4336 -0.3824 -0.3395 -0.3007 -0.2632 -0.2270
 -9.2003 -8.1947 -7.3759 -6.7607 -6.3214 -6.0054 -5.7620 -5.5547 -5.3768 -5.2133
 -5.0041 -4.7158 -4.3989 -4.0733 -3.7578 -3.0488 -2.4439 -1.9299 -1.4989 -1.1463
 -0.8720 -0.6774 -0.5485 -0.4625 -0.4023 -0.3578 -0.3229 -0.2941 -0.2686 -0.2444
 -0.2216
 -9.6016 -8.5542 -7.6402 -6.9000 -6.3365 -5.9223 -5.6104 -5.3555 -5.1243 -4.9078
 -4.7131 -4.5263 -4.3176 -4.0731 -3.7951 -3.0815 -2.4621 -1.9397 -1.5037 -1.1452
 -0.8620 -0.6553 -0.5172 -0.4276 -0.3684 -0.3277 -0.2979 -0.2756 -0.2584 -0.2443
 -0.2320
-10.0507 -8.9864 -8.0161 -7.1794 -6.5006 -5.9750 -5.5760 -5.2656 -5.0049 -4.7639
