 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = BX   
 -0.7841 -0.6949 -0.6255 -0.5680 -0.5168 -0.4691 -0.4237 -0.3803 -0.3389 -0.3003
 -0.2647
 -4.5754 -4.3328 -4.1105 -3.9070 -3.7148 -3.5290 -3.3449 -3.1617 -2.9805 -2.8033
 -2.6321 -2.4683 -2.3122 -2.1641 -2.0239 -1.7113 -1.4501 -1.2321 -1.0544 -0.9100
 -0.7937 -0.7036 -0.6354 -0.5822 -0.5379 -0.4983 -0.4613 -0.4257 -0.3914 -0.3586
 -0.3280
 -4.4834 -4.2532 -4.0411 -3.8451 -3.6619 -3.4871 -3.3166 -3.1468 -2.9772 -2.8085
 -2.6423 -2.4806 -2.3255 -2.1752 -2.0383 -1.7162 -1.4566 -1.2430 -1.0633
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = BX   
 -6.1750 -5.8280 -5.5391 -5.2947 -5.0807 -4.8797 -4.6759 -4.4599 -4.2351 -4.0004
 -3.7533 -3.4993 -3.2504 -3.0213 -2.8113 -2.3455 -1.9266 -1.5512 -1.2162
 -5.7860 -5.4109 -5.0941 -4.8321 -4.6126 -4.4193 -4.2356 -4.0486 -3.8559 -3.6540
 -3.4377 -3.2071 -2.9737 -2.7549 -2.5558 -2.1277 -1.7607 -1.4313 -1.1446 -0.9109
 -5.4020 -5.0272 -4.7422 -4.4971 -4.2744 -4.0777 -3.8998 -3.7286 -3.5569 -3.3801
 -3.1926 -2.9892 -2.7737 -2.5643 -2.3728 -1.9699 -1.6392 -1.3501 -1.0965 -0.8856
 -0.7144
 -5.2453 -4.8142 -4.4693 -4.1998 -3.9960 -3.8387 -3.6803 -3.5113 -3.3421 -3.1745
 -3.0047 -2.8265 -2.6333 -2.4351 -2.2496 -1.8624 -1.5552 -1.2943 -1.0667 -0.8741
 -0.7164 -0.5844
 -5.2079 -4.7583 -4.3880 -4.0859 -3.8391 -3.6409 -3.4839 -3.3495 -3.2145 -3.0523
 -2.8800 -2.7089 -2.5349 -2.3517 -2.1720 -1.7937 -1.5007 -1.2585 -1.0502 -0.8724
 -0.7258 -0.6031 -0.4967 -0.4018
 -5.2228 -4.7663 -4.3857 -4.0686 -3.8028 -3.5785 -3.3870 -3.2207 -3.0754 -2.9466
 -2.8073 -2.6442 -2.4722 -2.2995 -2.1276 -1.7536 -1.4676 -1.2373 -1.0425 -0.8766
 -0.7392 -0.6248 -0.5260 -0.4376 -0.3569 -0.2835 -0.2153 -0.1502 -0.0915 -0.0551
 -5.2571 -4.8028 -4.4185 -4.0941 -3.8169 -3.5767 -3.3665 -3.1804 -3.0129 -2.8591
 -2.7177 -2.5830 -2.4372 -2.2750 -2.1074 -1.7347 -1.4500 -1.2261 -1.0403 -0.8834
 -0.7535 -0.6465 -0.5551 -0.4737 -0.3990 -0.3298 -0.2661 -0.2072 -0.1526 -0.1057
 -0.0793
 -5.2857 -4.8447 -4.4656 -4.1396 -3.8563 -3.6064 -3.3836 -3.1826 -3.0000 -2.8321
 -2.6748 -2.5269 -2.3887 -2.2504 -2.1020 -1.7336 -1.4441 -1.2222 -1.0417 -0.8909
 -0.7665 -0.6655 -0.5812 -0.5071 -0.4393 -0.3761 -0.3175 -0.2628 -0.2119 -0.1677
 -0.1325
 -5.2873 -4.8699 -4.5056 -4.1863 -3.9033 -3.6490 -3.4180 -3.2067 -3.0126 -2.8333
 -2.6659 -2.5083 -2.3598 -2.2195 -2.0831 -1.7435 -1.4467 -1.2218 -1.0437 -0.8967
 -0.7760 -0.6793 -0.6011 -0.5344 -0.4742 -0.4181 -0.3656 -0.3162 -0.2703 -0.2292
 -0.1930
 -5.2716 -4.8832 -4.5378 -4.2307 -3.9543 -3.7011 -3.4667 -3.2491 -3.0468 -2.8587
 -2.6829 -2.5179 -2.3621 -2.2148 -2.0751 -1.7530 -1.4644 -1.2306 -1.0507 -0.9051
 -0.7859 -0.6909 -0.6164 -0.5559 -0.5033 -0.4551 -0.4100 -0.3672 -0.3268 -0.2893
 -0.2549
 -5.2372 -4.8755 -4.5506 -4.2589 -3.9934 -3.7474 -3.5159 -3.2970 -3.0904 -2.8962
 -2.7140 -2.5429 -2.3815 -2.2284 -2.0838 -1.7594 -1.4809 -1.2459 -1.0603 -0.9138
 -0.7951 -0.7001 -0.6268 -0.5702 -0.5241 -0.4837 -0.4467 -0.4116 -0.3780 -0.3463
 -0.3169
 -5.1901 -4.8517 -4.5455 -4.2682 -4.0146 -3.7782 -3.5546 -3.3405 -3.1351 -2.9389
 -2.7528 -2.5771 -2.4087 -2.2511 -2.1092 -1.7627 -1.4962 -1.2677 -1.0725
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = BX   
 -6.4741 -6.2163 -5.9722 -5.7310 -5.4825 -5.2087 -4.8926 -4.5398 -4.2116 -3.9124
 -3.6339 -3.3716 -3.1266 -2.9055 -2.7064 -2.2803 -1.9118 -1.5722 -1.2620
 -6.0364 -5.7403 -5.4694 -5.2160 -4.9710 -4.7217 -4.4487 -4.1610 -3.8875 -3.6301
 -3.3816 -3.1385 -2.9059 -2.6916 -2.4981 -2.0914 -1.7544 -1.4561 -1.1864 -0.9501
 -5.7326 -5.3979 -5.0966 -4.8256 -4.5785 -4.3458 -4.1111 -3.8696 -3.6364 -3.4133
 -3.1944 -2.9742 -2.7548 -2.5466 -2.3569 -1.9615 -1.6450 -1.3740 -1.1332 -0.9201
 -0.7395
 -5.4612 -5.1010 -4.8064 -4.5412 -4.2929 -4.0652 -3.8523 -3.6429 -3.4394 -3.2432
 -3.0504 -2.8547 -2.6530 -2.4531 -2.2663 -1.8765 -1.5720 -1.3186 -1.0981 -0.9034
 -0.7366 -0.5964
 -5.3684 -4.9298 -4.5658 -4.2694 -4.0340 -3.8461 -3.6683 -3.4832 -3.2970 -3.1159
 -2.9396 -2.7639 -2.5823 -2.3948 -2.2120 -1.8238 -1.5252 -1.2829 -1.0764 -0.8962
 -0.7409 -0.6100 -0.4983 -0.4001
 -5.3940 -4.9074 -4.4975 -4.1593 -3.8847 -3.6615 -3.4788 -3.3270 -3.1910 -3.0391
 -2.8710 -2.7006 -2.5314 -2.3586 -2.1829 -1.7945 -1.4969 -1.2613 -1.0643 -0.8951
 -0.7497 -0.6270 -0.5228 -0.4314 -0.3492 -0.2744 -0.2059 -0.1411 -0.0826 -0.0456
 -5.4948 -4.9699 -4.5270 -4.1593 -3.8562 -3.6057 -3.3969 -3.2199 -3.0670 -2.9342
 -2.8088 -2.6664 -2.5045 -2.3374 -2.1703 -1.7829 -1.4823 -1.2493 -1.0586 -0.8975
 -0.7604 -0.6450 -0.5478 -0.4632 -0.3873 -0.3178 -0.2545 -0.1961 -0.1416 -0.0943
 -0.0671
 -5.6428 -5.0871 -4.6149 -4.2213 -3.8947 -3.6223 -3.3924 -3.1956 -3.0235 -2.8699
 -2.7297 -2.6005 -2.4720 -2.3276 -2.1696 -1.7856 -1.4786 -1.2445 -1.0572 -0.9017
 -0.7710 -0.6618 -0.5710 -0.4933 -0.4241 -0.3607 -0.3025 -0.2489 -0.1999 -0.1553
 -0.1192
 -5.7901 -5.2232 -4.7323 -4.3182 -3.9713 -3.6798 -3.4306 -3.2149 -3.0252 -2.8556
 -2.7006 -2.5564 -2.4211 -2.2916 -2.1583 -1.7976 -1.4821 -1.2434 -1.0570 -0.9049
 -0.7788 -0.6746 -0.5893 -0.5182 -0.4562 -0.3998 -0.3479 -0.2995 -0.2551 -0.2152
 -0.1797
 -5.9090 -5.3582 -4.8651 -4.4416 -4.0798 -3.7710 -3.5047 -3.2716 -3.0649 -2.8792
 -2.7102 -2.5540 -2.4077 -2.2696 -2.1378 -1.8141 -1.5013 -1.2523 -1.0630 -0.9117
 -0.7877 -0.6863 -0.6048 -0.5390 -0.4838 -0.4347 -0.3900 -0.3481 -0.3091 -0.2733
 -0.2411
 -5.9726 -5.4550 -4.9810 -4.5632 -4.1974 -3.8788 -3.5993 -3.3514 -3.1295 -2.9290
 -2.7461 -2.5778 -2.4213 -2.2745 -2.1357 -1.8190 -1.5264 -1.2702 -1.0731 -0.9199
 -0.7962 -0.6959 -0.6161 -0.5538 -0.5041 -0.4622 -0.4250 -0.3905 -0.3582 -0.3281
 -0.3005
 -5.9848 -5.5055 -5.0633 -4.6633 -4.3057 -3.9870 -3.7017 -3.4441 -3.2103 -2.9971
 -2.8019 -2.6221 -2.4555 -2.3001 -2.1520 -1.8123 -1.5574 -1.2971 -1.0873
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value = BX   
 -6.6747 -6.4627 -6.2523 -6.0313 -5.7872 -5.4896 -5.1088 -4.6551 -4.2426 -3.8942
 -3.5942 -3.3275 -3.0865 -2.8687 -2.6733 -2.2586 -1.9076 -1.5866 -1.2873
 -6.2063 -5.9637 -5.7310 -5.4993 -5.2576 -4.9872 -4.6588 -4.2921 -3.9489 -3.6460
 -3.3739 -3.1238 -2.8918 -2.6799 -2.4883 -2.0874 -1.7592 -1.4700 -1.2102 -0.9760
 -5.8682 -5.5880 -5.3275 -5.0800 -4.8386 -4.5914 -4.3158 -4.0145 -3.7244 -3.4590
 -3.2143 -2.9826 -2.7614 -2.5544 -2.3654 -1.9711 -1.6574 -1.3907 -1.1545 -0.9430
 -0.7587
 -5.6293 -5.3224 -5.0351 -4.7675 -4.5178 -4.2805 -4.0425 -3.7907 -3.5431 -3.3107
 -3.0922 -2.8816 -2.6747 -2.4745 -2.2877 -1.8955 -1.5894 -1.3363 -1.1170 -0.9229
 -0.7526 -0.6075
 -5.4994 -5.1129 -4.7596 -4.4983 -4.2693 -4.0476 -3.8297 -3.6118 -3.3961 -3.1900
 -2.9943 -2.8044 -2.6148 -2.4249 -2.2417 -1.8491 -1.5457 -1.3009 -1.0932 -0.9122
 -0.7538 -0.6181 -0.5023 -0.4014
 -5.4791 -5.0065 -4.6144 -4.2898 -4.0233 -3.8055 -3.6268 -3.4618 -3.2862 -3.1020
 -2.9201 -2.7440 -2.5703 -2.3941 -2.2174 -1.8238 -1.5192 -1.2790 -1.0792 -0.9080
 -0.7596 -0.6323 -0.5239 -0.4298 -0.3461 -0.2706 -0.2011 -0.1357 -0.0774 -0.0401
 -5.5630 -5.0476 -4.6066 -4.2369 -3.9313 -3.6794 -3.4701 -3.2936 -3.1439 -3.0099
 -2.8679 -2.7079 -2.5407 -2.3744 -2.2072 -1.8148 -1.5057 -1.2667 -1.0721 -0.9080
 -0.7677 -0.6478 -0.5463 -0.4588 -0.3814 -0.3113 -0.2477 -0.1894 -0.1347 -0.0875
 -0.0597
 -5.7358 -5.1693 -4.6838 -4.2765 -3.9383 -3.6584 -3.4255 -3.2287 -3.0590 -2.9099
 -2.7768 -2.6521 -2.5179 -2.3658 -2.2056 -1.8191 -1.5032 -1.2618 -1.0699 -0.9105
 -0.7764 -0.6629 -0.5676 -0.4867 -0.4158 -0.3519 -0.2936 -0.2404 -0.1917 -0.1474
 -0.1109
 -5.9473 -5.3413 -4.8170 -4.3739 -4.0052 -3.6991 -3.4430 -3.2257 -3.0385 -2.8738
 -2.7253 -2.5885 -2.4606 -2.3348 -2.1995 -1.8313 -1.5082 -1.2612 -1.0692 -0.9129
 -0.7829 -0.6746 -0.5847 -0.5101 -0.4460 -0.3889 -0.3370 -0.2891 -0.2452 -0.2057
 -0.1710
 -6.1524 -5.5414 -4.9917 -4.5212 -4.1240 -3.7918 -3.5122 -3.2736 -3.0668 -2.8848
 -2.7216 -2.5722 -2.4328 -2.3012 -2.1747 -1.8499 -1.5276 -1.2710 -1.0752 -0.9193
 -0.7913 -0.6860 -0.6000 -0.5303 -0.4725 -0.4223 -0.3774 -0.3359 -0.2976 -0.2627
 -0.2314
 -6.2971 -5.7074 -5.1670 -4.6852 -4.2709 -3.9174 -3.6161 -3.3566 -3.1303 -2.9300
 -2.7505 -2.5874 -2.4369 -2.2962 -2.1629 -1.8544 -1.5552 -1.2896 -1.0860 -0.9275
 -0.7997 -0.6956 -0.6118 -0.5453 -0.4926 -0.4490 -0.4112 -0.3769 -0.3451 -0.3159
 -0.2893
 -6.3722 -5.8213 -5.3060 -4.8365 -4.4214 -4.0580 -3.7415 -3.4646 -3.2202 -3.0026
 -2.8069 -2.6292 -2.4663 -2.3155 -2.1641 -1.8448 -1.5910 -1.3170 -1.1016
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value = BX   
 -6.8882 -6.7155 -6.5393 -6.3463 -6.1241 -5.8210 -5.3844 -4.8229 -4.3076 -3.8984
 -3.5748 -3.3016 -3.0621 -2.8480 -2.6556 -2.2487 -1.9099 -1.6028 -1.3161
 -6.3954 -6.1991 -6.0056 -5.8049 -5.5813 -5.3063 -4.9335 -4.4784 -4.0458 -3.6832
 -3.3826 -3.1236 -2.8919 -2.6824 -2.4927 -2.0951 -1.7721 -1.4906 -1.2361 -1.0052
 -6.0165 -5.7910 -5.5748 -5.3611 -5.1396 -4.8917 -4.5829 -4.2132 -3.8485 -3.5256
 -3.2477 -3.0024 -2.7791 -2.5735 -2.3856 -1.9914 -1.6780 -1.4129 -1.1789 -0.9690
 -0.7824
 -5.7642 -5.4968 -5.2489 -5.0139 -4.7847 -4.5516 -4.2933 -3.9919 -3.6844 -3.4001
 -3.1464 -2.9171 -2.7041 -2.5040 -2.3179 -1.9237 -1.6147 -1.3599 -1.1398 -0.9453
 -0.7729 -0.6231
 -5.5765 -5.2675 -5.0034 -4.7557 -4.5156 -4.2826 -4.0509 -3.8008 -3.5410 -3.2925
 -3.0637 -2.8526 -2.6527 -2.4606 -2.2777 -1.8820 -1.5733 -1.3248 -1.1142 -0.9312
 -0.7705 -0.6302 -0.5097 -0.4052
 -5.5297 -5.1180 -4.7726 -4.4872 -4.2502 -4.0445 -3.8459 -3.6371 -3.4167 -3.1988
 -2.9927 -2.7994 -2.6145 -2.4334 -2.2561 -1.8595 -1.5480 -1.3024 -1.0985 -0.9241
 -0.7728 -0.6412 -0.5279 -0.4301 -0.3440 -0.2675 -0.1970 -0.1300 -0.0718 -0.0344
 -5.6011 -5.1199 -4.7049 -4.3546 -4.0631 -3.8196 -3.6148 -3.4394 -3.2783 -3.1128
 -2.9364 -2.7580 -2.5846 -2.4153 -2.2467 -1.8520 -1.5353 -1.2895 -1.0901 -0.9218
 -0.7780 -0.6538 -0.5473 -0.4560 -0.3762 -0.3049 -0.2410 -0.1822 -0.1270 -0.0800
 -0.0519
 -5.7654 -5.2218 -4.7505 -4.3495 -4.0144 -3.7356 -3.5024 -3.3042 -3.1327 -2.9831
 -2.8485 -2.7135 -2.5642 -2.4048 -2.2445 -1.8570 -1.5336 -1.2844 -1.0868 -0.9228
 -0.7845 -0.6666 -0.5663 -0.4812 -0.4077 -0.3426 -0.2841 -0.2309 -0.1818 -0.1383
 -0.1018
 -6.0074 -5.4011 -4.8756 -4.4276 -4.0521 -3.7399 -3.4799 -3.2612 -3.0740 -2.9105
 -2.7649 -2.6331 -2.5091 -2.3816 -2.2410 -1.8693 -1.5397 -1.2843 -1.0857 -0.9243
 -0.7897 -0.6767 -0.5820 -0.5028 -0.4357 -0.3771 -0.3248 -0.2772 -0.2340 -0.1951
 -0.1609
 -6.2878 -5.6472 -5.0726 -4.5796 -4.1635 -3.8168 -3.5281 -3.2855 -3.0786 -2.8994
 -2.7407 -2.5969 -2.4637 -2.3384 -2.2164 -1.8889 -1.5601 -1.2953 -1.0922 -0.9305
 -0.7976 -0.6875 -0.5967 -0.5222 -0.4608 -0.4087 -0.3631 -0.3218 -0.2841 -0.2501
 -0.2198
 -6.5279 -5.8872 -5.3005 -4.7745 -4.3252 -3.9457 -3.6273 -3.3589 -3.1296 -2.9309
 -2.7557 -2.5985 -2.4545 -2.3203 -2.1932 -1.8935 -1.5887 -1.3151 -1.1039 -0.9391
 -0.8060 -0.6972 -0.6086 -0.5374 -0.4806 -0.4344 -0.3955 -0.3610 -0.3298 -0.3014
 -0.2760
 -6.6874 -6.0748 -5.5007 -4.9772 -4.5105 -4.1086 -3.7649 -3.4714 -3.2189 -2.9991
 -2.8051 -2.6317 -2.4745 -2.3299 -2.1714 -1.8831 -1.6255 -1.3437 -1.1208
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value = BX   
 -7.1106 -6.9682 -6.8207 -6.6541 -6.4604 -6.1648 -5.6885 -5.0315 -4.4092 -3.9301
 -3.5713 -3.2855 -3.0435 -2.8310 -2.6401 -2.2395 -1.9103 -1.6160 -1.3420
 -6.5948 -6.4348 -6.2754 -6.1058 -5.9071 -5.6427 -5.2466 -4.7107 -4.1779 -3.7427
 -3.4045 -3.1304 -2.8953 -2.6865 -2.4980 -2.1026 -1.7840 -1.5084 -1.2603 -1.0339
 -6.1795 -5.9976 -5.8210 -5.6427 -5.4494 -5.2149 -4.8909 -4.4587 -4.0069 -3.6122
 -3.2917 -3.0270 -2.7978 -2.5921 -2.4050 -2.0105 -1.6973 -1.4340 -1.2024 -0.9951
 -0.8090
 -5.8775 -5.6629 -5.4605 -5.2644 -5.0660 -4.8501 -4.5851 -4.2389 -3.8611 -3.5098
 -3.2098 -2.9558 -2.7333 -2.5316 -2.3459 -1.9502 -1.6385 -1.3828 -1.1624 -0.9684
 -0.7958 -0.6429
 -5.6949 -5.4374 -5.1995 -4.9765 -4.7614 -4.5462 -4.3159 -4.0381 -3.7249 -3.4186
 -3.1437 -2.9036 -2.6898 -2.4935 -2.3104 -1.9128 -1.5996 -1.3481 -1.1357 -0.9515
 -0.7896 -0.6465 -0.5214 -0.4122
 -5.5794 -5.2396 -4.9636 -4.7323 -4.5180 -4.3038 -4.0861 -3.8534 -3.5941 -3.3305
 -3.0836 -2.8608 -2.6584 -2.4700 -2.2914 -1.8931 -1.5757 -1.3256 -1.1188 -0.9419
 -0.7886 -0.6540 -0.5363 -0.4340 -0.3442 -0.2649 -0.1931 -0.1241 -0.0655 -0.0275
 -5.6151 -5.1840 -4.8157 -4.5084 -4.2522 -4.0351 -3.8443 -3.6602 -3.4597 -3.2427
 -3.0262 -2.8224 -2.6332 -2.4549 -2.2831 -1.8873 -1.5645 -1.3125 -1.1092 -0.9378
 -0.7909 -0.6636 -0.5528 -0.4567 -0.3733 -0.2997 -0.2346 -0.1747 -0.1182 -0.0710
 -0.0427
 -5.7518 -5.2511 -4.8145 -4.4409 -4.1267 -3.8625 -3.6377 -3.4425 -3.2684 -3.1077
 -2.9491 -2.7832 -2.6124 -2.4446 -2.2816 -1.8934 -1.5644 -1.3079 -1.1053 -0.9376
 -0.7955 -0.6739 -0.5692 -0.4793 -0.4019 -0.3343 -0.2746 -0.2212 -0.1723 -0.1275
 -0.0909
 -5.9809 -5.4110 -4.9118 -4.4818 -4.1174 -3.8116 -3.5550 -3.3367 -3.1472 -2.9799
 -2.8314 -2.6973 -2.5670 -2.4286 -2.2799 -1.9058 -1.5721 -1.3088 -1.1041 -0.9382
 -0.7995 -0.6824 -0.5831 -0.4989 -0.4275 -0.3662 -0.3126 -0.2646 -0.2215 -0.1828
 -0.1487
 -6.3020 -5.6668 -5.1043 -4.6175 -4.2034 -3.8560 -3.5658 -3.3219 -3.1144 -2.9346
 -2.7761 -2.6339 -2.5042 -2.3823 -2.2606 -1.9264 -1.5938 -1.3217 -1.1113 -0.9443
 -0.8069 -0.6925 -0.5970 -0.5175 -0.4513 -0.3959 -0.3486 -0.3067 -0.2692 -0.2358
 -0.2062
 -6.6286 -5.9656 -5.3610 -4.8234 -4.3618 -3.9717 -3.6453 -3.3721 -3.1410 -2.9431
 -2.7705 -2.6171 -2.4778 -2.3490 -2.2276 -1.9336 -1.6237 -1.3434 -1.1246 -0.9536
 -0.8156 -0.7021 -0.6089 -0.5327 -0.4709 -0.4207 -0.3794 -0.3439 -0.3127 -0.2848
 -0.2600
 -6.8846 -6.2331 -5.6222 -5.0651 -4.5686 -4.1423 -3.7808 -3.4762 -3.2184 -2.9977
 -2.8060 -2.6370 -2.4853 -2.3468 -2.1809 -1.9274 -1.6618 -1.3739 -1.1440
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value = BX   
 -7.3534 -7.2312 -7.1029 -6.9542 -6.7583 -6.4588 -5.9564 -5.2354 -4.5412 -3.9983
 -3.6071 -3.3099 -3.0667 -2.8549 -2.6674 -2.2695 -1.9421 -1.6519 -1.3821
 -6.8197 -6.6843 -6.5490 -6.4025 -6.2228 -5.9672 -5.5526 -4.9532 -4.3374 -3.8344
 -3.4601 -3.1720 -2.9345 -2.7275 -2.5414 -2.1475 -1.8270 -1.5499 -1.3013 -1.0738
 -6.3732 -6.2212 -6.0737 -5.9234 -5.7546 -5.5359 -5.2055 -4.7236 -4.1927 -3.7270
 -3.3642 -3.0808 -2.8467 -2.6423 -2.4575 -2.0640 -1.7468 -1.4791 -1.2438 -1.0331
 -0.8441
