 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = UX   
 -7.4154 -6.8761 -6.3898 -5.9540 -5.5664 -5.2226 -4.9178 -4.6472 -4.4044 -4.1870
 -3.9914 -3.7936 -3.5710 -3.3157 -3.0472 -2.4334 -1.9138 -1.4581 -1.0875 -0.8272
 -0.6565 -0.5417 -0.4617 -0.4044 -0.3623 -0.3297 -0.3026 -0.2774 -0.2522 -0.2272
 -7.6054 -7.0378 -6.5171 -6.0427 -5.6150 -5.2324 -4.8906 -4.5848 -4.3086 -4.0565
 -3.8252 -3.6128 -3.4126 -3.1985 -2.9622 -2.3703 -1.8689 -1.4331 -1.0662 -0.7945
 -0.6156 -0.5000 -0.4227 -0.3693 -0.3320 -0.3055 -0.2859 -0.2696 -0.2544 -0.2405
 -0.2261
 -7.8414 -7.2540 -6.7087 -6.2035 -5.7400 -5.3208 -4.9446 -4.6068 -4.3022 -4.0250
 -3.7696 -3.5340 -3.3173 -3.1098 -2.9010 -2.3582 -1.8614 -1.4375 -1.0731 -0.7873
 -0.5908 -0.4650 -0.3849 -0.3324 -0.2976 -0.2748 -0.2602 -0.2503 -0.2422 -0.2359
 -0.2318
 -8.1035 -7.5005 -6.9366 -6.4107 -5.9207 -5.4700 -5.0606 -4.6917 -4.3592 -4.0576
 -3.7816 -3.5271 -3.2914 -3.0706 -2.8600 -2.3556 -1.8741 -1.4548 -1.0946 -0.7987
 -0.5826 -0.4393 -0.3492 -0.2933 -0.2586 -0.2379 -0.2267 -0.2215 -0.2196 -0.2190
 -0.2197
 -8.3936 -7.7819 -7.2035 -6.6612 -6.1524 -5.6785 -5.2407 -4.8411 -4.4794 -4.1521
 -3.8540 -3.5802 -3.3267 -3.0903 -2.8678 -2.3650 -1.9035 -1.4858 -1.1281 -0.8280
 -0.5957 -0.4319 -0.3245 -0.2580 -0.2184 -0.1963 -0.1859 -0.1832 -0.1853 -0.1899
 -0.1952
 -8.6775 -8.0695 -7.4844 -6.9316 -6.4105 -5.9213 -5.4639 -5.0398 -4.6505 -4.2956
 -3.9727 -3.6773 -3.4050 -3.1519 -2.9150 -2.3898 -1.9359 -1.5240 -1.1643 -0.8621
 -0.6201 -0.4398 -0.3138 -0.2313 -0.1811 -0.1532 -0.1405 -0.1376 -0.1414 -0.1494
 -0.1596
 -8.9397 -8.3422 -7.7654 -7.2096 -6.6809 -6.1817 -5.7125 -5.2720 -4.8619 -4.4825
 -4.1338 -3.8140 -3.5077 -3.2339 -3.0016 -2.4300 -1.9713 -1.5694 -1.2032
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = UX   
 -7.1693 -7.0387 -6.9521 -6.8932 -6.8458 -6.7944 -6.7258 -6.6283 -6.4887 -6.2936
 -6.0345 -5.7203 -5.3779 -5.0433 -4.7209 -3.9421 -3.1651 -2.4688 -1.8641
 -6.8400 -6.6424 -6.4930 -6.3851 -6.3043 -6.2320 -6.1505 -6.0453 -5.9048 -5.7178
 -5.4744 -5.1754 -4.8440 -4.5156 -4.2022 -3.4708 -2.7807 -2.1516 -1.6476 -1.2841
 -6.5851 -6.3307 -6.1507 -6.0029 -5.8705 -5.7543 -5.6454 -5.5268 -5.3836 -5.2063
 -4.9857 -4.7150 -4.4040 -4.0866 -3.7839 -3.0977 -2.4797 -1.9277 -1.4783 -1.1510
 -0.9214
 -6.5661 -6.2102 -5.9203 -5.6921 -5.5220 -5.3962 -5.2697 -5.1260 -4.9679 -4.7899
 -4.5849 -4.3452 -4.0642 -3.7627 -3.4710 -2.8213 -2.2569 -1.7600 -1.3503 -1.0473
 -0.8372 -0.6893
 -6.6863 -6.2654 -5.9036 -5.5960 -5.3371 -5.1254 -4.9571 -4.8159 -4.6772 -4.5022
 -4.2975 -4.0721 -3.8218 -3.5424 -3.2604 -2.6341 -2.1049 -1.6438 -1.2596 -0.9698
 -0.7696 -0.6324 -0.5353 -0.4633
 -6.9193 -6.4323 -6.0100 -5.6419 -5.3219 -5.0460 -4.8076 -4.6000 -4.4199 -4.2641
 -4.0998 -3.8977 -3.6644 -3.4093 -3.1405 -2.5242 -2.0136 -1.5738 -1.2029 -0.9162
 -0.7171 -0.5836 -0.4924 -0.4276 -0.3796 -0.3420 -0.3105 -0.2815 -0.2528 -0.2247
 -7.2719 -6.7111 -6.2201 -5.7904 -5.4135 -5.0824 -4.7921 -4.5363 -4.3080 -4.1013
 -3.9154 -3.7438 -3.5575 -3.3355 -3.0872 -2.4789 -1.9722 -1.5428 -1.1771 -0.8862
 -0.6791 -0.5424 -0.4522 -0.3909 -0.3478 -0.3165 -0.2927 -0.2729 -0.2550 -0.2382
 -0.2212
 -7.7247 -7.0959 -6.5343 -6.0362 -5.5965 -5.2095 -4.8689 -4.5678 -4.2999 -4.0581
 -3.8362 -3.6323 -3.4462 -3.2609 -3.0549 -2.4840 -1.9709 -1.5429 -1.1780 -0.8796
 -0.6579 -0.5098 -0.4148 -0.3534 -0.3125 -0.2850 -0.2664 -0.2532 -0.2427 -0.2343
 -0.2280
 -8.2244 -7.5452 -6.9260 -6.3647 -5.8612 -5.4139 -5.0191 -4.6711 -4.3628 -4.0870
 -3.8364 -3.6060 -3.3933 -3.1951 -3.0032 -2.5011 -1.9964 -1.5629 -1.1961 -0.8903
 -0.6531 -0.4874 -0.3811 -0.3147 -0.2733 -0.2476 -0.2325 -0.2242 -0.2199 -0.2176
 -0.2167
 -8.7532 -8.0406 -7.3789 -6.7665 -6.2070 -5.7012 -5.2495 -4.8502 -4.4977 -4.1848
 -3.9038 -3.6480 -3.4121 -3.1928 -2.9866 -2.5103 -2.0413 -1.6056 -1.2342 -0.9217
 -0.6702 -0.4844 -0.3596 -0.2811 -0.2338 -0.2063 -0.1919 -0.1861 -0.1859 -0.1888
 -0.1928
 -9.2621 -8.5353 -7.8491 -7.2046 -6.6039 -6.0503 -5.5470 -5.0960 -4.6955 -4.3412
 -4.0257 -3.7416 -3.4821 -3.2416 -3.0179 -2.5206 -2.0785 -1.6566 -1.2809 -0.9628
 -0.7009 -0.4979 -0.3529 -0.2570 -0.1979 -0.1640 -0.1470 -0.1410 -0.1426 -0.1489
 -0.1577
 -9.7196 -8.9973 -8.3073 -7.6484 -7.0243 -6.4379 -5.8950 -5.3997 -4.9531 -4.5543
 -4.1995 -3.8829 -3.5896 -3.3268 -3.0971 -2.5320 -2.1080 -1.7159 -1.3362
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = UX   
 -6.7779 -6.7528 -6.7389 -6.7265 -6.7080 -6.6735 -6.6139 -6.5215 -6.3880 -6.2067
 -5.9762 -5.7003 -5.3929 -5.0817 -4.7768 -4.0460 -3.3403 -2.6654 -2.0706
 -6.3130 -6.2510 -6.2135 -6.1871 -6.1596 -6.1210 -6.0617 -5.9732 -5.8475 -5.6771
 -5.4562 -5.1866 -4.8862 -4.5795 -4.2808 -3.5834 -2.9400 -2.3518 -1.8414 -1.4384
 -6.0357 -5.8960 -5.8005 -5.7366 -5.6875 -5.6372 -5.5730 -5.4858 -5.3681 -5.2130
 -5.0138 -4.7672 -4.4835 -4.1876 -3.8988 -3.2353 -2.6433 -2.1154 -1.6627 -1.3000
 -1.0337
 -5.9489 -5.7269 -5.5691 -5.4456 -5.3438 -5.2608 -5.1819 -5.0898 -4.9759 -4.8335
 -4.6564 -4.4387 -4.1808 -3.9008 -3.6220 -2.9854 -2.4308 -1.9432 -1.5281 -1.1931
 -0.9451 -0.7699
 -6.0799 -5.7516 -5.4881 -5.2832 -5.1312 -5.0212 -4.9235 -4.8181 -4.6965 -4.5548
 -4.3892 -4.1946 -3.9649 -3.7051 -3.4365 -2.8170 -2.2862 -1.8242 -1.4317 -1.1136
 -0.8755 -0.7089 -0.5925 -0.5072
 -6.3312 -5.9317 -5.5913 -5.3049 -5.0702 -4.8804 -4.7284 -4.6082 -4.5054 -4.3798
 -4.2186 -4.0312 -3.8208 -3.5835 -3.3268 -2.7158 -2.1964 -1.7495 -1.3685 -1.0587
 -0.8235 -0.6587 -0.5466 -0.4682 -0.4101 -0.3644 -0.3262 -0.2916 -0.2576 -0.2236
 -6.7034 -6.2168 -5.8026 -5.4484 -5.1457 -4.8887 -4.6719 -4.4884 -4.3317 -4.1978
 -4.0726 -3.9226 -3.7332 -3.5148 -3.2757 -2.6702 -2.1517 -1.7114 -1.3353 -1.0265
 -0.7884 -0.6192 -0.5059 -0.4295 -0.3763 -0.3372 -0.3069 -0.2818 -0.2593 -0.2373
 -0.2148
 -7.2330 -6.6364 -6.1286 -5.6960 -5.3246 -5.0044 -4.7282 -4.4900 -4.2818 -4.0974
 -3.9312 -3.7808 -3.6329 -3.4598 -3.2526 -2.6714 -2.1455 -1.7045 -1.3286 -1.0162
 -0.7704 -0.5913 -0.4707 -0.3920 -0.3400 -0.3045 -0.2797 -0.2613 -0.2466 -0.2340
 -0.2229
 -7.9010 -7.1966 -6.5827 -6.0549 -5.6011 -5.2102 -4.8707 -4.5759 -4.3181 -4.0903
 -3.8854 -3.6980 -3.5256 -3.3634 -3.1967 -2.6962 -2.1690 -1.7205 -1.3415 -1.0232
 -0.7671 -0.5744 -0.4414 -0.3554 -0.3011 -0.2667 -0.2453 -0.2317 -0.2231 -0.2171
 -0.2131
 -8.6577 -7.8720 -7.1634 -6.5406 -5.9946 -5.5200 -5.1077 -4.7499 -4.4377 -4.1635
 -3.9196 -3.6994 -3.4976 -3.3104 -3.1346 -2.7040 -2.2246 -1.7673 -1.3809 -1.0548
 -0.7866 -0.5771 -0.4262 -0.3263 -0.2639 -0.2263 -0.2050 -0.1939 -0.1894 -0.1889
 -0.1904
 -9.4191 -8.5824 -7.8094 -7.1130 -6.4856 -5.9284 -5.4373 -5.0079 -4.6341 -4.3079
 -4.0206 -3.7646 -3.5330 -3.3208 -3.1236 -2.6854 -2.2668 -1.8322 -1.4371 -1.1020
 -0.8220 -0.5964 -0.4260 -0.3076 -0.2316 -0.1861 -0.1611 -0.1495 -0.1467 -0.1497
 -0.1557
-10.1354 -9.2709 -8.4651 -7.7195 -7.0353 -6.4119 -5.8501 -5.3493 -4.9090 -4.5239
 -4.1871 -3.8902 -3.6251 -3.3855 -3.1637 -2.6404 -2.2956 -1.9152 -1.5101
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value = UX   
 -6.7089 -6.7069 -6.7065 -6.7001 -6.6823 -6.6445 -6.5785 -6.4779 -6.3386 -6.1619
 -5.9500 -5.7038 -5.4287 -5.1374 -4.8451 -4.1295 -3.4432 -2.7925 -2.1993
 -6.2074 -6.1849 -6.1722 -6.1598 -6.1392 -6.1032 -6.0448 -5.9555 -5.8300 -5.6656
 -5.4603 -5.2159 -4.9410 -4.6527 -4.3647 -3.6800 -3.0451 -2.4659 -1.9614 -1.5433
 -5.8461 -5.7732 -5.7283 -5.6975 -5.6676 -5.6288 -5.5725 -5.4916 -5.3797 -5.2320
 -5.0449 -4.8173 -4.5560 -4.2778 -3.9993 -3.3454 -2.7550 -2.2288 -1.7751 -1.4003
 -1.1124
 -5.7178 -5.5611 -5.4423 -5.3580 -5.2980 -5.2456 -5.1853 -5.1077 -5.0059 -4.8744
 -4.7084 -4.5048 -4.2650 -4.0020 -3.7341 -3.1050 -2.5474 -2.0555 -1.6350 -1.2889
 -1.0209 -0.8273
 -5.7902 -5.5486 -5.3314 -5.1857 -5.0783 -4.9878 -4.9073 -4.8222 -4.7215 -4.5991
 -4.4499 -4.2691 -4.0537 -3.8094 -3.5524 -2.9407 -2.4044 -1.9351 -1.5342 -1.2054
 -0.9491 -0.7638 -0.6337 -0.5388
 -6.0266 -5.6945 -5.3977 -5.1560 -4.9653 -4.8208 -4.7169 -4.6326 -4.5366 -4.4155
 -4.2706 -4.1022 -3.9075 -3.6837 -3.4393 -2.8385 -2.3132 -1.8577 -1.4675 -1.1470
 -0.8959 -0.7126 -0.5858 -0.4974 -0.4324 -0.3813 -0.3385 -0.3000 -0.2626 -0.2249
 -6.3993 -5.9622 -5.5901 -5.2746 -5.0104 -4.7926 -4.6155 -4.4734 -4.3601 -4.2610
 -4.1466 -3.9963 -3.8144 -3.6086 -3.3801 -2.7880 -2.2649 -1.8163 -1.4312 -1.1121
 -0.8603 -0.6736 -0.5445 -0.4573 -0.3968 -0.3524 -0.3179 -0.2891 -0.2635 -0.2385
 -0.2121
 -6.9000 -6.3528 -5.8906 -5.4992 -5.1661 -4.8831 -4.6440 -4.4425 -4.2709 -4.1221
 -3.9902 -3.8666 -3.7288 -3.5566 -3.3527 -2.7813 -2.2541 -1.8057 -1.4218 -1.0997
 -0.8422 -0.6474 -0.5107 -0.4197 -0.3595 -0.3185 -0.2894 -0.2677 -0.2501 -0.2350
 -0.2208
 -7.5778 -6.9007 -6.3239 -5.8352 -5.4211 -5.0681 -4.7655 -4.5055 -4.2814 -4.0854
 -3.9099 -3.7498 -3.6019 -3.4585 -3.3011 -2.8025 -2.2726 -1.8188 -1.4322 -1.1051
 -0.8385 -0.6323 -0.4837 -0.3843 -0.3206 -0.2801 -0.2543 -0.2374 -0.2260 -0.2178
 -0.2114
 -8.4028 -7.6171 -6.9174 -6.3173 -5.8026 -5.3631 -4.9862 -4.6620 -4.3810 -4.1356
 -3.9185 -3.7227 -3.5427 -3.3756 -3.2183 -2.8108 -2.3258 -1.8630 -1.4702 -1.1358
 -0.8576 -0.6366 -0.4715 -0.3578 -0.2848 -0.2401 -0.2140 -0.1994 -0.1922 -0.1894
 -0.1889
 -9.2665 -8.4056 -7.6231 -6.9213 -6.3073 -5.7721 -5.3091 -4.9093 -4.5637 -4.2632
 -3.9996 -3.7654 -3.5539 -3.3601 -3.1800 -2.7779 -2.3701 -1.9285 -1.5266 -1.1833
 -0.8936 -0.6574 -0.4744 -0.3425 -0.2551 -0.2013 -0.1708 -0.1554 -0.1497 -0.1503
 -0.1545
-10.0987 -9.1930 -8.3546 -7.5868 -6.8963 -6.2786 -5.7320 -5.2515 -4.8327 -4.4693
 -4.1527 -3.8744 -3.6269 -3.4037 -3.1862 -2.7038 -2.4055 -2.0153 -1.6014
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value = UX   
 -6.7088 -6.7183 -6.7229 -6.7163 -6.6938 -6.6473 -6.5687 -6.4535 -6.3050 -6.1322
 -5.9429 -5.7295 -5.4892 -5.2263 -4.9511 -4.2520 -3.5736 -2.9331 -2.3500
 -6.1867 -6.1855 -6.1848 -6.1773 -6.1569 -6.1179 -6.0544 -5.9592 -5.8298 -5.6700
 -5.4827 -5.2681 -5.0253 -4.7624 -4.4900 -3.8181 -3.1823 -2.6044 -2.0978 -1.6684
 -5.7708 -5.7417 -5.7247 -5.7095 -5.6876 -5.6525 -5.5979 -5.5178 -5.4073 -5.2649
 -5.0914 -4.8875 -4.6548 -4.4009 -4.1379 -3.4959 -2.9002 -2.3661 -1.9054 -1.5197
 -1.2110
 -5.5475 -5.4463 -5.3823 -5.3404 -5.3061 -5.2678 -5.2167 -5.1461 -5.0506 -4.9262
 -4.7710 -4.5849 -4.3686 -4.1288 -3.8770 -3.2609 -2.6968 -2.1934 -1.7614 -1.4033
 -1.1165 -0.9012
 -5.5662 -5.3706 -5.2303 -5.1233 -5.0423 -4.9807 -4.9226 -4.8536 -4.7665 -4.6562
 -4.5185 -4.3515 -4.1544 -3.9309 -3.6912 -3.0948 -2.5528 -2.0713 -1.6570 -1.3152
 -1.0420 -0.8356 -0.6876 -0.5799
 -5.7846 -5.4790 -5.2328 -5.0433 -4.9048 -4.8054 -4.7263 -4.6507 -4.5625 -4.4567
 -4.3297 -4.1785 -3.9999 -3.7940 -3.5670 -2.9857 -2.4566 -1.9900 -1.5867 -1.2529
 -0.9863 -0.7832 -0.6379 -0.5357 -0.4613 -0.4031 -0.3547 -0.3114 -0.2698 -0.2282
 -6.1119 -5.7228 -5.3932 -5.1182 -4.8948 -4.7173 -4.5811 -4.4820 -4.4033 -4.3162
 -4.2022 -4.0604 -3.8947 -3.7053 -3.4927 -2.9252 -2.4014 -1.9435 -1.5467 -1.2146
 -0.9485 -0.7438 -0.5960 -0.4942 -0.4236 -0.3722 -0.3321 -0.2991 -0.2699 -0.2414
 -0.2111
 -6.5633 -6.0744 -5.6602 -5.3093 -5.0140 -4.7680 -4.5657 -4.4011 -4.2676 -4.1567
 -4.0569 -3.9502 -3.8155 -3.6481 -3.4544 -2.9060 -2.3827 -1.9277 -1.5333 -1.1994
 -0.9285 -0.7176 -0.5629 -0.4563 -0.3852 -0.3368 -0.3025 -0.2764 -0.2556 -0.2374
 -0.2200
 -7.1967 -6.5735 -6.0493 -5.6075 -5.2350 -4.9201 -4.6543 -4.4308 -4.2423 -4.0807
 -3.9377 -3.8077 -3.6851 -3.5575 -3.4065 -2.9166 -2.3929 -1.9354 -1.5403 -1.2022
 -0.9229 -0.7024 -0.5374 -0.4221 -0.3463 -0.2976 -0.2663 -0.2452 -0.2304 -0.2195
 -0.2106
 -8.0376 -7.2767 -6.6143 -6.0546 -5.5826 -5.1843 -4.8467 -4.5593 -4.3133 -4.1011
 -3.9147 -3.7466 -3.5917 -3.4475 -3.3102 -2.9251 -2.4377 -1.9744 -1.5753 -1.2312
 -0.9411 -0.7070 -0.5274 -0.3983 -0.3122 -0.2582 -0.2258 -0.2069 -0.1963 -0.1906
 -0.1878
 -8.9828 -8.1194 -7.3449 -6.6587 -6.0725 -5.5721 -5.1467 -4.7838 -4.4727 -4.2043
 -3.9700 -3.7623 -3.5746 -3.4020 -3.2417 -2.8793 -2.4827 -2.0349 -1.6290 -1.2778
 -0.9770 -0.7284 -0.5324 -0.3864 -0.2855 -0.2213 -0.1836 -0.1632 -0.1539 -0.1516
 -0.1535
 -9.9070 -8.9876 -8.1394 -7.3709 -6.6830 -6.0829 -5.5618 -5.1123 -4.7251 -4.3916
 -4.1023 -3.8489 -3.6240 -3.4211 -3.2010 -2.7792 -2.5279 -2.1169 -1.7014
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value = UX   
 -6.7412 -6.7555 -6.7596 -6.7477 -6.7160 -6.6558 -6.5589 -6.4233 -6.2651 -6.0982
 -5.9263 -5.7425 -5.5368 -5.3059 -5.0522 -4.3771 -3.7023 -3.0680 -2.4970
 -6.2060 -6.2155 -6.2190 -6.2105 -6.1853 -6.1382 -6.0640 -5.9563 -5.8200 -5.6643
 -5.4941 -5.3070 -5.0973 -4.8640 -4.6125 -3.9598 -3.3223 -2.7387 -2.2321 -1.7966
 -5.7587 -5.7534 -5.7498 -5.7406 -5.7197 -5.6821 -5.6230 -5.5370 -5.4226 -5.2832
 -5.1229 -4.9425 -4.7395 -4.5138 -4.2714 -3.6483 -3.0480 -2.5033 -2.0348 -1.6409
 -1.3179
 -5.4501 -5.4044 -5.3773 -5.3566 -5.3328 -5.2990 -5.2494 -5.1786 -5.0829 -4.9613
 -4.8155 -4.6472 -4.4559 -4.2423 -4.0114 -3.4161 -2.8480 -2.3322 -1.8882 -1.5192
 -1.2190 -0.9842
 -5.3845 -5.2473 -5.1494 -5.0842 -5.0384 -4.9972 -4.9492 -4.8866 -4.8041 -4.6984
 -4.5682 -4.4142 -4.2367 -4.0367 -3.8179 -3.2457 -2.7019 -2.2091 -1.7816 -1.4272
 -1.1408 -0.9163 -0.7495 -0.6261
 -5.5345 -5.2870 -5.1033 -4.9719 -4.8729 -4.7940 -4.7300 -4.6651 -4.5876 -4.4923
 -4.3757 -4.2361 -4.0729 -3.8867 -3.6802 -3.1273 -2.5991 -2.1240 -1.7084 -1.3613
 -1.0815 -0.8618 -0.6977 -0.5800 -0.4941 -0.4283 -0.3740 -0.3257 -0.2794 -0.2334
 -5.8377 -5.4953 -5.2106 -4.9819 -4.8040 -4.6708 -4.5746 -4.5029 -4.4317 -4.3434
 -4.2348 -4.1060 -3.9558 -3.7834 -3.5895 -3.0546 -2.5356 -2.0713 -1.6643 -1.3199
 -1.0404 -0.8203 -0.6547 -0.5363 -0.4537 -0.3943 -0.3486 -0.3111 -0.2780 -0.2457
 -0.2116
 -6.2434 -5.8105 -5.4429 -5.1328 -4.8760 -4.6671 -4.5002 -4.3711 -4.2746 -4.1949
 -4.1116 -4.0067 -3.8738 -3.7160 -3.5365 -3.0222 -2.5081 -2.0488 -1.6464 -1.3014
 -1.0175 -0.7922 -0.6209 -0.4977 -0.4135 -0.3565 -0.3165 -0.2862 -0.2618 -0.2407
 -0.2201
 -6.8002 -6.2492 -5.7833 -5.3893 -5.0569 -4.7785 -4.5476 -4.3581 -4.2034 -4.0755
 -3.9649 -3.8634 -3.7605 -3.6407 -3.4928 -3.0187 -2.5088 -2.0499 -1.6483 -1.3005
 -1.0091 -0.7751 -0.5951 -0.4638 -0.3741 -0.3158 -0.2783 -0.2531 -0.2351 -0.2213
 -0.2099
 -7.5928 -6.8878 -6.2883 -5.7837 -5.3595 -5.0031 -4.7035 -4.4517 -4.2404 -4.0614
 -3.9062 -3.7670 -3.6386 -3.5181 -3.3982 -3.0274 -2.5428 -2.0824 -1.6790 -1.3265
 -1.0255 -0.7788 -0.5856 -0.4417 -0.3415 -0.2767 -0.2372 -0.2136 -0.1996 -0.1913
 -0.1862
 -8.5749 -7.7325 -6.9909 -6.3498 -5.8083 -5.3526 -4.9691 -4.6453 -4.3705 -4.1360
 -3.9332 -3.7541 -3.5918 -3.4422 -3.3031 -2.9782 -2.5873 -2.1356 -1.7284 -1.3709
 -1.0607 -0.8003 -0.5918 -0.4324 -0.3178 -0.2418 -0.1955 -0.1695 -0.1565 -0.1514
 -0.1512
 -9.5901 -8.6714 -7.8297 -7.0756 -6.4117 -5.8431 -5.3588 -4.9476 -4.5978 -4.2988
 -4.0410 -3.8160 -3.6163 -3.4359 -3.2075 -2.8711 -2.6423 -2.2095 -1.7965
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value = UX   
 -6.8826 -6.8960 -6.8946 -6.8722 -6.8232 -6.7408 -6.6187 -6.4607 -6.2966 -6.1362
 -5.9840 -5.8323 -5.6687 -5.4790 -5.2636 -4.6295 -3.9479 -3.2953 -2.7089
 -6.3340 -6.3469 -6.3489 -6.3349 -6.3001 -6.2399 -6.1486 -6.0230 -5.8784 -5.7281
 -5.5769 -5.4210 -5.2515 -5.0594 -4.8424 -4.2275 -3.5794 -2.9676 -2.4381 -1.9830
 -5.8591 -5.8652 -5.8664 -5.8571 -5.8322 -5.7875 -5.7187 -5.6210 -5.4992 -5.3629
 -5.2183 -5.0653 -4.8986 -4.7119 -4.5030 -3.9188 -3.3098 -2.7358 -2.2398 -1.8230
 -1.4768
