 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  V   
 -0.1890 -0.1669 -0.1527 -0.1416 -0.1310 -0.1201 -0.1091 -0.0978 -0.0870 -0.0776
 -0.0689
 -3.3723 -2.9881 -2.6494 -2.3565 -2.1061 -1.8927 -1.7101 -1.5527 -1.4157 -1.2951
 -1.1875 -1.0904 -1.0012 -0.9179 -0.8395 -0.6622 -0.5091 -0.3820 -0.2866 -0.2220
 -0.1820 -0.1598 -0.1487 -0.1431 -0.1392 -0.1351 -0.1304 -0.1247 -0.1182 -0.1118
 -0.1063
 -3.3514 -2.9936 -2.6747 -2.3918 -2.1441 -1.9273 -1.7381 -1.5727 -1.4280 -1.3008
 -1.1883 -1.0877 -0.9932 -0.9094 -0.8407 -0.6557 -0.5058 -0.3844 -0.2867
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  V   
 -6.1032 -5.6022 -5.1398 -4.7037 -4.2788 -3.8354 -3.3449 -2.8202 -2.3783 -2.0299
 -1.7589 -1.5418 -1.3595 -1.2040 -1.0688 -0.7975 -0.5911 -0.4255 -0.2911
 -5.7310 -5.1758 -4.6714 -4.2134 -3.7920 -3.3869 -2.9627 -2.5419 -2.1795 -1.8827
 -1.6419 -1.4427 -1.2727 -1.1245 -0.9943 -0.7348 -0.5447 -0.3977 -0.2802 -0.1875
 -5.4095 -4.8515 -4.3350 -3.8670 -3.4479 -3.0699 -2.7075 -2.3560 -2.0468 -1.7864
 -1.5691 -1.3852 -1.2245 -1.0818 -0.9549 -0.7006 -0.5183 -0.3818 -0.2751 -0.1913
 -0.1249
 -4.8842 -4.3780 -3.9503 -3.5567 -3.1822 -2.8346 -2.5153 -2.2162 -1.9476 -1.7158
 -1.5186 -1.3490 -1.1984 -1.0618 -0.9379 -0.6856 -0.5053 -0.3741 -0.2744 -0.1971
 -0.1361 -0.0859
 -4.5337 -3.9713 -3.5025 -3.1183 -2.8107 -2.5629 -2.3296 -2.0922 -1.8643 -1.6589
 -1.4789 -1.3220 -1.1822 -1.0532 -0.9333 -0.6825 -0.5010 -0.3716 -0.2759 -0.2034
 -0.1473 -0.1012 -0.0618 -0.0278
 -4.3835 -3.7618 -3.2531 -2.8480 -2.5255 -2.2676 -2.0600 -1.8905 -1.7442 -1.5965
 -1.4451 -1.3007 -1.1691 -1.0484 -0.9342 -0.6864 -0.5021 -0.3717 -0.2780 -0.2090
 -0.1571 -0.1157 -0.0801 -0.0488 -0.0211  0.0026  0.0219  0.0338  0.0367  0.0333
 -4.3445 -3.6975 -3.1614 -2.7335 -2.3971 -2.1306 -1.9155 -1.7384 -1.5913 -1.4717
 -1.3709 -1.2684 -1.1570 -1.0441 -0.9359 -0.6937 -0.5067 -0.3734 -0.2797 -0.2128
 -0.1645 -0.1277 -0.0968 -0.0694 -0.0445 -0.0223 -0.0032  0.0115  0.0198  0.0180
  0.0087
 -4.3434 -3.6951 -3.1456 -2.7010 -2.3500 -2.0741 -1.8538 -1.6741 -1.5239 -1.3967
 -1.2879 -1.1959 -1.1134 -1.0268 -0.9335 -0.7022 -0.5136 -0.3761 -0.2805 -0.2142
 -0.1684 -0.1358 -0.1102 -0.0877 -0.0671 -0.0479 -0.0307 -0.0160 -0.0050 -0.0003
 -0.0070
 -4.3299 -3.7026 -3.1574 -2.7071 -2.3464 -2.0614 -1.8340 -1.6491 -1.4954 -1.3649
 -1.2515 -1.1514 -1.0627 -0.9836 -0.9075 -0.7059 -0.5199 -0.3785 -0.2796 -0.2124
 -0.1677 -0.1385 -0.1181 -0.1015 -0.0862 -0.0715 -0.0577 -0.0450 -0.0343 -0.0279
 -0.0260
 -4.3067 -3.7189 -3.1907 -2.7452 -2.3791 -2.0836 -1.8473 -1.6548 -1.4949 -1.3591
 -1.2412 -1.1370 -1.0432 -0.9579 -0.8800 -0.7008 -0.5279 -0.3842 -0.2805 -0.2103
 -0.1648 -0.1370 -0.1206 -0.1097 -0.1005 -0.0915 -0.0827 -0.0737 -0.0654 -0.0587
 -0.0549
 -4.2703 -3.7281 -3.2314 -2.7992 -2.4326 -2.1303 -1.8835 -1.6808 -1.5123 -1.3693
 -1.2455 -1.1364 -1.0387 -0.9499 -0.8682 -0.6897 -0.5309 -0.3908 -0.2829 -0.2084
 -0.1603 -0.1319 -0.1175 -0.1111 -0.1079 -0.1053 -0.1024 -0.0988 -0.0947 -0.0907
 -0.0878
 -4.2327 -3.7350 -3.2761 -2.8650 -2.5065 -2.2001 -1.9423 -1.7267 -1.5460 -1.3930
 -1.2613 -1.1461 -1.0436 -0.9513 -0.8721 -0.6726 -0.5289 -0.3983 -0.2868
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  V   
 -6.4677 -6.0106 -5.5887 -5.1882 -4.7922 -4.3399 -3.7703 -3.0967 -2.5224 -2.0862
 -1.7665 -1.5273 -1.3375 -1.1788 -1.0425 -0.7738 -0.5731 -0.4143 -0.2829
 -6.1077 -5.5964 -5.1302 -4.7007 -4.2924 -3.8678 -3.3623 -2.8183 -2.3418 -1.9626
 -1.6710 -1.4459 -1.2649 -1.1126 -0.9807 -0.7201 -0.5315 -0.3868 -0.2721 -0.1795
 -5.8522 -5.3054 -4.8032 -4.3432 -3.9219 -3.5192 -3.0878 -2.6352 -2.2278 -1.8896
